Partition	Input_Domain	Language_A	Language_B	N_Input_Families	N_Common_DR_Informative	N_Both_D_Bearing	N_A_D_B_R	N_A_R_B_D	N_Both_R_No_D	N_Common_With_Mixed_Cell	Both_D_Over_Common	Both_D_Proportion	N_Excluded_Not_Common_Informative	Caution
primary	nasal-quotative-morphology	Konda	Parji	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Konda	Pengo	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Konda	Tamil	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Konda	Telugu	1	1	0	0	1	0	1	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Konda	Toda	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Konda	Tulu	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kota	Kui	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kota	Kurux	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kota	Kuwi	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kota	Malayalam	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kota	Malto	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kota	Manda	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kota	Naiki	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kota	Naikri	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kota	Parji	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kota	Pengo	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kota	Tamil	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kota	Telugu	1	1	0	0	1	0	1	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kota	Toda	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kota	Tulu	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kui	Kurux	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kui	Kuwi	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kui	Malayalam	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kui	Malto	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kui	Manda	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kui	Naiki	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kui	Naikri	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kui	Parji	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kui	Pengo	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kui	Tamil	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kui	Telugu	1	1	0	0	1	0	1	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kui	Toda	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kui	Tulu	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kurux	Kuwi	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kurux	Malayalam	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kurux	Malto	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kurux	Manda	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kurux	Naiki	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kurux	Naikri	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kurux	Parji	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kurux	Pengo	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kurux	Tamil	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kurux	Telugu	1	1	0	0	1	0	1	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kurux	Toda	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kurux	Tulu	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kuwi	Malayalam	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kuwi	Malto	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kuwi	Manda	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kuwi	Naiki	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kuwi	Naikri	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kuwi	Parji	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kuwi	Pengo	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kuwi	Tamil	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kuwi	Telugu	1	1	0	0	1	0	1	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kuwi	Toda	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Kuwi	Tulu	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Malayalam	Malto	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Malayalam	Manda	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Malayalam	Naiki	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Malayalam	Naikri	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Malayalam	Parji	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Malayalam	Pengo	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Malayalam	Tamil	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Malayalam	Telugu	1	1	0	0	1	0	1	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Malayalam	Toda	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Malayalam	Tulu	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Malto	Manda	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Malto	Naiki	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Malto	Naikri	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Malto	Parji	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Malto	Pengo	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Malto	Tamil	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Malto	Telugu	1	1	0	0	1	0	1	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Malto	Toda	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Malto	Tulu	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Manda	Naiki	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Manda	Naikri	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Manda	Parji	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Manda	Pengo	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Manda	Tamil	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Manda	Telugu	1	1	0	0	1	0	1	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Manda	Toda	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Manda	Tulu	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Naiki	Naikri	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Naiki	Parji	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Naiki	Pengo	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Naiki	Tamil	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Naiki	Telugu	1	1	0	0	1	0	1	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Naiki	Toda	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Naiki	Tulu	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Naikri	Parji	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Naikri	Pengo	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Naikri	Tamil	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Naikri	Telugu	1	1	0	0	1	0	1	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Naikri	Toda	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Naikri	Tulu	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Parji	Pengo	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Parji	Tamil	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Parji	Telugu	1	1	0	0	1	0	1	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Parji	Toda	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Parji	Tulu	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Pengo	Tamil	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Pengo	Telugu	1	1	0	0	1	0	1	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Pengo	Toda	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Pengo	Tulu	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Tamil	Telugu	1	1	0	0	1	0	1	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Tamil	Toda	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Tamil	Tulu	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Telugu	Toda	1	1	0	1	0	0	1	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Telugu	Tulu	1	1	0	1	0	0	1	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nasal-quotative-morphology	Toda	Tulu	1	1	0	0	0	1	0	0/1	0.0	0	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Badaga	Brahui	41	2	0	0	0	2	0	0/2	0.0	39	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Badaga	Gadaba	41	6	0	0	0	6	0	0/6	0.0	35	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Badaga	Gondi	41	8	0	0	0	8	0	0/8	0.0	33	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Badaga	Kannada	41	12	0	0	0	12	0	0/12	0.0	29	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Badaga	Kodagu	41	5	0	0	0	5	0	0/5	0.0	36	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Badaga	Kolami	41	5	0	0	0	5	0	0/5	0.0	36	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Badaga	Konda	41	7	0	0	0	7	0	0/7	0.0	34	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Badaga	Koraga	41	2	0	0	0	2	0	0/2	0.0	39	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Badaga	Kota	41	9	0	0	0	9	0	0/9	0.0	32	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Badaga	Kui	41	3	0	0	1	2	0	0/3	0.0	38	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Badaga	Kurux	41	3	0	0	0	3	0	0/3	0.0	38	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Badaga	Kuwi	41	5	0	0	2	3	0	0/5	0.0	36	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Badaga	Malayalam	41	9	0	0	0	9	0	0/9	0.0	32	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Badaga	Malto	41	4	0	0	0	4	0	0/4	0.0	37	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Badaga	Manda	41	1	0	0	0	1	0	0/1	0.0	40	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Badaga	Naiki	41	3	0	0	0	3	0	0/3	0.0	38	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Badaga	Naikri	41	5	0	0	0	5	0	0/5	0.0	36	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Badaga	Parji	41	6	0	0	0	6	0	0/6	0.0	35	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Badaga	Pengo	41	5	0	0	2	3	0	0/5	0.0	36	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Badaga	Tamil	41	9	0	0	0	9	0	0/9	0.0	32	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Badaga	Telugu	41	9	0	0	0	9	0	0/9	0.0	32	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Badaga	Toda	41	7	0	0	0	7	0	0/7	0.0	34	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Badaga	Tulu	41	11	0	0	0	11	0	0/11	0.0	30	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Badaga	markodi	41	3	0	0	0	3	0	0/3	0.0	38	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Brahui	Gadaba	41	2	0	0	0	2	0	0/2	0.0	39	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Brahui	Gondi	41	3	0	0	0	3	0	0/3	0.0	38	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Brahui	Kannada	41	3	0	0	0	3	0	0/3	0.0	38	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Brahui	Kodagu	41	1	0	0	0	1	0	0/1	0.0	40	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Brahui	Kolami	41	1	0	0	0	1	0	0/1	0.0	40	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Brahui	Konda	41	3	0	0	0	3	0	0/3	0.0	38	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Brahui	Koraga	41	1	0	0	0	1	0	0/1	0.0	40	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Brahui	Kota	41	2	0	0	0	2	0	0/2	0.0	39	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Brahui	Kui	41	2	0	0	1	1	0	0/2	0.0	39	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Brahui	Kurux	41	1	0	0	0	1	0	0/1	0.0	40	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Brahui	Kuwi	41	2	0	0	1	1	0	0/2	0.0	39	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Brahui	Malayalam	41	3	0	0	0	3	0	0/3	0.0	38	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Brahui	Malto	41	1	0	0	0	1	0	0/1	0.0	40	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Brahui	Parji	41	2	0	0	0	2	0	0/2	0.0	39	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
primary	nonapical-or-uncertain-input	Brahui	Pengo	41	2	0	0	1	1	0	0/2	0.0	39	Mixed cells remain identifiable; D includes supported displacement-family histories. Shared outcome does not establish one inherited event.
