entry_id	family_id	concept	reconstruction	c1	v1	v1_quantity	c2	c2_structure	v2	structure	eligibility	input_confidence
d707	d707	sleep, recline, bend	*u/oṯ-a-nk-; shorter *u/oṯ-ak-	Ø	u/o	short	ṟ	singleton	a	VC-a-NK / VC-a-K	core	high
d708	d708	rope sling, suspend	*uṯ-i and strengthened *uṯ-C formations	Ø	u	short	ṟ	singleton/strengthened by formation	i	VC-i / VCC-i	core	medium
d709	d709	sip, suck, inhale	*uṯ-i; *uṯ-i-nc	zero	u	short	ṟ	singleton	i	VC-i / VC-i-NC	core	high for order/high-i core
d710	d710	be, happen, be fit, join	*uṯ-u; consonantal person/tense/voice derivatives	Ø	u	short	ṟ	singleton	u	VC-u / VC-C	core	high
d711	d711	increase, abundance	*uṯ-u; *uṯ-a/u-v derivatives	Ø	u	short	ṟ	singleton	u/a	VC-u / VC-V-v	core	high
d712	d712	think, care, heed	*uṯ-u; negative *uṯ-a-k/person endings	Ø	u	short	ṟ	singleton	u/a	VC-u / negative VC-a	core	high
d713	d713	jump, run away; squirrel	*uṯ-uk(k); *uṯ-tt-ay animal derivative	Ø	u	short	ṟ	singleton	u	VC-u-K / VC-tt-ay	core	high
d715	d715	suffer, be afflicted	*uṯ-u; velar/causative formations	zero	u	short	ṟ	singleton	u/unknown	VC-u / VC-V-K	core	high for root order; medium for exact Kui formation
d718	d718	roar, thunder, lament	*uṯ/ur-um; *u/oṟ-al; labial derivatives	Ø	u/o	short	ṟ/r	singleton	u/a	VC-u-m / VC-a-l / VC-pp	core	medium
d719	d719	throw, speed, force	*uṯ-u-b/v; *uṯ-a-v; nasal throwing derivative	Ø	u	short	ṟ	singleton	u/a	VC-u-b / VC-a-v / VC-m	core	medium
d721	d721	firm, steady, support	*u/oṯ-ay; consonantal support derivatives	Ø	u/o	short	ṟ	singleton	a/i	VC-ay / VC-C	core	high
d722	d722	pungent, acrid	*uṯ-ay; strengthened *uṯ-C-a	Ø	u	short	ṟ	singleton/strengthened-history-uncertain	a	VC-ay / VCC-a	core-formation-uncertain	medium
d723	d723	sheath, cover	*u/oṯ-ay	Ø	u/o	short	ṟ	singleton	a	VC-ay	core	high
d789	d789	long-bow	regional *eṛ-et/eth or *eṛt with anaptyxis	Ø	e	short initial vowel	ṛ	singleton or cluster input uncertain	e/zero	VCVC / VCC	northern-medial-reduction-comparison	high for initial order; low for medial e versus zero
d800	d800	fan, blow, wave	*e/iṟ-i-ñc; regional *er-sk	Ø	e/i	short	ṟ	singleton	i/unknown	VC-i-NC / VC-sk	core	medium for exact input; high regional order contrast
d809	d809	arrive, reach	*ey-t; regional *e/ik-pa	Ø	e/i	short	y	glide plus dental	zero	VC-T / V-K#P	nonapical-control	high for nonapical root and local Pengo boundary
d810	d810	wind, breeze	regional *er-al / *el-ar	Ø	e	short	r/l	singleton	a	VC-aC / compound#VC-aC	compound-process-separate	medium for regional vowel-first root; low for liquid order
d811	d811	burn, blaze, smart, pungency	*er-i; related high/low and long derivatives	zero	e	short	r	singleton	i/a/u	VC-i / VC-V-C / VVC	core	high for e-r core; low for Kui earlier vowel
d813	d813	manure, defecate	*er-u(k)/er-Vk; nasal velar extensions	Ø	e	short	r	singleton	u/unknown	VC-uK / VC-NK	core	high for order; medium for exact shared formation
d815	d815	bull, ox; consecrated bull compound	*er-ut / *er-t	Ø	e	short	r	singleton	u/zero	VC-uT / VCT	core	high for full order; uncertain pre-metathesis syncope
d816	d816	buffalo	*er-um-ay / regional *erm	Ø	e	short	r	singleton	u	VC-uM-ay / VCM	core	high
d817	d817	red/dark colour; wild dog	*er-Vc; related *er-om/*er-uv	Ø	e/i	short	r	singleton	i/u/unknown	VC-VC / VC-VM#dog	core	high for order; low for exact shared V2
d820	d820	black soil, clay	regional *er-e? + *kaṭṭ clod	Ø	e	short	r	singleton	unknown	VC-V#clod	core	medium for regional order; low for V2
d822	d822	worm, bait	*ir/er-ay; regional *eṟ-a	Ø	i/e	short	r/ṟ	singleton	a/ay	VC-ay	core	high for order and low-vowel root
d826	d826	branch, twig	regional *ir-k / *eŋk / *ekk; Telugu comparison queried	Ø	i/e	short	r/ŋ/kk	cluster/uncertain	unknown	VC-C / VCC	questionable-cognacy	low
d827	d827	chest, heart, courage	regional *ed-V; *erd-V alternative	Ø	e	short	d/rd?	singleton/cluster uncertain	a/unknown	VC-V / VCC-V	input-uncertain-control	medium for order; low for exact input
d829	d829	sunshine, shine	*el; *il-a-k/ŋk	Ø	e/i	short	l	singleton	zero/a	VC free root / VC-a-K/NC	core	high for root; medium for shared formation
d832	d832	joy, enliven	regional *el-ar / *el-ay	Ø	e	short	l	singleton	a	VC-ar / VC-ay	core	high regional order; medium inheritance
d833	d833	rat, mouse	*el-i; regional *el-i/u-k	Ø	e/i	short	l	singleton	i/u	VC-i / VC-iK	core	high
d835	d835	voice, noise, tune	regional *el-i/u-Nk / *il-i-Nk	Ø	e/i	short	l	singleton	i/u	VC-i/u-NK	core	high for order; medium for vowel grades
d837	d837	white ant, termite	regional *el-u-m/b; exact older vowel grades uncertain	Ø	e/a	short	l	singleton	u	VC-u-M/B	core	high for order; medium for exact shared vowels
d839	d839	bone	*el-u-mp / *el-u-ŋk; regional *el-mu-ka?	Ø	e	short	l	singleton	u	VC-u-MP / VC-u-NK	core	high full root; low for makkelu formation
d844	d844	all, whole; additive clitic	*ell-a(m), personal expansions	Ø	e	short	ll	geminate	a	VCC-a(m)	geminate-control	high
d845	d845	tomorrow, day after tomorrow	regional *ell-i/e	Ø	e	short	ll	geminate	i/e	VCC-V; compounds	geminate-control	high regional shape
d846	d846	boundary, limit	*ell-ay; Malayalam *el-u-k variant	Ø	e	short	ll/l	geminate main formation; singleton derivative	a/ay/u	VCC-ay / VC-uK	geminate-control	high by formation
d851	d851	rise, lift; awake, caution	*eẓ-u; *eẓ-c/ar, nasal/velar/labial extensions	Ø	e	short/long by formation	ẓ	singleton	u/a/unknown	VC-u / VC-C / VC-ar	core	high root order; low exact eastern V2
d856	d856	slight, weak, contemptible	*eḷ-i; *iḷ-a; strong *eḷḷ	Ø	e/i	short	ḷ	singleton/strong by formation	i/a/u	VC-i / VC-a / VCC	core	high root; medium exact Telugu formation
d857	d857	bear	*eḷ-V-ñc; regional *uḷ-iy-am and *el-uK	Ø	e/i/u	short	ḷ/l	singleton	unknown/i/u	VC-V-NC / VC-uK / VC-iy-am	core	high for order; medium for full root
d859	d859	throw, strike, shoot	*e/iṟ-i/u; long *ēṟ; labial extensions	Ø	e/i	short/long by formation	ṟ	singleton	i/u/a	VC-i / VC-C / VVC	core	high root order; low exact Telugu mm suffix
d860	d860	pull, drag, pluck	regional *ṟel / *er-i / *ar-i; deeper order uncertain	Ø/r	e/a	short	r/ṟ/l	singleton	i/unknown	VC-i versus CVC	lookalike-unresolved	low for common full input
d865	d865	red	*eṯ-V; *eṯ-a/*eṯ-up	Ø	e	short	ṟ/ṯ	singleton and strengthened formations	a/u	VC-a / VC-uP; strengthened VCC-a	core	high regional order; medium deeper cognacy
d868	d868	say, quotative; literary contracted grammatical forms	regional *an/en/in; proposed deeper *aHn; grammatical *an-an, *an-ā-baḍu etc.	Ø	a/e/i	short regional roots; long northern grade and grammatical contractions	n	nasal with tense-conditioned cluster variants	a/ā/u/zero	VC+infinitive/passive/negative morphology	nasal-grammatical-displacement	high for local an+suffix order; medium for phonetic mechanism
d869	d869	sunshine, dry in sun	*en-ṯ-V / *enṯ	Ø	e	short	nṯ	nasal-stop cluster	u/a	VNC-V	root-cluster-control	high for cluster
d910	d910	seven, seventy	short *eẓ-u-pat- tens versus long *ēẓ-u numeral	Ø	e	mixed by formation	ẓ	singleton	u/zero	VC-u + ten / VVC-u	core	high
d913	d913	song, metre; sing	regional *ēl/ēḷ; Malto el-	Ø	ē	long southern; northern uncertain	l/ḷ	singleton	e/a	VVC-V	long-input-control	medium
d914	d914	glean, gather, select	regional *ēṟ-	Ø	ē	long	ṟ	singleton	zero/u	VVC / VVC-C	long-input-control	high for regional long order
d915	d915	separate, winnow, sift	*ēṟ- / shorter extended *eṟ-l-; possible *cēṟ connection	Ø	ē/e	long and independently short extended forms	ṟ	singleton	zero/i/unknown	VVC-C / VC-l-is	long-short-formation-challenge	high for mixed quantity; low for immediate displaced input
d916	d916	rise, ascend, rouse; dawn; water-lift	*ēṟ / *ēl; displaced regional rē/lē derivatives; alternative *sal?	Ø	ē	long independently attested; immediate displaced input unresolved	ṟ/l	singleton	u/zero/unknown	VVC / VVC-V; disputed earlier short derivatives	long-input-challenge	high for comparative long root; low for immediate displaced derivative
d917	d917	male buffalo, bull, male animal	*ēṯ / *ēṟ-	Ø	ē	long	ṯ/ṟ	singleton	zero/u/an	VVC / VVC-V	long-input-control	high for southern long order
d919	d919	other, the rest	*ēn-ay?; Brahui ēlō	Ø	ē	long	n/l	singleton	ay/ō	VVC-V	long-nasal-cognacy-control	low for common root, high for attested order
d931	d931	carry in loads, cart	*ok-; transitive *ok-p-	Ø	o	short	k	nonapical velar	zero	VC-p	nonapical-kp-domain	high for velar-labial order
d944	d944	join, undertake; arise	regional *oṭ-ar / *oṭ-am	Ø	o	short	ṭ	singleton	a	VC-a-C	regional-formation-control	medium
d945	d945	with, together; agree, reconcile	*uṭ-an / *oṭ-an; compound *oṭam#paṭ-	Ø	u/o	short base with long grammatical variants	ṭ	singleton	a	VC-a-n # verb; grammatical suffix variants	compound-aphaeresis-comparison	high for full compound
d946	d946	break, burst; crack; defeat	*oṭ-i / *oṭ-ay; long *ōṭ variants	Ø	o/u	short and independently long formations	ṭ	singleton	i/ay	VC-V; long and strong nominal formations	mixed-quantity-formation-control	high for comparative short and long forms
d947	d947	lap, groin, waist	*oṭ/uṭ-V; varied extensions	Ø	o/u	short	ṭ	singleton	i/u/a/e	VC-V / VC-VC	core	high for order; medium for root-vowel quality
d949	d949	sling; brickbat	regional *oṭ-icil	Ø	o	short	ṭ	singleton	i	VC-i-CVC	core	high for full form
d950	d950	sore, bubo	*oṭ-u/i; regional *oṭ-is/uc-	Ø	o/u	short	ṭ	singleton	u/i/a	VC-V(C)	core	high for order
d954	d954	shrink, subdue, cease, leave	*oṭ-uŋ / *oṭ-ukk; regional *uṭ-uŋ/uk	Ø	o/u	short	ṭ	singleton	u	VC-u-NC / VC-u-CC	core-vowel-history-variable	high for order and u-formative; medium for immediate root-vowel quality
d958	d958	adhere, join, heap; smear	*oṭṭ- / *oṇṭ-; Central *oṭ-p-	Ø	o	short	ṭ	geminate/nasal cluster independently attested; Central formation uncertain	u/i/zero	VCC-V / VC-p	strong-cluster-control	high for strong SD I formation
d959	d959	oath, wager	regional *oṭṭ/oḍḍ; Indo-Aryan *hōḍḍa comparison	Ø	o	short	ṭ	geminate independently supported	u/a	VCC-V	strong-cluster-contact-control	high for strong regional form; inherited distribution uncertain
d962	d962	place, offer, extend; set net or snare	regional *oḍḍ-; Old Telugu oḍ-uk variant	Ø	o	short	ṭ	geminate with separate singleton extension	u	VCC-V / VC-u-C	strong-formation-contact-control	high for strong regional form; medium for full cognacy
d965	d965	bank, shore, slope	*oṭṭ / *oṇṭ-	Ø	o	short	ṭ	geminate/nasal cluster	u/i	VCC-V	strong-cluster-control	high for non-singleton regional input
d967	d967	clear, pure, beautiful; filter	regional *oṭ-V	Ø	o	short	ṭ	singleton	i/a/unknown	VC-V / VC-p	regional-formation-control	medium
d985	d985	slowly, gently; constantly	expressive *oll-/oyy- with adverbial material	Ø	o	short	ll/yy	geminate lateral/glide	a/e	VCC-V(n)	expressive-geminate-control	medium
d996	d996	sound, cry, weep	*ol-i/u; *ol-k; *ul-amp; long *ōl formations	Ø	o/u	short root and separately long formations	l	singleton	i/u/zero/a	VC-V / VC-k / VC-a-mp; long nouns	mixed-formation-cluster-loss-control	high for northern ol-k comparison
d1079	d1079	vomit, regurgitate	*kak; possible regional *kaẓ-k beside kak	k	a	short	k / possible ẓ	velar singleton/geminate; alternative apical+velar cluster	zero/u	CVC / possible CVC-C	input-uncertain-secondary-r-comparison	high for kak family; low for apical antiquity
d1123	d1123	calf, young cattle	*kaṭ-a-c / *kiṭ-a-v; regional apical+l formation	k	a/i	short	ṭ	singleton	a	CVC-a-C	mixed-vowel-regional-apical	Comparative order and exact formation confidence distinguished in support and exception notes
d1181	d1181	quickly, rapidly	regional *kaṇṇa; earlier r unknown	k	a	short	ṇṇ	geminate	a	CVNNV	secondary-r-input-unresolved	Comparative order and exact formation confidence distinguished in support and exception notes
d1235	d1235	bramble, thorn hedge	regional *kamp / *komp	k	a/o	short	mp	nasal-labial cluster	a/e	CVNC-V	secondary-r-compound-comparison	Comparative order and exact formation confidence distinguished in support and exception notes
d1278	d1278	black, scorch, burn	*kar-u; long *kār and consonantal/nasal derivatives	k	a	short and independent long grades	r	singleton	u/zero/unknown	CVC-V / CVC-NC / CVVC	core	Comparative order and exact formation confidence distinguished in support and exception notes
d1287	d1287	strong, abundant, excessive	*kar-u; Telugu consonantal/nasal derivative	k	a	short	r	singleton	u/zero/unknown	CVC-V / CVC-ND	core-formation-uncertain	Comparative order and exact formation confidence distinguished in support and exception notes
d1291	d1291	sound, call, ring	*kar-ay; *kar-NK and labial formations	k	a	short	r	singleton	a/zero/unknown	CVC-ay / CVC-NC	core	Comparative order and exact formation confidence distinguished in support and exception notes
d1292	d1292	melt, dissolve	*kar-a-NK; *kar-k; high-vowel derivatives	k	a	short	r	singleton	a/zero/i	CVC-a-NC / CVC-C	core	Comparative order and exact formation confidence distinguished in support and exception notes
d1347	d1347	bonduc nut, molucca bean	*kaẓ-aṟ/ñc; distinct from tuber *kiẓ-aŋk	k	a	short	ẓ	singleton	a	CVC-a-NC / CVC-a-CC	botanical-formation-uncertain	Comparative order and exact formation confidence distinguished in support and exception notes
d1349	d1349	loosen, slip off; move, shake	*kaẓ-al; *kaẓ-i; nasal-velar derivatives	k	a	short	ẓ	singleton	a/i	CVC-a-l / CVC-i / CVC-NK	core	Comparative order and exact formation confidence distinguished in support and exception notes
d1359	d1359	backwater, salt marsh; canal	*kaẓ-i; Telugu *kaẓ-y?	k	a	short	ẓ	singleton	i/zero	CVC-i / CVC-y	core-formation-uncertain	Comparative order and exact formation confidence distinguished in support and exception notes
d1368	d1368	full, spread, overflow	*kaẓ-um; consonantal *kaẓ-m/cc	k	a	short	ẓ	singleton	u/zero	CVC-u-m / CVC-C	core-formation-uncertain	Comparative order and exact formation confidence distinguished in support and exception notes
d1477	d1477	vomit, spit, hawk	*kār/ṟ/l; short Tulu *kar-āy derivative	k	ā/a	long root with independent short expanded Tulu formations	r/ṟ/l	singleton	zero/a/y	CVVC / CVC-a-y	quantity-and-formation-residual	Comparative order and exact formation confidence distinguished in support and exception notes
d1479	d1479	leg, foot, quarter	*kāl	k	ā	long	l	singleton	zero	CVVC free root	long-free-root-control	high
d1507	d1507	Indian beech, Pongamia	regional *kar-aŋ; tree compound *kar-aŋ#mar-an	k	a	short	r	singleton	a	CVC-a-NK	regional-botanical-input	Comparative order and exact formation confidence distinguished in support and exception notes
d1509	d1509	crowd, be dense	regional *kikkiṟ-i / *kikkaṟ-i	k	i	short	kk	geminate	i/a	CVCCVCV	secondary-r-or-reduplication	Comparative order and exact formation confidence distinguished in support and exception notes
d1574	d1574	cry, crow, make noise	*kil-a/ay; *kil-i and expressive extensions	k	i/e	short	l	singleton	a/i	CVC-a / CVC-i / CVC-C	core	high
d1580	d1580	curd, thick buttermilk	*ka/iẓ-al/ān	k	a/i	short	ẓ	singleton	a	CVC-a-l/n	regional-formation-uncertain	Comparative order and exact formation confidence distinguished in support and exception notes
d1594	d1594	small, young, grow lean	*kiṯ/ṟ-u/i/a; strong small compounds separate	k	i	short	ṟ	singleton	i/u/a	CVC-V; strong compounds	core-formation-uncertain	Comparative order and exact formation confidence distinguished in support and exception notes
d1595	d1595	whirl, be giddy, turn a mill	*kiṟ-u/i/a; expressive strong and reduplicated formations	k	i	short	ṟ	singleton and expressive geminate	u/i/a	CVC-V / CVC-C / reduplication	expressive-retention-control	medium
d1619	d1619	below, lower, east	short *kiẓ-nd / *kiẓ-V-kk versus long *kīẓ	k	i	mixed by formation	ẓ	singleton	zero/unknown	CVC-nd / CVC-V-kk / CVVC	core	high
d1680	d1680	eyeball, egg, round object	*kuṭ/guḍ; regional *gurḍ?	k/g	u	short	ṭ/ḍ	stop geminate or rhotic-stop cluster uncertain	u/zero	CVC / CVCC	input-uncertain-secondary-r-comparison	Comparative order and exact formation confidence distinguished in support and exception notes
d1767	d1767	bend, droop, sink low	*kur-aŋk; *kur-k; long grade *kūr	k	u	short and independent long grades	r	singleton	a/zero	CVC-a-NK / CVC-C	core	Comparative order and exact formation confidence distinguished in support and exception notes
d1769	d1769	monkey	*kur-aŋk; regional *kor-a-nt?	k	u/o	short	r	singleton	a	CVC-a-NK / CVC-a-NT	core-formation-and-contact-uncertain	Comparative order and exact formation confidence distinguished in support and exception notes
d1774	d1774	voice, throat; sing, recite	*kur-al; verb *kor-al-c	k	u/o	short	r	singleton	a	CVC-a-l-C	core	Comparative order and exact formation confidence distinguished in support and exception notes
d1778	d1778	shrivel, grow lean	*kur/kor-V; nasal/dental/velar derivatives	k	u/o	short	r	singleton	a/u/unknown	CVC-V-C	alternative-cognacy-control	Comparative order and exact formation confidence distinguished in support and exception notes
d1787	d1787	blind	*kur-uṭ-V; immediate *kur-ḍ-V	k	u	short	r	singleton	u	CVC-u-ṭV / CVC-ḍV	core	high
d1802	d1802	embrace tightly, seize	regional *guh?; Telugu earlier r unknown	g	u	short	h	singleton	unknown	CVC / complex predicate	unreconstructible-input-cluster-comparison	Comparative order and exact formation confidence distinguished in support and exception notes
d1818	d1818	pit, hollow, tube, dig	*ku/oẓ-i pit; *ku/oẓ-al/av tube; consonantal digging formations	k	u/o	short	ẓ	singleton	i/a/u	CVC-i / CVC-a-L / CVC-a-v / CVC-C	core	high
d1822	d1822	rot, become soft, decay	*kuẓ-ay; *kuẓ-l? and other derivatives	k	u/o	short	ẓ	singleton	a/zero	CVC-ay / CVC-C	core-formation-uncertain	Comparative order and exact formation confidence distinguished in support and exception notes
d1826	d1826	sink, submerge, set	regional *kruŋ/kru; precluster order unknown	k	unknown	unknown before regional cluster	r input position unknown	singleton	unknown	CCV(N)C	unreconstructible-input-cluster-comparison	Comparative order and exact formation confidence distinguished in support and exception notes
d1850	d1850	pound, strike with fist	*kuṯ-u / *kuṯ-ṯ; regional *gur-d	k/g	u	short	ṟ/ṯ	singleton and strong formations	u/zero	CVC-V / CVCC / CVC-C	core	Comparative order and exact formation confidence distinguished in support and exception notes
d1851	d1851	short, diminish	*kuṯ/ṟ-u/ay; strong and nasal derivatives	k	u/o	short	ṟ/ṯ	singleton and strong formations	u/a	CVC-V / CVNC / CVCC	alternative-cognacy-control	Comparative order and exact formation confidence distinguished in support and exception notes
d1853	d1853	gulp, swallow liquid	regional *guk/guh; no independent r	g	u	short	k/h	velar singleton/geminate	u/zero	CVC / CVCC	secondary-r-input-unresolved	Comparative order and exact formation confidence distinguished in support and exception notes
d1859	d1859	cut, reap, saw	*ku/oṯ-ay; high-vowel and consonantal cut derivatives	k	u/o	short	ṟ	singleton	a/u/zero	CVC-ay / CVC-u / CVC-C	core	high
d1861	d1861	pierce, insert, prick	*kuṯṯ; alternative weak *kuṯ-C	k	u	short	ṟ	geminate independently supported	zero/u	CVCC / CVC-C	strong-input-metathesis-uncertain	Comparative order and exact formation confidence distinguished in support and exception notes
d1898	d1898	sharp, pointed	*kūr; Telugu krūru possibly Sanskrit krūra	k	ū	long	r	singleton	zero/u	CVVC	long-input-secondary-r-uncertain	Comparative order and exact formation confidence distinguished in support and exception notes
d1906	d1906	paddy, grain	*kūl-i / *kūl-am	k	ū	long	l	singleton	i/a	CVVC-i / CVVC-am	long-vowel-control	high for regional long root; deeper borrowing uncertain
d1923	d1923	stuff, cram	*kūr/kuṟ; regional *kul-uk	k	ū/u	long and short independently different formations	r/ṟ/l	singleton	u/zero	CVVC / CVC-V-C	quantity-and-formation-residual	Comparative order and exact formation confidence distinguished in support and exception notes
d1959	d1959	scoop up	regional *ker-V; K80 proposes *ker-a	k	e	short	r	singleton	unknown	CVC-V + labial/palatal formation	core-formation-uncertain	medium
d1964	d1964	cough, clear throat	*ker/cer-um versus *kem/kom; exact root disputed	k/c	e/o	short	r/m	singleton	u/unknown	CVC-V-m / CVC	input-and-cognacy-uncertain	Comparative order and exact formation confidence distinguished in support and exception notes
d2008	d2008	side, flank, behind	regional *kēr/ker-i	k	ē/e	independent long and short forms	r	singleton	i/unknown	CVVC-i / CVC-i	quantity-and-formation-residual	Comparative order and exact formation confidence distinguished in support and exception notes
d2010	d2010	mock, deride	regional *kēr/kīr; extensions d/n/s	k	ē/ī	long independently established	r	singleton	unknown	CVVC-C	long-input-displacement-residual	Comparative order and exact formation confidence distinguished in support and exception notes
d2018	d2018	kindred, family, friend	short *ki/eḷ-ay and long *kēḷ; Kui nominal -mbu formation	k	i/e	mixed by formation	ḷ	singleton	a	CVC-ay / CVVC / CVC-a-mb	core	high
d2090	d2090	bastion, bulwark	regional *kottaḷ-am	k	o	short	tt	geminate	a	CVCCVC-VM	secondary-r-input-unresolved	Comparative order and exact formation confidence distinguished in support and exception notes
d2146	d2146	fat, become fat, proud	*koẓ-u; *koẓ-(u)-w / *koẓ-(u)-kk; long *kōẓ	k	o	short and independently long grade	ẓ	singleton	u/zero	CVC-u / CVC-w / CVC-K / CVVC	core	high
d2149	d2149	new, sprout, young; kinship derivatives	*koẓ-utt-V; short *koẓ-V and long *kōẓ formations	k	o	mixed by formation	ẓ	singleton	u/unknown	CVC-u-tt / CVC-V / CVVC	core	high
d2176	d2176	string, thread, arrange	*kō; *kō-r/v/p derivative series	k	ō	long	r/v/zero	singleton	zero/unknown	CVV / CVVC	long-input-derivative-r-uncertain	Comparative order and exact formation confidence distinguished in support and exception notes
d2233	d2233	drink, guzzle	*kōr/koḷ; eastern gronj formation	k	ō/o	long versus short strong formations	r/l	singleton versus geminate	u/zero/unknown	CVVC / CVCC	input-and-cognacy-uncertain	Comparative order and exact formation confidence distinguished in support and exception notes
d2237	d2237	stick, shaft, long	*kōl	k	ō	long	l	singleton	zero/a/u	CVVC / CVVC-V	core	high
d2247	d2247	ivy-gourd and related plant names	regional *kōv-ay	k	ō	long	v	singleton	a	CVVC-ay	botanical-cognacy-and-secondary-r-uncertain	Comparative order and exact formation confidence distinguished in support and exception notes
d2356	d2356	cord, rope, twine	*car-aṭ	c	a	short	r	singleton	a	CVC-a-Ṭ	core	Comparative order and exact formation confidence distinguished in support and exception notes
d2359	d2359	snake, cobra, krait	*car-a-(n)c(c)-; immediate Telugu *tar-a-ncc-	c/t	a	short	r	singleton	a	CVC-a-(N)CC	core	high for segment order; medium for exact common suffix
d2360	d2360	slip, slide, occur; decrease	*car-i/u; regional *sar-k / *jar-k	c/s/j	a	short	r	singleton	i/u/zero	CVC-V-C / CVC-C	core	Comparative order and exact formation confidence distinguished in support and exception notes
d2456	d2456	incline, side; disputed eastern descend	*cāy; alternative eastern *i/eṟ-a (d516)	c	ā	long in southern root; short under alternative eastern etymology	y	singleton	zero/a	CVVC / alternative VC-a	alternative-cognacy-control	high southern; low eastern cognacy
d2628	d2628	chironji tree and nut	*cir/cēr-V?; regional *ser/ sar-ēk	c/s	i/e/a	mixed, proto-quantity unresolved	r	singleton	e/unknown	CVC-V-K / CVVC	regional-contact-uncertain	medium for order; low for exact vowels/quantity
d2674	d2674	salt, brackish/astringent	*cup; *cow-ar/*cov-ar > *ow-ar	c/zero	u/o	short	p/w	singleton	a/zero	CVC / CVw-ar	nonapical-contraction-control	high for full low-a extension; exact vowel grades differ
d2687	d2687	shrink, shrivel, wrinkle	*cur-uŋk / *cur-kk; regional s/k initial correspondences	c/s	u	short	r	singleton	u/zero	CVC-u-NK / CVC-C	core	Comparative order and exact formation confidence distinguished in support and exception notes
d2698	d2698	whirl, roll, revolve	*cuẓ-i/a; initial-loss *uẓ-al and related formations	c/zero	u/o	short	ẓ	singleton	i/a	CVC-i / CVC-a-l / VC-a-l	conditional-displacement	high for uẓ-al order; medium for exact Telugu trajectory
d2883	d2883	flow, pour, drip; blood/drop	*cor/tar? regional *cur/tor with short and long grades; labial drop derivative	c/t	o/u	short and long grades	r	singleton	i/u/a / unknown	CVC-V / CVVC / CVC-m-p	brahui-displacement-comparison	high for full r order; conditional for exact drop stem
d2929	d2929	fire, blaze, live coal	*nir-/ner-; labial *nir/ner-upp and velar derivatives	n	i/e	short	r	singleton	u/unknown	CVC-u-PP / CVC-V / CVC-K	core	high for n-V-r; medium for exact vowels/formations
d2988	d2988	fall, lie down, die	*ḍol-/ḍul- (regional); relationship to ūḍu unresolved	ḍ	o/u	short	l	singleton	zero/u	CVC / CVC-C	lookalike-unresolved	medium; regional reconstruction, deeper source unresolved
d3014	d3014	remain, stay, be obtained	*taŋ-k / *tak-k	t	a	short	nonapical	singleton	u	CVNK / CVKK	nonapical-control	high
d3095	d3095	churn, produce fire by rubbing	*tar-i; *tar-c / *tar-V-c	t	a/e	short	r	singleton	i/zero/unknown	CVC-V / CVC-C	core-formation-uncertain	Comparative order and exact formation confidence distinguished in support and exception notes
d3115	d3115	fire, embers, fire pit	*taẓ; *taẓ-m / *taẓ-al	t	a	short	ẓ	singleton	zero/a	CVC-C / CVC-a-l	core-formation-uncertain	Comparative order and exact formation confidence distinguished in support and exception notes
d3119	d3119	sprout, flourish	*taẓ-a / *teẓ; derivative with k	t	a/e	short	ẓ	singleton	a/i/unknown	CVC-V-k	brahui-displacement-comparison	high for order, low for exact displaced formative
d3122	d3122	dig, excavate, scratch	regional *taẓ/taṛ; labial and palatal derivatives	t	a	short and long independently attested grades	ẓ	singleton	zero/unknown	CVC-C	core	Comparative order and exact formation confidence distinguished in support and exception notes
d3158	d3158	dance, jump, leap	*tā-ṇṭ-	t	a	long	ṇṭ	nasal-stop cluster	u	CVV-NP	long-nasal-cluster-control	medium
d3174	d3174	drink, swallow	regional *tār-g; earlier short formation unverified	t	ā	long in full comparanda; pre-Telugu quantity unresolved	r	singleton	zero/unknown	CVVC-C	quantity-and-contact-residual	Comparative order and exact formation confidence distinguished in support and exception notes
d3192	d3192	wither, become lean	*tāṟ; short *taṟ-al/agu and consonantal derivatives	t	ā/a	long root and independent short derivatives	ṟ	singleton	a/u/zero	CVVC / CVC-V-C	quantity-and-formation-residual	Comparative order and exact formation confidence distinguished in support and exception notes
d3195	d3195	sift, winnow	*taṟ- / *tāṟ-; proposed Brahui *tar-añc-	t	a	short and long independent grades	ṟ	singleton	i / unknown formative	CVC-V / CVVC / CVC-NC	brahui-displacement-comparison	high for root order, conditional for exact displaced formative
d3244	d3244	wrinkle, wither, be dried up	*tir-aŋ/k; *tir-ay	t	i	short	r	singleton	a	CVC-a-NC / CVC-a-kk / CVC-ay	brahui-displacement-comparison	high for i-r-a in southern strong stem; medium for exact Brahui identity
d3246	d3246	turn, return, twist, wander	*tir-i/u; *tir-u-pp; *tir-u-kk; nasal and low-a derivatives	t	i	short	r	singleton	i/u/a	CVC-u-K / CVC-u-PP / CVC-u-KK / CVC-V-NK	core	high for matched high-vowel formations; medium for eastern low-a input
d3259	d3259	open	*ti/eṯ-a; velar, labial and palatal extensions	t	i/e	short	ṟ	singleton	a	CVC-a / CVC-a-C	core	high
d3305	d3305	cut into pieces, fragment	*tuṇ-i/u; long *tūṇ formation	t	u/ū	short and long formations	ṇ	nasal	i/u	CVC-V / CVVC	alternative-cognacy-control	Comparative order and exact formation confidence distinguished in support and exception notes
d3339	d3339	bore, pierce, scrape	*tur-a/u/i; nasal/velar derivatives	t	u	short	r	singleton	a/u/i	CVC-V-C	alternative-cognacy-control	Comparative order and exact formation confidence distinguished in support and exception notes
