Partition	Family_ID	Entry_IDs	Language_ID	Raw_Language_IDs	Outcome_State	Has_D	Has_R	Has_O	Has_A	Has_B	Attested	Reviewed	Has_Unreviewed_Attested_Member	N_Database_Records	N_Unique_Cited_Form_IDs	Evidence_IDs	Evidence_Forms
primary	d851	d851	Muduga		missing	0	0	0	0	0	0	0	0	0	0		
primary	d851	d851	Muthuvan		missing	0	0	0	0	0	0	0	0	0	0		
primary	d851	d851	Naiki		missing	0	0	0	0	0	0	0	0	0	0		
primary	d851	d851	Naikri		missing	0	0	0	0	0	0	0	0	0	0		
primary	d851	d851	Paliya		missing	0	0	0	0	0	0	0	0	0	0		
primary	d851	d851	PaluKurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d851	d851	Parji	Parji	other-no-DR	0	0	1	0	0	1	1	0	2	2	f_mwvodj7spfv4q;f_viitd7gpcwszs	ecip- (ecit-);eñ
primary	d851	d851	Pengo		missing	0	0	0	0	0	0	0	0	0	0		
primary	d851	d851	Sholaga		missing	0	0	0	0	0	0	0	0	0	0		
primary	d851	d851	Tamil	Tamil	R-bearing-no-D	0	1	1	0	0	1	1	0	22	19	f_2r5y7qq7ta3wc;f_56vzcwmubz5ko;f_6i7shsoq7eybg;f_6rs62dfkgmz64;f_7a6fhvigouuta;f_a5koqlhu6avzs;f_akrlbpxyttzgw;f_azqfbqky6qurm;f_e3e7qp5akkavq;f_glfsgfqxfr462;f_hoymhxbedzs5q;f_iaxnvtyxceb22;f_kz4mamnnzzw4k;f_mz6ad6ugf2jcc;f_p4373c7nzclvg;f_qjm5px27ld2iw;f_r4klhcu6oxy5g;f_tdnbcgceqijl2;f_wwwtdylwfrzku	eccarikkai;eccarippu;empu;evvu;eṛ̆al;eṛ̆u;eṛ̆ucci;eṛ̆umai;eṛ̆umpu (eṛ̆umpi-) = eṛ̆u;eṛ̆uppam;eṛ̆uppu;eṛ̆uvu;eṭai;eṭci;eṭu;eṭuppu;iṭai;ēṭci
primary	d851	d851	Telugu	Telugu	other-no-DR	0	0	1	0	0	1	1	0	9	9	f_7rjidnatoi4c4;f_aq2lf5k4xbusg;f_egnclykr2jd76;f_gkwedpefaea6s;f_nqywbs5ufmess;f_otpabqvkwlcsc;f_tnvngmsw3p4om;f_x5zej7kz3q5yq;f_yvlxkeaibql5w	ecarincu;eccaramu;eccarika;eccarikincu;eccarincu;eccarinta;heccarika;heccarikincu = eccarincu;heccarincu
primary	d851	d851	Toda	Toda	R-bearing-no-D	0	1	0	0	0	1	1	0	11	9	f_3kb45duxvi6zw;f_6jtnnkdtoxhq2;f_74lqerrbkpuya;f_czylfki6wmgq6;f_do6ijlnzujbzo;f_j2yc6uaxply3a;f_m762dlos64rfm;f_qbp7jspyajls4;f_vw47gqjrowcxg	øḍ-;øḍ- (øḍQ-);øḍθ-;øṛf-;øṛf- (øṛt-);øṛt-;øṛt- (øṛty-);øṛty-
primary	d851	d851	Tulu	Tulu	R-bearing-no-D	0	1	1	1	0	1	1	0	15	15	f_2pdqkclkoivbo;f_4bjy3sp6uslqc;f_57j62kurzryja;f_af7lcqgvrbric;f_fd4ilrfkzyvbi;f_fnrygjms2qzus;f_hc2vmfigotvfu;f_iqzmusos2pelo;f_kjlzqpnwmoeh4;f_lbjkbo24kmk5u;f_megd66ta3bcoo;f_ovdtbtgi73vmo;f_r6txnvddpzt5i;f_wir57lth5blnu;f_yybhpurkrinro	eccarike;eccaripuni;eccarisuni;erka;erke;erkelɯ;erkuni;erkāvuni;erkɯ;erpuni;ertɛ;eñci;eḷañci;leñci;ēñc̣ɯ
primary	d851	d851	Urali		missing	0	0	0	0	0	0	0	0	0	0		
primary	d851	d851	markodi		missing	0	0	0	0	0	0	0	0	0	0		
primary	d859	d859	AluKurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d859	d859	Badaga	Badaga	R-bearing-no-D	0	1	0	0	0	1	1	0	3	3	f_5xps4426pvlg4;f_7wmgzpl6c4oou;f_aaapys7jgsoxi	iri;mandēru;ēru
primary	d859	d859	Belari		missing	0	0	0	0	0	0	0	0	0	0		
primary	d859	d859	BettaKurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d859	d859	Brahui		missing	0	0	0	0	0	0	0	0	0	0		
primary	d859	d859	Eravallan		missing	0	0	0	0	0	0	0	0	0	0		
primary	d859	d859	Gadaba	Gadaba	R-bearing-no-D	0	1	0	0	0	1	1	0	1	1	f_xrmsebdtxxxxa	ey- (eṭṭ-)
primary	d859	d859	Gondi	Gondi	mixed	1	1	0	0	0	1	1	0	4	4	f_etqztfspep5mi;f_otexexel6e7wk;f_tcth6g4g5qxpg;f_yni6o5mhaf7ru	ertānā;rē;rēh;ērīstānā
primary	d859	d859	Irula		missing	0	0	0	0	0	0	0	0	0	0		
primary	d859	d859	Kadar		missing	0	0	0	0	0	0	0	0	0	0		
primary	d859	d859	Kannada	Kannada	R-bearing-no-D	0	1	0	1	0	1	1	0	14	14	f_3f3jr2bwjpi6c;f_736qg74j7edcc;f_anaetg2utjpg6;f_aswkbidph6gnc;f_fg63epn6rqkem;f_g5lywqvtzbfzw;f_irzpbkaoke344;f_jfnniohlsahfm;f_kgrtcqav2tzgo;f_ljqwlq7irsvgi;f_rb2exemvcw3a2;f_ycuemb63mfysi;f_z3nf3mifqro2y;f_zcfd4u4qr47ea	ettu;eṭṭu;iṟa;iṟaku;iṟata;iṟi;iṟi (iṟid-);iṟike;iṟipu;iṟita;iṟu;ēṟu;ēṭu;ṟeppu
primary	d859	d859	Kodagu		missing	0	0	0	0	0	0	0	0	0	0		
primary	d859	d859	Kolami		missing	0	0	0	0	0	0	0	0	0	0		
primary	d859	d859	Konda	Konda	R-bearing-no-D	0	1	0	0	0	1	1	0	3	3	f_jvomiaakp3usy;f_p5uhkbjhezjxk;f_zjw5qowh6okje	eR- (-t-);iṟ- (iRt-);iṟga
primary	d859	d859	Koraga		missing	0	0	0	0	0	0	0	0	0	0		
primary	d859	d859	Kota	Kota	R-bearing-no-D	0	1	0	0	0	1	1	0	10	10	f_3tmgb27n6tlum;f_5xxvx5ujadxkg;f_foqtr2o6me7mw;f_ii3ikr3x4ymfi;f_kjhtw2fvcmz4u;f_ptwqm3rkszz2k;f_qm7dnhq2dmivs;f_roof5x5b42zy2;f_thrp6ecbbo3uq;f_zoxwncqo44w22	erc-;et- (ety-);eyr-;eyr- (erc-);eyrl;e·r pa·ṛ;e·rp;e·rp pa·ṛ
primary	d859	d859	Kudiya		missing	0	0	0	0	0	0	0	0	0	0		
primary	d859	d859	Kui	Kui	uncertain-no-DR	0	0	0	1	0	1	1	0	1	1	f_fagiavp6euxmy	ibga
primary	d859	d859	Kurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d859	d859	Kurux		missing	0	0	0	0	0	0	0	0	0	0		
primary	d859	d859	Kuwi	Kuwi	R-bearing-no-D	0	1	0	0	0	1	1	0	3	3	f_5q7skzq365kqk;f_bgeozrca73ej6;f_nxsb2ev7mej4i	ir- (-h-);irh'nai;iskali
primary	d859	d859	MalaMalasar		missing	0	0	0	0	0	0	0	0	0	0		
primary	d859	d859	MalaPulaya		missing	0	0	0	0	0	0	0	0	0	0		
primary	d859	d859	Malasar		missing	0	0	0	0	0	0	0	0	0	0		
primary	d859	d859	Malayalam	Malayalam	R-bearing-no-D	0	1	0	0	0	1	1	0	6	6	f_cavy4umyygzd6;f_dsscdkedexflq;f_eanyjtrg2dl74;f_lrkuiqctftrhi;f_nongy5la4zc3w;f_q2pvp7hwpj7n4	eṟi;eṟikka;eṟiyuka;eṟṟu;eṟṟuka;ēṟu
primary	d859	d859	Malto		missing	0	0	0	0	0	0	0	0	0	0		
primary	d859	d859	Manda		missing	0	0	0	0	0	0	0	0	0	0		
primary	d859	d859	Mannan		missing	0	0	0	0	0	0	0	0	0	0		
primary	d859	d859	Muduga		missing	0	0	0	0	0	0	0	0	0	0		
primary	d859	d859	Muthuvan		missing	0	0	0	0	0	0	0	0	0	0		
primary	d859	d859	Naiki		missing	0	0	0	0	0	0	0	0	0	0		
primary	d859	d859	Naikri		missing	0	0	0	0	0	0	0	0	0	0		
primary	d859	d859	Paliya		missing	0	0	0	0	0	0	0	0	0	0		
primary	d859	d859	PaluKurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d859	d859	Parji		missing	0	0	0	0	0	0	0	0	0	0		
primary	d859	d859	Pengo	Pengo	R-bearing-no-D	0	1	0	0	0	1	1	0	1	1	f_j7xztt4fzqfzg	ec- (ecc-)
primary	d859	d859	Sholaga		missing	0	0	0	0	0	0	0	0	0	0		
primary	d859	d859	Tamil	Tamil	R-bearing-no-D	0	1	0	0	0	1	1	0	5	5	f_3j22d53k5yufg;f_hkfa6qrfpwm6m;f_j7webmfbajvsm;f_p7lljntmge2po;f_tpr2jqgyjn344	eṟi;eṟiva;eṟṟu;iṟu;ēṟu
primary	d859	d859	Telugu	Telugu	mixed	1	1	0	0	0	1	1	0	2	2	f_dznjbpz2ftx6m;f_zdun4kuo43iac	ēṭu;ṟimmu
primary	d859	d859	Toda	Toda	R-bearing-no-D	0	1	0	0	0	1	1	0	13	9	f_4m5oughy5dfhc;f_55aukowo47rvk;f_6wfqf6hbalnie;f_cznryt2bdimes;f_jbucwongmntbo;f_nxrhbevvlrduq;f_whuha3t6pajtu;f_wl7mgysf6r4ts;f_zzwlpkz3hia5i	eṟy (eṟs-);i·ṟk;iṟ-;iṟ- (iṟQ-);iṟθ-;īṟk;ɨṟ
primary	d859	d859	Tulu	Tulu	R-bearing-no-D	0	1	0	0	0	1	1	0	2	2	f_oondf6esktjm6;f_uaspzrn5vuape	eṭṭakuṭṭa;eṭṭuni
primary	d859	d859	Urali		missing	0	0	0	0	0	0	0	0	0	0		
primary	d859	d859	markodi		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	AluKurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	Badaga		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	Belari		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	BettaKurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	Brahui		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	Eravallan		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	Gadaba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	Gondi	Gondi	R-bearing-no-D	0	1	0	0	0	1	1	0	9	9	f_b4zlqzi5ulo5m;f_i75fug536tcaw;f_kgaiadwlprd3q;f_pyi62xzrlzy5e;f_qmlfu4qvup4mm;f_rao7tbijlroxe;f_styrupscie7lm;f_ysayztmqu5um2;f_zk7lraxwzysrs	ari sota;arri;arri tatānā;arri vara;arrī;arrītānā;arītānā;aṛ vay;erī
primary	d860	d860	Irula		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	Kadar		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	Kannada		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	Kodagu		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	Kolami		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	Konda	Konda	uncertain-no-DR	0	0	0	1	0	1	1	0	1	1	f_5lajjon2jiubw	ṟel- (ṟen-, ṟeR-)
primary	d860	d860	Koraga		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	Kota		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	Kudiya		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	Kui	Kui	uncertain-no-DR	0	0	0	1	0	1	1	0	1	1	f_faxtzv23rhipe	jelba (jes-)
primary	d860	d860	Kurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	Kurux		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	Kuwi	Kuwi	uncertain-no-DR	0	0	0	1	0	1	1	0	4	4	f_6x6yickr42kzg;f_bztn5dvgpzlms;f_cosweofs7dmwk;f_yvwdjb77jwyoq	re'- (recc-);rejali (rec-);rejja-koḍḍinai;rennai
primary	d860	d860	MalaMalasar		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	MalaPulaya		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	Malasar		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	Malayalam		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	Malto		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	Manda		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	Mannan		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	Muduga		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	Muthuvan		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	Naiki		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	Naikri		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	Paliya		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	PaluKurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	Parji		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	Pengo	Pengo	uncertain-no-DR	0	0	0	1	0	1	1	0	1	1	f_3libcbuzabh34	jel- (-t-)
primary	d860	d860	Sholaga		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	Tamil		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	Telugu	Telugu	uncertain-no-DR	0	0	0	1	0	1	1	0	1	1	f_ls7uxhxv6rjgy	remmu
primary	d860	d860	Toda		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	Tulu		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	Urali		missing	0	0	0	0	0	0	0	0	0	0		
primary	d860	d860	markodi		missing	0	0	0	0	0	0	0	0	0	0		
primary	d916	d916	AluKurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d916	d916	Badaga	Badaga	R-bearing-no-D	0	1	0	0	0	1	1	0	14	1	f_y25s76tu3btlq	ēru
primary	d916	d916	Belari		missing	0	0	0	0	0	0	0	0	0	0		
primary	d916	d916	BettaKurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d916	d916	Brahui	Brahui	uncertain-no-DR	0	0	0	1	0	1	1	0	2	2	f_atve4tn2b76uw;f_smv3nw55mhscu	saling;salīng
primary	d916	d916	Eravallan		missing	0	0	0	0	0	0	0	0	0	0		
primary	d916	d916	Gadaba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d916	d916	Gondi	Gondi	uncertain-no-DR	0	0	0	1	0	1	1	0	3	3	f_i23v6ube7wcnq;f_q7qpeoqspzhpy;f_veiwrowzipphm	ah;eh;ehī
primary	d916	d916	Irula		missing	0	0	0	0	0	0	0	0	0	0		
primary	d916	d916	Kadar		missing	0	0	0	0	0	0	0	0	0	0		
primary	d916	d916	Kannada	Kannada	R-bearing-no-D	0	1	0	1	0	1	1	0	8	8	f_3bc5wa32izgas;f_4ci2jtnyexdqw;f_5hn2mxb6j3vqo;f_7oguhwehvg5ls;f_7pbpbcei4go5m;f_aihj5dczb3mmm;f_ehaqacedq5ppi;f_pok2q7u7qfc5a	rēgu;ēta;ēṟi;ēṟike;ēṟisu;ēṟu;ēṟuta;ēṟuvike
primary	d916	d916	Kodagu	Kodagu	R-bearing-no-D	0	1	0	0	0	1	1	0	2	2	f_565hbxcz33vam;f_skyrg7ug7hu5g	ə·r- (ə·ri-);ə·ra
primary	d916	d916	Kolami	Kolami	uncertain-no-DR	0	0	0	1	0	1	1	0	2	2	f_2i2ccoabrswmy;f_eswdd5jivd2wu	les;le·p- (le·pt-)
primary	d916	d916	Konda	Konda	mixed	1	1	0	0	0	1	1	0	1	4	f_3o3sco6gvxt5o;research:d916-konda-le;research:d916-konda-ledu;research:d916-konda-leˀ e	le;ledu;leˀ e;ēṟasi
primary	d916	d916	Koraga		missing	0	0	0	0	0	0	0	0	0	0		
primary	d916	d916	Kota	Kota	R-bearing-no-D	0	1	0	0	0	1	1	0	18	13	f_2tfxgpfxr3li2;f_4si7m6f72cybo;f_czngsvprnpmc4;f_dasgfl2pvd3bm;f_gehkbuuk3h6ze;f_izm3dpoaajw56;f_jaxxwx6q3u7xa;f_nz7qbano2by6g;f_qp6pwqnsjifpw;f_tfqlzmfwjckky;f_uhlpu5ei5taks;f_xkr4nn35g36pe;f_yxjnivtowt23q	e·r;e·r- (e·ry-);e·re·r;e·rr;e·ṯ- (e·c);e·ṯl;ēr;ēr-;ēric- (ēric);ēry-
primary	d916	d916	Kudiya		missing	0	0	0	0	0	0	0	0	0	0		
primary	d916	d916	Kui		missing	0	0	0	0	0	0	0	0	0	0		
primary	d916	d916	Kurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d916	d916	Kurux		missing	0	0	0	0	0	0	0	0	0	0		
primary	d916	d916	Kuwi	Kuwi	R-bearing-no-D	0	1	0	1	0	1	1	0	2	2	f_goghudrtjphfi;f_wgtrvu2may6xm	eski;re'nai
primary	d916	d916	MalaMalasar		missing	0	0	0	0	0	0	0	0	0	0		
primary	d916	d916	MalaPulaya		missing	0	0	0	0	0	0	0	0	0	0		
primary	d916	d916	Malasar		missing	0	0	0	0	0	0	0	0	0	0		
primary	d916	d916	Malayalam	Malayalam	R-bearing-no-D	0	1	0	0	0	1	1	0	7	7	f_lispf7vcp5pvq;f_pexwipncxlbt4;f_qyp3fmzhdaffw;f_s5kxvr7lfxnwu;f_s7vsy47qvkwze;f_tv3fzjwme5hio;f_ynbczjgx5n4qw	ēlkka (ēṟṟ-);ēttam;ēṟa;ēṟuka;ēṟṟam;ēṟṟu;ēṟṟuka
primary	d916	d916	Malto		missing	0	0	0	0	0	0	0	0	0	0		
primary	d916	d916	Manda		missing	0	0	0	0	0	0	0	0	0	0		
primary	d916	d916	Mannan		missing	0	0	0	0	0	0	0	0	0	0		
primary	d916	d916	Muduga		missing	0	0	0	0	0	0	0	0	0	0		
primary	d916	d916	Muthuvan		missing	0	0	0	0	0	0	0	0	0	0		
primary	d916	d916	Naiki		missing	0	0	0	0	0	0	0	0	0	0		
primary	d916	d916	Naikri	Naikri	uncertain-no-DR	0	0	0	1	0	1	1	0	1	1	f_np7cy2zgi2up4	lēp
primary	d916	d916	Paliya		missing	0	0	0	0	0	0	0	0	0	0		
primary	d916	d916	PaluKurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	d916	d916	Parji		missing	0	0	0	0	0	0	0	0	0	0		
primary	d916	d916	Pengo		missing	0	0	0	0	0	0	0	0	0	0		
primary	d916	d916	Sholaga		missing	0	0	0	0	0	0	0	0	0	0		
primary	d916	d916	Tamil	Tamil	R-bearing-no-D	0	1	0	0	0	1	1	0	5	5	f_7vwlytzhk4qfw;f_icsul2alwfzmu;f_lusfwqacvwdny;f_mratkvhm5e6vq;f_puxbiklnyvmdy	ēl;ēṟa;ēṟu;ēṟṟam;ēṟṟu
primary	d916	d916	Telugu	Telugu	mixed	1	1	0	0	0	1	1	0	20	20	f_2pjmnnrox3nfk;f_2tnoo4ekxypqm;f_2u3chk5rvh43g;f_36squrnip3p46;f_4z7e5kgnsa7ho;f_6e7ukd7i6lqai;f_6gev4pdv53yss;f_7otr2veenx2hk;f_anw4oeo63rfsc;f_bwlfcspusojv4;f_e6gtfwej36beg;f_ewviqpkdz5byi;f_iy2sbhpiday2w;f_mp32mfnh3wmpu;f_mrdkd3ujogedg;f_mtlzjhocq34lm;f_muksojtyrs4si;f_qiwnhy2wm4n4q;f_vcs55ypq2pz6y;f_wkvdrkbmthw4k	ettam;lēcu;lēpu;reccu;rēgu;rēpakaḍa;rēpu;rēvu;rēyu;rē̃cu;rē̃gu;rē̃pu;ātam;āṭakarra;āṭamānu;ētamu;ētām;ēṭavālu;ṟēpu;ṟē̃cu
primary	d916	d916	Toda	Toda	R-bearing-no-D	0	1	0	0	0	1	1	0	14	11	f_byb57sjdpgi7q;f_emzm4randmeww;f_fs74xo72sy4p4;f_gw3ubj76nzsos;f_hnziejgiaf52e;f_hvge4m5ntqpac;f_ijxbojur544zs;f_oxejujaopkz3q;f_q4b5tida7nowm;f_rqvty3gvatjja;f_yoweb7gmm4op4	eṯ-;eṯ- (eṯy-);eṯy-;ø·ł (ø·ṯ-);ø·ṟ- (ø·ṟy-);ø·ṟc- (ø·ṟč-);ø̄ɫ (ø̄ṯ-);ø̄ṟ-;ø̄ṟc-;ø̄ṟy-
primary	d916	d916	Tulu	Tulu	R-bearing-no-D	0	1	0	1	0	1	1	0	6	6	f_44q4a54hlgj4k;f_apjr4qyybf4zg;f_e67t4t5pympxa;f_hbq7guezd5yrm;f_pejh66g3p3r2s;f_xm6n3jcx7hopk	erkɯ;ertɛ;rēgiyuni;yāta;ēruni;ērāvuni
primary	d916	d916	Urali		missing	0	0	0	0	0	0	0	0	0	0		
primary	d916	d916	markodi		missing	0	0	0	0	0	0	0	0	0	0		
primary	deictic-a-i	d1;d410	AluKurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	deictic-a-i	d1;d410	Badaga	Badaga	not-reviewed	0	0	0	0	0	1	0	1	144	0		
primary	deictic-a-i	d1;d410	Belari		missing	0	0	0	0	0	0	0	0	0	0		
primary	deictic-a-i	d1;d410	BettaKurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	deictic-a-i	d1;d410	Brahui	Brahui	not-reviewed	0	0	0	0	0	1	0	1	27	0		
primary	deictic-a-i	d1;d410	Eravallan		missing	0	0	0	0	0	0	0	0	0	0		
primary	deictic-a-i	d1;d410	Gadaba	Gadaba	not-reviewed	0	0	0	0	0	1	0	1	19	0		
primary	deictic-a-i	d1;d410	Gondi	Gondi	R-bearing-no-D	0	1	0	0	0	1	1	1	151	19	f_5qtzfekxhn4i6;f_7cur72ysj57n6;f_7kp5eninplhpo;f_dpkctf4x6afus;f_gtu73z6d4pny2;f_hmkeflwd2ba3y;f_penj5ezg4d2yu;f_plc73buaoes6g;f_sidrn5wsum4wg;f_sir4e2mdnadpo;f_vtgmzeq3vszdi;f_wsr6dqhi2gr5q;f_x6khz5sfoovw2;f_xsa3ztzkt63lk;f_yfcx5vf5l4if4;f_ylj6hsezrc3nm;f_yt2nkc6ni7tve;f_zpygrehgn4yo4;f_zpzkffrhhdopu	ad;av;had;hav;ōl ( ōn-);ōnḍu;ōr;ōṛ
primary	deictic-a-i	d1;d410	Irula		missing	0	0	0	0	0	0	0	0	0	0		
primary	deictic-a-i	d1;d410	Kadar		missing	0	0	0	0	0	0	0	0	0	0		
primary	deictic-a-i	d1;d410	Kannada	Kannada	R-bearing-no-D	0	1	0	0	0	1	1	0	122	10	f_2aove362rp2xa;f_3jlgv4zjvd7oo;f_evpjakh5naxae;f_gpin5c76f5zow;f_jtxjbjtl5qqo4;f_mwfp2ioultbc2;f_n25uvlwfx4wqg;f_pf6dyzlzrrupe;f_vbzthaq5svgpe;f_y3gu6lzhwrhtk	adu;ava;avar;avaḷ;avu;idu;iva;ivar;ivaḷ;ivu
primary	deictic-a-i	d1;d410	Kodagu	Kodagu	not-reviewed	0	0	0	0	0	1	0	1	57	0		
primary	deictic-a-i	d1;d410	Kolami	Kolami	not-reviewed	0	0	0	0	0	1	0	1	58	0		
primary	deictic-a-i	d1;d410	Konda	Konda	mixed	1	1	0	0	0	1	1	0	67	22	f_2lficsxbpaoia;f_5474wqo3vz5do;f_czrw7q6szggf4;f_dvao5uitzswmu;f_pxvj2pcizlkso;f_ta5dlw2u2eqjs;f_te32vhvjr4cgu;f_tmzirybmdjv6q;f_uhkavl2k7t5cq;f_ur5367h4tyafm;f_w2ub3fua4spha;f_wtj5rtjvv5hjy;f_y3t5pjhyucsco;f_ybx6k2yy4psu2;research:d1-Konda-paradigm-adi;research:d1-Konda-paradigm-avi;research:d1-Konda-paradigm-dani-;research:d1-Konda-paradigm-vanka-;research:d410-Konda-paradigm-deni-;research:d410-Konda-paradigm-idi;research:d410-Konda-paradigm-ivi;research:d410-Konda-paradigm-venka-	abe;abeṇi;adi;avi;bān ( abeṇ-/bāṇ-);bāṇi;bēn ( ibeṇ-/bēṇ-);bēṇi;dani-;deni-;ibe;ibeṇi;idi;ivi;vanka-;venka-;vānṟu ( vani-);vār ( vari-);vāru ( vari-);vēnṟu ( veni-);vēr ( veri-);vēru ( veri-)
primary	deictic-a-i	d1;d410	Koraga		missing	0	0	0	0	0	0	0	0	0	0		
primary	deictic-a-i	d1;d410	Kota	Kota	not-reviewed	0	0	0	0	0	1	0	1	105	0		
primary	deictic-a-i	d1;d410	Kudiya		missing	0	0	0	0	0	0	0	0	0	0		
primary	deictic-a-i	d1;d410	Kui	Kui	R-bearing-no-D	0	1	0	0	0	1	1	1	33	5	f_4cyyxqmdfutne;f_5um2yurmmsw5s;f_ao2bhjvvj74sq;f_g6xbhp3jbibeq;f_sj3mm25am5iqg	aanju;aaru;āmba;āri;āvi
primary	deictic-a-i	d1;d410	Kurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	deictic-a-i	d1;d410	Kurux	Kurux	not-reviewed	0	0	0	0	0	1	0	1	50	0		
primary	deictic-a-i	d1;d410	Kuwi	Kuwi	R-bearing-no-D	0	1	0	0	0	1	1	1	41	5	f_b3tr66jivhbs2;f_e7kl6zriajccm;f_lcqy7bhc7djta;f_nkpq4z4o255qm;f_picstfoyqyqbm	amba;āari;āasi;āati;ādi
primary	deictic-a-i	d1;d410	MalaMalasar		missing	0	0	0	0	0	0	0	0	0	0		
primary	deictic-a-i	d1;d410	MalaPulaya		missing	0	0	0	0	0	0	0	0	0	0		
primary	deictic-a-i	d1;d410	Malasar		missing	0	0	0	0	0	0	0	0	0	0		
primary	deictic-a-i	d1;d410	Malayalam	Malayalam	R-bearing-no-D	0	1	0	0	0	1	1	0	52	10	f_2l7s2x7shv4ry;f_5b7x4nc5vc3n6;f_a5lh6yeceg7nq;f_fwkhn5554jona;f_jarpjhaa3qjbm;f_k7tnq5n723xh6;f_wbukrguiqjxt6;f_xgzo2swhl4gfy;f_ygk4hm3nsqq3w;f_zcrz6sdtzr2ze	atu;ava;avan;avar;avaḷ;itu;iva;ivar;ivaḷ;ivaṇ
primary	deictic-a-i	d1;d410	Malto	Malto	not-reviewed	0	0	0	0	0	1	0	1	39	0		
primary	deictic-a-i	d1;d410	Manda	Manda	R-bearing-no-D	0	1	0	0	0	1	1	0	9	4	f_cvqnqrx67gons;f_h3heyyxmnyo5s;f_lg7ozapg4ljwo;f_wjdjvyfn3gqno	idel;idi;ivan;ība
primary	deictic-a-i	d1;d410	Mannan		missing	0	0	0	0	0	0	0	0	0	0		
primary	deictic-a-i	d1;d410	Muduga		missing	0	0	0	0	0	0	0	0	0	0		
primary	deictic-a-i	d1;d410	Muthuvan		missing	0	0	0	0	0	0	0	0	0	0		
primary	deictic-a-i	d1;d410	Naiki	Naiki	not-reviewed	0	0	0	0	0	1	0	1	30	0		
primary	deictic-a-i	d1;d410	Naikri	Naikri	not-reviewed	0	0	0	0	0	1	0	1	40	0		
primary	deictic-a-i	d1;d410	Paliya		missing	0	0	0	0	0	0	0	0	0	0		
primary	deictic-a-i	d1;d410	PaluKurumba		missing	0	0	0	0	0	0	0	0	0	0		
primary	deictic-a-i	d1;d410	Parji	Parji	not-reviewed	0	0	0	0	0	1	0	1	38	0		
