ID	Language_ID	Form	Gloss	Native	Phonemic	Original	Cognateset	Description	Tags	Source	Etymology	Redirect	Status	Research_Group	DEDR_ID	Accepted_Root_ID	Immediate_Parent_ID	Immediate_Kind	Borrowed_In_Path	Clade	Is_Dravidian	Candidate_Flags	Database_Language_ID	Research_Correction	Record_Origin	Linked_Database_IDs	Annotation_Entry_ID	Annotation_Family_ID	Individually_Cited_Evidence	Observed_Token_Outcome	Language_Review_Status
f_4exzu6be3lyks	Kolami	deŋg- (deŋkt-)	to have sexual intercourse with			deŋg- (deŋkt-)	0:			dedr				d507	d507	d507	d507	reflex	0	C. Dravidian	1		Kolami		database	f_4exzu6be3lyks	d507	d507	1	A	A
f_a4pra6p27iclu	Kannada	deŋgu	sexual union			deṅgu	0:			dedr				d507	d507	d507	d507	reflex	0	S. Dravidian I	1		Kannada		database	f_a4pra6p27iclu	d507	d507	1	A	A
f_cbdqbaxmcnibo	Kota	iṛ- (iṭy-)	to have sexual intercourse with			iṛ- (iṭy-)	0:			dedr				d507	d507	d507	d507	reflex	0	S. Dravidian I	1	short-vowel-apical	Kota		database	f_cbdqbaxmcnibo	d507	d507	1	R	R
f_cgyet5axzh2ry	Kannada	eḷasu	to desire, long for, take pleasure in			eḷasu	0:			dedr				d507	d507	d507	d507	reflex	0	S. Dravidian I	1	short-vowel-apical	Kannada		database	f_cgyet5axzh2ry	d507	d507	1	R	A
f_oelnayv77kwtc	Tamil	iṛ̆ai	to associate very intimately, have tender emotions (as in love), be together (as husband and wife), copulate (as snakes)			ir̤ai (-v-, -nt-)	0:	(-v-, -nt-)	verb Tamil-class-2 weak	dedr				d507	d507	d507	d507	reflex	0	S. Dravidian I	1	short-vowel-apical	Tamil		database	f_oelnayv77kwtc	d507	d507	1	R	R
f_vd2trzdv2whqq	Telugu	dẽgu	to copulate with			dẽgu	0:	K.		dedr;K-Telugu				d507	d507	d507	d507	reflex	0	S. Dravidian II	1		Telugu		database	f_vd2trzdv2whqq	d507	d507	1	A	A
f_ykzrarbllejvy	PDr	*deŋ-	to desire, long for; to copulate with; to have sexual intercourse			deŋ-				merriam2026dravidiandb[record 533, DEDR 507]	Upstream reconstruction attribution: Merriam, 2025.			d507	d507	d507	d507	variant	0	Old Dravidian	1		PDr		database	f_ykzrarbllejvy	d507	d507	0	not-individually-adjudicated	not-reviewed
d508	PDr	iṛ̆ayuka							not-reconstructed	dedr[entry 508, DED(S) 431];dedr			entry	d508	d508	d508			0	Old Dravidian	1	short-vowel-apical	PDr		database	d508	d508	d508	0	not-individually-adjudicated	not-reviewed
f_6aedfbkfdzymu	Malayalam	iṛ̆accal	creeping			ir̤accal	0:			dedr				d508	d508	d508	d508	reflex	0	S. Dravidian I	1	short-vowel-apical	Malayalam		database	f_6aedfbkfdzymu	d508	d508	1	R	O
f_7fy35hgo3ovgw	Malayalam	iṛ̆ayuka	to trail, creep, crawl (as infants)			ir̤ayuka	0:			dedr				d508	d508	d508	d508	reflex	0	S. Dravidian I	1	short-vowel-apical	Malayalam		database	f_7fy35hgo3ovgw	d508	d508	1	R	O
f_biiimpomgh2ii	Malayalam	ēyuka	to creep			ēyuka	0:			dedr				d508	d508	d508	d508	reflex	0	S. Dravidian I	1		Malayalam		database	f_biiimpomgh2ii	d508	d508	1	O	O
f_eo2qdb2ne2mw6	Telugu	dē̃kuru	to creep or slide along the ground on the posteriors. DED(S) 431			dē̃kuru	0:			dedr				d508	d508	d508	d508	reflex	0	S. Dravidian II	1		Telugu		database	f_eo2qdb2ne2mw6	d508	d508	1	A	A
f_l4gd6s6rihmea	Telugu	dē̃ku	to creep or slide along the ground on the posteriors. DED(S) 431			dē̃ku	0:			dedr				d508	d508	d508	d508	reflex	0	S. Dravidian II	1		Telugu		database	f_l4gd6s6rihmea	d508	d508	1	A	A
f_mkqgs7per3mpi	Telugu	ḍē̃ku	to creep or slide along the ground on the posteriors. DED(S) 431			ḍē̃ku	0:	K. also		dedr;K-Telugu;K-also-Telugu				d508	d508	d508	d508	reflex	0	S. Dravidian II	1		Telugu		database	f_mkqgs7per3mpi	d508	d508	1	A	A
f_xh5qxegjrjhac	PSTDr	*iẓayuka	to trail, creep, crawl (as infants); to creep or slide along the ground on the posteriors			iẓayuka				merriam2026dravidiandb[record 534, DEDR 508]	Upstream reconstruction attribution: Merriam, 2025.			d508	d508	d508	d508	reflex	0	Old Dravidian	1	short-vowel-apical	PSTDr		database	f_xh5qxegjrjhac	d508	d508	0	not-individually-adjudicated	not-reviewed
f_zfp2bhtp7j45m	Malayalam	iṛ̆a-jāti	reptiles			ir̤a-jāti	0:			dedr				d508	d508	d508	d508	reflex	0	S. Dravidian I	1	short-vowel-apical	Malayalam		database	f_zfp2bhtp7j45m	d508	d508	0	not-individually-adjudicated	O
d512	PDr	iḷai							not-reconstructed	dedr[entry 512, DED(S, N) 435];dedr			entry	d512	d512	d512			0	Old Dravidian	1	short-vowel-apical	PDr		database	d512	d512	d512	0	not-individually-adjudicated	not-reviewed
f_354khabh6bir4	Tamil	iḷaittavaṉ	poor man, weak man			iḷaittavaṉ	0:			dedr				d512	d512	d512	d512	reflex	0	S. Dravidian I	1	short-vowel-apical	Tamil		database	f_354khabh6bir4	d512	d512	0	not-individually-adjudicated	R
f_6gfntkikxgys4	Malayalam	iḷappu	id., lassitude			iḷappu	0:			dedr				d512	d512	d512	d512	reflex	0	S. Dravidian I	1	short-vowel-apical	Malayalam		database	f_6gfntkikxgys4	d512	d512	1	R	R
f_7t4urocn2ee2y	Tamil	iḷai	to grow weary, be fatigued, get exhausted, become worn out, be emaciated, fail before a foe, lag behind a rival, become impoverished, reach the stage of diminishing returns (as land), grow weak and lacking in fruitfulness (as trees), fade or lose vigour (as a plant)			iḷai (-pp-, -tt-)	0:	(-pp-, -tt-)	verb Tamil-class-6 strong	dedr				d512	d512	d512	d512	reflex	0	S. Dravidian I	1	short-vowel-apical	Tamil		database	f_7t4urocn2ee2y	d512	d512	1	R	R
f_ahpkbkgbvljgi	Tamil	eḷi	to become feeble, low-spirited			eḷi (-v-, -nt-)	0:	(-v-, -nt-)	verb Tamil-class-2 weak	dedr				d512	d512	d512	d512	reflex	0	S. Dravidian I	1	short-vowel-apical	Tamil		database	f_ahpkbkgbvljgi	d512	d512	1	R	R
f_jydov4chl2hqe	Malayalam	īḷikkuka	to be emaciated, grow lean or thin			īḷikkuka	0:			dedr				d512	d512	d512	d512	reflex	0	S. Dravidian I	1	long-vowel-apical-control	Malayalam		database	f_jydov4chl2hqe	d512	d512	1	R	R
f_kyuvorz7vzpcq	Telugu	ēlanna	weariness. DED(S, N) 435			ēlanna	0:			dedr				d512	d512	d512	d512	reflex	0	S. Dravidian II	1	long-vowel-apical-control	Telugu		database	f_kyuvorz7vzpcq	d512	d512	1	R	R
f_mqiub7tofv3tw	Malayalam	iḷaccal	weariness			iḷaccal	0:			dedr				d512	d512	d512	d512	reflex	0	S. Dravidian I	1	short-vowel-apical	Malayalam		database	f_mqiub7tofv3tw	d512	d512	1	R	R
f_npn2hporml2m2	Badaga	heḷa	weak or 4419			heḷa			adj uncertain	hockings-pilotraichoor1992[p. 610, col. 1]	Hockings and Pilot-Raichoor cite DEDR 512			d512	d512	d512	d512	reflex	0	S. Dravidian I	1	short-vowel-apical	Badaga		database	f_npn2hporml2m2	d512	d512	1	A	A
f_q2qgoeld4ikia	Tamil	iḷakkam	weariness, faintness			iḷakkam	0:			dedr				d512	d512	d512	d512	reflex	0	S. Dravidian I	1	short-vowel-apical	Tamil		database	f_q2qgoeld4ikia	d512	d512	0	not-individually-adjudicated	R
f_rqi7p5uiem64a	Tamil	iḷaku	to grow weary, become tired, fade away (euphemism = die), perish			iḷaku (iḷaki-)	0:	(iḷaki-)	verb Tamil-class-3 weak	dedr				d512	d512	d512	d512	reflex	0	S. Dravidian I	1	short-vowel-apical	Tamil		database	f_rqi7p5uiem64a	d512	d512	1	R	R
f_ss6chthh3boqa	Tamil	iḷaippu	weariness, fatigue, lassitude, affliction, distress			iḷaippu	0:			dedr				d512	d512	d512	d512	reflex	0	S. Dravidian I	1	short-vowel-apical	Tamil		database	f_ss6chthh3boqa	d512	d512	1	R	R
f_v24tisr7h45me	Tamil	ciḷai	to be wearied, tired			ciḷai (-pp-, -tt-)	0:	(-pp-, -tt-)	verb Tamil-class-6 strong	dedr				d512	d512	d512	d512	reflex	0	S. Dravidian I	1	short-vowel-apical	Tamil		database	f_v24tisr7h45me	d512	d512	0	not-individually-adjudicated	R
f_v55ch72ecka2a	Malayalam	iḷaykkuka	to be fatigued, get exhausted, grow lean			iḷaykkuka	0:			dedr				d512	d512	d512	d512	reflex	0	S. Dravidian I	1	short-vowel-apical	Malayalam		database	f_v55ch72ecka2a	d512	d512	1	R	R
f_wi622dkpx47qi	PSTDr	*Iḷ-ai-	weary, tired; weariness			Iḷ-ai-				merriam2026dravidiandb[record 538, DEDR 512]	Upstream reconstruction attribution: Merriam, 2025.			d512	d512	d512	d512	reflex	0	Old Dravidian	1	short-vowel-apical	PSTDr		database	f_wi622dkpx47qi	d512	d512	0	not-individually-adjudicated	not-reviewed
f_wjf4u5a5k24is	Kannada	iḷidu	the state of wasting away, diminishing, decay			iḷidu	0:			dedr				d512	d512	d512	d512	reflex	0	S. Dravidian I	1	short-vowel-apical	Kannada		database	f_wjf4u5a5k24is	d512	d512	1	R	R
f_wtwy3wk6efgpa	Malayalam	iḷusan	a loafer			iḷusan	0:	Tiyya; source label: Tiyya	dialect:Malayalam:tiyya:Thiyya	dedr;Tiyya-Mal;burrow-emeneau1972den1[p. 400, entry 435]	DEN I (1972) records this reflex under old main 435; resolved to current DEDR d512.			d512	d512	d512	d512	reflex	0	S. Dravidian I	1	short-vowel-apical	Malayalam		database	f_wtwy3wk6efgpa	d512	d512	0	not-individually-adjudicated	R
d513	PDr	*eḷ-V-	; young, tender							dedr[entry 513, DED(S, N) 436, DED(S) 248];merriam2026dravidiandb[record 6065, DEDR 513];krishnamurti			entry	d513	d513	d513			0	Old Dravidian	1	short-vowel-apical;postapical-cluster	PDr		database	d513	d513	d513	0	not-individually-adjudicated	not-reviewed
f_2kpmlrlocxz4c	Kannada	eḷaku	young age			eḷaku	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian I	1	short-vowel-apical	Kannada		database	f_2kpmlrlocxz4c	d513	d513	0	not-individually-adjudicated	R
f_3jgm363stbzri	Malayalam	iḷa-nīr	unripe coconut			iḷa-nīr	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian I	1	short-vowel-apical	Malayalam		database	f_3jgm363stbzri	d513	d513	0	not-individually-adjudicated	R
f_3yljxru5w3mms	Tamil	iḷaiyaṉ	younger brother			iḷaiyaṉ	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian I	1	short-vowel-apical	Tamil		database	f_3yljxru5w3mms	d513	d513	1	R	R
f_4fgjamgrfvuss	Toda	eḷ	(1) tipcat (game, the small stick hit in the game)			eḷ			noun	bhaskararao-toda2025[p. 13, entry 17]	Bhaskararao and Kobayashi cite DEDR 513			d513	d513	d513	d513	reflex	0	S. Dravidian I	1	short-vowel-apical	Toda		database	f_4fgjamgrfvuss	d513	d513	1	R	R
f_4gqrkfhsf7gas	Tulu	eḷe	tender, green, not fully grown			eḷe	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian I	1	short-vowel-apical	Tulu		database	f_4gqrkfhsf7gas	d513	d513	1	R	A
f_4t2liwibfr4zy	Konda	lēŋa	calf			lēŋa	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian II	1		Konda		database	f_4t2liwibfr4zy	d513	d513	1	D	A
f_4xrs7vfz3i2im	Gondi	leyōṇḍu	young man			leyōṇḍu	0:	KoT.		dedr				d513	d513	d513	d513	reflex	0	S. Dravidian II	1	nonapical-control	Gondi		database	f_4xrs7vfz3i2im	d513	d513	1	D	D
f_56yb7x5ebz5nm	PDr	*iḷa				*iḷa(ṅ)(k)-	0:			southworth2005m				d513	d513	d513	d513	variant	0	Old Dravidian	1	short-vowel-apical	PDr		database	f_56yb7x5ebz5nm	d513	d513	0	not-individually-adjudicated	not-reviewed
f_5acjxas55yfwu	Kuwi	rā'a	young woman, virgin			rā'a	0:	F.		dedr;F-Kuwi				d513	d513	d513	d513	reflex	0	S. Dravidian II	1		Kuwi		database	f_5acjxas55yfwu	d513	d513	1	A	A
f_5cfnj2eapbg6e	Naikri	lēŋga	id			lēŋga	0:			dedr				d513	d513	d513	d513	reflex	0	C. Dravidian	1		Naikri		database	f_5cfnj2eapbg6e	d513	d513	1	B	B
f_5uslnslta2kdw	Toda	eḷk	time of youth, young tree (also eḷkmeːn); young, tender			eḷk			noun adj	bhaskararao-toda2025[p. 13, entry 23];bhaskararao-toda-notes[p. 15]	Bhaskararao and Kobayashi cite DEDR 513			d513	d513	d513	d513	reflex	0	S. Dravidian I	1	short-vowel-apical;postapical-cluster	Toda		database	f_5uslnslta2kdw	d513	d513	1	R	R
f_5zxakfbvupahq	Gondi	ledāḍi	young woman			ledāḍi	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian II	1	nonapical-control	Gondi		database	f_5zxakfbvupahq	d513	d513	0	not-individually-adjudicated	D
f_6nslexqvw7lz6	Tamil	iḷaitu	that which is young and not fully developed			iḷaitu	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian I	1	short-vowel-apical	Tamil		database	f_6nslexqvw7lz6	d513	d513	0	not-individually-adjudicated	R
f_6u5h5vx3uq25m	Malayalam	iḷa	tender, young, weak			iḷa	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian I	1	short-vowel-apical	Malayalam		database	f_6u5h5vx3uq25m	d513	d513	1	R	R
f_6xvok7zn5gbls	Tamil	iḷai	young, tender			iḷai	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian I	1	short-vowel-apical	Tamil		database	f_6xvok7zn5gbls	d513	d513	1	R	R
f_72th6h7flqpme	Kannada	eḷatu	that is tender, young			eḷatu	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian I	1	short-vowel-apical	Kannada		database	f_72th6h7flqpme	d513	d513	1	R	R
f_7fovllgpns4t2	Kuwi	ṛa'a ( -sika)	young woman			ṛa'a ( -sika)	0:	Ḍ.	pl	dedr;Ḍ-Kuwi				d513	d513	d513	d513	reflex	0	S. Dravidian II	1		Kuwi		database	f_7fovllgpns4t2	d513	d513	1	A	A
f_7kxivks57dpzg	Kannada	eḷa	tenderness, youth, weakness, moderation			eḷa	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian I	1	short-vowel-apical	Kannada		database	f_7kxivks57dpzg	d513	d513	1	R	R
f_7srjntgy4laeu	Kannada	eḷa-nīr	water of an unripe coconut			eḷa-nīr	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian I	1	short-vowel-apical	Kannada		database	f_7srjntgy4laeu	d513	d513	0	not-individually-adjudicated	R
f_7y2te5whrlmew	Malayalam	iḷappam	state of being young, juvenility, tenderness			iḷappam	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian I	1	short-vowel-apical	Malayalam		database	f_7y2te5whrlmew	d513	d513	0	not-individually-adjudicated	R
f_a2ufm5egrqsyk	Kannada	eḷ	tenderness, youth, weakness, moderation			eḷ	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian I	1	short-vowel-apical	Kannada		database	f_a2ufm5egrqsyk	d513	d513	0	not-individually-adjudicated	R
f_a64vayiytb3ak	Kui	lāvenju	grown-up boy, young man, youth			lāvenju	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian II	1		Kui		database	f_a64vayiytb3ak	d513	d513	1	A	A
f_ad74cwzcembck	Telugu	ela-nāga	damsel (cf. 3634 Ta.nāku); eḍatender, young			ela-nāga	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian II	1	short-vowel-apical	Telugu		database	f_ad74cwzcembck	d513	d513	0	not-individually-adjudicated	M
f_aeoptsmgwi7no	Tamil	iḷacu	that which is young or tender			iḷacu	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian I	1	short-vowel-apical	Tamil		database	f_aeoptsmgwi7no	d513	d513	0	not-individually-adjudicated	R
f_b4so56gob6tfi	Gondi	lehmī	youth (<i>Voc.</i> 3125); youth			lehmī	0:	SR.; source label: SR	dialect:Gondi:adil:Adilabad	dedr;SR-Gondi;burrow-emeneau1972den1[p. 400, entry 436]	DEN I (1972) records this reflex under old main 436; resolved to current DEDR d513.			d513	d513	d513	d513	reflex	0	S. Dravidian II	1	nonapical-control	Gondi		database	f_b4so56gob6tfi	d513	d513	0	not-individually-adjudicated	D
f_byb3yxzsrgbcc	Parji	ile ( ilecil)	young woman, girl			ile ( ilecil)	0:		pl	dedr				d513	d513	d513	d513	reflex	0	C. Dravidian	1	short-vowel-apical	Parji		database	f_byb3yxzsrgbcc	d513	d513	1	R	R
f_c4xkafciil7q2	Kannada	eḷetana	tenderness, youth			eḷetana	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian I	1	short-vowel-apical	Kannada		database	f_c4xkafciil7q2	d513	d513	0	not-individually-adjudicated	R
f_cdajkuy44ogpi	Tamil	iḷaiñaṉ	younger brother, lad, young man			iḷaiñaṉ	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian I	1	short-vowel-apical	Tamil		database	f_cdajkuy44ogpi	d513	d513	0	not-individually-adjudicated	R
f_cynboa5yz472u	PDr	*eḷ-V	young, tender			*eḷ-V-	0:			krishnamurti				d513	d513	d513	d513	variant	0	Old Dravidian	1	short-vowel-apical;postapical-cluster	PDr		database	f_cynboa5yz472u	d513	d513	0	not-individually-adjudicated	not-reviewed
f_czft6rxhgiyig	Tamil	iḷam	young, tender			iḷam	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian I	1	short-vowel-apical	Tamil		database	f_czft6rxhgiyig	d513	d513	1	R	R
f_d5kcw6hrz2qbi	Telugu	nelãta	woman			nelãta	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian II	1	short-vowel-apical;postapical-cluster	Telugu		database	f_d5kcw6hrz2qbi	d513	d513	1	A	M
f_d5mcgigawl5qe	Naikri	lēta	young (of infants)			lēta	0:			dedr				d513	d513	d513	d513	reflex	0	C. Dravidian	1		Naikri		database	f_d5mcgigawl5qe	d513	d513	1	B	B
f_dn7okddclbzhs	Toda	eḷk	time of youth			eḷk	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian I	1	short-vowel-apical;postapical-cluster	Toda		database	f_dn7okddclbzhs	d513	d513	1	R	R
f_dw27pndfvtn2k	PDr	*iḷaŋ				*iḷa(ṅ)(k)-	0:			southworth2005m				d513	d513	d513	f_56yb7x5ebz5nm	variant	0	Old Dravidian	1	short-vowel-apical	PDr		database	f_dw27pndfvtn2k	d513	d513	0	not-individually-adjudicated	not-reviewed
f_e6qkgtul43m5k	Gondi	raiyōl ( raiyōṛ)	adult boy			raiyōl ( raiyōṛ)	0:	Tr.	pl dialect:Gondi:betul:Betul	dedr;Tr-Gondi				d513	d513	d513	d513	reflex	0	S. Dravidian II	1		Gondi		database	f_e6qkgtul43m5k	d513	d513	1	D	D
f_ejrg7mghib4h6	Telugu	ela	young, tender, delicate, slight, gentle			ela	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian II	1	short-vowel-apical	Telugu		database	f_ejrg7mghib4h6	d513	d513	1	R	M
f_eomfwchzznwbq	Gondi	raiyā	young			raiyā	0:		f	dedr				d513	d513	d513	d513	reflex	0	S. Dravidian II	1		Gondi		database	f_eomfwchzznwbq	d513	d513	0	not-individually-adjudicated	D
f_epnkzlas6c34q	Tulu	lambɛ	a tender fruit			lambè	0:			dedr;burrow-emeneau1972den1[p. 400, entry 436]	DEN I (1972) records this derived under old main 436; resolved to current DEDR d513.			d513	d513	d513	d513	reflex	0	S. Dravidian I	1	nonapical-control	Tulu		database	f_epnkzlas6c34q	d513	d513	1	A	A
f_f6pl5xhyp2ovq	M	lek	child			lek			loanword marked borrowing	southworth2005m[p. 9, table 1, row 24]	Southworth classifies this item as Drav. (SD2/CD). Immediate source forms: Te lēka; Nk lēṅga. Proto-form: PSD2 < PD *lenk- < *iḷa(ṅ)(k)- (DEDR 513). Old Marathi attestation: the Marathi lexical item, approximately 1290.			d513	d513	d513	d513	borrowed	1	Marathi-Konkani	0	nonapical-control	M		database	f_f6pl5xhyp2ovq	d513	d513	0	not-individually-adjudicated	not-reviewed
f_fiihrkxxiyzvs	Malayalam	iḷayavan	young, younger			iḷayavan	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian I	1	short-vowel-apical	Malayalam		database	f_fiihrkxxiyzvs	d513	d513	1	R	R
f_frbadph33ipzy	Tamil	iḷaiyavaṉ	younger person, lad, youth, younger brother			iḷaiyavaṉ	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian I	1	short-vowel-apical	Tamil		database	f_frbadph33ipzy	d513	d513	0	not-individually-adjudicated	R
f_gfmhouvqqotxo	Konda	lēta	tender (&lt; Te.)			lēta	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian II	1		Konda		database	f_gfmhouvqqotxo	d513	d513	1	B	A
f_gsk7lfwg3tlte	Tamil	iḷaiyar	youths, young men, servants			iḷaiyar	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian I	1	short-vowel-apical	Tamil		database	f_gsk7lfwg3tlte	d513	d513	0	not-individually-adjudicated	R
f_h55dqkqddalhw	Telugu	lē̃ga	a sucking or young calf			lē̃ga	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian II	1		Telugu		database	f_h55dqkqddalhw	d513	d513	1	D	M
f_hnf6zy5zjg6su	PDr	*īḷ-[aj-]	young; young, tender, light, delicate, soft; young woman; calf; brother			īḷ-[aj-]				merriam2026dravidiandb[record 539, DEDR 513];starostin2006dravidian	Upstream reconstruction attribution: Starostin, 2006–2013.			d513	d513	d513	d513	variant	0	Old Dravidian	1	long-vowel-apical-control	PDr		database	f_hnf6zy5zjg6su	d513	d513	0	not-individually-adjudicated	not-reviewed
f_ht6uh3jcevo3c	Kannada	eḷadu	that is tender, young			eḷadu	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian I	1	short-vowel-apical	Kannada		database	f_ht6uh3jcevo3c	d513	d513	1	R	R
f_hvbl6q7rtshlk	Kuwi	liddi	soft			liddi	0:	F. S.		dedr;F-Kuwi;S-Kuwi				d513	d513	d513	d513	reflex	0	S. Dravidian II	1	nonapical-control	Kuwi		database	f_hvbl6q7rtshlk	d513	d513	1	A	A
f_hw22a5a5ksahe	Kuwi	lāa	virgin			lāa	0:	S.		dedr;S-Kuwi				d513	d513	d513	d513	reflex	0	S. Dravidian II	1		Kuwi		database	f_hw22a5a5ksahe	d513	d513	1	A	A
f_iidp2lwtlxkrw	Telugu	lē̃ta	young, tender, light, delicate, soft			lē̃ta	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian II	1		Telugu		database	f_iidp2lwtlxkrw	d513	d513	1	D	M
f_jml4l7pw64toa	Kota	eḷ	time of youth; young			eḷ	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian I	1	short-vowel-apical	Kota		database	f_jml4l7pw64toa	d513	d513	1	R	R
f_jnrgmkfzquuvq	Gondi	leyā	id			leyā	0:		f	dedr				d513	d513	d513	d513	reflex	0	S. Dravidian II	1	nonapical-control	Gondi		database	f_jnrgmkfzquuvq	d513	d513	0	not-individually-adjudicated	D
f_joc6gagu7atqe	Tulu	lambu	tender			lambu	0:			dedr;burrow-emeneau1972den1[p. 400, entry 436]	DEN I (1972) records this reflex under old main 436; resolved to current DEDR d513.			d513	d513	d513	d513	reflex	0	S. Dravidian I	1	nonapical-control	Tulu		database	f_joc6gagu7atqe	d513	d513	1	A	A
f_kgoxco2l2iede	Kannada	eḷe	tenderness, youth, weakness, moderation			eḷe	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian I	1	short-vowel-apical	Kannada		database	f_kgoxco2l2iede	d513	d513	1	R	R
f_kjlaopfa4uvp6	PDr	*ēl-V-	cardamom			*ēl-V-				merriam2026dravidiandb[record 6071, DEDR 513];krishnamurti	Upstream reconstruction attribution: Krishnamurti, 2003.			d513	d513	d513	d513	variant	0	Old Dravidian	1	long-vowel-apical-control	PDr		database	f_kjlaopfa4uvp6	d513	d513	0	not-individually-adjudicated	not-reviewed
f_kkuenhortc4ke	Tamil	iḷaiyāṉ	younger brother			iḷaiyāṉ	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian I	1	short-vowel-apical	Tamil		database	f_kkuenhortc4ke	d513	d513	0	not-individually-adjudicated	R
f_l7f76uvqh5mtc	Tamil	iḷa-nir	tender coconut milk, tender coconut			iḷa-nir	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian I	1	short-vowel-apical	Tamil		database	f_l7f76uvqh5mtc	d513	d513	0	not-individually-adjudicated	R
f_ms3to6llrx7w6	Gondi	raiyā	boy			raiyā	0:		f	dedr				d513	d513	d513	d513	reflex	0	S. Dravidian II	1		Gondi		database	f_ms3to6llrx7w6	d513	d513	0	not-individually-adjudicated	D
f_nebyir4p4sv3w	PDr	*iḷaŋk				*iḷa(ṅ)(k)-	0:			southworth2005m				d513	d513	d513	f_56yb7x5ebz5nm	variant	0	Old Dravidian	1	short-vowel-apical	PDr		database	f_nebyir4p4sv3w	d513	d513	0	not-individually-adjudicated	not-reviewed
f_nkx7suqlm5peu	Parji	iled ( ilenkul)	young man, youth			iled ( ilenkul)	0:		pl	dedr				d513	d513	d513	d513	reflex	0	C. Dravidian	1	short-vowel-apical	Parji		database	f_nkx7suqlm5peu	d513	d513	1	R	R
f_noxqcp4umf5fw	Tamil	iḷaimai	youth			iḷaimai	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian I	1	short-vowel-apical	Tamil		database	f_noxqcp4umf5fw	d513	d513	0	not-individually-adjudicated	R
f_nv4ygzw4mqvqw	Tamil	iḷaiyavar	young women			iḷaiyavar	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian I	1	short-vowel-apical	Tamil		database	f_nv4ygzw4mqvqw	d513	d513	0	not-individually-adjudicated	R
f_oiejzkyy3dxau	Kui	leti	soft, yielding			leti	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian II	1	nonapical-control	Kui		database	f_oiejzkyy3dxau	d513	d513	1	A	A
f_oo6k44zmlarvs	Tamil	iḷaiyār	young women			iḷaiyār	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian I	1	short-vowel-apical	Tamil		database	f_oo6k44zmlarvs	d513	d513	0	not-individually-adjudicated	R
f_owd3lz4o65foo	Gadaba	ile	bride			ile	0:	Oll.		dedr;Oll-Gadaba				d513	d513	d513	d513	reflex	0	C. Dravidian	1	short-vowel-apical	Gadaba		database	f_owd3lz4o65foo	d513	d513	1	R	R
f_p5dtfuplb5wnq	Kannada	eḷedu	that is tender, young			eḷedu	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian I	1	short-vowel-apical	Kannada		database	f_p5dtfuplb5wnq	d513	d513	0	not-individually-adjudicated	R
f_p6krsvjodw4nc	Gondi	ḍiyyā	young woman			ḍiyyā	0:			dedr				d513	d513	d513	d513	reflex	0	S. Dravidian II	1	nonapical-control	Gondi		database	f_p6krsvjodw4nc	d513	d513	1	D	D
f_p73ok7j74t6ay	Tamil	iḷaku	to sprout afresh, send forth tender shoots			iḷaku (iḷaki-)	0:	(iḷaki-)	verb Tamil-class-3 weak	dedr				d513	d513	d513	d513	reflex	0	S. Dravidian I	1	short-vowel-apical	Tamil		database	f_p73ok7j74t6ay	d513	d513	0	not-individually-adjudicated	R
