entry_id	family_id	concept	reconstruction	c1	v1	v1_quantity	c2	c2_structure	v2	structure	grammatical_category	boundary_evidence	input_support	input_confidence	direction_argument	derivation	exception_notes	confidence	references	eligibility	mechanism	review_status	review_date
d443	d443	beat, strike, butt	*iṭ-i- / *iṭ-u- / *iṭ-a- formations	Ø	i	short	ṭ	singleton	i	VC-i (beside u/a formations)	verb/noun	i-vocalism in the impact noun/verb is independently attested; do not replace all a/u extensions with i.	Tamil iṭi, Malayalam iṭi/iṭikka and Kannada iḍi independently support i+i, while Tamil iṭu and Kannada iḍaku support other formations. Kota/Toda, Kolami, Pengo and Kurux have vowel-first root cognates.	high	The independent high-i formation supports earlier iṭi > Telugu ḍī. Konda ṛey/ṛī were incorrectly assigned Kolami in the database: source p.43 makes Kolami iṛ- retained and Konda innovated.	*iṭ-i > *ḍii > ḍī is a possible implementation of Rule20a; same-quality high vowels meet its contraction condition. Konda *iṭV > ṛī/ṛey involves its own apical correspondence and vowel variants. Kannada ḍī/ḍīku/ḍikki beside iḍi may be a Telugu loan, expressive reinforcement, or local displacement; no donor date yet decides.	Do not count Kannada and Telugu identical impact nouns automatically as independent changes. Telugu ḍīkonu is a light-verb/compound extension of ḍī, not another etymon. Imported Badaga sickle/iron-saw records have possible cut/iron segmentation rather than the beat root; their linkage is questionable and not used as a decisive control. The Konda correction reverses which comparison language appears to innovate.	medium	DEDR 443 p.43 directly inspected; K03 Rule6 p.107 and Rule20 p.157	core	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d445	d445	narrow, crowded, abundant	*iṭ-u-k / *iṭ-ṭ-aḷ formation	Ø	i	short	ṭ	geminate	a	VCC-a-C (Telugu-matching strong formation)	adjective/noun/verb	Gemination belongs to the independently matched ṭṭaḷ formation, not every derivative of the etymological root.	Tamil iṭṭaḷam, Kannada iṭṭaḷa/iṭṭaṇa and Telugu iṭṭalamu independently support a geminate target in this formation, alongside a singleton high-u narrowness family iṭukku/iḍuku.	high	Both formations preserve initial i/e across southern languages; singleton and geminate stems must be classified separately before comparing Telugu.	*iṭṭ-aḷ-am > Telugu iṭṭalamu with lateral simplification; crowded mass > abundant is independently bridged by Kannada meanings. The iṭ-uk narrowness words retain a singleton ṭ before a velar formative and cannot be treated as the identical input to iṭṭalamu.	Telugu is a geminate-formation control, not proof that its singleton *iṭuk input resisted metathesis: that input is not attested in Telugu here. Gadaba iḍigeda a few has different morphology and possible contact, while Badaga glade/nook and place names have queried etymologies. Broad connection with spatial d434/d448 or distress d435 is plausible but unproven.	medium	DEDR 445 p.43; omitted nineteenth Tamil item source iṭakkar also checked	geminate-control	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d446	d446	separate, distant	*iṭ-ay / *iṭ-av; regional *eṭ-	Ø	i	short	ṭ	singleton	a	VC-a-y / VC-a-v	verb/adjective	ay and av formations independently visible; no unattested vowel distinction invented for davvu.	Tamil iṭai, Malayalam iṭayikka and Telugu eḍayu/eḍavu independently support vowel-first ordering with low second vowel; Malto eṛare provides a northern order comparison.	high	Retained southern and northern orders favor an earlier vowel-first root. Telugu davvu is likely related to eḍavu, but its a and geminate vv require more than simply exchanging the initial e and ḍ.	*iṭ-ay > *eḍay > eḍayu regularly retains the initial vowel. A displacement analysis of davvu would require an earlier vowel or analogical variant, plus vv strengthening/shortening; *eḍ-av > *ḍēv does not directly yield davvu. Kolami davva/dautān and Naikri dʰāv may be Telugu-area loans, not independent support for the missing steps.	K03 p.57 explicitly doubts the derivation of davvu/dhāv from *iṭ-a; his alternative discussion concerns voiced aspiration and a possible older laryngeal, not a demonstrated solution. Brahui is explicitly questioned in DEDR p.43. Nahali dhava is a contact-zone comparison, not a Dravidian cognate vote. The spatial-root relation to d434/d448 is a sensitivity hypothesis; do not silently explain the vowel by assuming different proto-roots.	medium	DEDR 446 p.43 directly checked, including question mark before Brahui; K03 p.57 explicitly questions the etymology of davvu/dhāv	core	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d447	d447	grow weary, become thin	*iṭ-ay?; vowel reconstruction and lexical direction not final	Ø	i	short	ṭ	singleton	a	VC-ay	verb	ay verbal base probable from Tamil; pp thirst noun is a separate morphological hypothesis, not a new positive.	Tamil iṭai weary is the sole independent unshifted witness in this entry. Telugu ḍayyu and Kuvi ḍah/daha/ḍāh agree semantically, but the imported initial *ḍaj reconstruction simply repeats the innovated-looking order.	medium	Tamil vowel-first order, general apical correspondences, and Kuvi y/h comparison favor earlier *iṭay, provisionally; with only one unshifted branch, prothesis or imperfect cognacy cannot be ruled out on majority arithmetic.	Conditional *iṭay > an initial ḍay stem gives Telugu ḍayyu and Kuvi ḍah; the expected lowered/contracted ē and actual a are not reconciled. Kuvi length varies by source/lect. Kolami ḍay is explicitly a Telugu loan. Sastri 1969 p.111 derives Telugu dappi thirst from dayyu weary, offering an alternative to d109 aṭ-/aṇṭ- ancestry.	Do not invent an unattested *aṭay just to match a. The fatigue-to-thirst derivative is semantically and morphologically plausible (compare noccu/noppi in Sastri), but it needs historical attestation and comparison with southern thirst cognates before merging d109. It also must remain separate from homophonous destruction ḍappi d277.	low	DEDR 447 p.44; Sastri 1969 p.111, image verified (PDF136)	cognacy-or-input-uncertain	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d448	d434+d448	interval, middle, waist	*iṭ-ay / *iṭ-a-m	Ø	i	short	ṭ	singleton	a	VC-ay / VC-a-C	noun	ay/m spatial noun variants independently attested; do not assume Tulu dekkārɯ has precisely the same suffix.	Tamil iṭai, Malayalam iṭa/eṭa, Kannada eḍa/eḍe and Telugu eḍa/eḍamu independently agree on vowel-first spatial input; Kota eṛ supports the shortened noun.	high	The same independently supported order appears in place d434, whose forms and meanings overlap. Tulu dekkārɯ is a distinct compound/extension and does not reverse the reconstruction.	*iṭay > *eḍay > eḍa; extended *iṭam > eḍamu. Tulu iḍɛ versus dekkārɯ may combine initial vowel loss with gemination and a leg-related compound component; exact segmentation requires a fuller dialect dictionary.	Merge with d434 in primary root counts. Toda dairy-vessel and Badaga ritual/toponym compounds do not add etyma. The Tulu initial-loss derivative remains ambiguous because its immediate full input is not attested here; no outcome-defined suffix class is proposed.	medium	DEDR 448 p.44; primary family merged with 434	core	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d449	d449	left side	*iṭ-a(y)/m; *eṭ- regional outcome	Ø	i	short	ṭ	singleton	a	VC-a-C / VC-ay	noun/adjective	a/m/ay left-side formations supported independently; short commands or clipping not assumed without source labels.	Tamil iṭai/iṭam, Malayalam iṭam/eṭam, Kannada eḍa and Telugu eḍama support earlier vowel-first i/e plus retroflex. Kota/Toda and Kodagu agree in order, though vowel quality differs.	high	Telugu ḍā/dā is innovated relative to the comparative vowel-first left-side noun, but cannot be assigned the expected ē contraction without an additional vowel history. Tulu damma/datta has strengthening and local initial loss.	*iṭam > *eḍam > eḍama is retained. Aphaeresis/clipping of an already a-bearing derivative, analogy with regional left-side words, or displacement followed by vowel change may underlie ḍā/dā; the current source does not select one. Kolami edamakei is explicitly a Telugu loan and was mislabeled Telugu in the parsed corpus.	DEDR separately assigns many other SCDr left words to Indo-Aryan *ḍavva/*ḍevva: Kui deba/debe/debo, Kuvi tebri, Gondi ḍema/demar/ḍāvā, etc. Those are a loan comparison, not absent cognates or shared metathesis. Source-only loan observations are inventoried separately. Naiki ḍākiyan kī may reflect regional borrowing; its full donor is unresolved.	medium	DEDR 449 p.44; CDIAL 5539 loan comparison; source headings directly checked	core	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d455	d455	steamed cake	regional *iṭṭali / *iḍḍali	Ø	i	short	ṭ	geminate	a	VCCVCV	noun	Regional lexical gemination is independently supported; deep morphology and direction of culinary diffusion unresolved.	Tamil/Malayalam iṭṭali, Kannada iḍḍali/iḍḍalige and Telugu iḍḍena independently support gemination and vowel-first ordering of the regional food name.	high	No language in this entry supplies initial ḍ as the original order; the shared food name begins i. Its date and ultimate origin remain open, including comparison with Sanskrit lexicographic iṇḍarī/iṇḍalī.	Regional iṭṭali > iḍḍali-type variants; Telugu iḍḍena additionally changes the later lateral and vowel, requiring a loan/dialect history. Initial order is retained throughout.	A structural geminate control, but not a decisive ancient inherited-law control without chronology. Link with flour/cake d439 and pounding verbs is plausible enough for sensitivity, not established from homophony. Modern dish variants do not add independent roots.	medium	DEDR 455 p.44; comparisons 439 and Skt iṇḍarī/iṇḍalī	geminate-contact-control	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d444	d444	pinch, pincers, tongs	*iṭ-uk-; distinct tool-name formations	Ø	i	short	ṭ	singleton	u	VC-u-CC	verb/noun	Velar verb/tool formation independently supported; labial Kui tool formation must be reconstructed separately.	Tamil/Malayalam iṭukku and iṭukki independently support high u after ṭ. Kannada iḍaku provides a low-vowel variant, while Old Kannada iẓkuẓi has a different apical and internal structure.	medium	Vowel-first southern pinch verbs favor earlier V–apical order, but the tool nouns do not all share an independently recoverable complete stem.	Tamil *iṭ-uk > iṭukku retains order. Kannada ikkuẓ and Tulu ikkuḷ may involve medial assimilation of the first apical, leaving another apical after k; alternatively their internal apical order reflects a different noun formation. Kui ḍīpa is an initial-displacement candidate, but i+u does not straightforwardly produce ī and its labial noun suffix differs.	No Telugu attestation in this database group: record a gap, not a failure to change. Reconstructing *iṭi-pp solely to predict Kui ī would be circular. A source paradigm connecting the pinch verb to a labial noun, or an independently attested i-bearing formative, would distinguish contraction from another etymology. The superficial k/l reversal in tongs needs its own analysis, not the initial-metathesis label.	medium	DEDR 444 p.43 directly checked	core-formation-uncertain	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d451	d451	parch, roast grain	Kurux–Malto *i/eṛ-; deeper apical source unresolved	Ø	i/e	short	ṛ	singleton	unknown	VC plus language-specific inflection	verb	Infinitival endings are language-specific; no unattested common V2 invented.	Kurux iṛnā and Malto eṛye agree on vowel before retroflex rhotic. This two-language comparison does not recover a uniquely Proto-Dravidian ṭ/ẓ input or a formative vowel.	medium	Both attested branches preserve V–ṛ; there is no displacement contrast from which to infer an earlier opposite order.	Regional *i/eṛ- plus distinct Kurux -nā and Malto -ye endings gives the forms with order retained. The first-vowel correspondence needs the wider Kurux–Malto system, not an outcome-selected assumption.	Retain as a northern apical-root comparison, with Telugu and other SCDr unattested. It does not create seven negatives for languages with no cognate. The imported reconstruction is regional even when the interface groups it under PDr.	medium	DEDR 451 p.44	regional-input-only	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d452	d452	wall	regional *iṬ-V-p; Ṭ likely retroflex, V2 unknown	Ø	i	short	ṭ	singleton	unknown	VC-(V)-p	noun	Final labial matches; no independent common formative vowel survives in the pair.	Kolami Kinwat iṛp and Gondi Muria ḍīpi form the comparison. The database incorrectly assigns both to Kolami; source DEDR p.44 explicitly switches language.	medium	Kolami vowel-first order and the regular possibility of retroflex-rhotic correspondence favor *iṬVp, but only one unshifted language is available; initial prothesis/loan history remains possible.	Conditional *iṭ-i-p > *ḍīp > Gondi ḍīpi would fit equal-vowel contraction, whereas Kolami iṛp could reflect medial syncope. However the missing formative i is not independently observed and must not be used as a deterministic prediction.	Treat Gondi as a probable but uncertain displacement case, not a dialectal Kolami D/R alternation. More wall nouns or a source derivational base could establish V2 and direction. No Telugu form is supplied; this is a comparative gap there.	medium	DEDR 452 p.44; DEN2 p.475 S²8	cognacy-or-input-uncertain	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d453	d453	touch, feel	regional *iṭ-(V)-; velar extension, quantity unresolved	Ø	i	short	ṭ	singleton	unknown	VC-(V)-k / VC-C	verb/noun	Velar present in Kui/Kuvi but absent Pengo; neither its vowel nor the exact Gondi strong-stem ancestry forced.	Gondi iṭ/iṭṭānā provides the vowel-first branch; Kui ḍīga, Kuvi dīg-/dī- and Pengo ḍū- have initial apicals. The imported *ḍū cannot simply be accepted as ancestral to all.	medium	Gondi order plus the recurring ṭ/ḍ correspondence supports a vowel-first regional input provisionally, but the common vowel and velar formative are not uniquely reconstructed.	A hypothesized *iṭ-i-k would contract to ḍīk and yield Kui/Kuvi ḍīg-. Pengo ḍū requires a different vowel or subsequent rounding, neither demonstrated here. Gondi gemination in the long citation form may be paradigm-specific; short iṭ is also attested.	Four Kuvi forms were parsed as Kui and are research-corrected. This is not five Kui variants with Kuvi missing. The whole comparison remains an uncertain mechanism test until independent i/u formative evidence and the Gondi tense classes are checked. No Telugu token is supplied.	medium	DEDR 453 p.44 directly checked	core-formation-uncertain	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d454	d454	notched timber block, mortice	regional *iṭṭaṟa / *iṭṭire	Ø	i	short	ṭ	geminate	a/i	VCCVCV	noun	Whole technical word compared; no independently established inner morpheme division.	Malayalam iṭṭaṟa and Tulu iṭṭarɛ/iṭṭire independently support initial i plus geminate ṭṭ in the shared carpentry term.	high	Both source languages are vowel-first; no positive supports an earlier initial ṭi order.	Retained iṭṭ- with later a/i variation and regular source orthographic r/ṟ difference; exact later rhotic correspondence is not settled by the first syllable.	A regional geminate control, with no Telugu attestation. Ultimate borrowing or specialized compound origin is possible; it cannot be projected as a securely Proto-Dravidian technical term solely from two languages.	medium	DEDR 454 p.44	geminate-contact-control	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d457	d457	join, equal, pair	*iṇ-ay / *iṇ-aŋk-; nasal control	Ø	i	short	ṇ	singleton	a	VC-ay / VC-a-NC	verb/noun	Low-vowel formative independently attested; the extra initial n in nenayu needs a separate morphological account.	Tamil iṇai/iṇaŋku, Malayalam iṇa/iṇayuka, Kannada eṇe and Telugu ena/enayu support a retroflex nasal after an initial vowel, and low formative independently.	high	Agreement supports earlier iṇ-, with Telugu ṇ>n and southern lowering. Telugu nenayu retains a second n as well as an initial n, so it is not the result of simply moving the sole root nasal.	*iṇ-ay > *eṇay > enayu; derivative enucu/enupu has distinct palatal/labial morphology. nenayu can reflect added n through rebracketing or analogical reinforcement, but a source context is needed to choose. Tamil eḷḷu equal is explicitly questioned by DEDR and is not secure proof of a nasal/lateral root alternation.	A control for the published exclusion of nasal C2. The initial n in nenayu cannot be counted as metathesis on surface inspection. The n survives medially, so deletion-plus-insertion or morphology would be required under a movement account. Comparison with iẓai d507 is tentative.	medium	DEDR 457 p.44 directly checked; K03 Rule20 excludes nasal apicals	nasal-control	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d472	d472	beg, borrow	*ir-a / *ir-av-	Ø	i	short	r	singleton	a	VC-a / VC-a-v	verb/noun	av noun matched in several languages; Tulu nd verb is a different formation, not a reason to change its input class.	Tamil ira/iravu, Malayalam iravu/irakkuka, Kannada era/eravu and Telugu eravu independently support i/e before r and a low formative.	high	The widespread vowel-first form, corroborated by Malto irɣre, favors original ir-; Tulu randuni is innovated under this comparison.	*ir-av > *erav > Telugu eravu preserves the order despite an input that could permit contraction. Tulu randuni may follow initial vowel loss in a nasal-bearing begging formation; its exact preceding full form is not attested here.	Do not explain Telugu retention by assigning an unsupported high formative: southern av words directly match its loan noun. Late lexical borrowing remains possible but is not documented, so this stays a genuine low-vowel retention counterexample. Tulu verbal morphology differs from eravu and does not prove a shared event.	medium	DEDR 472	core	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d490	d490	food, prey	*ir-ay	Ø	i	short	r	singleton	a	VC-ay	noun	ay formation independently supported in southern comparison; Brahui final material not equated mechanically.	Tamil irai/erav, Malayalam ira, Kannada ere, Kota er and Telugu era independently support a vowel-first r with low a/ay formation.	high	The cross-branch agreement, including Brahui iraɣẖ food, favors earlier ir- rather than repeated prothesis before a hypothetical rē.	*ir-ay > *eray > Telugu era, Kannada ere and Kota er with lowering/final contraction while maintaining V–r order. Brahui has a different final extension.	A genuine simple low-vowel retention comparison, semantically basic and not source-marked as a loan. No attested SCDr comparison in this group besides Telugu: missing elsewhere is not retention. Full Brahui suffix reconstruction is unnecessary for the initial-order observation but remains unresolved.	medium	DEDR 490	core	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d474	d474	two	*īr / *ir-V; nonhuman *ir-aṇ-ṭ; human *ir-u-var	Ø	i	short-and-long-bound-allomorphs	r	singleton	a/u	VC-V + gender/number formation	numeral	Bound īr/iru, nonhuman aṇṭ and human u-var are independently motivated categories; comparisons/counts must not treat them as repeated independent etyma.	Tamil iru-/īr, Kannada iru/ir and eraḍu, Central Dravidian ir- forms and Brahui irā/iraṭ support vowel-first order independently. Nonhuman aṇṭ and human u-var formations can be distinguished by their morphology before their outcomes are inspected.	high	Wide independent retention of bound ir-/īr and the different human and nonhuman derivatives favors earlier ir-, not original r- with prothesis throughout the family. The shared r-initial nonhuman numeral across SCDr is strong comparative evidence, but recent Tamil/Malayalam/Tulu initial loss must be evaluated separately.	K03 pp.159–160: *ir-aṇṭ > *eraṇḍ > hypothetical *rēṇḍ > Telugu reṇḍu with shortening before a nasal-stop cluster; other SCDr *ir-i/u-ṇṭ > *rīṇḍ with variable shortening and Konda backing to runḍi. Human *iru-var remains vowel-first in Telugu iruvuru and Gondi irvur; r+v assimilation yields Kannada/Old Telugu ibbar forms. Tamil/Malayalam/Tulu aphaeresis produces reṇṭu/raṇṭu/raḍḍɯ in later language histories. Malto *irw > iwr (corpus ivr) is a separate medial consonant transposition.	Do not count human, nonhuman, twenty, two hundred and ordinal derivatives as independent roots. Telugu retained iru/īr is a bound root and cannot be treated as an identical free-word input to reṇḍu. The short Telugu output does not prove that a long intermediate existed; *rēṇḍ is K03’s conditional reconstruction. Kui rīnḍe shows that pre-cluster shortening was not universal across languages. Konda iddum retains an initial vowel in a measure compound and needs separate cluster-assimilation/contact analysis. Kodagu daṇḍɨ, Markodi dad and Badaga ratte require local phonological/contact histories; do not automatically equate them with the SCDr innovation. Kurux ēṇḍ has a vowel history K03 explicitly calls puzzling. Toda ačok/acok is a measure term within an example, not another reflex of two.	high	DEDR 474 p.46 directly checked; K03 pp.159–160 and p.116; Hockings–Pilot-Raichoor 1992 pp.54,86,507; Canvin 2025 lect data	core	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d475	d475	jujube	regional *ir-a-; nasal/velar and dental tree-name formations	Ø	i	short	r/l	singleton	a	VC-a-NC / VC-a-C	noun	Low vowel independently observed; exact dental/nasal/velar tree-name formatives are not assumed identical.	Tamil irati/irantai/ilantai, Malayalam ilanta and Kannada era/elaci support an initial vowel and medial liquid independently. The exact nasal-velar formation of Telugu rē̃gu is not matched by every southern tree name.	medium	Independent retained southern forms favor earlier ir-/il- order. Original DEDR p.46 supplies actual Telugu rē̃gu/rēnu; the database instead mislabeled Kolami rēŋga as Telugu and omitted those Telugu forms.	Conditional *ir-aŋk > *eraŋk > *rēŋk > Telugu rē̃gu, with voicing/nasal developments; rēnu requires a different consonant change or variant. Tamil r/l alternation and dental rather than velar suffix need separate formation histories. Malayalam ilanta > lanta is straightforward initial vowel loss.	Kannada rēgu is explicitly borrowed from Telugu. Gondi, Kolami, Naikri/Naiki, Parji and Gadaba rēŋg-type tree names might spread with the plant name; no independent innovation is inferred just from initial r. More southern velar derivatives or historical recipient attestations would discriminate inheritance from diffusion. Malto ilkru has a different cluster. Source supplements do not add roots.	medium	DEDR 475 p.46 directly checked; Southworth 2006 imported *irak is a proposal, not an attestation	core	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d476	d476	deer, antelope	*ir-al-ay, r/l order variation	Ø	i	short	r	singleton	a	VC-a-C-ay	noun	Whole deer noun compared; later l/ḍ material in Telugu has no demonstrated identical formative ancestry.	Tamil iralai and Kannada/Tulu eraḷe agree on initial vowel and r before later lateral; Malto ilaru has the liquids in the opposite order. Old Telugu iri also begins with a vowel.	medium	The southern r...l agreement favors earlier *iral provisionally; Malto may show internal liquid reversal. Telugu lēḍi would require movement of a different liquid and an additional final consonant history, not just initial i/r metathesis.	Retained *iralay > eraḷe in Kannada/Tulu; reduced Old Telugu iri and strengthened iṟṟi require morphological/cluster changes. A proposed *ilara > *lēra > lēḍi path would need both an independent liquid reversal and a regular r/ḍ development; neither is established by this set.	DEDR explicitly prefixes a question mark to Telugu lēṭi/lēḍi. Keep them uncertain rather than forcing them into a lateral-metathesis class. Malto internal reversal is separately plausible but not proved directionally by simple majority. Badaga iya may reflect liquid loss but is source-uncertain. Historical iri is the reliable Telugu retained comparison.	medium	DEDR 476 p.46 directly checked, including question mark before lēṭi/lēḍi	core	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d477	d477	cassia tree	*ir/ṟ-al/ḷ-i; regional liquid identity uncertain	Ø	i	short	r/ṟ	singleton	a	VC-a-C-i	noun	Plant-name ending independently present in Tamil; exact historical donor and rhotic quality unestablished.	Tamil iraḷi/iṟali preserves an initial vowel plus two differently ordered-quality liquids. Kannada/Telugu rēla and Gondi rēlā share an r-initial plant name; only Tamil supplies the unshifted word here.	medium	Earlier *iral- is plausible by the low-vowel contraction correspondence, but a Tamil prothetic adaptation of a regional rēl word remains possible without wider retained evidence.	Conditional *iral > *eral > *rēl > Telugu rēla-ceṭṭu; historical ṛēla gives an older r-initial attestation. Gondi rērkā requires an added velar and lateral/rhotic change; Kannada and Gondi may have borrowed the tree name.	Do not treat the imported *rēl as proved proto-input or Tamil as necessarily conservative. The old Telugu rhotic is transcribed ṛ in this source and should not be assigned a phonetic value without its inscriptional edition. Cassia is a Latin gloss incorrectly parsed as Telugu. Exact cognacy/donor history keeps this out of the decisive reconstructed-input cohort.	medium	DEDR 477 p.46 directly checked	cognacy-or-input-uncertain	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d480	d480	be, sit, abode	*ir-u-; *ir-u-v / *ir-a-v place nouns	Ø	i	short	r	singleton	u/a	VC-u / VC-V-v / VC-C formations	verb/noun	Existential high-u root and a/u place-noun formations distinguished; Kui suffix vowels not chosen from outputs.	Tamil iru/iruppu, Kannada iru/irdu and Kodagu ir- independently support a vowel-first existential root. Telugu iruvu/iravu retains noun formations; Malayalam irippu differs in formative vowel from Tamil iruppu.	high	The broad existential comparison favors earlier ir-. Kui rīnda/rīspa is innovative under its related steady/stand meaning, but its high-i length and added consonants require separate reconstruction.	Retained *iru-v > Telugu iruvu, with a-bearing iravu; Kannada irke > ikke and Telugu ikka are compatible with medial syncope plus assimilation. Tulu ippuni/itt- can continue r+labial/dental cluster assimilation. Kui *ir-i-nt/*ir-i-sp could yield rīnda/rīspa, but i in those exact formations is not independently established. Kota ig-/ir-/it- is a paradigm, not initial promotion.	Low-vowel Telugu iravu must not be erased by choosing only the high-u root label. Telugu iŋkuva has DEDR’s explicit alternative demonstrative iṅku d420. Kui rītka includes plural morphology and possible consonant-order changes, not another etymon. Badaga negative illa/ille is cross-linked but belongs to a separate negative-base analysis, not straightforward irregular sound change of iru.	medium	DEDR 480; DEN1 p.400 entry407; K03 existential reconstruction; alternative d420 for iŋkuva	core	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d481	d481	great, vast	*ir-u, compound-bound; Telugu inu-	Ø	i	short	r	singleton	u	VC-u + compound member	adjective	Only Telugu combining form attested; following m is independently present in the comparison compounds.	Tamil iru great and irumai greatness provide the independent rhotic comparison; Telugu has inu- in compounds, especially inumikkili very great.	medium	Tamil rhotic versus Telugu nasal can reflect assimilation before a following m in the compound. There is no evidence of r moving before the initial vowel.	Conditional *iru-mikkili > *inu-mikkili by anticipatory nasal influence, followed by extraction/generalization of inu- as a combining form. Compare Telugu inu māṟu twice (d474) and inumu iron (d486), without assuming all three have identical history.	Only a narrow two-language adjective comparison; no free Telugu inu paradigm is supplied, and the corpus inu is an in-construction fragment. Do not classify it as metathesis concealed by r loss unless an initial r-stage is independently attested. Compound-bound status is visible before outcome classification.	medium	DEDR 481; DEN2 p.475 S²9	compound-formation-control	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d483	d483	blackwood tree	*ir-u-? plus tree-name formations; bīṭi series uncertain	Ø	i	short	r	singleton	u	complex plant-name derivatives	noun	Plant-name segmentation remains uncertain; do not infer a simple proto-root from one surface variant.	Malayalam iruviḷ/irūḷ, Kannada iruguṇḍi and Telugu iruguḍu/iruvuḍu support a vowel-first dark/tree component, tentatively compared with darkness d2552. Tamil īṭṭi and Tulu bīṭi differ too much to be the same simple input.	low	A retained ir-u formation is credible for part of the set. The b/v-initial wood names may reflect another tree word, compound reduction or contact, rather than relocation of r.	Telugu iruguḍu/iruvuḍu retain ir-; ibbaḍa/ibbeḍa could reflect reduction/assimilation in a different compound or stem. Deriving bīṭi from iruguḍu by metathesis alone is impossible; additional consonant loss and formation differences are required.	Keep the complex plant-name family uncertain for inherited-law counts. The fact that blackwood can be named after darkness is a semantic hypothesis, not evidence for every segment. Tulu kari-bīṭi independently adds black, which can support either reinforcement or a different lexical base. No unsupported chain is selected.	low	DEDR 483; tentative darkness comparison d2552	complex-or-contact-input-uncertain	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
d484	d484	axle	*ir-u-c/s; regional technical term	Ø	i	short	r	singleton	u	VC-u-C	noun	Whole technical stem compared; u/i/a variation recorded independently, origin and date of dissemination unresolved.	Tamil irucu, Kannada irucu/iricu/iracu and Telugu irusu support vowel-first r plus a final coronal; second-vowel alternatives are independently attested.	high	Vowel-first order agrees across the independent southern witnesses. Gondi/Kuvi/Gadaba forms are explicitly Telugu loans and cannot supply independent confirmation.	*ir-u-c > Telugu irusu is a possible coronal correspondence; Kannada ircu has medial syncope without initial movement. Gondi nirsu adds initial n and Kuvi hīrsū adds h/length after borrowing; these do not move r to word beginning.	Preserve a high-u control but flag the technical lexeme’s undated dissemination. Its possible wider loan origin should be researched before treating it as ancient inherited vocabulary. Kolami i·rcu is not explicitly marked a loan in this snippet, but its length and donor chronology remain uncertain. Parser Br/Early-Vedic tag on that form is not evidence of a Dravidian dialect.	medium	DEDR 484	core-formation-uncertain	Target initial-order comparison; literal exchange, assimilation and syncope distinguished in the derivation and language notes	reviewed	2026-09-09
