Group_ID	Display_Form	Display_Gloss	Head_Strategy	N_Records	N_Attested	N_Telugu_Records	Languages	Reconstructions	Reconstruction_IDs	Reconstructed_Input_Flags	Comparative_Input_Flags	Telugu_Forms	Status
f_6aqkqsmpvv33e	calḍil	noon		1	1	0	Gadaba				postapical-cluster;short-vowel-apical		unlinked
f_6aqmdpeo4eypg	payam	fruit		1	1	0	Muthuvan				nonapical-control		unlinked
f_6aqqq4bbncpwi	karambe	gash in the flesh		1	1	0	Badaga				short-vowel-apical		unlinked
f_6asx7fj6geigw	pāṇ-ṇōɫ̣	festival day		1	1	0	Toda				long-vowel-apical-control		unlinked
f_6at2qnxf66aia	kaḍi	bite, he bite		1	1	0	Irula				short-vowel-apical		unlinked
f_6atao64a7xh7e	kurunḍo	a. bent; hunched		1	1	0	Brahui				short-vowel-apical		unlinked
f_6atouzqvxmilk	kanalu	forest		1	1	0	Kannada				short-vowel-apical		unlinked
f_6au6gta5lwsvs	bare	buffalo		1	1	0	Gondi				short-vowel-apical		unlinked
f_6aubxc2cqtkem	kaṇṇi	rope		1	1	0	Irula				geminate-apical-control;postapical-cluster;short-vowel-apical		unlinked
f_6av4latxm5zxs	nāḷɨ	day		1	1	0	Muthuvan				long-vowel-apical-control		unlinked
f_6avcqmymttt4c	atɨ	that		1	1	0	Malasar				nonapical-control		unlinked
f_6avjwjmgmrx6g	nūlɨ	thread		1	1	0	Eravallan				long-vowel-apical-control		unlinked
f_6avqsegnbjuay	āmpiḷai	man		1	1	0	Irula						unlinked
f_6avr25frarpm2	kālɨ	leg		1	1	0	Muthuvan				long-vowel-apical-control		unlinked
f_6awmpl7odddms	ampəḷakuñji	boy		1	1	0	Muthuvan				nonapical-control		unlinked
f_6ays2znqbujaa	ava	she (3rd sg. feminine)		1	1	0	Mannan				nonapical-control		unlinked
f_6b22lac6m6nzi	tʰore	shallow		1	1	0	Kurux						unlinked
f_6b25qr75oq656	tu ṇi	cloth		1	1	0	Mannan						unlinked
f_6b272l7u7c46w	bʰāi	Brother		1	1	0	Kurux						unlinked
f_6b2r5c3adjcso	koḷavikallɨ	pestle		1	1	0	MalaPulaya				short-vowel-apical		unlinked
f_6b4unzrtez5o2	bōsi	1. breast, udder; 2. act of fondling breasts; 3. tumbler, glass		1	1	0	Badaga						unlinked
f_6b6o4v2xzeg7e	kʌska	bite		1	1	0	Gondi						unlinked
f_6b6ouslrgwe74	ḍeːra	millet (husked)		1	1	0	Konda						unlinked
f_6b6ueo5sv5ssu	kʌtʌm	all		1	1	0	Gondi						unlinked
f_6b734higdiaq6	udyōga	salaried position, profession		1	1	0	Badaga				nonapical-control		unlinked
f_6bakmdvxmzcfi	ni	you (2nd sg.informal)		1	1	0	Mannan						unlinked
f_6bclekhhziumo	asiṭṭī	n. unity		1	1	0	Brahui				nonapical-control		unlinked
f_6bdtixdba46um				8	7	1	Kannada;Kota;Malayalam;Tamil;Telugu;Toda;Tulu				nonapical-control	sambalamu	entry
f_6beta7fzpegpe	jād	heavy		1	1	0	Gondi						unlinked
f_6bfalv33xrtka	musāfir	n. traveler		1	1	0	Brahui				nonapical-control		unlinked
f_6bh6kwdemz2r4	muḷakɨ	chili		1	1	0	Mannan				short-vowel-apical		unlinked
f_6bi636ppn2goe	kuḷḷan	dwarf, midget, undersized man, short man, stunted man; male nickname, Shorty		2	2	0	Badaga				geminate-apical-control;postapical-cluster;short-vowel-apical		unlinked
f_6bilmaqckox2k	cinḍu	son		1	1	0	Gadaba				postapical-cluster;short-vowel-apical		unlinked
f_6bjnsvyinwl2q	heṇige	same as the preceding dictionary entry		3	3	0	Badaga				geminate-apical-control;postapical-cluster;short-vowel-apical		unlinked
f_6bkm6ozdfxwxc	kapa parɜṅgi	Chili		1	1	0	markodi				nonapical-control		unlinked
f_6bl72wxm6yzbu	sorakkayɨ	gourd		1	1	0	Kannada				short-vowel-apical		unlinked
f_6blkehadrzvw6	kiṭṭə	near		1	1	0	Mannan				geminate-apical-control;postapical-cluster;short-vowel-apical		unlinked
f_6bllgm7uxfkrq	bʰeria	big		1	1	0	Gondi						unlinked
f_6bmfulggrppmu	todi	face		1	1	0	Gondi				nonapical-control		unlinked
f_6bmt6p5pmhago				5	4	1	Kannada;Tamil;Telugu;Tulu				long-vowel-apical-control;short-vowel-apical	gāra	entry
f_6bmumbapkh4n4	gera	eleven		1	1	0	Gondi				short-vowel-apical		unlinked
f_6bnc57yqkapee	tankarvasta	he was hungry		1	1	0	Gondi				postapical-cluster;short-vowel-apical		unlinked
f_6boesbixvnbge	bingōṭtu	girls’ game in which they hop and leap over lines drawn with clay (also called billa)		1	1	0	Badaga				postapical-cluster;short-vowel-apical		unlinked
f_6bof55aps7afc	pucci	mad woman		1	1	0	Badaga				nonapical-control		unlinked
f_6bp2wgkuxxvie	pō	go, he went		1	1	0	Mannan						unlinked
f_6bpdlp6ezeqpg	tinana	fruit		1	1	0	Gondi				short-vowel-apical		unlinked
f_6bpvqux5pjp7c	param	heavy		1	1	0	Muthuvan				short-vowel-apical		unlinked
f_6bqkuw32q3tuy	nān	I (1st sg.)		1	1	0	MalaPulaya				long-vowel-apical-control		unlinked
f_6bqnczhcv2sla	hʌre	goat		1	1	0	Gondi						unlinked
f_6bs2ffvebsuwa	dota	river		1	1	0	Gondi				nonapical-control		unlinked
f_6bu3oh3c7k7ua	vasimator	come		1	1	0	Gondi				nonapical-control		unlinked
f_6bujpyh5lbxou	kaom	n. nation		1	1	0	Brahui						unlinked
f_6bveiua3eslgg	pīr	beer		1	1	0	Toda				long-vowel-apical-control		unlinked
f_6bwrwsqnrq2ws	ba	come		1	1	0	Kannada						unlinked
f_6bxbr3ht5ombw	Šivādikaru kula	name of a sept, name by which Kongas and Wodeyas sometimes refer to themselves, those governed by iva (lit; Adikiri/ Adigari;, < $ iva +adigari+aru+kula,‘[Śiva]+[Adikiri]+pl.+sept} DBIA 110		1	1	0	Badaga				nonapical-control		unlinked
f_6bxdfkd5ckvqg	sōbār	holes with pitons (Hindi sābal ‘crowbar’, Skt. sarvalā-)		1	1	0	Toda						unlinked
f_6bxm352onnjmc	modɨrā	ring		1	1	0	Muduga				nonapical-control		unlinked
f_6bxmg5jslqpgu	cepel	child		1	1	0	Gadaba				nonapical-control		unlinked
f_6bxp2nyibjfbu	kettei	listen, he heard		1	1	0	Muthuvan				nonapical-control		unlinked
f_6byj2ol5zix4a	vāmdār	a. in debt		1	1	0	Brahui						unlinked
f_6byjgjmio3dee	kuḷa	short (object)		1	1	0	Irula				short-vowel-apical		unlinked
f_6bzhgs5lbbik4	yeli	rat		1	1	0	Kannada				short-vowel-apical		unlinked
f_6bzmdjfmahl4s	paśŭ	Cow		1	1	0	Malayalam				nonapical-control		unlinked
f_6bzsv75rsygum	kākēri	Water		1	1	0	Kui						unlinked
f_6bzt3w37kw7gs	nīrɨ	water		1	1	0	Kannada				long-vowel-apical-control		unlinked
f_6bzzeg7zhpms6	naḍa	walk, he walked		1	1	0	Kadar				short-vowel-apical		unlinked
f_6c3bzk32avico	oy	five (also ü, e)		1	1	0	Toda				nonapical-control		unlinked
f_6c4cx5r3kx2vc	boṭa	finger		1	1	0	Gondi				short-vowel-apical		unlinked
f_6ca4chsjbltlq	manḍike	run, he ran		1	1	0	Urali				postapical-cluster;short-vowel-apical		unlinked
f_6cae5u3myoifg	tu varda	dry		1	1	0	Kadar						unlinked
f_6caxrjw2xdrme	pandri	white		1	1	0	Gondi				postapical-cluster;short-vowel-apical		unlinked
f_6cbpvuka347ja	tsatta lattɨ	don’t die, he died		1	1	0	Muthuvan						unlinked
f_6cbysucdknewa	Basava	1. Bassava, prophet and founder of the Lingayat sect (fi. 1130-1200); 2. male name		1	1	0	Badaga				nonapical-control		unlinked
f_6ccm24lh7xiyu	kʌśʌṭʌ	burn		1	1	0	Gondi						unlinked
f_6cdydi75pryfi	ɣarīb	a. poor; n. poor man; dear		1	1	0	Brahui				short-vowel-apical		unlinked
f_6cebw5ao2hjn6	nai̯	dog		1	1	0	Gondi						unlinked
f_6cfet3roc6vvw	pūt-	S ofpuːf-		1	1	0	Toda						unlinked
f_6cfzuslcmsdj2	pannəṇḍɨ	twelve		1	1	0	Mannan				geminate-apical-control;postapical-cluster;short-vowel-apical		unlinked
f_6cgi4wgotyhv6	tʌrkai	palm		1	1	0	Gondi						unlinked
f_6chb47c2m77ho	taḍas	snake		1	1	0	Gondi				short-vowel-apical		unlinked
f_6chsgivlrenpc	koḍ	Give		1	1	0	Kodagu				short-vowel-apical		unlinked
f_6chyhis4gd5ja	cambal	ash		1	1	0	Mannan				nonapical-control		unlinked
f_6cia6fzkaaooi	must	adv. before; former		1	1	0	Brahui				nonapical-control		unlinked
f_6ciny6leywkfo	yeḍe	chest		1	1	0	Kannada				short-vowel-apical		unlinked
f_6cjjzwaidkepm	sudi	needle		1	1	0	Gondi				nonapical-control		unlinked
f_6ck65eq66spdg	tu ːre	far		1	1	0	Muthuvan						unlinked
f_6ckahlldlvyu2	dēr	God		1	1	0	Toda				long-vowel-apical-control		unlinked
f_6cmjv63lggkrs	kufs-	S of kufy- 2		1	1	0	Toda						unlinked
f_6cokhjmozwlu6	moz̡ertmū	a small earthenware pot		1	1	0	Toda						unlinked
f_6cosbwxj3czqg	kukkos	boy		1	1	0	Kurux				nonapical-control		unlinked
f_6cppwyaet2z4y	koṇuves	fat		1	1	0	Konda				short-vowel-apical		unlinked
f_6cpxzv6uavbxo	putimalu	younger sister		1	1	0	Gadaba				nonapical-control		unlinked
f_6cs3o5cwe553k	bahra	twelve		1	1	0	Kurux				nonapical-control		unlinked
f_6csf7r2aggpoe	alupulārisi	to be feverish		1	1	0	Badaga				short-vowel-apical		unlinked
f_6csolj6drmpc2	adūellam	those		1	1	0	Kudiya				nonapical-control		unlinked
f_6cstmgm5bjha2	tele	head		1	1	0	Irula				short-vowel-apical		unlinked
f_6cu5bajclcbnw	pøɫk-s̱ pūf kāl-	(flower of lamp) to fall down. When a small piece from the top of a burning lamp wick bends down and breaks and falls down, they consider it as a flower of the lamp falling down		2	2	0	Toda						unlinked
f_6cuaqbe27f2je	nenne	yesterday		1	1	0	Kurumba				geminate-apical-control;postapical-cluster;short-vowel-apical		unlinked
f_6cuqlssfrb7d4	nai	Dogs		1	1	0	Irula						unlinked
f_6cvi5k27ivhv2	ējekāra	persons who have acquired some property at auction when there was no owner or inheritor for it (usually a parallel cousin of the deceased owner)		2	2	0	Badaga				long-vowel-apical-control		unlinked
f_6cwlaumxlcxqw	din	sun		1	1	0	Gondi				short-vowel-apical		unlinked
f_6cwqxrypuh6nu	oyiadu	old		1	1	0	AluKurumba				nonapical-control		unlinked
f_6cxk5kr3mxwzm	rid-aṭ	postp. about		1	1	0	Brahui				nonapical-control		unlinked
f_6cy76nmrk3574	kʰerxa	rabbit		1	1	0	Kurux						unlinked
f_6czmyfhpk4qga	cəḍi	feces		1	1	0	Muthuvan						unlinked
f_6d2mraprb25ze	nela	month		1	1	0	Gondi				short-vowel-apical		unlinked
f_6d2t7zuxwfuts	dinmulta	evening, afternoon		1	1	0	Gondi				postapical-cluster;short-vowel-apical		unlinked
f_6d2xysqx6phc4	maḍɨ	cow		1	1	0	Mannan				short-vowel-apical		unlinked
f_6d372xl5iq3ei	bʰit̤ri	inside		1	1	0	Kurux						unlinked
f_6d3baw4kt5lko	gave	gabi/ gavi/ gave		3	3	0	Badaga				nonapical-control		unlinked
f_6d3xpxrmascx2	benki	wild fire, brushfire, jungle fire, bush fire		3	3	0	Badaga				nonapical-control;postapical-cluster;short-vowel-apical		unlinked
f_6d67j4wu7oesk	tali	palm		1	1	0	Kurux				short-vowel-apical		unlinked
f_6d7plauovbkku	kʌrum	near		1	1	0	Gondi						unlinked
f_6dajwqg7ksjo4	mōym	illusion (Skt. māyā), moːym oːx ‘to disappear’, alwïḍoːyfi peːnaː moːymoːyfiːšši (lit. there-is pen-disappearance happened)		1	1	0	Toda						unlinked
f_6dce5ervukfso	muḷḷɨ	thorn		1	1	0	Irula				geminate-apical-control;postapical-cluster;short-vowel-apical		unlinked
f_6dctzcpf7uybk	cubūrm	(EVS) “head on forearm and lower leg” (I: 72)		1	1	0	Kota				nonapical-control		unlinked
f_6dd2yqb5mu2sm	idu	these		1	1	0	Gondi				nonapical-control		unlinked
f_6ddmbiz44knmi	so	go		1	1	0	Gondi						unlinked
f_6dgiew2vjwzke	vorsa	burn		1	1	0	Gondi				postapical-cluster;short-vowel-apical		unlinked
f_6dhawvpilxglw	ārɨ	six		1	1	0	Mannan				long-vowel-apical-control		unlinked
f_6dhc3zquyusjw	es̱tkōl	a game (played by hopping on one leg)		1	1	0	Toda				nonapical-control		unlinked
f_6dhhqanf3we5i	manusa	same as the preceding dictionary entry		3	3	0	Badaga				postapical-cluster;short-vowel-apical		unlinked
f_6dhsjpo3sk6y4	køṭ-	S ofköṛ-		1	1	0	Toda						unlinked
f_6diaancqegd2m	monika	lie down		1	1	0	Irula				short-vowel-apical		unlinked
f_6dizai4oxmwnc	tin	gold		1	1	0	Toda				short-vowel-apical		unlinked
f_6dkgacgyf7dhy	sulandi	spider		1	1	0	Muduga				short-vowel-apical		unlinked
f_6dkrwwkkil6tc	ābād	a. populated; cultivated; prosperous		1	1	0	Brahui						unlinked
f_6dkxmcqpdny5a	vator	come		1	1	0	Gondi				nonapical-control		unlinked
f_6dn4y33ndyx6q	veḷḷatɨ	white		1	1	0	Mannan				geminate-apical-control;postapical-cluster;short-vowel-apical		unlinked
f_6dnc4gt7owsnu	Dēvamale	name of a mountain also known as Bear Hill, Derbettu, Devarmalai Peak, Koondadaver Peak, Koondah Peak, 2531 min elevation, 21 km. SW of Ootacamund (cf. De:vabetta; Macleane 1893: 79; < de:va +male		1	1	0	Badaga						unlinked
f_6do4wrscf676q	pal	milk		1	1	0	Gondi				short-vowel-apical		unlinked
f_6do6i4bdwhqsa	kāyidm	letter		1	1	0	Kota						unlinked
f_6dooafrem36sy	elːi	wife		1	1	0	Kurux				postapical-cluster;short-vowel-apical		unlinked
f_6dphl6wqwllnc	bɨṭṭə	seed		1	1	0	Kannada						unlinked
f_6dq5hlzvpov7g	lokːu	man		1	1	0	Gadaba				nonapical-control		unlinked
f_6dqhf5niy226k	lalẽj	moon		1	1	0	Gondi				postapical-cluster;short-vowel-apical		unlinked
f_6dqlwg3ntc2jc	eiyir	who?		1	1	0	Gadaba						unlinked
f_6drz4exmm22fg	ve	come, he came		1	1	0	Gadaba						unlinked
f_6dssrnp2lveem	nilʦ	Stand		1	1	1	Telugu					nilʦ	unlinked
f_6dumn7yvyxjcs	kɨṯ-fy pas̱	protruding tooth		1	1	0	Toda						unlinked
f_6dv7fwpasqcv6	amaro	int. a. what a		1	1	0	Brahui				nonapical-control		unlinked
f_6dvaohonjdiew	ēḷɨ	seven		1	1	0	Mannan				long-vowel-apical-control		unlinked
f_6dvd26yc7hmf4	pūna	new		1	1	0	Gondi				long-vowel-apical-control		unlinked
f_6dvfiwjztebb6	bajeṇū	noon		1	1	0	Kudiya				nonapical-control		unlinked
f_6dwag43nhio5q	ḍuśi	dust		1	1	0	Irula				nonapical-control		unlinked
f_6dwawsjwr2sq4	oṇṇu	one		1	1	0	Irula				geminate-apical-control;postapical-cluster;short-vowel-apical		unlinked
f_6dwvpip2obgpm	bāyiθ	Sister		1	1	0	Malto						unlinked
f_6dwwevqaw72oi	buːlaṭaːn	walk		1	1	0	Konda						unlinked
f_6dxtow56uigdm	bʌcole	how many		1	1	0	Gondi						unlinked
f_6dy2gwu7zyaca	ēvan	who?		1	1	0	Muthuvan						unlinked
f_6dy7cq5srmen4	uppɨ	salt		1	1	0	Mannan				nonapical-control		unlinked
f_6dydlhain5ars	kaṭnare	bring		1	1	0	BettaKurumba				postapical-cluster;short-vowel-apical		unlinked
f_6dyselsgnx2os	tu ːre	far		1	1	0	Muthuvan						unlinked
f_6dzabn3ctjzha	nɨs̱-	an alternant of nïl- ‘to stand’ occurring in koṇs: koṟoːṛ-nïs̱; naːs̱nïs̱; tönïs̱, kaːynïs̱		1	1	0	Toda						unlinked
f_6e24jlpmtdkd2	muḷusa	whole (unbroken)		1	1	0	Irula				short-vowel-apical		unlinked
f_6e2cnoab6yh7k	vada	come		1	1	0	Gondi				nonapical-control		unlinked
f_6e3gc2c4rqwlg	(election)	parliamentary or municipal election		1	1	0	Badaga						unlinked
f_6e3rnaedh2xus	āgi	old, stale, former, rotten, gone bad, ruined; 1. old thing, stale thing, ruin; 2. sculptured dolmen, cist burial		3	3	0	Badaga						unlinked
f_6e3zhfykv3jus	cele	younger sister		1	1	0	Gondi				short-vowel-apical		unlinked
f_6e4j4cmu7nksy	indɨ	today		1	1	0	Irula				postapical-cluster;short-vowel-apical		unlinked
f_6e67xxbtjt3bk	pīs̱ uśtyt maṟ	east (sun rising direction) (uštyt maṟ ‘rising side’)		1	1	0	Toda						unlinked
f_6e7b4rlgw72oc	alkʰias	laugh		1	1	0	Kurux				postapical-cluster;short-vowel-apical		unlinked
f_6e7ykai3mbko4	kacʰu̯a	turtle		1	1	0	Kurux				nonapical-control		unlinked
f_6ea4gjnhm54ly	(encroachment)	encroachment on the land of another (K Eng.)		1	1	0	Badaga						unlinked
f_6ebqmmmvkgjnw	avan	he (3rd sg. masculine)		1	1	0	Irula				nonapical-control		unlinked
f_6ecbjahe5mf6g	keḷu	hear		1	1	0	Kannada				short-vowel-apical		unlinked
f_6edapnxdu2uiw	ta mbi	younger brother		1	1	0	MalaMalasar						unlinked
f_6eflwt75c5rle	elumbɨ	bone		1	1	0	Irula				short-vowel-apical		unlinked
f_6efzfaho5dknu	ariyəḍḍa	cold		1	1	0	AluKurumba				short-vowel-apical		unlinked
f_6eg3bnmqownla	hilāl	n. halal		1	1	0	Brahui				short-vowel-apical		unlinked
f_6egfv7732d7y4	cerɨ	mud		1	1	0	Muthuvan				short-vowel-apical		unlinked
f_6egmofwzpzrvy	tāñji	Father		1	1	0	Kui						unlinked
f_6eidyczsxqs7w	havi	meat		1	1	0	Gondi				nonapical-control		unlinked
f_6eijbgchsstcy	bʌga	where		1	1	0	Gondi						unlinked
f_6ejb3rrqeg5ds	sede	white		1	1	0	Kurux				nonapical-control		unlinked
f_6ejgrxndtt4rw	veṛi	wind		1	1	0	Gondi				short-vowel-apical		unlinked
f_6ejv3wr2ohuge	nāyi	dog		1	1	0	Muduga						unlinked
f_6ek3jgwg6oelo	turisimatur	fly		1	1	0	Gondi				short-vowel-apical		unlinked
f_6eko73eghywfo	asul	adv. absolutely; never; just; surely		1	1	0	Brahui				nonapical-control		unlinked
f_6elu3nijmrkiu	ambaḷa	man		1	1	0	Irula				nonapical-control		unlinked
f_6elusz4q3l3pa	veḷuttu ḷḷi	garlic		1	1	0	Mannan				short-vowel-apical		unlinked
f_6emi4izn6xhsg	aca	good		1	1	0	Gondi				nonapical-control		unlinked
f_6emolk4gdl2ea	māŋgāyɨ	mango		1	1	0	AluKurumba						unlinked
f_6emsnxatubocm	veranḍā	finger		1	1	0	Urali				short-vowel-apical		unlinked
f_6enbh2nnzvuwi	kʌl	stone		1	1	0	Gondi						unlinked
f_6enq3pceh62q2	vɨṛfedn oɫ̣	younger sister’s husband (woman speaking)		1	1	0	Toda						unlinked
f_6enspix7xll3o	(M.P.)	M.P., Member of Parliament, Member of the Lok Sabha ; Madhya Pradesh, Central Provinces, an Indian state		1	1	0	Badaga						unlinked
f_6eo4wb4kdnc32	sarkarɛt	morning		1	1	0	Gondi				postapical-cluster;short-vowel-apical		unlinked
f_6epcqtfayvf3q	matu	we (inclusive)		1	1	0	Gondi				nonapical-control		unlinked
f_6eqeiqznbxcne	oṭṭukka	all		1	1	0	Eravallan				geminate-apical-control;postapical-cluster;short-vowel-apical		unlinked
f_6esnnhcraa4kw	tambaɣa	tray		1	1	0	Kannada				nonapical-control		unlinked
f_6etd4rcoab46y	vərksimatur	he was thirsty		1	1	0	Gondi						unlinked
f_6etvveqadnz4y	vēdm	difference		1	1	0	Kota						unlinked
f_6ev57pmqbchuq	kattu gūḷi	same as the preceding dictionary entry		2	2	0	Badaga				geminate-apical-control;nonapical-control;postapical-cluster;short-vowel-apical		unlinked
f_6evvpp2lieqy6	kɛlkʰ	hair		1	1	0	Gondi						unlinked
f_6ewlm226igjo4	cītta tɨ	cold		1	1	0	Kadar						unlinked
f_6ewudwsur5gvq	beḷaṭɨŋgaḷu	moon		1	1	0	Kannada				short-vowel-apical		unlinked
f_6ex5jho3vnq7g	tarānāl	Hair		1	1	0	markodi				short-vowel-apical		unlinked
f_6expjescqbjiw	gaḷi	wind		1	1	0	Irula				short-vowel-apical		unlinked
f_6f2dc3mmvd7ho	mūk	nose		1	1	0	Kudiya						unlinked
f_6f4lszwm5rrnq	boka	bone		1	1	0	Gondi				nonapical-control		unlinked
f_6f4sc6oac75ec	koḍali	axe (for cutting wood)		1	1	0	Irula				short-vowel-apical		unlinked
f_6f6rv2ij5e3tc	ɨr mɨs	teat/nipple of a buffalo; milch buffalo in the following contexts: ïr-mïs kwïṛ- ‘to give a milch buffalo’, ïr-mïs̱ pent- ‘to ask for milch buffalo’, ïr-mïs̱ eːf- ‘to take a milch buffalo’		1	1	0	Toda						unlinked
f_6fbvoffe2cogq	illave	pers. pl. NOM prox. (Eme-		2	2	0	Badaga				geminate-apical-control;postapical-cluster;short-vowel-apical		unlinked
f_6fbyvqscx6uwg	hīžžāra	n. hiss; whizz		1	1	0	Brahui						unlinked
f_6fc5xkpct24tw	svadarma	self-help, doing something well for one’s own benefit		1	1	0	Badaga						unlinked
f_6fca2ylgqchj4	sarmɨn	aluminium (< ‘German’ silver)		1	1	0	Toda				postapical-cluster;short-vowel-apical		unlinked
f_6fcsrmpzmmmka	nar	village		1	1	0	Gondi				short-vowel-apical		unlinked
f_6fegtkr2cohwe	aḍmul	eight		1	1	0	Gondi				postapical-cluster;short-vowel-apical		unlinked
f_6fei47vafe5wm	garuve	mischievous, proud, egoistic, greedy (cf. Skt. garvita		1	1	0	Badaga				short-vowel-apical		unlinked
f_6feoeh7jubs4e	elumbu	bone		1	1	0	Irula				short-vowel-apical		unlinked
f_6feuntpkrexg4	pannəṇḍɨ	twelve		1	1	0	Mannan				geminate-apical-control;postapical-cluster;short-vowel-apical		unlinked
f_6fevex4dxpifc	nēṯūxy-	S of neːṯuːx-		1	1	0	Toda				long-vowel-apical-control		unlinked
f_6ff6uxozay3fs	kaṇṇi	rope		1	1	0	Irula				geminate-apical-control;postapical-cluster;short-vowel-apical		unlinked
f_6fg6cxkxb77jw	ēṟ-taṭ	avessel/vesselscontainingmaterialsotherthanmilk(cf.poːṯaṭ <poːs- taṭ ‘milk vessels’). both these vessels are distinct and vessels from the opposite side should not be kept in one side — this will lead to pollution		1	1	0	Toda				long-vowel-apical-control		unlinked
f_6fghpmamtqppg	pogu	smoke		1	1	0	Gadaba				nonapical-control		unlinked
f_6fgtnoatb6ink	tāya	king, ruler; male name		2	2	0	Badaga						unlinked
f_6fhkqmsn6ybq2	aman kalagia	be thirsty		1	1	0	Kurux				nonapical-control		unlinked
f_6fitt6jl2t4ma	tiyārī	a. ready		1	1	0	Brahui				nonapical-control		unlinked
f_6fj6rr3ocu4pg	pok	ant		1	1	0	Kurux				nonapical-control		unlinked
f_6fjksb5mxaxkc	aŋgoi	palm		1	1	0	Irula						unlinked
f_6fk7r4zymig3u	hurmi	all		1	1	0	Kurux				postapical-cluster;short-vowel-apical		unlinked
f_6fkigkqzocqwo	nalū	four		1	1	0	Kudiya				short-vowel-apical		unlinked
f_6fkkk4lzmr6l6	patte	Ten		1	1	0	Kota				nonapical-control		unlinked
f_6fkycyzwu5nha	vəṇḍu	one (stone)		1	1	0	Kannada						unlinked
f_6fljlyhws3wtq	neṭra	blood		1	1	0	Kannada				postapical-cluster;short-vowel-apical		unlinked
f_6fllju32itggg	āsī	n. sinner		1	1	0	Brahui						unlinked
f_6flsjrlaotmkq	kai	arm		1	1	0	Gondi						unlinked
f_6flvcn5ipovi2	vāyi	mouth		1	1	0	Muthuvan						unlinked
f_6fm3g4kwvnvfk	kuyi	below		1	1	0	Irula				nonapical-control		unlinked
f_6fr33ossbwu7i	bʰalu	father		1	1	0	Gondi						unlinked
f_6fr4n6bvmjnki	uɫāṟvīṯtovɨs̱̣	stick or wand used for driving off calves while milking		1	1	0	Toda						unlinked
f_6fr7vw622i5jg	jōdaṇa	eight annas DBIA 179, 250		1	1	0	Badaga						unlinked
f_6frelppnvfw3w	lēkō rēmal	Good man		1	1	0	Gadaba						unlinked
f_6frjjs5g6wto6	vorta	broken		1	1	0	Gondi				postapical-cluster;short-vowel-apical		unlinked
f_6frlun7oa5h3a	øvguḍestūṟ	nameofatree		1	1	0	Toda						unlinked
f_6frvgmu7cjw7i	maŋgāy	mango		1	1	0	Muthuvan						unlinked
f_6fsgy5yrvrnpg	yei̯ṛ	water		1	1	0	Gondi						unlinked
f_6ft246tiodruy	endən	what?		1	1	0	Mannan				postapical-cluster;short-vowel-apical		unlinked
f_6ft6mkpff56ui	nākkɨ	tongue		1	1	0	Muthuvan						unlinked
f_6ftaehwgp4lre	kər	eye		1	1	0	Gondi						unlinked
f_6fu2cds7lxdys	ī xalēva	I beat		1	1	0	Brahui						unlinked
f_6fuf4zpayktri	tīrc-	S oftiːrc-		1	1	0	Toda				long-vowel-apical-control		unlinked
f_6fv2bkk4tyzjg	uli	onion		1	1	0	Gondi				short-vowel-apical		unlinked
f_6fv7ht5pwddgy	yinḍrɨ	today		1	1	0	AluKurumba				postapical-cluster;short-vowel-apical		unlinked
f_6fwdpkr6wjrkq	sonɨl	window (Portuguese janel(l)a, through Ta. jaṉṉal, caṉṉal, Malayalam janel, Kota janl)		1	1	0	Toda				short-vowel-apical		unlinked
f_6fx4jvhoixupi	vəttəl	dry		1	1	0	Gondi						unlinked
f_6fxuq6vdsffve	cepa	he hears		1	1	0	Kudiya				nonapical-control		unlinked
f_6fyae5ig2lthi	badʰakopi	cabbage		1	1	0	Kurux				nonapical-control		unlinked
f_6fyw5sb5mz562	ava	she (3rd sg. feminine)		1	1	0	Irula				nonapical-control		unlinked
f_6fzboopsu3vbe	tuṭ	loop-shaped handle of a vessel or pot (not of a knife), handle of a cup, handle of bamboo milking vessel, a vessel with a handle that comes up for holding the vessel (image), cane loops on the house roof for tying the thatch, ear ornament variety		1	1	0	Toda				short-vowel-apical		unlinked
f_6g2bzhjgefh3k	dūī mann-ing	vi. to be acquired		1	1	0	Brahui						unlinked
f_6g2hpphh72qmm	sanni	small		1	1	0	Kurux				geminate-apical-control;postapical-cluster;short-vowel-apical		unlinked
f_6g2j56p77plak	bʰeṭ̤aŋgo	egg plant		1	1	0	Kurux						unlinked
f_6g5eps35dztqk	gaḍḍas	bury		1	1	0	Kurux				geminate-apical-control;postapical-cluster;short-vowel-apical		unlinked
f_6g5zlh7kryrug	billu	bow		1	1	0	Kannada				geminate-apical-control;postapical-cluster;short-vowel-apical		unlinked
f_6g62m7n3g2ht4	niḍḍe	sleep		1	1	0	Kannada				geminate-apical-control;postapical-cluster;short-vowel-apical		unlinked
f_6g6qpxenzksxq	peṯ-	S ofp e ɫ -̣ ‘(buffalo) goes dry’		1	1	0	Toda				short-vowel-apical		unlinked
f_6g74zhqdzcumg	kinḍir	tail		1	1	0	Gadaba				postapical-cluster;short-vowel-apical		unlinked
f_6ga7k4kunz77a	saṭṭɨ	die		1	1	0	Irula				geminate-apical-control;postapical-cluster;short-vowel-apical		unlinked
f_6gbgsbbyqf7ie	namɨ	we (1st pl. exclusive)		1	1	0	Irula				nonapical-control		unlinked
f_6gbgyusgshhmy	cavude	firewood cari cari henga cavude hottu bandale |		3	3	0	Badaga				nonapical-control		unlinked
