turner	proto_headword	proto_accent_nucleus	proto_nuclei	source_glosses	palula	gil	koh	gur	Astor	dr	bro	source_rows	proto_entry	assessment_codes	historical_assessment	verification_scope
8056	pā́da	1	2	foot		páa	páa~	páa	páa			gil:66; koh:67; gur:68; Astor:69	8056 pā́da m. 'foot' RV., 'foot or leg of inanimate object' AV., pādaká- m. 'small foot' RV. 2. 'a fourth part, line of a verse' ŚBr. [In many NIA. forms a final -u or -v   may be &lt; nom. and acc. sg. m. -ō, -aṁ which, confined originally to dir. sg. (~ obl. sg. and pl. stem pā{y}-), were often incorporated in the stem and even in derivatives. Possibly however, though not very probably, some of these forms are &lt; pādú- q.v. — Words for 'quarter' with -u or -v are still more probably &lt; nom. and acc. sg. pādō, °daṁ. — pád-²]	R	Early long accent after intervocalic consonant/final-vowel loss compatible with pā́da.	First-pass comparison; see family-notes.md for independently page-checked central examples
8188	pítriya	1	3	father's brother	pitrí [uncle; father's brother; father's cousin]	picáa	picáar	pic̣íi				gil:179; koh:180; gur:181	8188 pítriya 'paternal' (metr.) RV., m. 'eldest brother who takes place of father' lex. 2. pítrya- RV. [Replaces pitr̥vya- m. 'father's brother' Mn. — pitŕ̥-]	M	Kinship derivatives and feminine/masculine ending differences; pítriya alone is not an adequate immediate input.	First-pass comparison; see family-notes.md for independently page-checked central examples
8201	pipīlá	3	3	ant	pilíilu [ant]	philíili	phibíili	pfiliíli	philíili			gil:639; koh:640; gur:641; Astor:642	8201 pipīlá m. 'ant' RV., °laka- m. 'large black ant' ChUp., pipī́likā- f. 'small red ant' AV., pīlaka- m. 'ant' lex. 2. *piphīla-. 3. *pippīla-. 4. *pipphīla-. 5. *pippīḍa-. 6. *pilīla-. [Variety of MIA. and NIA. forms for 'ant' may be due partly to its (unknown) nonAryan origin (EWA ii 285), partly to contamination with kīṭá- and kŕ̥mi-, but mainly to some sort of taboo for a noxious insect. Although there appear to be six main types, not all NIA. forms can be grouped exactly under them]	M;D	Most early accent on old long medial vowel, Guresi late ii. Palula and Shina formations differ; inspect source before generalizing.	First-pass comparison; see family-notes.md for independently page-checked central examples
8249	púccha	1	2	tail		phacoó						gil:765	8249 púccha m.n. 'tail, hinder part' AV., pucchaka- n. lex. [See piccha-]	M	Final long suffix in phacoó is additional formation; cannot compare its accent directly with púccha.	First-pass comparison; see family-notes.md for independently page-checked central examples
8265	putrá	2	2	son	putr [son]	puc̣	puc̣	puc̣	puc̣			gil:230; koh:231; gur:232; Astor:233	8265 putrá¹ m. 'son' RV.	U;A	Short son forms conceal contour; Palula putr/putrá supports lost-final-accent account.	First-pass comparison; see family-notes.md for independently page-checked central examples
8416	paútra	1	2	grandson	púutru [grandson; son's son]	póoc̣o	póoc̣o	póoc̣o	póoc̣o			gil:191; koh:192; gur:193; Astor:194	8416 paútra m. 'son's son' AV., pautraka- m. Kāv. [putrá-¹]	R	Old accented au gives early long accent; Palula raising distinguishes quality, not accent locus.	First-pass comparison; see family-notes.md for independently page-checked central examples
9029	plúṣi	1	2	flea	príiṇṣu [flea]			príij̣o	príiẓu			gur:705; Astor:706	9029 plúṣi m. 'a partic. noxious insect, (prob.) flea' RV. 2. *pruṣi- 3. *pruci-. 4. *pricu-. 5. *priṣu-. 6. *praṣu- (or *prāṣu-: X prāśú- 'very quick' RV.??). [Variety of forms due to alteration, throu h taboo, of the name of a noxious insect, as in other IE. languages EWA ii 386 with lit. — See Add.]	M	Extended flea nouns preserve initial prominence but have complex vowel/nasal history; do not count as a direct vowel-to-vowel match.	First-pass comparison; see family-notes.md for independently page-checked central examples
9216	bālá	2	2	child		baál	baál		baál			gil:160; koh:161; Astor:162	9216 bālá 'young' Gr̥S., 'foolish' Mn., m. 'boy (under five years old)' Mn., °aka- adj. and sb. MBh., m. 'fool' lex., bālā- f. 'girl (esp. under sixteen years old)' Mn. [Despite the various etymologies listed in EWA ii 426, it perh. belongs to the 'defective' group s.v. baṇḍá- which proprovides, like other 'defective' groups, several words for 'child', e.g. *bāḍa- in Paš. bāṛā 'boy', bāṛī 'girl', *bāḍḍa- in G. bāḍuvā̃ 'poor simple little children': note esp. the meanings 'ignorant, fool' in Pa. Pk.]	A	Late baál compatible with bālá plus apocope; verify paradigm to distinguish retention from secondary class assignment.	First-pass comparison; see family-notes.md for independently page-checked central examples
9250	bī́ja	1	2	seed	bíi [seed]	bíi	bíi	bíi	bíi			gil:837; koh:838; gur:839; Astor:840	9250 bī́ja n. 'seed, semen' RV., bījaka- n. Suśr.	R	Early long accent compatible with old bī́ja after intervocalic consonant and final vowel loss.	First-pass comparison; see family-notes.md for independently page-checked central examples
9303	bŕ̥haspáti	1,3	4	Thursday		bréspat			bréspat			gil:474; Astor:475	9303 bŕ̥haspáti m. 'name of a deity' RV., 'the planet Jupiter' R. [√br̥h¹, páti-]	M	Compound has two accents in cited OIA form; modern compound selection and syllable loss must be analyzed.	First-pass comparison; see family-notes.md for independently page-checked central examples
9568	bhū́yiṣṭha	1	3	all (countable); all (uncountable)		búṭo; búṭa	búṭa	búṭɨ				gil:975; gil:977; koh:978; gur:979	9568 bhū́yiṣṭha 'most numerous, chief' RV., bhū́yiṣṭham adv. 'mostly' ŚBr. [bhū́yas. — √bhū]	R;M	Initial accent compatible, but quantifier paradigm and cluster shortening complicate derivation.	First-pass comparison; see family-notes.md for independently page-checked central examples
9661	bhrā́tr̥	1	2	brother	bhróo [brother; cousin, member of one's own tribe]	ẓáa	ẓáa	j̣áa	ẓáa			gil:152; koh:153; gur:154; Astor:155	9661 bhrā́tr̥ m. 'brother' RV., bhrātr̥ka- m. Kālid.	R;S	Main Shina early ẓáa is a strong old-long comparison. Palula brother has conflicting accent transcription and is excluded from fine chronology.	First-pass comparison; see family-notes.md for independently page-checked central examples
9982	māṁsá	2	2	flesh	mhaás [meat, piece of flesh]	moós	moós	moós	moós			gil:62; koh:63; gur:64; Astor:65	9982 māṁsá n. 'flesh', māṁs- in cmpds., mā́s- n. RV.	A	Late moós/mhaás compatible with final-accent apocope; nasal/aspiration/vowel-quality history is separate.	First-pass comparison; see family-notes.md for independently page-checked central examples
9989	mākṣiká	3	3	honey	meec̣hí [honey]	mac̣híi	mac̣íi	mac̣híi	mac̣híi			gil:310; koh:311; gur:312; Astor:313	9989 mākṣiká 'pertaining to a bee' MārkP., n. 'honey' Suśr. 2. *mākṣa-. [mákṣā-]	M	Honey feminine derivative mākṣikā-type, not adjectival mākṣiká alone; final íi and earlier vowels need formation-specific history.	First-pass comparison; see family-notes.md for independently page-checked central examples
10016	mātŕ̥	2	2	mother		maá~	maá~	máa~				gil:204; koh:205; gur:206	10016 mātŕ̥ f. 'mother' RV., mātr̥kā- f. Kāv.	M;D	Contracted kinship forms differ: Gilgit/Kohistani late versus Guresi early. Full old paradigm and contractions needed.	First-pass comparison; see family-notes.md for independently page-checked central examples
10104	mā́sa	1	2	month		máaz	móos	móos	móos			gil:498; koh:499; gur:500; Astor:501	10104 mā́sa m. 'moon, month' RV., °aka m. Sūryas. [mā́s-]	R	Early accent compatible with mā́sa, contrasting late flesh. Gilgit máaz differs in quality, not mora accent.	First-pass comparison; see family-notes.md for independently page-checked central examples
10158	múkha	1	2	face		mukh	muk	muk	mukh			gil:49; koh:50; gur:51; Astor:52	10158 múkha n. 'mouth, face' RV., 'entrance' MBh.	U	Short citation forms uninformative; compare Kundal Shahi postaccenting oblique face rather than assume fixed class.	First-pass comparison; see family-notes.md for independently page-checked central examples
10221	muṣṭí	2	2	shoulder	múṣṭi [fist; shaft]; múṭi [arm]		muṭh	miṭhíj	miṭhíjo			koh:130; gur:131; Astor:132	10221 muṣṭí m.f. 'clenched hand, fist' RV., 'handful' ŚBr.	M	Fist, arm and shoulder formations differ; Palula múṣṭi has retracted accent against muṣṭí, requiring further history.	First-pass comparison; see family-notes.md for independently page-checked central examples
10244	mūrtá	2	2	curds		múuṭo dut	múutho dut					gil:270; koh:271	10244 mūrtá 'coagulated' TS., 'embodied' ŚBr. [~ *mūrṇa-². — √mūrch]	M	Curdled adjective has early root accent before gender ending, despite final accent in mūrtá.	First-pass comparison; see family-notes.md for independently page-checked central examples
10250	mū́la	1	2	root	mulái [radish]	mulií						gil:836	10250 mū́la (mū́ra- AV.) n. 'root' RV., mūlaka- 'arising from' MBh., m.n. 'radish' Mn., mūlikā- f. 'root used in magic' Pañcat. 2. *mūḍa-. [Despite early occurrence and proposed connexion with Gk. μω̑λυ (IEW 750), variation of -l/r- ~ -ḍ- supports non-Aryan, perh. Drav., origin: cf. Tam. muḷā, muḷḷaṅki 'radish' &amp;c., DED 4105. Prob. only chance resemblance with L. and Bi. forms of MIA. muḍḍha- &lt; mūrdhán- with meaning of 'root']	M	Root/radish forms have extra feminine/derivational material; mulií and mulái are not bare continuations of mū́la.	First-pass comparison; see family-notes.md for independently page-checked central examples
10264	mr̥gá	2	2	bird	mring [markhor (generic)]	briṅ						gil:651	10264 mr̥gá m. 'wild animal, deer' RV. 2. mr̥gī- f. 'doe' R. 3. *mr̥gā-.	U;M	Short bird form uninformative; proposed bird/markhor cognacy needs semantic and consonantal justification separately.	First-pass comparison; see family-notes.md for independently page-checked central examples
10299	mr̥ṣṭá	2	2	good		míṣṭo	míṣṭho	míṣṭhu	míṣṭhu			gil:1049; koh:1050; gur:1051; Astor:1052	10299 mr̥ṣṭá¹ 'rubbed, washed, pure' RV., 'prepared, savoury' R., 'sweet, pleasant' MBh., miṣṭa-¹ 'dainty, sweet' MBh. [√mr̥j or √mr̥ś]	M	Extended good adjective has early root accent; cluster simplification and old vocalic-r development separately required.	First-pass comparison; see family-notes.md for independently page-checked central examples
10323	mḗdas	1	2	grease	míi [marrow; animal fat]	míi~	myú~	mií~	míi~			gil:301; koh:302; gur:303; Astor:304	10323 mḗdas n. 'fat, marrow' RV., mēda- m. 'fat' R.	R;D	Early accent in Gilgit/Astor/Palula compatible with mḗdas; Guresi late mií requires source/paradigm check.	First-pass comparison; see family-notes.md for independently page-checked central examples
10394	yákr̥t-,	1	2	liver	ǰhangaár [liver]	yúum	yúu~	yúu~	yúu~			gil:102; koh:103; gur:104; Astor:105	10394 yákr̥t-, gen. yaknás n. 'liver' RV.	R;M	Initial accent broadly compatible but strong segmental remodeling and alternative old liver stems need reconstruction.	First-pass comparison; see family-notes.md for independently page-checked central examples
10412	yantrá	2	2	spinning wheel	yáandr [mill]			yo~ṣ				gur:374	10412 yantrá n. 'controlling device' RV., 'any implement or contrivance' MBh., yantraka- n. 'handmill' Hcat. [√yam]	U;X	Short Guresi citation uninformative. Palula fixed yáandr differs from yantrá; Dybo pre-Vedic hypothesis must be tested outside this one pair.	First-pass comparison; see family-notes.md for independently page-checked central examples
10442	yavyā́	2	2	irrigation channel	yáab [irrigation canal]	yap	yab	yab	yap			gil:319; koh:320; gur:321; Astor:322	10442 yavyā́ f. 'stream' Naigh. (in yavyā́vatī- 'a place-name' RV.?). 2. *yaviyā́-.	U;X	Short Shina citation forms uninformative. Palula yáab has early accent and requires formation/earlier accent history against yavyā́.	First-pass comparison; see family-notes.md for independently page-checked central examples
10452	yā́ti	1	2	to walk	yhíi [to come, arrive; become, come into existence]	yayoók						gil:965	10452 yā́ti 'goes, approaches, comes to' RV. [√yā]	M	Modern infinitive/come versus old finite go: suffix accent and suppletion prevent direct comparison.	First-pass comparison; see family-notes.md for independently page-checked central examples
10652	rásati	1	3	to say		rayoók						gil:934	10652 rásati¹ 'yells' ŚBr., 'praises' Naigh. [√ras¹]	M	Modern infinitive versus OIA finite verb; inherently accented suffix is decisive.	First-pass comparison; see family-notes.md for independently page-checked central examples
10702	rā́trī	1	2	night	raát [night (as a measure of time); 24-hour period]	ráati	ráati	ráati	ráati			gil:536; koh:537; gur:538; Astor:539	10702 rā́trī f. 'night' RV.	R;D	Main Shina early ráati agrees with old rā́trī; Palula raát versus róot split remains unexplained, not two independent inherited cognates.	First-pass comparison; see family-notes.md for independently page-checked central examples
10978	lavaṇá	3	3	salt	lhoóṇ [salt]		luúṇi	luúṇi				koh:357; gur:358	10978 lavaṇá n. 'salt' AV., adj. 'salty' MBh. [J. Charpentier IL ii 55 &lt; *ravaṇa-. — Rather MIA. &lt; lavana- (cf. láva-¹) and lūna- (cf. Pk. lūṇa-) '*piece of rock-salt' (J. C. W.)]	M	Late luúṇi retains a final vowel; contraction and an extended feminine formation, not simple final apocope alone.	First-pass comparison; see family-notes.md for independently page-checked central examples
10988	lavítra	2	3	sickle		leéc̣	léec̣i					gil:361; koh:362	10988 lavítra n. 'sickle' Pāṇ. [√lū]	D;M	Gilgit leéc̣ late versus Kohistani léec̣i early: different retained endings and contraction history.	First-pass comparison; see family-notes.md for independently page-checked central examples
11009	lāṅgūlá	3	3	tail	laméeṭi [tail]		lamṭoó	lamóoṭu; lamṭoó	lamóṭi			koh:766; gur:767; gur:768; Astor:769	11009 lāṅgūlá (lāṅgula- Pañcat., laṅgula- lex.) n. 'tail' ŚāṅkhŚr., adj. 'having a tail' MBh., 'penis' lex. 2. *lāṅguṭa-. 3. *lāṅguṭṭa-. 4. *lāṅguṭṭha-. 5. *lēṅgula-. 6. *lēṅguṭṭa-. [Cf. lañja-². — Variety of form attests non-Aryan origin: PMWS 112 (with lakuṭa-) ← Mu., J. Przyluski BSL 73, 119 ← Austro-as.]	M;D	Tail formations have metathesis and distinct final-suffix accents; cannot treat them as a uniform reflex of lāṅgūlá.	First-pass comparison; see family-notes.md for independently page-checked central examples
11302	vayám	2	2	we	be [we (1pl nom)]	be; bes	be	beʔ	be; bes			gil:1281; gil:1282; koh:1283; gur:1285; Astor:1286; Astor:1287	11302 vayám 'we' RV.	U;M	Short pronouns; contraction and pronominal paradigm, not an independent mora-accent test.	First-pass comparison; see family-notes.md for independently page-checked central examples
11392	varṣá	2	2	year	báaṣ [rain]; béeriṣ [summer]	baríš						gil:580	11392 varṣá n. 'rain' RV., pl. 'the Rains' AV. 2. 'year ŚBr. [√vr̥ṣ]	M;D	Year/summer/rain comparison involves distinct formations. Palula báaṣ has later early aa but mobile paradigm; lexical falling does not imply historical barytonesis.	First-pass comparison; see family-notes.md for independently page-checked central examples
11572	vā́la	1	2	hair	bóolu [(straw of) hair]		báal	báal				koh:74; gur:75	11572 vā́la m. 'hair of tail, tail, hair' TS., vālaka- m. 'tail of horse or elephant' lex. [~ vā́ra-¹]	R	Early long accent compatible with vā́la; Palula root raising plus extended gender vowel.	First-pass comparison; see family-notes.md for independently page-checked central examples
11616	viṁśatí	3	3	twenty	bhiíš [twenty; the twenty sth or people]	bií	bií	bií	bií			gil:1175; koh:1176; gur:1177; Astor:1178	11616 viṁśatí f. '20' RV., viṁśat-, viṁśa- (in cmpds.) MBh.	A;M	Late bií/bhiíš compatible with lost final accent; contraction and numeral restructuring must be separated from simple retention.	First-pass comparison; see family-notes.md for independently page-checked central examples
12051	vīdhrá	2	2	blue sky	beedhríi [to clear up (about sky)]	béej̣i	bíẓi	béj̣u				gil:390; koh:391; gur:392	12051 vīdhrá n. 'clear sky, sunshine' AV. 2. vī́dhrya- 'relating to the clear sky' VS. 3. *vīdhriya-. 4. *vaidhriya-. [*īdhra-]	M	Blue sky adjective versus Palula inchoative verb not like-for-like. Main Shina early root accent needs adjectival formation history.	First-pass comparison; see family-notes.md for independently page-checked central examples
12064	vr̥kká	2	2	kidney	bhruk [kidney]	j̣uk; ẓuk	ẓuúk	j̣úuk	j̣uk			gil:89; gil:90; koh:91; gur:92; Astor:93	12064 vr̥kká m. du. 'kidneys' AV., vŕ̥kya- TS., vr̥kkā- f. 'heart' lex. 2. *vrakka-. 3. bukka-¹ n. 'heart', °kan- m. lex., °kā- f. Mr̥cch., būkka- n. lex., būkhan- n. Col. [Meaning and initial v- are confirmed by Av. vərət̰ka-, Pers. gurda 'kidney'. vr̥kkā- 'heart' is X non-Aryan bukka- 'intestines (heart, liver, lungs, &amp;c.)' which in its turn in NW. (Tor. K. L. WPah.) and M. gained mng. 'kidney' (com. on Amarakośa ii 6, 64 s.v. bukkāgramāṁsa- appears to refer to kidneys confused with heart and liver). RV. vr̥kkḗ (Padap. vr̥kkáḥ) 'in belly' is poss. a hyper-vedic substitution for bukka- (J. C. W.). — Cf. *bōkk-]	D;M	Kohistani rising versus Guresi early and short Gilgit/Astor. Later Tileli rising ẓuúk/ẓukí differs from 2008 Guresi; fixed/mobile paradigms essential.	First-pass comparison; see family-notes.md for independently page-checked central examples
12233	vrīhí	2	2	rice (paddy)					briú~			Astor:1416	12233 vrīhí m. 'rice' AV. [→ Par. ráhö, rahṓ 'husked rice' IIFL i 284]	M	Final nasalized diphthong; contraction of old syllables and morphological form need checking before accent alignment.	First-pass comparison; see family-notes.md for independently page-checked central examples
12278	śatá	2	2	hundred		šal	šal	šal	šal			gil:1064; koh:1065; gur:1066; Astor:1067	12278 śatá n. '100' RV.	U	Short monosyllables cannot reveal mora contrast or inflectional class.	First-pass comparison; see family-notes.md for independently page-checked central examples
12323	śáyana	1	3	bed	šíin [bed (charpoy, string bed)]	šéen	šen					gil:256; koh:257	12323 śáyana n. 'lying down, bed' ŚBr. [→ Par. šīnā́ 'cradle' IIFL i 290. — √śī]	R	Early accent on contracted śáyana compatible with retention; Kohistani shortening and Palula raising are independent.	First-pass comparison; see family-notes.md for independently page-checked central examples
12326	śaraṇá	3	3	roof			šaróon	šarún	šarín			koh:352; gur:353; Astor:354	12326 śaraṇá² 'protecting', n. 'shelter, home' RV. 2. *śarṇa-. [√śar]	M	Final stem accent broadly compatible with śaraṇá after extension/contraction; different vowel lengths by dialect.	First-pass comparison; see family-notes.md for independently page-checked central examples
12329	śarád	2	2	autumn	šaraál [autumn]	šaróo	šaryóo	šaróo	šaróo			gil:444; koh:445; gur:446; Astor:447	12329 śarád f. 'autumn' RV., śarada- in cmpd. Pāṇ., śaradā- f. lex. 2. *śaradda-.	M	Extended autumn forms with long final gender vowel require derivation and suffix-accent history.	First-pass comparison; see family-notes.md for independently page-checked central examples
12487	śītalá	3	3	cold; fever	šidáalu [cold]	šidálo; šaál	šaál					gil:998; gil:1351; koh:1352	12487 śītalá 'cold' MBh. [śītá-¹]	M	Root-final accent in extended cold adjective versus final accent of śītalá. Fever šaál is a separate contracted/substantivized formation.	First-pass comparison; see family-notes.md for independently page-checked central examples
12492	śīná	2	2	snow		hin	hin	hin	hin			gil:417; koh:418; gur:419; Astor:420	12492 śīná¹ 'frozen, congealed' Pāṇ., n. 'ice' VS. [~ śītá-. — √śyai]	U	Short monosyllables; old ī shortened but citation form gives no class information.	First-pass comparison; see family-notes.md for independently page-checked central examples
12497	śīrṣá	2	2	head	ṣiṣ [head; hair]	ṣiṣ	ṣiṣ	ṣiíṣ	ṣiíṣ			gil:80; koh:81; gur:82; Astor:83	12497 śīrṣá n. 'head, skull' AV. [śīrṣán- n. RV. — śíras-]	D;A	Guresi/Astori late long compatible with final-accent apocope; Gilgit/Kohistani/Palula short reflect separate quantity history.	First-pass comparison; see family-notes.md for independently page-checked central examples
12548	śúṣka	1	2	dry	šúša [to dry (out)]	súkho	šúkho	šúku	šúku			gil:1003; koh:1004; gur:1005; Astor:1006	12548 śúṣka 'dried' RV., śuṣkaka- R. [√śuṣ¹]	R;M	Initial accent compatible after cluster change; Palula cited item is a verb and not a directly comparable adjective.	First-pass comparison; see family-notes.md for independently page-checked central examples
12583	śŕ̥ṅga	1	2	horn	ṣing [horn]	ṣíṅo	ṣígo	šíṅu	ṣíṅ			gil:721; koh:722; gur:723; Astor:724	12583 śŕ̥ṅga n. 'horn' RV. [See *śrū-, *śruṅka-]	R;M	Initial accent compatible; different gender endings, nasal loss and treatment of vocalic r.	First-pass comparison; see family-notes.md for independently page-checked central examples
12619	śṓka	1	2	ashes			šóo					koh:255	12619 śṓka m. 'heat, pain, sorrow' RV. (śōká- 'hot' AV.). [√śuc]	R;M	Early long accent compatible; ashes versus grief etymology and consonant-loss history require independent justification.	First-pass comparison; see family-notes.md for independently page-checked central examples
12753	śváśura	1	3	father-in-law	šúur [father-in-law; husband's or wife's father]	šáyur	šéer	šéer	šáwur			gil:183; koh:184; gur:185; Astor:186	12753 śváśura m. 'husband's father' RV., 'wife's father' Sū., 'husband's or wife's father' cl., śvaśuraka- m. 'a poor or dear father-in-law' Pañcat.	R;M	Initial prominence broadly compatible, but alternate diphthong/glide formations must precede Palula and Kohistani contractions.	First-pass comparison; see family-notes.md for independently page-checked central examples
12759	śvaśrū́	2	2	mother-in-law	preṣ [mother-in-law; husband's or wife's mother]	šaṣ	šaṣ	šaš; ṣaṣ	ṣaṣ			gil:213; koh:214; gur:215; gur:216; Astor:217	12759 śvaśrū́ f. 'husband's or wife's mother' RV.	U;M	Short monosyllables conceal contour; daughter-in-law-like kinship analogy and cluster history need checking.	First-pass comparison; see family-notes.md for independently page-checked central examples
12774	śvētá	2	2	white			šóo	šóo	šéeo			koh:1188; gur:1189; Astor:1190	12774 śvētá 'white' RV. [√śvit]	M	Extended white adjective shows root accent despite old final accent; loss of intervocalic t and contraction create different vowel outcomes.	First-pass comparison; see family-notes.md for independently page-checked central examples
12803	ṣáṣ-,	1	1	six	ṣo [six]	ṣa	ṣa	ṣa	ṣa			gil:1133; koh:1134; gur:1135; Astor:1136	12803 ṣáṣ-, nom. ṣáṭ 'six' RV. 2. *ṣuvaṭ. 3. *kṣaṭ or *kṣvaṭ.	U	Short numeral; no mora-position contrast.	First-pass comparison; see family-notes.md for independently page-checked central examples
12815	sá¹,	1	1	he; they (m., dist., pl.?)	so [the; that (agr: rem nom masc)]			so; ses				gur:1200; gur:1238	12815 sá¹, sṓ nom. sg. m. pron. and pronom. adj. 'he, that', sā́ f. RV.: n., pl., and obl. forms from tá-. [sṓ &lt; sá u; *sē, the extension of which does not exactly agree with that of -ē &lt; -aḥ, is &lt; *sá ī or is MIA. &lt; RV. sḗd (sá íd) Pischel GrPk 299 or sḗm (sá īm). Forms in Kaf. and Dard. G. Morgenstierne IL v 361 ff.]	U;M	Pronominal paradigm and enclisis; simple sá is not a full input to plural ses.	First-pass comparison; see family-notes.md for independently page-checked central examples
13139	saptá	2	2	seven	sáat [seven]	sat	sat	sat	sat			gil:1121; koh:1122; gur:1123; Astor:1124	13139 saptá '7' RV.	U;A	Short Shina forms uninformative. Palula sáat permits saptá > sat > sáat: apocope to a short vowel followed by later closed-a lengthening. Early aa alone does not require numeral accent remodeling.	First-pass comparison; see family-notes.md for independently page-checked central examples
13386	síkatā	1	3	sand	sígal [sand (fine, black)]	sígal	sígal					gil:626; koh:627	13386 síkatā f. 'grain of sand', (usu. pl.) 'sand, gravel' VS., sigatā- f. Kap. [Collective formation from sika- in śvēta-sika-druka- 'scattering white sand' TĀr. 1. 12. 3 A. Sharma in Bhārata-kaumudī 873. Kaf. and some Dard. forms attest IA. ś- corresponding to Ir. θ- and s- (OPers. θikā-, Bal. six, Psht. šəga, &amp;c. EVP 73) and support E. Benveniste BSL xxx 60 in assumption that s- forms of Sk. and other Dard. languages and WPah. (which distinguish ś and s) are loans from or influenced by Iranian. Variations in Kaf. and Dard. of -g- ~ -k- and -l- ~ -t- may be due to borrowings within that group or to later Ir. influences or they may, in part at least, be due to suffix. variation like that of síkatā- ~ *sikatī- (in sikatyà- VS.) ~ siktā- lex. ~ *sikyā-]	R	Initial accent compatible with síkatā; final syllable loss and medial consonant change separate.	First-pass comparison; see family-notes.md for independently page-checked central examples
13415	síndhu	1	2	river		sin	sin	sin	sin			gil:618; koh:619; gur:620; Astor:621	13415 síndhu f. 'river, the Indus', m. 'flow (in general), sea' RV.	U	Short monosyllables need inflectional evidence.	First-pass comparison; see family-notes.md for independently page-checked central examples
13519	suvárṇa	2	3	gold		soṇ	soóṇ	soóṇ	soná			gil:1370; koh:1371; gur:1372; Astor:1373	13519 suvárṇa 'of bright colour, golden' RV., n. 'gold' AV., suvarṇaka- 'golden' Hariv. 2. saúvarṇa- 'golden' ŚrS., n. 'gold' MBh. — In many cases it is impossible to distinguish whether a NIA. form is derived from suvárṇa- or saúvarṇa-: they are therefore listed below together. [su-², várṇa-¹]	D;M	Kohistani/Guresi late soóṇ versus short Gilgit and extended Astori soná. Internal loss/contraction interacts with old accent; not final-vowel apocope alone.	First-pass comparison; see family-notes.md for independently page-checked central examples
13574	sū́ra	1	2	sun; day	súuri [sun]	súuri	súuri	súuri	súuri			gil:425; koh:426; gur:427; gur:455; Astor:428	13574 sū́ra m. 'sun' RV. 2. sū́rya- m. 3. sū́riya- m. (metr.) RV. 4. sūrī- f. 'a name of Kuntī as wife of the  sun' Pāṇ.vārtt. 5. saurī́- (f. of saura- 'relating to the sun' MaitrUp.) f. 'wife of the sun' W., 'a name of Tapatī daughter of the sun' MBh. [svàr-]	R	Early long accent compatible with sū́ra; final feminine morphology retained.	First-pass comparison; see family-notes.md for independently page-checked central examples
13576	sŕ̥kvan	1	2	neck	ṣáak [rear shoulder]	ṣak	ṣak	ṣak	ṣak			gil:114; koh:115; gur:116; Astor:117	13576 sŕ̥kvan m. 'corner of mouth' RV., n. du. (sr̥kvaṇī, sr̥kkaṇī, whence acc. sg. sr̥kkaṇīm Kathās., du. sr̥kkanyau Suśr.) MBh., sr̥kva- (sr̥kka- n. lex.) m. or n. Suśr., sr̥kvi- n. lex., n. du. (sr̥kviṇī, sr̥kkiṇī, whence acc. sg. sr̥kviṇīm MBh. v.l., Pañcat.) MBh. 2. srákva- m. or n. 'corner of mouth, jaws' RV.	U;X	Short Shina forms uninformative; Palula ṣáak/ṣaká mobile despite old initial accent, opposing simple class inheritance.	First-pass comparison; see family-notes.md for independently page-checked central examples
13627	skandhá	2	2	shoulder	káand [shoulder]		kaṇíi					koh:133	13627 skandhá m. 'shoulder, upper part of back' AV., 'trunk of tree, mass (esp. of an army)' MBh., skándhas- n. 'branching top of a tree' RV. [Absence of any trace of initial s- in Kafiri and Dardic supports possibility of IA. *kandha- beside sk° (unnecessarily assumed in ODBL 438 for NIA. k- which is dissim. from kh- before dh as prob. in Aś. agi-k{h}aṁdha-)]	M	Kohistani kaṇíi is an extended feminine; Palula káand is mobile despite early aa, with aspiration migration/loss to explain.	First-pass comparison; see family-notes.md for independently page-checked central examples
13801	snuṣā́	2	2	daughter-in-law		nuúṣ	nuúṣ	nuúṣ	nuúṣ			gil:169; koh:170; gur:171; Astor:172	13801 snuṣā́ f. 'son's wife' AV.	A;M	Late nuúṣ compatible with loss of final accented ā; metathesis/cluster simplification still needed.	First-pass comparison; see family-notes.md for independently page-checked central examples
13839	*sphiyá-,	2	2	shoulder; mattock (hoe)		phíco; phyóo~li	phíjo; pheélo	phíjo; phyóo~li	phéelo			gil:127; gil:331; koh:128; koh:332; gur:129; gur:333; Astor:134	13839 *sphiyá-, sphyá- '*scapula'. 2. m. 'flat piece of wood for stirring offerings of boiled rice or for trimming mound used as altar' AV., 'boom, spar' ŚBr., m.n. 'a kind of oar' R. [Both meanings in Ir. *phiya-: Wkh. fiáh 'shoulderblade', Shgh. fyak, Kurd. pil, pāwl 'shoulder' ~ Wkh. péi 'shovel', Sar. Ishk. féi, Shgh. fe: cf. K. L. Janert KZ 79, 89-111.	M	Shoulder and mattock have different derivational suffixes. Reconstructed *sphiyá is not a securely accented attested OIA input.	First-pass comparison; see family-notes.md for independently page-checked central examples
13913	svásr̥	1	2	sister		sa	sas	sas	sas			gil:226; koh:227; gur:228; Astor:229	13913 svásr̥ f. 'sister' RV. [For phonology of svásr̥- and distribution of it and bhaginī- see AO xxi 27 ff.]	U;M	Short kinship forms; old strong/weak inflection and replacement of final segments need reconstruction.	First-pass comparison; see family-notes.md for independently page-checked central examples
