Chart	View	Row	Category	Family_ID	Evidence_or_Formation_IDs
reduction	Evidence availability	All Telugu displacement-bearing families	An exact cluster/reduced pair is cited	d3115	f_6iieamq4yekai;f_gg246dpgbq43e;f_yjoacgqrn5pme
reduction	Evidence availability	All Telugu displacement-bearing families	An exact cluster/reduced pair is cited	d3122	f_cpjuuxs5a7tmu;f_cswppdqsnv4xq;f_i55tm67o6tae2;f_n67dygocvqany
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d315	f_6gnqqgrwv26vo;f_fsjwlrfbiqn2c;f_kxuymaimdddhu;f_p74esoepvym4i;f_uf342pwxoe4fw
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d3174	f_24yxv6oqxs6ag;f_nrroyokrpw2pa;f_vw55c6dqihjty;f_zgff5va5f56x4
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d319	f_2isaz6z4unlea;f_2ttu4tbf2ucwy;f_chciddvnftg4s;f_d52ftrvndmrew;f_xzhmynveclcu2
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d3192	f_j67ehybeynslg;f_lgwdlfjqtn4bm;f_vcb7tcir2mmg2
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d321	f_37vuatl2jy4l6;f_cbgze364tf5ow;f_ek6ihenhscv7g
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d3246	f_2vrv5woq6tml6;f_3ov3kfkm5dkwg;f_54ffbpkwo66b2;f_cqjsxdxn4htbc;f_dwuf6jytn2l7g;f_g323nf2zhfrvm;f_gapxu6yum5yjy;f_gavpjhh6ni62e;f_izvmgisdtsyxe;f_knwaudo7j7rzw;f_lwt7iyv4sbgg4;f_m6sv6c34jzmrg;f_ogbjknelvpvsg;f_ojasm32b67tns;f_ovgkmqj2hsjkq;f_qckj6uvqryeae;f_stvomvek524nu;f_sz5oic4rnrsek;f_tnamtgs5zft46;f_vd2m6cplrf2m2;f_ysr4jv2l77hdc;f_z5ioh5rftlgyu;f_zfmpf23mg76ca
reduction	Evidence availability	All Telugu displacement-bearing families	An exact cluster/reduced pair is cited	d3340	f_7rg3lybka6vco;f_ad2a7upowopsu;f_ed5z4y2qdk7lg;f_fjq43hg5dyxlk;f_ljehi7gup5qnm;f_moezk777s5uuy;f_qui4o6yxhmrgo;f_smcykvf5urehu
reduction	Evidence availability	All Telugu displacement-bearing families	An exact cluster/reduced pair is cited	d3343	f_emjfsvj7gqtxc;f_ouwrj4t6guwre;f_xioannge7h26u
reduction	Evidence availability	All Telugu displacement-bearing families	An exact cluster/reduced pair is cited	d3437	f_4y35t4ot5yk4q;f_7iyuujkczzshe;f_ac5m6v5uobtos;f_bkr27kz5jnw3e;f_cv7l6xydsohz6;f_lr7rrcqoxabam;f_wcmnrwtkxjxes;f_xluqd2rcfx6gk
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d3522	f_ji7l3tltyvjvs;f_xzsphjsyelcgq
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d3949	f_3nwqq5pibkhaa;f_73fc55i2e4fug;f_c436fxi6pdpzu;f_ctfbeec4tlsze;f_dm3gpg2s5wbo6;f_dxyofadg7epts;f_fjaxuxvgsifuk;f_in5bnsm5cwzyu;f_kgllbsyi4naxw;f_l5muykx6hu3oy;f_luwyqacyv7lc6;f_n3xwvhc6uknfw;f_nsdlra3u4dqcq;f_ofdq5bkx3fsgy;f_pmarxwcq2ml3a;f_wczpw2z2tnd66;f_ylroetmeabrno;f_zn5teljrmyvf2
reduction	Evidence availability	All Telugu displacement-bearing families	An exact cluster/reduced pair is cited	d3962	f_6tk2fpkqwto7g;f_gd5wgsk5qexs4;f_gs5vla3nwer2g;f_s6fubf35efw4k
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d3972	f_2pbef27rf2gse;f_k5ir6ygi5ylhg;f_mcfabk7aanxik
reduction	Evidence availability	All Telugu displacement-bearing families	An exact cluster/reduced pair is cited	d3976	f_beigjhoyb4dck;f_lehyil4knhwl6
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d3982	f_277gnmswzytey
reduction	Evidence availability	All Telugu displacement-bearing families	An exact cluster/reduced pair is cited	d3999	f_elp64yudfljjs;f_gp5ff36sq453u;f_k6jtvm35n2m3g;f_rrfkpgqmutgay;f_w4qqoh3i4j254;f_xrih22ctiwhr4
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d4002	f_d6q6h6dajzzpo;f_tjngsa3fs2ncw
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d4005	f_3dxd3t2xuho4m
reduction	Evidence availability	All Telugu displacement-bearing families	An exact cluster/reduced pair is cited	d4175	f_fzxffnanjdxb4;f_qze4v6mbwqdfa;f_skqx63r7annky;f_vb7wwj377n25o
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d4176	f_klyzqvnlsuysa
reduction	Evidence availability	All Telugu displacement-bearing families	An exact cluster/reduced pair is cited	d4193	f_fyrxm7g56e24y;f_mjnf4qdw3jyyk
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d4283	f_6dxoy6cuwxdao;f_fgmcm4bmdpl2g;f_mxfwmcx3oi75g;f_mykc2tvmmswzi;f_xi4grd3d64hlg
reduction	Evidence availability	All Telugu displacement-bearing families	An exact cluster/reduced pair is cited	d4312	f_4aeozp6sxs63y;f_7pjgouimyggc6;f_7u54tqu4dtt5q;f_fgqdccak2efbk;f_ncyxulqegijbm;f_rlu6wivm5afd4;f_tg6hs45rr3ohg;f_vgo5afnsmgmre;f_vpsp47wizynhc;f_xsjbat3blc2es
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d437	f_mmvjzablirjpa
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d443	f_76oq4njxyvr2e;f_ntoe672qyz6ps
reduction	Evidence availability	All Telugu displacement-bearing families	An exact cluster/reduced pair is cited	d4537	f_336qkjyvs4goy;f_3ru7eesgwd3am;f_alslnjparpqqy;f_kdqkrzjbzeccs;f_qnf3xznf3vszq;f_wli4podauzais;f_z325tez7nfe4g
reduction	Evidence availability	All Telugu displacement-bearing families	An exact cluster/reduced pair is cited	d4545	f_t4jvlzmrkzcwc;f_tm4y4odxa5fg4
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d4555	f_dwxrztgkvqjsa;f_kziszm7hwafvi;f_wcautegmjcbds
reduction	Evidence availability	All Telugu displacement-bearing families	An exact cluster/reduced pair is cited	d4559	f_d5ur3xcgsxick;f_kwctjywqt2way;f_t35bbm5kvdccq;f_zhj3ga3ngml2o;f_zuzesjd7nkk44
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d4591	f_7sdnwuz6xvvro;f_en7ftxqquk6iw
reduction	Evidence availability	All Telugu displacement-bearing families	An exact cluster/reduced pair is cited	d4599	f_3bhnvnrn3loau;f_4fuguai7klo4k;f_5f3dmcreo7tus;f_ijsmokmsxkn34;f_meimgdwmmhtoa;f_touc7knyckgvy
reduction	Evidence availability	All Telugu displacement-bearing families	An exact cluster/reduced pair is cited	d4711	f_cqc6qamwv6hmy;f_fqcf4xzk4r3tg;f_rirwcupcemybq;f_ymibz5y5h74ku
reduction	Evidence availability	All Telugu displacement-bearing families	An exact cluster/reduced pair is cited	d4728	f_3lv7ov4u3m7yg;f_7hoedw2hivwp2;f_wvu3wftw2bels
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d474	f_2htxvumaoczjw;f_4ujr5t55avg66;f_65qhyabhcuwaw;f_6c6a36yd4iybo;f_bkhd5wmrnsjt4;f_dgw5tjtzepqrq;f_fqoeiv3e7odos;f_i3k7naryq6kzm;f_jzp6l3vyzyn7i;f_n2cdyoyequmy6;f_p3l4befd5utdw;f_pd6ynb3gv5lhi;f_qgafogajc4lzg;f_qkicfxp5fal3y;f_qznjy2zdzigrk;f_shooci3xpjwrs;f_sp6x4vguvmszc;f_t4nykx6ip5ofm;f_vfvgfqslu3kc6;f_woifafo7ddlua
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d475	research:d475-Telugu-rēnu;research:d475-Telugu-rē̃gu
reduction	Evidence availability	All Telugu displacement-bearing families	An exact cluster/reduced pair is cited	d4750	f_ls6tncdxnev4e;f_qubbupqrnim6g;f_rh4qvlb3ka7es;f_xrwtk7qdnczyu
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d4761	f_22wq3y5tmbaoe;f_32xaddq3ui6zg;f_6z5eoiaabglnc;f_cei6h7kxywxr4;f_dnwme76geuspu;f_gwedmm4f6gpws;f_h6bkkx4tjvdhi;f_kxg6yds4gpuey;f_lak4vfbwm3emi;f_of3dww3nadfvo;f_rb34gu3eplg4i;f_sfbpnfjwehpiq;f_tkb6ym5vcixwk;f_zaelgzuu2abgy;f_zod4cxlijg2tk
reduction	Evidence availability	All Telugu displacement-bearing families	An exact cluster/reduced pair is cited	d4866	f_7dp2pr3nbysj6;f_vsrzcq3kxyfta
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d4971	f_4m7lozehtllfy;f_bnp3imsabrzm2;f_grid5klclsjtm;f_nqlwafkvotyoa;f_uiinf2gj237r2;f_xmcbksy25loqq
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d4975	f_4pl6t52fplnyo;f_elhpd4l7t6ukw;f_jajb7pda62h54;f_mffezlqquvhqa;f_p5jhlgg64xjwy;f_qahi7u5xomv2q;f_rfqihomohaspc;f_y27lunofek45m
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d4993	f_3dgxlyglq6c5k;f_4skwjnjtejid4;f_5kic52fhvflss;f_7h6nkegacjark;f_d2g74plrs2woe;f_f2mnrcpu62cok;f_kx3mcwuydtfj2;f_mksxtzxbcvzw4;f_oigxlt7rc3ypo;f_rewo3ykdazprc;f_w3lgazv2wdzr2
reduction	Evidence availability	All Telugu displacement-bearing families	An exact cluster/reduced pair is cited	d5007	f_7duona3haiqmw;f_7s57h4cwrljpc;f_7x3l37wmbo4x6;f_dcisehtnly34y;f_iiuvs4gki5m7o;f_jghoo3wugtola;f_lsgpwh5hksfzq;f_xm647bxiv4ft4
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d502	f_26lwvxu43ig4k;f_7fmuwslbag7n4;f_dgfr7xfpeadze;f_dwgcjswhqoozu;f_l3p7f5axkekz2;f_md6u4xreivsrc;f_mpyejvd67v4ti;f_tdj2gm3oxspxu;f_xvsd56qh3osek;f_zr3kmbroc4kgg
reduction	Evidence availability	All Telugu displacement-bearing families	An exact cluster/reduced pair is cited	d5082	f_7msblpleyzn3c;f_c4zinr3kbwfxy;f_umeht4sejjcai;f_xaskqvo4umu2k
reduction	Evidence availability	All Telugu displacement-bearing families	An exact cluster/reduced pair is cited	d5123	f_3zfyxy2zizywi;f_eksyiwxdqwkni;f_fodk2f3bmd742;f_miahekturqw6i;f_nnjwkozyvi3cc
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d513	f_d5kcw6hrz2qbi;f_ejrg7mghib4h6;f_h55dqkqddalhw;f_iidp2lwtlxkrw;f_td5tw434rhrw4;f_tthkyznga3ouu;f_vfhmtesu22rzc;f_xanpmdfasmauw;f_yukt2ixlwlxqy
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d516	f_2ev7zelqpwhym;f_e5od7okyckgem;f_uy6bi7fk3wgza;f_x56ndqpatzxga;f_xmjor7la2kyae
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d517	f_egseskzv55o6u;f_t4jkutlbao6tm
reduction	Evidence availability	All Telugu displacement-bearing families	An exact cluster/reduced pair is cited	d5263	f_2q7e5xhgcvlue;f_4bl55aufe6jo6;f_56oibpri2i2vm;f_aiveiwbm65mt2;f_hcejirjfk6qtg;f_iaul4kv22gxlm;f_n7s5kt47ng4jw;f_oih2skwaeoewk;f_vj7msytpxb3s6;f_vo7lpwwww2ycc;f_vphwyxedrelvg
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d527	f_fsguringnvhhk;f_z55xejz2iehee
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d5295	f_d77sua7o2mkk6;f_xhmz3p5ipzksu;f_zcoseodl46ssi
reduction	Evidence availability	All Telugu displacement-bearing families	An exact cluster/reduced pair is cited	d5372	f_4fafyfmltdnqg;f_e4grqlrzlhcyy;f_gbpodvvpvr542;f_gdfkkqlfuab7i;f_inuveraq4mw6u;f_si3ulrjzpo4cm;f_skfcmvhkfpxnc
reduction	Evidence availability	All Telugu displacement-bearing families	An exact cluster/reduced pair is cited	d5409	f_5krorzllosgw6;f_m4k2ln4qkit3k
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d5411	f_3uxni4dtuloe6;f_5jg6q3prdpqyg;f_5vyqqq2p2iprq;f_binykjwbdnjxq;f_bpoly3jexvtdw;f_eqguatdy67lbq;f_fqtyyziofrvuc;f_glnjed7bmajry;f_ixe5yz7me2hvg;f_m2hbfst57laxy;f_mjz4dyz45yhni;f_pktg6eyvm5mnc;f_qt3g6zhjyayes;f_v6564is7rkhhk;f_vaakpidjk4k7i;f_y3eehbj6rnjc2;f_zdd65kl3o22re
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d63	f_4b2n5ptvxwd5w;f_6rdekkcsrmxj4;f_7dpiziz3womlk;f_ba2xhgycj3vys;f_ccljx3athxqva;f_i77nwvutqgc7i;f_jyl2im2bylpky;f_sp7jg6ayxkr4m
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d648	f_7kukhkrndkqic;f_g3tocbxdksz7e;f_ina7tj47g6g5u;f_ntcvqb2qsscau;f_xohvrljyei7kq;f_zluumdebjzs2w
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d651	f_m3vyg4md2asvu;f_x4pwvek6ghyki
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d665	f_2phvv346pd5yg;f_af7bdsrd3aslg;f_by57fgmyly4gw;f_eyb7yifzmw6ug;f_khc2ieubs6xdk;f_mi74tsrybn3k6;f_q64arbjsvuxda;f_relhjannylmyi;f_tjibk3ef3bpdi;f_v2xdao7jpfhcy
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d686+d689	f_3bcttth6tqdk2;f_gmahf4mq2t44a;f_w3pngkzhkqi3a
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d688	f_232xjhmdnpfs2;f_tm7iqnx5wiskm;f_zsdykfen5jepc
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d692	f_6sktwdc2utfhk
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d694	f_gyfzg7pv2m4qm
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d698	f_2auilmzjjh2ra;f_4h2kuf5ojtwou;f_b5wxcz5mtcvo2;f_bjokttep4ugls;f_brqugiax2gcck;f_ht5gmk7adngog;f_jql2vb4762p4k;f_oz4ggp4pdrgra;f_pe3aqev76rtnc;research:d698-telugu-lona
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d718	f_3ffh7wgvhadic;f_fckpbufr66zpc;f_g76hbf3iffdzo;f_i46ewddu6kt6g;f_ipbf4hkx7c43c;f_logfsgdkjo6uo;f_pq2gjbkidkrvu
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d719	f_e7abshb3nhkpi;f_h3bx2a4tsypaq;f_k7gr7lb4dodvu;f_sedlhsgn3kjj2;f_ulsqwhjqi2svo;f_ux2bkuaww4mxo;f_yfgjji5rlntdc
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d77	f_5om2wvp6x5pcu;f_6ekcbbq2hx3i2;f_e5iah74rikmqu;f_evtufgngj723g;f_gyswcvqfxkoiu;f_vamndeveceg4i;f_yclhpsvgoowz6;f_yu3lxrlzvmafs
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d79	f_52de2l2gjglkq;f_6ud64zlrr5o3a;f_k4y6jfdltdh4y;f_nfiovvrlffkag;f_q4h3lpx6xi6ow;f_xcacbitxwveko;f_yq3xcphvgf2xs
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d817	f_mnzrj7d6cou2g;f_nwwdms524xmne
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d820	f_fibnppczkk74s;f_n5gtgqy7thqgm
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d859	f_dznjbpz2ftx6m;f_zdun4kuo43iac
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d86	f_6lm5yuchfts6k;f_fwhhaejmlon5s;f_od5d6qhvd3ncw;f_tveuktoelmakq;f_xo7olulbxcnbo
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d868	f_id6r5fma34f6w;f_jsuqpc7vyafvs;f_u6hv6ikzmlnxa;f_vafhfikpsgekc;research:d868-literary-anaka;research:d868-literary-anan;research:d868-literary-anaru;research:d868-literary-anavuḍu;research:d868-literary-anābaḍu;research:d868-literary-naru;research:d868-literary-nābaḍu;research:d868-literary-nāka;research:d868-literary-nān;research:d868-literary-nāvuḍu
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d910	f_3odtrftebl5wi;f_iecku5o7g5pjg;f_oefzdejj4o33e;f_oilw2e6tgl4si;f_pcbqekije5whq;f_srg5hswuz6rro;f_uvwbefljrdew6;f_zvrjmtjpbkkts
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d916	f_2pjmnnrox3nfk;f_2tnoo4ekxypqm;f_2u3chk5rvh43g;f_36squrnip3p46;f_4z7e5kgnsa7ho;f_6e7ukd7i6lqai;f_6gev4pdv53yss;f_7otr2veenx2hk;f_anw4oeo63rfsc;f_bwlfcspusojv4;f_e6gtfwej36beg;f_ewviqpkdz5byi;f_iy2sbhpiday2w;f_mp32mfnh3wmpu;f_mrdkd3ujogedg;f_mtlzjhocq34lm;f_muksojtyrs4si;f_qiwnhy2wm4n4q;f_vcs55ypq2pz6y;f_wkvdrkbmthw4k
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	d954	f_a3mddc5yszinm;f_bxc3olasvi4re;f_dv6pb243m7mq2;f_er2aspxshysro;f_ladcd3ubww5gw;f_y4jcm65lcerzy
reduction	Evidence availability	All Telugu displacement-bearing families	No exact pair in the cited evidence	deictic-a-i	f_6rkxecmmut4zw;f_7drpsyobsqaqs;f_f6ac5d3oglgvq;f_int6hq6ch3osy;f_jvyxzgar5pvsy;f_k6c2vgye32lii;f_kz72gmrqq7mfw;f_l4rim6vp7bwiy;f_tjizpv3et7eqg;f_ucqkfriz3mv3s;f_up2msodiyfdwg;f_x2v53tj33jrjo;research:d1-Telugu-paradigm-adi;research:d1-Telugu-paradigm-avi;research:d1-Telugu-paradigm-dāni-;research:d1-Telugu-paradigm-vāṭi-;research:d410-Telugu-paradigm-dīni-;research:d410-Telugu-paradigm-idi;research:d410-Telugu-paradigm-ivi;research:d410-Telugu-paradigm-vīṭi-
languages	Common informative families	Gondi	Both retention only	d1079	f_4cxab6eond35q;f_6sntvrpmqgql4;f_bifs7caquclbu;f_hz22cape7p7ly;f_4bhdc5q6ipawm;f_rhncwzsjm54y4
languages	Common informative families	Gondi	Telugu displacement; partner retention only	d1278	f_fm45muq4z7yta;f_hseb3zltndwo2;f_qel6snzqne2hc;f_yxikireljf4iy;f_2opvz64f4u2ni;f_3ws5pgdwh7sb4;f_44um7wc2c426i;f_7d46owpqhdgz6;f_cszdcay7rugnc;f_j3y44eror5yvi;f_mjyudcuyw26ew;f_mtzz5cvrzuwbm;f_vl64vfvlt6ma2;f_zznywisayz4ia
languages	Common informative families	Gondi	Telugu displacement; partner retention only	d1291	f_iisnwj7yl53wq;f_pofjweny2dmxm;f_nljqpk2npxaqi;f_teiatte7xz4fa
languages	Common informative families	Gondi	Telugu displacement; partner retention only	d1292	f_5gwnxam7vnqwu;f_6izbed5d6rws6;f_ezgquf3fctkxi;f_grhexalqobqte;f_pwigqj3wf4cyi;f_xkyq4cpz52abe;f_ls5elisezrs4k;f_ttoapetmfvv5w;f_yonxzbqg7fepi
languages	Common informative families	Gondi	Telugu displacement; partner retention only	d1349	f_52ktuc4bcwtqq;f_a7huamixn3ge4;f_g2emb2ud5fcbw;f_3cxp5qij2cm2k;f_525vkadzo7wee;f_7imd2zrj44o5g
languages	Common informative families	Gondi	Both retention only	d1479	f_2vh5jxtrfk226;f_6flz46zi5q65u;f_aafbrgviiapay
languages	Common informative families	Gondi	Both retention only	d1574	f_5kk5uxdsc4owo;f_6ddaebvruwkxg;f_ltmm5hiotyowu;f_rwdas7v5z363q;f_2dkbaqwj3o22c;f_2zlvkzz67gcik;f_7iwshvnk5hhig;f_asazoppe473kq;f_gwelz6xahq24e;f_jkfikxtreyqeo;f_khf5olg6r723s;f_o354guxro6nam;f_qu44ruspt4umq;f_tqxm63psrs3ks;f_u47quzr7rsdns
languages	Common informative families	Gondi	Telugu displacement; partner retention only	d1594	f_4o6nkyuec2pg6;f_j5d7c3lwqjf76;f_uif24g4tmqksw;f_we5uz74jlpnmk;f_ytz7hqkytupzw;f_bq3supvigfr46
languages	Common informative families	Gondi	Both retention only	d1595	f_emli7567audvu;f_grjvocsl3w4jy;f_m5ugiskz5rwam;f_oqezb5yovwprq;f_stlbpyxcc3crq;f_unrg2btirhfza;f_v7zbe4rf3cl2u;f_ktw7qwnlqkkj4
languages	Common informative families	Gondi	Both retention only	d1680	f_ac4zybs3izt7o;f_hdifqogfudno6;f_o37567oewftte;f_thjl66djfsori;f_2s35c4db62yvw
languages	Common informative families	Gondi	Telugu displacement; partner retention only	d1818	f_4qzjchlammmqe;f_54wyozhofd25s;f_5culweofdbrd6;f_6apfcyxs2r7nk;f_7ezjpvvutew54;f_dedl5wyt5agce;f_f7b32xf2qsqai;f_h2yol63wxiceq;f_hos3a4hrtzpp6;f_jby43elvgqkno;f_monkpbbbfc3ss;f_uqri5hnye5yxk;f_ymftqos4hvizq;f_35swhbwkhowos;f_55yaooermxbee;f_62gcmflzmzto6;f_bye4aordgi4k4;f_pqk26yeerl46u
languages	Common informative families	Gondi	Telugu displacement; partner retention only	d1850	f_7tttym33stnou;f_ery2rzlbv2jv6;f_kba3ujdm5d2nu;f_m73ju4ppprx7w;f_usoa3j6kvuybk;f_65gaojxenlyik;f_ocippxuilnefq
languages	Common informative families	Gondi	Both retention only	d1851	f_4x26yrpf6zq6g;f_hwyh3co77ekp6;f_i7djigoxcz3jo;f_ii7id7v6xb3ya;f_otlxpnrhjyxsw;f_uaiddj2ynsgus;f_wg6wjsszcbbrc;f_qngczazs3bikq
languages	Common informative families	Gondi	Telugu displacement; partner retention only	d2010	f_el3et6iiwskry;f_f7ksulm42tj4m;f_ptwfxjvf3zdlm;f_sler5dshllljq;f_w2jc4n5nia22s
languages	Common informative families	Gondi	Telugu displacement; partner retention only	d2146	f_iffkeavvvwzxk;f_mpwpjr3cyfebk;f_pxrplumkoerqe;f_3t4octjezusvm;f_7ktmmyxoeadlk;f_ajdyknv6kkjb2;f_chnswhp4ckrhc;f_hybs52ss6om6w;f_t5yck3dsi77as;f_tooovzlzggpco;f_vi2bskpioskxy
languages	Common informative families	Gondi	Telugu displacement; partner retention only	d2149	f_33ijszqiucbbo;f_3elw4rkbycnti;f_3tfcygr7f2m7s;f_l3bro5g6w72gu;f_ti4dmnqgr73ha;f_wsodzsmmjsrce;research:d2149-telugu-kotta;f_7atqru3da6eos;f_7rzm46uopebwi;f_a6cmd6atfbho2;f_b7lknwje6n3ua;f_bhbodhp7xq6c6;f_f4jwm4kz7gxrg;f_jk5geyvbvgcxs;f_lnqpcywsfpfni;f_lqigkkn3lnvxk
languages	Common informative families	Gondi	Both retention only	d222	f_eimkraajdo4rm;f_m6xkqnndzb5m2;f_nck5r44wrl5bg;f_q7htcdoqkywcc;f_ze3lunarmdjv6;f_cislcxfin64xy
languages	Common informative families	Gondi	Both retention only	d2237	f_6jwizzevnefim;f_muuo7oclyoj3o;f_q3usn5kjwucbo;f_2m2uc6ilqa7se;f_2p4do6cxzyfhm;f_4dm7rmktb5gea;f_cz2zqysnwwyim;f_dc53xdulkmfz6;f_dxroyojfrykpo;f_sbtztclyalaqk;f_xgxchah23ouwu
languages	Common informative families	Gondi	Telugu displacement; partner retention only	d228	f_47wnjhnjmwyqo;f_do36zuzuzryi6;f_ikh2tqzs4tg6y;f_lhso2updqhzy4;f_pr4rscqrwp6k4;f_qq3musa4z2c7e;f_s56rotjltglxa;f_triaacpz2cb2i;f_whejawkvz75pe;f_72hb2rsmax37e;f_tikftqrwqzbni
languages	Common informative families	Gondi	Telugu displacement; partner retention only	d233	f_aipxzonbdeepe;f_d6n5skxzoxnwo;f_q37nkoudu64fo;f_thikmme7shfja;f_56fllajirik24;f_6wg52fq2huwfy;f_g6zclk2on5xke;f_pfr5cut7ipkzg;f_vxgtuzsoy36k2;f_vynplir3dq3tm;f_zvt3q2geacbue
languages	Common informative families	Gondi	Telugu displacement; partner retention only	d2359	f_edr47oxqlvqaw;f_4i6siesw3q3os;f_6liwcxg5johtq;f_oi7splpsam72m;f_qnpemwl2khx5i;f_ricrq4ptmrxo6;f_sbiej3edzrunu;f_tszkh7ovck4ae;f_wdz7uirdjh5sy;f_yp4cdf7cnmx7u;f_zubhql47gyygi;f_zzsig7oybbfe2
languages	Common informative families	Gondi	Both retention only	d259+d260	f_a6eqnadpxwmgu;f_nh3ucss2c2cqo;f_rrc5fv3uj2lw2;f_xyxwev23joj5m;f_v7ybonhxkvt66
languages	Common informative families	Gondi	Both retention only	d2674	f_dkds6vf4sblba;f_hblsuttes6yts;f_hk75lslhob6va;f_ujnk7kkurjcwy;f_x47lnccjbzr32;f_xmylvyd3cqaxa;f_dpcp34eficax6;f_etzf5pp5wznim;f_mj6sk7aqm3ykc;f_obqenbww26bh4;f_pt363jya2b736;f_qdalhfs5sm2qc;f_sqk6xbmyxen7s
languages	Common informative families	Gondi	Telugu displacement; partner retention only	d2687	f_ias2iuporltk6;f_puwftzosvxjdu;f_rakh3iqnsvv3q;f_i4iuuceyhql6c
languages	Common informative families	Gondi	Both retention only	d2698	f_7uxdyw24b6u4w;f_eydbcnoj2pf3m;f_fhwlyvsml3gfy;f_j2ifi5evbksyy;f_qzwabe4tzkhie;research:d2698-ḍolcu;research:d2698-ḍolucu;f_4lwsz7zlkmzme;f_o6sywhirgyc6c
languages	Common informative families	Gondi	Telugu displacement; partner retention only	d277	f_aso7ha3awldec;f_ds2mybleaipgs;f_ds7sq7ekdyp7i;f_fcnfhvkrxks6u;f_ivbm3kubj7mya;f_oozpsd4qfi22o;f_wd4nh5cchenke;f_wij6kqgv52vqm;f_xonjybl36sozy;f_iatdihof2mqam
