input_class	family_id	palula	glosses	kalkoti_forms	observed	status	sources	exclusions	adjudication
Palula-prefinal-accent-plus-short-final-vowel	6495	dhúura	"[""far away""]"	"[""duur"", ""dùúr""]"	"[""final-High-or-rising""]"	consistent	"[""hultman2023kalkoti"", ""kalkoti""]"	[]	Gilgit duúr is late, compatible with final-accent apocope, whereas Kohistani/Guresi/Astori dúur is early. Palula dhúura retains a final vowel and early root prominence; its adverbial formation may therefore differ. The other Shina dialects remain early even with consonant-final citations, so retained modern endings alone do not explain the whole split. Kalkoti dùúr adds an independent L from aspiration history.
Palula-prefinal-accent-plus-short-final-vowel	5046	čhína	"[""cut""]"	"[""čhin""]"	[]	excluded	"[""hultman2023kalkoti""]"	"[""unmatched-verbal-cells""]"	Palula čhína/Biori čhíne has short initial-root prominence in the imperative, while Gilgit čhin- is unaccented as a bound stem. The old entry independently supplies differently formed nasal-present cells, but the reconstructed citation *chindati has no accent. Modern imperative accent must be analyzed morphologically rather than copied from chinátti.
Palula-prefinal-accent-plus-short-final-vowel	8012	páaša	"[""see""]"	"[""piš""]"	[]	excluded	"[""hultman2023kalkoti""]"	"[""unmatched-verbal-cells""]"	Palula páaša/Biori páaše and Strand pʹâš- are root-accented and compatible with old present prominence after śy reduction and lengthening. Shina paš- is a bare stem and the infinitives have new suffixes. The past belongs to dr̥ṣṭá under 6518; the two roots must not be confused or counted as independently repeated evidence for one sound correspondence.
Palula-prefinal-accent-plus-short-final-vowel	8209	píla	"[""drink""]"	"[""pil"", ""píil""]"	[]	excluded	"[""hultman2023kalkoti""]"	"[""unmatched-verbal-cells""]"	Palula píla is a root-accented modern citation with added l, while Shina pi- and Kalkoti piluun/píil/pil belong to different cells. The drink perfective provides an independent analogical model for the eat perfective in Kohistani Shina. The old reduplicated present is not a complete input for all these forms.
Palula-prefinal-accent-plus-short-final-vowel	10278	máara	"[""die""]"	"[""múr""]"	[]	excluded	"[""hultman2023kalkoti""]"	"[""unmatched-verbal-cells""]"	Gilgit múu~o ‘dead’ is an early-accented participial adjective with a final ending, while Palula máara is the present/imperative citation of ‘die’, not a direct segmental reflex of mr̥tá. The latter enters this family through lexical/paradigmatic linking and must be replaced by actual muṛ- perfective cells for sound-change analysis. Chilas lik/lič ‘died’ may be a suppletive replacement and requires separate justification.
Palula-prefinal-accent-plus-short-final-vowel	6983	náawu	"[""new""]"	"[""num""]"	[]	unscorable	"[""hultman2023kalkoti""]"	[]	Palula náawu is early while Gilgit naáwo is late on a long vowel before a preserved w and gender ending. Kohistani nóo~, Guresi náa~ and Astori náu~ have early root prominence with different contraction. Gilgit's late aa therefore cannot be attributed to loss of the visible w alone; a historical extended-stem or geminate/glide stage is needed. This is a stringent residual for a cluster-only account of new late vowels.
Palula-prefinal-accent-plus-short-final-vowel	4424	gháanu	"[""big""]"	"[""gän""]"	[]	unscorable	"[""hultman2023kalkoti""]"	[]	Liljegren gháanu is early root-accented in the extended big adjective, compatible with open-syllable short-a lengthening. Strand ghâʹnu is late in the same apparent formation. The modern u/ee feminine alternation supports an inflectional formation, but does not remove the source disagreement. Sauji ghaṇyeṛo has extra derivation and cannot be counted as the same stem.
Palula-prefinal-accent-plus-short-final-vowel	2512	yíiṛi	"[""sheep""]"	"[""eér""]"	"[""final-High-or-rising""]"	consistent	"[""hultman2023kalkoti""]"	[]	Sheep yíiṛi/eér preserves the short final feminine vowel only in Palula and matches the final-High apocope outcome.
Palula-prefinal-accent-plus-short-final-vowel	4516	ghúuṛu	"[""horse""]"	"[""gòór"", ""ɡòór""]"	"[""final-High-or-rising""]"	consistent	"[""hultman2023kalkoti"", ""kalkoti""]"	[]	Horse has both an unaccented final u in Palula and initial voiced aspiration. Kalkoti Low plus final High shows the two conditioning dimensions together.
other-comparative-structure	5228	ǰip	"[""tongue""]"	"[""ǰib""]"	[]	excluded	"[""hultman2023kalkoti""]"	[]	Palula ǰip and Shina jip/jib are short, so citation forms hide their accent class. Palula's mobile ǰip/ǰipí supports survival of old final accent, whereas Kohistani ǰip/ǰíba is fixed in the grammar. This is a real paradigm divergence despite nearly identical citation forms, and a counterexample to automatic inheritance of fixed/mobile classes across the entire group.
other-comparative-structure	2445	iṇc̣	"[""bear""]"	"[""ic̣""]"	[]	excluded	"[""hultman2023kalkoti""]"	[]	Palula iṇc̣ and Gilgit ic̣ are short monosyllables and therefore do not test mora accent. Their i reflects vocalic-r development, and nasalization is secondary. Longer female-bear forms with final accented ī are derivatives of an independently attested feminine formation; they must not be treated as counterexamples to the root-accented masculine noun.
