class_id	language	selected_family_or_unlinked_member_count	families_or_members_with_counterpart_records	families_or_members_without_counterpart_records	observed_counterpart_outcome_counts	note
Dras-plural--e	Sh	173	173	0	"{""E@-1"": 8, ""E@-2"": 12, ""F"": 2, ""F@-2"": 3, ""L@-1"": 10, ""L@-2"": 4, ""LR@-1"": 4, ""R@-1"": 2, ""R@-2"": 2, ""S@-1"": 5, ""S@-2"": 15, ""multiple-stress"": 5, ""short-monosyllable"": 9, ""stress-in-vowel-sequence@position-unresolved"": 12, ""stress-marked"": 2, ""stress-marked@-1"": 39, ""stress-marked@-2"": 112, ""stress-marked@-3"": 8, ""stress-marked@-4"": 1, ""stress-marked@position-unresolved"": 1, ""syllable-marked@-1"": 6, ""syllable-marked@-2"": 11, ""syllable-marked@position-unresolved"": 1, ""unmarked"": 65, ""vowel-sequence-marked@position-unresolved"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Dras-plural--e	Phal	173	37	136	"{""E@-1"": 11, ""E@-2"": 10, ""L@-1"": 6, ""S@-1"": 3, ""S@-2"": 4, ""short-monosyllable"": 7, ""syllable-marked@-1"": 4, ""syllable-marked@-2"": 8, ""syllable-marked@position-unresolved"": 1, ""unmarked"": 24, ""vowel-sequence-marked@position-unresolved"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Dras-plural--e	Sv	173	16	157	"{""syllable-marked@-1"": 2, ""syllable-marked@-2"": 2, ""unmarked"": 14}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Dras-plural--e	Kalk	173	8	165	"{""0-explicit"": 1, ""H2@-1"": 2, ""Low"": 2, ""P-high-level"": 2, ""P-high-rising@-1"": 1, ""P-low-level"": 1, ""unmarked"": 3}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Dras-plural--e	Kund	173	10	163	"{""H-marked"": 1, ""unmarked"": 9}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Dras-plural--e	bro	173	17	156	"{""multiple-stress"": 1, ""stress-marked@-1"": 1, ""stress-marked@-2"": 4, ""unmarked"": 13}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Dras-plural--e	Ush	173	23	150	"{""stress-marked@-1"": 2, ""stress-marked@-2"": 9, ""stress-marked@position-unresolved"": 1, ""unmarked"": 12}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Dras-plural--eh/-eɦ	Sh	59	59	0	"{""E@-1"": 1, ""L@-1"": 1, ""LR@-1"": 1, ""R@-1"": 1, ""R@-2"": 1, ""S@-1"": 1, ""S@-2"": 1, ""multiple-stress"": 4, ""stress-in-vowel-sequence@position-unresolved"": 1, ""stress-marked@-1"": 53, ""stress-marked@-2"": 5, ""unmarked"": 7}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Dras-plural--eh/-eɦ	Phal	59	5	54	"{""E@-1"": 2, ""E@-2"": 1, ""L@-1"": 1, ""S@-1"": 1, ""S@-2"": 1, ""short-monosyllable"": 1, ""syllable-marked@-2"": 2, ""unmarked"": 3}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Dras-plural--eh/-eɦ	Sv	59	1	58	"{""syllable-marked@position-unresolved"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Dras-plural--eh/-eɦ	Kalk	59	1	58	"{""P-high-falling"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Dras-plural--eh/-eɦ	Kund	59	2	57	"{""unmarked"": 2}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Dras-plural--eh/-eɦ	bro	59	1	58	"{""unmarked"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Dras-plural--eh/-eɦ	Ush	59	1	58	"{""stress-marked@position-unresolved"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Dras-plural--i	Sh	15	15	0	"{""E@-1"": 1, ""L@-1"": 1, ""S@-2"": 2, ""multiple-stress"": 3, ""short-monosyllable"": 3, ""stress-marked@-1"": 4, ""stress-marked@-2"": 6, ""stress-marked@-3"": 2, ""syllable-marked@-1"": 2, ""syllable-marked@position-unresolved"": 1, ""unmarked"": 6}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Dras-plural--i	Phal	15	4	11	"{""E@-1"": 3, ""S@-1"": 1, ""short-monosyllable"": 3, ""syllable-marked@-3"": 1, ""unmarked"": 4}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Dras-plural--i	Sv	15	2	13	"{""unmarked"": 2}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Dras-plural--i	Kalk	15	1	14	"{""0-explicit"": 1, ""P-high-level"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Dras-plural--i	Kund	15	2	13	"{""unmarked"": 2}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Dras-plural--i	bro	15	1	14	"{""stress-marked@-1"": 1, ""unmarked"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Dras-plural--i	Ush	15	1	14	"{""unmarked"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Dras-plural-other	Sh	36	36	0	"{""E@-1"": 2, ""L@-1"": 2, ""S@-1"": 1, ""multiple-stress"": 2, ""short-monosyllable"": 1, ""stress-in-vowel-sequence@position-unresolved"": 3, ""stress-marked@-1"": 26, ""stress-marked@-2"": 3, ""syllable-marked@-1"": 2, ""syllable-marked@-2"": 1, ""syllable-marked@position-unresolved"": 1, ""unmarked"": 8, ""vowel-sequence-marked@position-unresolved"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Dras-plural-other	Phal	36	5	31	"{""E@-1"": 1, ""E@-2"": 1, ""L@-1"": 2, ""syllable-marked@-1"": 1, ""syllable-marked@-2"": 1, ""unmarked"": 4}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Dras-plural-other	Sv	36	3	33	"{""unmarked"": 3}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Dras-plural-other	Kalk	36	4	32	"{""Hshort@-2"": 2, ""Low"": 2, ""unmarked"": 2}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Dras-plural-other	Kund	36	1	35	"{""unmarked"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Dras-plural-other	bro	36	3	33	"{""stress-marked@-1"": 2, ""unmarked"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
Dras-plural-other	Ush	36	4	32	"{""stress-marked@-1"": 1, ""stress-marked@-2"": 2, ""unmarked"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-root-cluster-a	Sh	8	8	0	"{""E@-1"": 1, ""E@-2"": 1, ""F@-2"": 1, ""L@-1"": 3, ""L@-2"": 5, ""R@-2"": 1, ""S@-1"": 1, ""S@-2"": 2, ""stress-in-vowel-sequence@position-unresolved"": 1, ""stress-marked"": 1, ""stress-marked@-1"": 2, ""stress-marked@-2"": 3, ""stress-marked@-3"": 1, ""stress-marked@position-unresolved"": 1, ""unmarked"": 8}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-root-cluster-a	Phal	8	2	6	"{""E@-2"": 1, ""S@-2"": 1, ""unmarked"": 2}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-root-cluster-a	Sv	8	1	7	"{""unmarked"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-root-cluster-a	Kalk	8	0	8	{}	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-root-cluster-a	Kund	8	0	8	{}	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-root-cluster-a	bro	8	2	6	"{""stress-marked@-2"": 2}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-root-cluster-a	Ush	8	2	6	"{""stress-marked@-2"": 2}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-root-cluster-i	Sh	2	2	0	"{""E@-2"": 1, ""L@-1"": 1, ""LR@-1"": 1, ""R@-1"": 1, ""stress-marked@-1"": 1, ""stress-marked@-2"": 1, ""unmarked"": 2}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-root-cluster-i	Phal	2	1	1	"{""L@-1"": 1, ""unmarked"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-root-cluster-i	Sv	2	0	2	{}	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-root-cluster-i	Kalk	2	1	1	"{""Low"": 1, ""P-low-level"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-root-cluster-i	Kund	2	0	2	{}	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-root-cluster-i	bro	2	0	2	{}	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-root-cluster-i	Ush	2	1	1	"{""unmarked"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-root-cluster-r	Sh	1	1	0	"{""E@-1"": 1, ""L@-1"": 1, ""short-monosyllable"": 1, ""stress-marked@-1"": 1, ""stress-marked@-2"": 1, ""unmarked"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-root-cluster-r	Phal	1	1	0	"{""S@-1"": 1, ""short-monosyllable"": 1, ""unmarked"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-root-cluster-r	Sv	1	0	1	{}	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-root-cluster-r	Kalk	1	0	1	{}	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-root-cluster-r	Kund	1	0	1	{}	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-root-cluster-r	bro	1	0	1	{}	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-root-cluster-r	Ush	1	0	1	{}	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-root-cluster-u	Sh	3	3	0	"{""E@-1"": 1, ""E@-2"": 2, ""S@-2"": 2, ""stress-marked@-2"": 1, ""syllable-marked@-2"": 1, ""unmarked"": 3}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-root-cluster-u	Phal	3	2	1	"{""S@-1"": 1, ""S@-2"": 2, ""syllable-marked@-2"": 1, ""unmarked"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-root-cluster-u	Sv	3	1	2	"{""unmarked"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-root-cluster-u	Kalk	3	0	3	{}	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-root-cluster-u	Kund	3	0	3	{}	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-root-cluster-u	bro	3	0	3	{}	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
short-root-cluster-u	Ush	3	1	2	"{""unmarked"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
retained-ending-core-properties	Sh	45	42	3	"{""E@-1"": 3, ""E@-2"": 10, ""F@-2"": 3, ""L@-1"": 2, ""L@-2"": 8, ""LR@-1"": 1, ""R@-1"": 1, ""R@-2"": 3, ""S@-1"": 1, ""S@-2"": 25, ""S@-3"": 1, ""short-monosyllable"": 2, ""stress-marked"": 1, ""stress-marked@-1"": 6, ""stress-marked@-2"": 23, ""stress-marked@position-unresolved"": 5, ""syllable-marked@-1"": 3, ""syllable-marked@-2"": 8, ""syllable-marked@position-unresolved"": 2, ""unmarked"": 41, ""vowel-sequence-marked@position-unresolved"": 4}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
retained-ending-core-properties	Phal	45	31	14	"{""E@-1"": 2, ""E@-2"": 17, ""L@-1"": 1, ""L@-2"": 2, ""S@-1"": 1, ""S@-2"": 12, ""short-monosyllable"": 1, ""syllable-marked@-1"": 1, ""syllable-marked@-2"": 16, ""syllable-marked@-3"": 2, ""unmarked"": 20, ""vowel-sequence-marked@position-unresolved"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
retained-ending-core-properties	Sv	45	18	27	"{""syllable-marked@-1"": 4, ""syllable-marked@-2"": 2, ""unmarked"": 14}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
retained-ending-core-properties	Kalk	45	8	37	"{""Hshort@-1"": 1, ""P-high-rising"": 1, ""P-low-level"": 1, ""unmarked"": 6}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
retained-ending-core-properties	Kund	45	14	31	"{""F@-2"": 1, ""R@-1"": 1, ""unmarked"": 13}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
retained-ending-core-properties	bro	45	14	31	"{""stress-marked@-2"": 11, ""stress-marked@position-unresolved"": 1, ""unmarked"": 4}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
retained-ending-core-properties	Ush	45	21	24	"{""stress-marked@-2"": 15, ""stress-marked@-3"": 1, ""stress-marked@position-unresolved"": 2, ""unmarked"": 5}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
ten-compounds	Sh	126	68	58	"{""E@-1"": 6, ""E@-2"": 8, ""L@-3"": 1, ""S@-1"": 2, ""S@-2"": 5, ""stress-in-vowel-sequence@position-unresolved"": 1, ""stress-marked@-1"": 1, ""stress-marked@-2"": 1, ""stress-marked@position-unresolved"": 2, ""syllable-marked@position-unresolved"": 4, ""unmarked"": 34, ""vowel-sequence-marked@position-unresolved"": 13}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
ten-compounds	Phal	126	22	104	"{""E@-1"": 8, ""syllable-marked@-1"": 5, ""unmarked"": 19}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
ten-compounds	Sv	126	18	108	"{""syllable-marked@-1"": 5, ""unmarked"": 18}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
ten-compounds	Kalk	126	18	108	"{""H2@-1"": 8, ""stress-marked@-1"": 1, ""unmarked"": 11}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
ten-compounds	Kund	126	10	116	"{""H-marked"": 1, ""unmarked"": 9}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
ten-compounds	bro	126	16	110	"{""stress-marked@-1"": 2, ""stress-marked@-2"": 5, ""unmarked"": 9}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
ten-compounds	Ush	126	14	112	"{""stress-marked@-1"": 2, ""stress-marked@-2"": 1, ""stress-marked@position-unresolved"": 1, ""unmarked"": 10}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
nineteen-twenty-comparison	Sh	30	12	18	"{""E@-1"": 1, ""L@-1"": 5, ""LR@-1"": 1, ""R@-1"": 1, ""stress-marked@-1"": 1, ""unmarked"": 6}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
nineteen-twenty-comparison	Phal	30	7	23	"{""L@-1"": 2, ""syllable-marked@-1"": 1, ""unmarked"": 6}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
nineteen-twenty-comparison	Sv	30	5	25	"{""syllable-marked@-1"": 1, ""unmarked"": 5}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
nineteen-twenty-comparison	Kalk	30	5	25	"{""H1@-1"": 2, ""unmarked"": 4}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
nineteen-twenty-comparison	Kund	30	3	27	"{""R@-1"": 1, ""unmarked"": 2}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
nineteen-twenty-comparison	bro	30	4	26	"{""stress-marked@-1"": 1, ""stress-marked@-2"": 1, ""unmarked"": 3}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
nineteen-twenty-comparison	Ush	30	4	26	"{""stress-marked@-1"": 1, ""unmarked"": 3}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
old-long-barytone-nominals	Sh	15	12	3	"{""E@-1"": 11, ""E@-2"": 2, ""F"": 1, ""L@-1"": 1, ""stress-marked@-1"": 3, ""stress-marked@-2"": 3, ""stress-marked@position-unresolved"": 1, ""unmarked"": 12}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
old-long-barytone-nominals	Phal	15	11	4	"{""E@-1"": 10, ""E@-2"": 1, ""L@-1"": 1, ""S@-1"": 1, ""unmarked"": 10}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
old-long-barytone-nominals	Sv	15	4	11	"{""unmarked"": 4}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
old-long-barytone-nominals	Kalk	15	3	12	"{""0-explicit"": 1, ""H2@-1"": 1, ""P-high-rising@-1"": 1, ""unmarked"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
old-long-barytone-nominals	Kund	15	3	12	"{""F@-1"": 2, ""unmarked"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
old-long-barytone-nominals	bro	15	3	12	"{""stress-marked@-2"": 1, ""unmarked"": 2}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
old-long-barytone-nominals	Ush	15	2	13	"{""stress-marked@-2"": 1, ""unmarked"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
old-long-oxytone-nominals	Sh	14	11	3	"{""E@-1"": 3, ""F"": 2, ""F@-2"": 1, ""L@-1"": 11, ""LR@-1"": 5, ""R@-1"": 5, ""S@-2"": 1, ""short-monosyllable"": 1, ""stress-in-vowel-sequence@position-unresolved"": 1, ""stress-marked@-1"": 3, ""stress-marked@-2"": 2, ""syllable-marked@-1"": 1, ""syllable-marked@-2"": 1, ""unmarked"": 11}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
old-long-oxytone-nominals	Phal	14	10	4	"{""E@-1"": 3, ""E@-2"": 1, ""L@-1"": 5, ""S@-1"": 1, ""short-monosyllable"": 1, ""syllable-marked@-1"": 1, ""syllable-marked@-2"": 1, ""unmarked"": 9}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
old-long-oxytone-nominals	Sv	14	5	9	"{""syllable-marked@-1"": 1, ""unmarked"": 4}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
old-long-oxytone-nominals	Kalk	14	3	11	"{""0-explicit"": 1, ""P-high-level"": 1, ""unmarked"": 2}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
old-long-oxytone-nominals	Kund	14	2	12	"{""F@-1"": 1, ""unmarked"": 1}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
old-long-oxytone-nominals	bro	14	4	10	"{""unmarked"": 4}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
old-long-oxytone-nominals	Ush	14	7	7	"{""unmarked"": 7}"	Outcome counts overlap for source/lect/cell variants. These are counterpart ranges, not direct tests of identical morphology in all languages.
