group	gloss	record_id	form	source	proposed_family	retained_previous_family	status	confidence	relation	analysis	source_locator	description
78	face	f_iqvta2grrdppm	mox-e	knobloch2020sauji	10158		new-family-association	high	manually-reviewed-lexical-family	mox-e face belongs to mukha; -e is case/number morphology, and a secondary mukhya formation remains a possible finer comparison.		
79	father	f_gin35x6qyyixu	baːbu	knobloch2020sauji	9209	9209	previous-research-link	high	manually-reviewed-lexical-family	baabu father is already linked to the expressive bāppa family.		
79	father	f_iz6w5ugu2zrlg	baabu	knobloch2020sauji	9209	9209	previous-research-link	high	manually-reviewed-lexical-family	baabu father is already linked to the expressive bāppa family.		
80	feather	f_ntcnk3ry7ax6m	phanti	knobloch2020sauji	7627		new-family-association	provisional	manually-reviewed-lexical-family	phanti feather is a pakṣa-family candidate supported by regional phaaṭu-type forms; the nasal and i ending need further phonological explanation, so confidence is provisional.		
81	female bear	f_wwjwtutzn6syu	inčeṛi	knobloch2020sauji	2447		new-family-association	high	manually-reviewed-lexical-family	inčeṛi female bear is assigned to the independently feminine r̥kṣī family rather than treating its ending as part of the masculine citation.		
82	female chicken	f_vggfh6nkujcr2	kukuri	knobloch2020sauji	3208		new-family-association	high	manually-reviewed-lexical-family	kukuri female chicken is the feminine member of the kukkuṭa paradigm.		
83	female dog	f_defafungnj4ka	kučuri	knobloch2020sauji	3219		new-family-association	high	manually-reviewed-lexical-family	kučuri female dog is the feminine member of kuccura, supported by the source's own kučuroo paradigm.		
84	fifteen	f_kq3ziihdsok54	panǰiš	knobloch2020sauji	7662		new-family-association	high	manually-reviewed-lexical-family	panǰiš fifteen is the inherited five-plus-ten compound; compound accent must be modeled separately.		
85	fifty	f_6ejf6qsamkpdc	dešaan dubiša	knobloch2020sauji			assessed-no-secure-input			dešaan dubiša fifty is a vigesimal phrase ten plus two twenties; no single OIA fifty headword is appropriate.		
86	fight, conflict	f_y7fkozkmp2ido	jaŋg	knobloch2020sauji			assessed-no-secure-input			jaŋg fight/conflict is the Iranian jang contact word, same lexical item as yang battle.		
87	finger	f_ngmjirgi4pcho	aŋguri	knobloch2020sauji	135		new-family-association	high	manually-reviewed-lexical-family	aŋguri/anguri finger corresponds to aṅguli with rhotic outcome.		
87	finger	f_b2jigpza3cuku	anguri	knobloch2020sauji	135		new-family-association	high	manually-reviewed-lexical-family	aŋguri/anguri finger corresponds to aṅguli with rhotic outcome.		
88	fingernail	f_jygpht4hllaks	naːkʰ	knobloch2020sauji	6914		new-family-association	high	manually-reviewed-lexical-family	naːkʰ fingernail matches nakha; long aa and retained aspiration are directly observed, accent unmarked.		
89	fingers	f_vtxuocqokolcs	angure	knobloch2020sauji	135		new-family-association	high	manually-reviewed-lexical-family	angure fingers is the plural of anguri.		
90	fire	f_vlvqkj5nclk3s	hangaːru	knobloch2020sauji	125		new-family-association	high	manually-reviewed-lexical-family	hangaːru fire corresponds to aṅgāra with initial h and broadened ember-to-fire meaning.		
91	fish	f_troy7ylmucxr6	mat͡siɳ	knobloch2020sauji	9758		new-family-association	high	manually-reviewed-lexical-family	matsiɳ fish contains the matsya stem plus an unexplained final extension; do not assign the rohitamatsya compound because of fish alone.		
92	five	f_o6c3kqy7ad446	paanǰ	knobloch2020sauji	7655	7655	previous-research-link	high	manually-reviewed-lexical-family	paanǰ five is already linked to pañca.		
93	flat	f_24mew4rz3nz4u	xawar	knobloch2020sauji			assessed-no-secure-input			xawar flat resembles a regional adjective but lacks a secure reconstruction in the present evidence.		
94	flour	f_7fycjm7sclons	pišo	knobloch2020sauji	8218	8218	previous-research-link	high	manually-reviewed-lexical-family	pišu/pišo flour are the piṣṭa nominal set; the grinding verb pēṣayati is related but not the immediate noun formation.		
94	flour	f_vkvtdfon3ij4u	pišu	knobloch2020sauji	8218		new-family-association	high	manually-reviewed-lexical-family	pišu/pišo flour are the piṣṭa nominal set; the grinding verb pēṣayati is related but not the immediate noun formation.		
95	flower	f_4cxowhjxzoo5e	poš-a	knobloch2020sauji	8306		new-family-association	high	manually-reviewed-lexical-family	poš-a flower belongs to the regional poś/pōṣ flower set under puṣya; the final a is inflectional.		
96	forest	f_wbmpzpqhmanlm	zaŋgali	knobloch2020sauji			assessed-no-secure-input			zaŋgali forest is the regional jangal word with a case/derivational ending; contact versus inherited history is unresolved and no tone is supplied.		
97	forty	f_j4hjcg3yc3fvu	dubiša	knobloch2020sauji			assessed-no-secure-input			dubiša forty is transparently two twenties, a compositional numeral; keep separate from an unmodified twenty reflex.		
98	four	f_tfmr5ibtajunc	t͡ʃoːr	knobloch2020sauji	4655		new-family-association	high	manually-reviewed-lexical-family	čoor/čur four are the catvāraḥ set; vowel quantity varies by citation/cell.		
98	four	f_cllbb46rf63f6	čoor	knobloch2020sauji	4655		new-family-association	high	manually-reviewed-lexical-family	čoor/čur four are the catvāraḥ set; vowel quantity varies by citation/cell.		
98	four	f_yhewj3papumwy	čur	knobloch2020sauji	4655		new-family-association	high	manually-reviewed-lexical-family	čoor/čur four are the catvāraḥ set; vowel quantity varies by citation/cell.		
99	fourteen	f_ufxavxkum5lts	čadiš	knobloch2020sauji	4605	4605	previous-research-link	high	manually-reviewed-lexical-family	čadiš fourteen is already linked to the four-plus-ten compound.		
100	fox	f_pk6u7s5mbdxsy	lambaṛi	knobloch2020sauji	11153		new-family-association	high	manually-reviewed-lexical-family	lambaṛi/lumbaṛi fox correspond to the lōmaṭaka regional fox family, with a feminine/extended ending.		
100	fox	f_i6txcjkmao5zs	lumbaṛi	knobloch2020sauji	11153		new-family-association	high	manually-reviewed-lexical-family	lambaṛi/lumbaṛi fox correspond to the lōmaṭaka regional fox family, with a feminine/extended ending.		
101	frighten	f_kun5xy26wsoic	biyaal-u	knobloch2020sauji			assessed-no-secure-input			biyaal-u frighten plausibly contains the fear root, but causative formation and precise ancestor are not established here.		
102	frog	f_qqpw7wlv5zaao	munɖaːko	knobloch2020sauji	9746		new-family-association	high	manually-reviewed-lexical-family	munɖaːko frog is the maṇḍūka set; modern vowel quality and quantity are separate from inherited accent.		
103	from	f_iw7ukdglke7ms	diyon	knobloch2020sauji			assessed-no-secure-input			diyon/diyaan/diyo from are grammatical postposition forms; no etymology follows from superficial similarity to a holding root.		
103	from	f_bo7qhewxoxkxu	diyaan	knobloch2020sauji			assessed-no-secure-input			diyon/diyaan/diyo from are grammatical postposition forms; no etymology follows from superficial similarity to a holding root.		
103	from	f_65svej4syolog	diyo	knobloch2020sauji			assessed-no-secure-input			diyon/diyaan/diyo from are grammatical postposition forms; no etymology follows from superficial similarity to a holding root.		
104	from us	f_ft5iknsbqi6vi	asondiyo	knobloch2020sauji	986		new-family-association	high	compound-component-only	asondiyo from us contains the first-person plural pronoun plus the source's diyo postposition; phrase-level grammatical evidence, not a simplex accent reflex.		
105	gave	f_u26rw3gq6pdwy	dito	knobloch2020sauji	6140		new-family-association	high	root-family-only	dito gave corresponds to the datta perfective stem.		
106	girl	f_zowpzso2qvbfg	pu-yee	knobloch2020sauji	8399		new-family-association	high	manually-reviewed-lexical-family	pu-yee/poo-yee girl compare to the pōta-family boy/girl paradigm; female and case extensions are retained.		
106	girl	f_pve4lisaedp4a	poo-yee	knobloch2020sauji	8399		new-family-association	high	manually-reviewed-lexical-family	pu-yee/poo-yee girl compare to the pōta-family boy/girl paradigm; female and case extensions are retained.		
107	give	f_c7jgkx6ozseaa	daan-	knobloch2020sauji	6141		new-family-association	high	root-family-only	daan-/d- give and dit- given are linked to their separate present and perfective formations below.		
107	give	f_tnc3pg3onhxeq	dit-	knobloch2020sauji	6140		new-family-association	high	root-family-only	daan-/d- give and dit- given are linked to their separate present and perfective formations below.		
107	give	f_oji66qaqnoqg4	d-ee	knobloch2020sauji	6141		new-family-association	high	root-family-only	daan-/d- give and dit- given are linked to their separate present and perfective formations below.		
107	give	f_f7gv62hcho4sg	dit-i	knobloch2020sauji	6140		new-family-association	high	root-family-only	daan-/d- give and dit- given are linked to their separate present and perfective formations below.		
107	give	f_tbzaxeo6jyihk	dit-oo	knobloch2020sauji	6140		new-family-association	high	root-family-only	daan-/d- give and dit- given are linked to their separate present and perfective formations below.		
108	gives	f_q2rmfgbagt436	daano	knobloch2020sauji	6141		new-family-association	high	root-family-only	daano gives is the present giving stem.		
109	go	f_jvmhisuweusxu	baan-	knobloch2020sauji	12225		new-family-association	high	root-family-only	baan- go and g- perfective go require separate vrájati and gata formation links.		
109	go	f_zjzvhzxg27sae	g-	knobloch2020sauji	4008		new-family-association	high	root-family-only	baan- go and g- perfective go require separate vrájati and gata formation links.		
110	go, become	f_4lrpve3nm7d4i	baan-al-e	knobloch2020sauji			assessed-no-secure-input			baan-al-e go/become is semantically ambiguous between the two source paradigms; no forced historical assignment.		
111	goat	f_54zeintbi4suw	t͡ʃʰɑːlɛ	knobloch2020sauji	4963		new-family-association	high	manually-reviewed-lexical-family	čhaal-u/t͡ʃʰɑːlɛ goat match the chagala set, with sex/number morphology. chāgala is an alternative historical formation, not an interchangeable accent input.		
111	goat	f_mjdm7nrmiudsy	čhaal-u	knobloch2020sauji	4963		new-family-association	high	manually-reviewed-lexical-family	čhaal-u/t͡ʃʰɑːlɛ goat match the chagala set, with sex/number morphology. chāgala is an alternative historical formation, not an interchangeable accent input.		
112	goes	f_gqosbwdmauirg	baanu	knobloch2020sauji	12225		new-family-association	high	root-family-only	baanu goes is the going imperfective; distinguish the homophonous becoming verb.		
113	good	f_2mynp2pcitlro	xwax	knobloch2020sauji			assessed-no-secure-input			xwax good is Pashto-type contact vocabulary; bal is a different citation requiring source-context clarification. Neither is assigned to śubha by gloss.		
113	good	f_kxlk4hj4b34d4	bal	knobloch2020sauji			assessed-no-secure-input			xwax good is Pashto-type contact vocabulary; bal is a different citation requiring source-context clarification. Neither is assigned to śubha by gloss.		
114	government	f_iffxrun5ufuoy	yarime	knobloch2020sauji			assessed-no-secure-input			yarime government is opaque here; a semantic match with rājya is insufficient.		
115	granddaughter	f_glyhtcgbkayyi	nawaasi	knobloch2020sauji			assessed-no-secure-input			nawaasi granddaughter belongs with regional nawasa/nawasi; borrowing route and deeper formation need investigation, not substitution of pautrī.		
116	grandson	f_2q5norjqroebq	nawaasu	knobloch2020sauji			assessed-no-secure-input			nawaasu grandson is the male counterpart of nawaasi; do not equate it with the segmentally different pautra set.		
117	grass	f_u6rnz5w4f22ns	drab	knobloch2020sauji			assessed-no-secure-input			drab grass plausibly reflects darbha with metathesis, an etymological lead needing the full entry; not a reflex of ghāsa by meaning alone.		
118	green	f_m6ypq6kjr4seg	nil-i	knobloch2020sauji	7563		new-family-association	high	manually-reviewed-lexical-family	nil-i green is the nīla adjective with a gender ending; source supplies no accent.		
119	grow	f_gsyhwmzj4iqjo	nilbel-ee-n-ee	knobloch2020sauji			assessed-no-secure-input			nilbel-ee-n-ee grow has substantial verbal morphology and no secure lexical match; do not assign vardhate solely from the gloss.		
120	hand	f_et3rxk2vwdy2u	haːtʰ	knobloch2020sauji	14024		new-family-association	high	manually-reviewed-lexical-family	haat-/haːtʰ hand matches hasta; haat-o-de is an inflected/postpositional form, not the same citation cell.		
120	hand	f_ulzuke6hnyi3m	haat-o-de	knobloch2020sauji	14024		new-family-association	high	manually-reviewed-lexical-family	haat-/haːtʰ hand matches hasta; haat-o-de is an inflected/postpositional form, not the same citation cell.		
121	he, she, it (proximate)	f_oaqmrumg44bvs	la	knobloch2020sauji			assessed-no-secure-input			la-/le-/li- proximate pronouns form a distinct deictic paradigm. Several cells are explicitly secondary Buddruss citations not confirmed by Knobloch's speakers; retain that distinction and leave deep ancestry open.		
121	he, she, it (proximate)	f_emiivhn5g56a2	lasee	knobloch2020sauji			assessed-no-secure-input			la-/le-/li- proximate pronouns form a distinct deictic paradigm. Several cells are explicitly secondary Buddruss citations not confirmed by Knobloch's speakers; retain that distinction and leave deep ancestry open.		
121	he, she, it (proximate)	f_meddsku45kr7c	li	knobloch2020sauji			assessed-no-secure-input			la-/le-/li- proximate pronouns form a distinct deictic paradigm. Several cells are explicitly secondary Buddruss citations not confirmed by Knobloch's speakers; retain that distinction and leave deep ancestry open.		
121	he, she, it (proximate)	f_tvakgwqybzehi	lesi	knobloch2020sauji;buddruss1967sau			assessed-no-secure-input			la-/le-/li- proximate pronouns form a distinct deictic paradigm. Several cells are explicitly secondary Buddruss citations not confirmed by Knobloch's speakers; retain that distinction and leave deep ancestry open.		not confirmed in the field data; supplied from Buddruss (1967: 41-43)
121	he, she, it (proximate)	f_ou3x2z6b2it62	lase	knobloch2020sauji;buddruss1967sau			assessed-no-secure-input			la-/le-/li- proximate pronouns form a distinct deictic paradigm. Several cells are explicitly secondary Buddruss citations not confirmed by Knobloch's speakers; retain that distinction and leave deep ancestry open.		dative and postpositional paradigm reproduced from Buddruss (1967: 41-43)
121	he, she, it (proximate)	f_dimufb7tjul6w	lasi	knobloch2020sauji;buddruss1967sau			assessed-no-secure-input			la-/le-/li- proximate pronouns form a distinct deictic paradigm. Several cells are explicitly secondary Buddruss citations not confirmed by Knobloch's speakers; retain that distinction and leave deep ancestry open.		dative and postpositional paradigm reproduced from Buddruss (1967: 41-43)
121	he, she, it (proximate)	f_q2pkekrjzbixy	laseṭe	knobloch2020sauji;buddruss1967sau			assessed-no-secure-input			la-/le-/li- proximate pronouns form a distinct deictic paradigm. Several cells are explicitly secondary Buddruss citations not confirmed by Knobloch's speakers; retain that distinction and leave deep ancestry open.		dative and postpositional paradigm reproduced from Buddruss (1967: 41-43)
121	he, she, it (proximate)	f_spihnhfnuz3zu	laa	knobloch2020sauji;buddruss1967sau			assessed-no-secure-input			la-/le-/li- proximate pronouns form a distinct deictic paradigm. Several cells are explicitly secondary Buddruss citations not confirmed by Knobloch's speakers; retain that distinction and leave deep ancestry open.		dative and postpositional paradigm reproduced from Buddruss (1967: 41-43)
122	he, she, it (remote)	f_iein55nlapfa4	se	knobloch2020sauji	12815		new-family-association	high	manually-reviewed-lexical-family	se versus t- remote-pronoun stems are suppletive within a paradigm. Link se to sa only; t- requires its own demonstrative formation.		
122	he, she, it (remote)	f_gxuto2fczltq2	tasee	knobloch2020sauji			assessed-no-secure-input			se versus t- remote-pronoun stems are suppletive within a paradigm. Link se to sa only; t- requires its own demonstrative formation.		
122	he, she, it (remote)	f_nzrpzmowhet4o	ti	knobloch2020sauji			assessed-no-secure-input			se versus t- remote-pronoun stems are suppletive within a paradigm. Link se to sa only; t- requires its own demonstrative formation.		
122	he, she, it (remote)	f_ymqulanflfc7s	tesi	knobloch2020sauji;buddruss1967sau			assessed-no-secure-input			se versus t- remote-pronoun stems are suppletive within a paradigm. Link se to sa only; t- requires its own demonstrative formation.		not confirmed in the field data; supplied from Buddruss (1967: 41-43)
122	he, she, it (remote)	f_3nzksc2mwuz4g	tase	knobloch2020sauji;buddruss1967sau			assessed-no-secure-input			se versus t- remote-pronoun stems are suppletive within a paradigm. Link se to sa only; t- requires its own demonstrative formation.		dative and postpositional paradigm reproduced from Buddruss (1967: 41-43)
122	he, she, it (remote)	f_adh33smro4drq	taseṭe	knobloch2020sauji;buddruss1967sau			assessed-no-secure-input			se versus t- remote-pronoun stems are suppletive within a paradigm. Link se to sa only; t- requires its own demonstrative formation.		dative and postpositional paradigm reproduced from Buddruss (1967: 41-43)
122	he, she, it (remote)	f_jri3hoq2tc2qm	taṭe	knobloch2020sauji;buddruss1967sau			assessed-no-secure-input			se versus t- remote-pronoun stems are suppletive within a paradigm. Link se to sa only; t- requires its own demonstrative formation.		dative and postpositional paradigm reproduced from Buddruss (1967: 41-43)
122	he, she, it (remote)	f_n6lcswmv6xpci	ta	knobloch2020sauji;buddruss1967sau			assessed-no-secure-input			se versus t- remote-pronoun stems are suppletive within a paradigm. Link se to sa only; t- requires its own demonstrative formation.		dative and postpositional paradigm reproduced from Buddruss (1967: 41-43)
122	he, she, it (remote)	f_qb24zpacxgudg	tasi	knobloch2020sauji;buddruss1967sau			assessed-no-secure-input			se versus t- remote-pronoun stems are suppletive within a paradigm. Link se to sa only; t- requires its own demonstrative formation.		dative and postpositional paradigm reproduced from Buddruss (1967: 41-43)
123	head	f_xrlum6qu7q5zk	šeš	knobloch2020sauji	12497		new-family-association	high	manually-reviewed-lexical-family	šeš head corresponds to śīrṣa and older Sauji ṣiṣ; source's unmarked spelling is not a tonelessness claim.		
124	hear	f_zbufwe3bswsoc	bud͡ʒiloː	knobloch2020sauji			assessed-no-secure-input			bud͡ʒiloː hear plausibly contains a budh/buj knowing/hearing stem, but the prefix and formation are not established; do not force śṛṇoti.		
125	help	f_usl7ivf345ei4	kumaak	knobloch2020sauji			assessed-no-secure-input			kumaak help is the regional Persian komak contact word.		
126	hen	f_xxb3alv2mrfjq	kukuṛ-u	knobloch2020sauji	3208		new-family-association	high	manually-reviewed-lexical-family	kukuṛ-/kukuṛi hen are the kukkuṭa bird paradigm; some masculine-shaped citations under hen require the original grammatical cell to be retained.		
126	hen	f_22aomaqshgcgu	kukuṛi	knobloch2020sauji	3208		new-family-association	high	manually-reviewed-lexical-family	kukuṛ-/kukuṛi hen are the kukkuṭa bird paradigm; some masculine-shaped citations under hen require the original grammatical cell to be retained.		
126	hen	f_cldvfg5nopfug	kukuṛ	knobloch2020sauji	3208		new-family-association	high	manually-reviewed-lexical-family	kukuṛ-/kukuṛi hen are the kukkuṭa bird paradigm; some masculine-shaped citations under hen require the original grammatical cell to be retained.		
127	hens	f_7rngqedljge6i	kukuṛe	knobloch2020sauji	3208		new-family-association	high	manually-reviewed-lexical-family	kukuṛe hens is the plural of the chicken/hen stem.		
128	here	f_xsup46vo2hema	laadee	knobloch2020sauji			assessed-no-secure-input			laadee/lade here are locative formations of the proximal la- demonstrative, not independent lexical roots.		
128	here	f_p4bxqx5vnjqos	lade	knobloch2020sauji			assessed-no-secure-input			laadee/lade here are locative formations of the proximal la- demonstrative, not independent lexical roots.		
129	horn	f_75rzofkbanpg4	ʂinga	knobloch2020sauji	12583		new-family-association	high	manually-reviewed-lexical-family	ʂinga horn corresponds to śṛṅga; retained final a prevents a monosyllabic mora comparison.		
130	horse	f_vwqewg4itrmwg	guṛu	knobloch2020sauji	4516		new-family-association	high	manually-reviewed-lexical-family	guṛu horse corresponds to ghōṭa with the regional retroflex-rhotic outcome and masculine ending.		
131	house	f_n5ftatrrml33k	goːš	knobloch2020sauji	4336	4336	previous-research-link	high	manually-reviewed-lexical-family	gooš/goš- house belongs to goṣṭha as already linked in this source; case/number alternants differ in root quantity.		
131	house	f_p6vcjzalap2zq	gooš	knobloch2020sauji	4336	4336	previous-research-link	high	manually-reviewed-lexical-family	gooš/goš- house belongs to goṣṭha as already linked in this source; case/number alternants differ in root quantity.		
131	house	f_777uab3vva3o2	goš-ee	knobloch2020sauji	4336		new-family-association	high	manually-reviewed-lexical-family	gooš/goš- house belongs to goṣṭha as already linked in this source; case/number alternants differ in root quantity.		
131	house	f_iaxcgmubyx7tu	gooš-a	knobloch2020sauji	4336		new-family-association	high	manually-reviewed-lexical-family	gooš/goš- house belongs to goṣṭha as already linked in this source; case/number alternants differ in root quantity.		
131	house	f_yy2cb45ufcen4	goš-a	knobloch2020sauji	4336		new-family-association	high	manually-reviewed-lexical-family	gooš/goš- house belongs to goṣṭha as already linked in this source; case/number alternants differ in root quantity.		
132	how many	f_lggh7p5oozbj4	keti	knobloch2020sauji	3167		new-family-association	high	manually-reviewed-lexical-family	keti how many belongs to the kiyatta quantifier set; its final vowel is grammatical, accent unknown.		
133	hundred	f_ouy5fqouqxp4k	paanǰbiša	knobloch2020sauji			assessed-no-secure-input			paanǰbiša/paanǰbisa hundred are five twenties; sawa hundred is a different formation, assigned separately below.		
133	hundred	f_meru5hmiyj7ou	paanǰbisa	knobloch2020sauji			assessed-no-secure-input			paanǰbiša/paanǰbisa hundred are five twenties; sawa hundred is a different formation, assigned separately below.		
133	hundred	f_wwvlfeqeu2n3k	sawa	knobloch2020sauji	12278		new-family-association	high	manually-reviewed-lexical-family	paanǰbiša/paanǰbisa hundred are five twenties; sawa hundred is a different formation, assigned separately below.		
134	hundred and ten	f_mw5g63gtpa7f2	dešaan paanǰbiša	knobloch2020sauji			assessed-no-secure-input			dešaan paanǰbiša hundred and ten is a compositional phrase ten plus five twenties, not an inherited simplex numeral.		
135	hundred and twenty	f_lvpwl3lyd7mya	ṣubiša	knobloch2020sauji			assessed-no-secure-input			ṣubiša hundred and twenty is six twenties; the vigesimal construction must be analyzed as a compound.		
136	hungry	f_wmdz2qvralpdw	buṣaag-u	knobloch2020sauji	9284		new-family-association	provisional	manually-reviewed-lexical-family	buṣaag-u hungry plausibly continues the bubhukṣaka family through the hunger stem plus adjectival ending; cluster simplification and g require further source comparison, so provisional.		
137	hurt	f_fmci2kykv7j3c	ǰaleen-i	knobloch2020sauji			assessed-no-secure-input			ǰaleen-i hurt is a verbal stem with imperfective morphology; resemblance to śūlate is insufficient without a supported affricate correspondence.		
138	husband	f_l5hikqo2g7abo	miʃa	knobloch2020sauji	9828		new-family-association	high	manually-reviewed-lexical-family	miʃa husband belongs to the contracted miš man/husband set, distinct from uncontracted maanuṣ.		
139	i	f_ds656smuzdh4w	ma	knobloch2020sauji	9691		new-family-association	high	manually-reviewed-lexical-family	ma/mi first-person singular forms belong to the ma pronominal stem, with case variation.		
139	i	f_eajcton2ohdqw	mi	knobloch2020sauji	9691		new-family-association	high	manually-reviewed-lexical-family	ma/mi first-person singular forms belong to the ma pronominal stem, with case variation.		
140	in front of	f_nb3utefvvu7nq	muškani	knobloch2020sauji			assessed-no-secure-input			muškani/muxaamšuṇi in front of contain front/face-related material and further morphology; the exact division and borrowing history remain unresolved.		
140	in front of	f_oqngahszx25bu	muxaamšuṇi	knobloch2020sauji			assessed-no-secure-input			muškani/muxaamšuṇi in front of contain front/face-related material and further morphology; the exact division and borrowing history remain unresolved.		
141	in the direction of	f_zb5sobdvo3gkk	daḍee	knobloch2020sauji			assessed-no-secure-input			daḍee direction-of is a directional postposition, with no secure lexical ancestor assigned.		
142	into	f_5elnozucbkloe	ṣaa	knobloch2020sauji			assessed-no-secure-input			ṣaa into is a grammatical item; no lexical cognacy follows from the retrieved English-gloss matches.		
143	is	f_jcefxrdo5betg	hinu	knobloch2020sauji			assessed-no-secure-input			hinu/hino is belong to the hin- copula; historical derivation remains open rather than inheriting bhavati accent through a modern translation.		
143	is	f_fqfwfqazkabvs	hino	knobloch2020sauji			assessed-no-secure-input			hinu/hino is belong to the hin- copula; historical derivation remains open rather than inheriting bhavati accent through a modern translation.		
144	journey	f_fi4o5p3dviyni	musaaferi	knobloch2020sauji			assessed-no-secure-input			musaaferi/musafari/musaphari journey are Arabic/Persian-origin contact vocabulary; the ph/f variants are transcription/phonological evidence only.		
144	journey	f_5otn5l44nhx7s	musafari	knobloch2020sauji			assessed-no-secure-input			musaaferi/musafari/musaphari journey are Arabic/Persian-origin contact vocabulary; the ph/f variants are transcription/phonological evidence only.		
144	journey	f_givu7cy2re7vi	musaphari	knobloch2020sauji			assessed-no-secure-input			musaaferi/musafari/musaphari journey are Arabic/Persian-origin contact vocabulary; the ph/f variants are transcription/phonological evidence only.		
145	judge	f_ii5valymhdp6s	qaziː	knobloch2020sauji;buddruss1967sau			assessed-no-secure-input			qaziː judge is an Arabic-origin contact noun, here explicitly a secondary Buddruss citation.		
146	kamtili	f_q4uw7ejlh5sjo	kamtili	knobloch2020sauji			assessed-no-secure-input			kamtili is a place-name citation; no common-noun etymology is assumed.		
147	kill	f_aksmastk3ipra	moraan-	knobloch2020sauji	10066		new-family-association	high	root-family-only	moraan-/moreen-/moril- kill belong to the causative mārayati family; perfective l and agreement morphology are separated from the root.		
147	kill	f_p5st3s4yzcfmc	moreen-	knobloch2020sauji	10066		new-family-association	high	root-family-only	moraan-/moreen-/moril- kill belong to the causative mārayati family; perfective l and agreement morphology are separated from the root.		
147	kill	f_jv7aghouwn5cm	moril-	knobloch2020sauji	10066		new-family-association	high	root-family-only	moraan-/moreen-/moril- kill belong to the causative mārayati family; perfective l and agreement morphology are separated from the root.		
147	kill	f_ox25b2rmkre5c	moril-oo	knobloch2020sauji	10066		new-family-association	high	root-family-only	moraan-/moreen-/moril- kill belong to the causative mārayati family; perfective l and agreement morphology are separated from the root.		
147	kill	f_oj6dt4pqncwlc	moril-ee	knobloch2020sauji	10066		new-family-association	high	root-family-only	moraan-/moreen-/moril- kill belong to the causative mārayati family; perfective l and agreement morphology are separated from the root.		
147	kill	f_6uk2ytpjch2pm	moril-i	knobloch2020sauji	10066		new-family-association	high	root-family-only	moraan-/moreen-/moril- kill belong to the causative mārayati family; perfective l and agreement morphology are separated from the root.		
148	killed	f_u5jc3xuxcakb6	morilo	knobloch2020sauji	10066		new-family-association	high	root-family-only	morilo killed is the perfective of moraan- kill.		
149	knead	f_uy77ql7hjrrrm	gozel-e	knobloch2020sauji			assessed-no-secure-input			gozan-/gozel- knead form an imperfective/perfective pair, but their base is not a supported mard- reflex.		
149	knead	f_hix4mr2hzcooe	gozan-e	knobloch2020sauji			assessed-no-secure-input			gozan-/gozel- knead form an imperfective/perfective pair, but their base is not a supported mard- reflex.		
150	knee	f_457nxpcgjabpu	ḍuṅgo	knobloch2020sauji			assessed-no-secure-input			ḍuṅgo knee may relate to a bent/rounded-body-part term, but it is not a secure kuṭṭha reflex; no forced cognacy.		
151	know	f_c6dzpslf62k5e	piyaanil-u	knobloch2020sauji			assessed-no-secure-input			piyaanil-/piyonaan- know may be a prefixed knowing/recognizing formation; jānāti without the prefix does not establish the history.		
151	know	f_yoq6m7kzqyp62	piyonaan-o	knobloch2020sauji			assessed-no-secure-input			piyaanil-/piyonaan- know may be a prefixed knowing/recognizing formation; jānāti without the prefix does not establish the history.		
151	know	f_fdiaciasn37ic	piyonaan-oo	knobloch2020sauji			assessed-no-secure-input			piyaanil-/piyonaan- know may be a prefixed knowing/recognizing formation; jānāti without the prefix does not establish the history.		
152	laugh	f_s3oinexmxkwqo	hansil-i	knobloch2020sauji	14021		new-family-association	high	root-family-only	hansil-i laugh corresponds to hasati with nasal and perfective extension; the exact finite Sanskrit citation is only a root-family comparator.		
153	leaf	f_w2d7ucwcwqu7i	paːɬu	knobloch2020sauji	7733		new-family-association	high	manually-reviewed-lexical-family	paːɬu leaf matches pattra, with the Sauji lateral outcome also seen in three; final u and cluster history distinguish it from pallava.		
154	lender	f_ngylucvb2xtmy	garazaṛ-ee	knobloch2020sauji			assessed-no-secure-input			garazaṛ-ee lender appears related to the regional qarz loan vocabulary, but source segmentation and agentive formation need checking.		
155	life	f_dx7evhaxjaik4	zindagi	knobloch2020sauji			assessed-no-secure-input			zindagi life is the Persian-origin contact noun.		
156	little	f_p2i5yl3aq2v2s	leew-i	knobloch2020sauji	10896		new-family-association	high	manually-reviewed-lexical-family	laaw-u/leew-i little show the laghu adjective's gender/umlaut alternation; do not substitute alpa because of the shared meaning.		
156	little	f_xd6puiadi2ohs	laaw-u	knobloch2020sauji	10896		new-family-association	high	manually-reviewed-lexical-family	laaw-u/leew-i little show the laghu adjective's gender/umlaut alternation; do not substitute alpa because of the shared meaning.		
157	live	f_vwhbfzlqi5yqu	wosedal	knobloch2020sauji			assessed-no-secure-input			wosedal/wasedal live preserve a Pashto-type verbal infinitive; contact origin or calqued integration needs primary lexical confirmation.		
157	live	f_nbdnjafcpkcba	wasedal	knobloch2020sauji			assessed-no-secure-input			wosedal/wasedal live preserve a Pashto-type verbal infinitive; contact origin or calqued integration needs primary lexical confirmation.		
158	liver	f_3fi5jkajayoti	jiːnuː	knobloch2020sauji			assessed-no-secure-input			jiːnuː liver is segmentally unlike yakṛt in these data; leave the lexical replacement unexplained.		
159	loan	f_26zhbhkssghie	čed	knobloch2020sauji			assessed-no-secure-input			čed loan is the base associated with čeduaṇ-ee borrower, but its deeper etymology is unresolved.		
