family_id	gloss	palula	palula_gloss	palula_nuclei	palula_final	palula_outcome	palula_accent_from_right	kalkoti	kalkoti_source	kalkoti_outcome	kalkoti_low_status	kalkoti_record_id	palula_record_id	input_class	prediction	observed_category	status	exclusion	adjudication
12225	go	bíi	to go, leave, move	1	long-final-vowel	E	1	baans	kalkoti	unmarked		f_xdqy6cb3l3az4	f_z5jfyte7gpffo	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	excluded	unmatched-verbal-cells	Palula bíi is a modern citation ending attached to a heavily reduced motion root; Strand gives consonantal b-. Shina buž-/bož- and Kalkoti buun preserve different present formations, while perfective go words belong to other historical roots. The database's isolated vr and ẓ are comparative phonological fragments, not independent attested lexical outcomes.
8399	boy	phoó	boy; son; boy	1	long-final-vowel	L	1	puu	kalkoti	unmarked		f_dbbnoef5z7zno	f_6goypw42a5tgu	Palula-L-without-short-final-vowel	early-High-or-falling	unknown	unscorable		Boy phoó/púu has an accented LONG final vowel in Palula; it is not in the short unaccented final-u apocope class.
10452	come	yhíi	to come, arrive; become, come into existence	1	long-final-vowel	E	1	yaal	kalkoti	unmarked		f_x3s26fniglhcq	f_oawjhqw3lwtfe	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	excluded	unmatched-verbal-cells	Palula yhíi/Biori yíi accents the citation ending after substantial contraction or stem reduction, whereas Gilgit yayoók is an infinitive and Kundal yɛ an imperative. Their cell differences and come/go semantic organization prevent a direct comparison of old yā́ti with every modern whole word. The linked Kalkoti yuun citation is from Liljegren 2013; Hultman's yùun supplies explicit low-tone evidence associated with lost aspiration, requiring comparison of the same present cell.
13952	bone	haáḍ	bone	1	consonant-final	L	1	aṛ	kalkoti	unmarked		f_p6p3qwo4psfsw	f_gylv2zfgesifi	Palula-L-without-short-final-vowel	early-High-or-falling	unknown	unscorable		Palula haáḍ beside Biori haḍ provides a strong late-new-aa example with h in a closed monosyllable. haṇḍúk/haḍúng and Strand haḍʹung are extended skeleton or bone forms, not the same cell; marrow is a compound. Kalkoti aḍ/aṛ loses initial h and has separate tone evidence to establish. Turner explicitly calls the ásthi connection very doubtful.
7785	path	páand	path, road	1	consonant-final	E	1	paan	kalkoti	P-high-level		f_gtboqkvbsytrc	f_sr7ofangymbyy	Palula-E-without-short-final-vowel	zero-High-or-default	zero-High-or-default	consistent		Palula páand/Biori pan and fixed inflection are compatible with old root prominence followed by later Ashret lengthening. Shina pon is short and reflects nasal-environment backing; Sauji phantē has a retained ending. Since the old headword has short accented a followed by long ā but retains root accent, it is a necessary countercontrol to unrestricted attraction to any later long vowel. The irregular paradigm may explain why final ā is not an ordinary lexical long-vowel target.
5228	tongue	ǰip	tongue	1	consonant-final	short-monosyllable		ǰib	hultman2023kalkoti	unmarked		f_xrztuiah7243c	f_yms6ipib7onvy	other-comparative-structure		unknown	excluded		Palula ǰip and Shina jip/jib are short, so citation forms hide their accent class. Palula's mobile ǰip/ǰipí supports survival of old final accent, whereas Kohistani ǰip/ǰíba is fixed in the grammar. This is a real paradigm divergence despite nearly identical citation forms, and a counterexample to automatic inheritance of fixed/mobile classes across the entire group.
9661	brother	bhróo	brother; cousin, member of one's own tribe	1	long-final-vowel	E	1	dra	hultman2023kalkoti	unmarked		f_5y7t246emhx2i	f_cbygp6jqtngzk	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	unscorable		Palula bhróo/Biori bhrúu and Shina ẓáa/j̣áa show early root accent, compatible with old long-root barytonesis despite strong segmental divergence. Published Palula bhroó variants elsewhere require separate recording, and Sauji brāū́ ‘my brother’ is a possessive form rather than a bare lexical duplicate. The linked Kalkoti dra is from Liljegren 2013 and is unmarked in that particular citation; its exact tone needs the primary source context.
6518	see	páaša	to see; notice	2	short-final-vowel	E	2	driṣ	hultman2023kalkoti	unmarked		f_ceyuon6lh3ad4	f_bnqfxnbozzwlu	Palula-prefinal-accent-plus-short-final-vowel	final-High-or-rising	unknown	excluded	unmatched-verbal-cells	Strand dhrîʹsṭo is an explicitly irregular past form with late long root accent; Kalkoti driṣ and Sauji dərṣo are other perfective reflexes. Palula páaša is the suppletive present/citation and not a phonological reflex of dr̥ṣṭá. The old short vocalic r and modern long ī require a separate stem/quantity history, while final o is morphological.
4368	village	ghróom	village; permanent settlement (in contrast with sóon 'summer pasture'); Ashret proper, also atshareét xaás	1	consonant-final	E	1	draám	hultman2023kalkoti	H2		f_6spyts2bjwdrg	f_ceqs73vbsapl4	Palula-E-without-short-final-vowel	zero-High-or-default	final-High-or-rising	residual		Village ghróom/draám is a genuine counterexample to the simple Palula E→Kalkoti no-High mapping. Hultman Table6p12 explicitly prints draám beside ghróom. A former extra ending, analogical reaccentuation or contact could explain it, but none is independently demonstrated. Palula ghr also fails to predict Low here; do not hide that second issue.
5994	three	tróo	three	1	long-final-vowel	E	1	traa	hultman2023kalkoti	unmarked		f_ulli7invxi5fm	f_u7ls4eyuoroxs	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	unscorable		Palula tróo/Biori trúu and Shina c̣ée have early prominence after contraction, but their different vowel qualities reflect different monophthongization and raising histories. The old entry has independently distinct masculine, neuter and genitive stems; the exact modern source cannot be assumed from the first headword. Kalkoti traa and Kundal trā are unmarked.
2892	work	kráam	work; deed, behaviour	1	consonant-final	E	1	traam	hultman2023kalkoti	unmarked		f_5r24fcdrxoxj2	f_7hyftv5pgyvaa	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	unscorable		Biori kram beside inflected kráama, and Ashret kráam, separate an older open-syllable lengthening layer from later Ashret closed-syllable lengthening. Metathesis moves r into the onset before this comparison. Shina kom/krom and Kalkoti traam share the work sense but have independent r-cluster and nasal-vowel developments. A single citation-form mora table must be supplemented by the Biori paradigm, which is the most diagnostic evidence.
6152	tooth	dáand	tooth	1	consonant-final	E	1	daan	hultman2023kalkoti	0-explicit		f_nym735embdbbq	f_7fzbbwvnqq5lw	Palula-E-without-short-final-vowel	zero-High-or-default	zero-High-or-default	consistent		Palula dáand/Biori dan and the Biori inflected dáanda show old root prominence with different lengthening environments. Short Shina don is fixed in the documented Kohistani don/dódi paradigm, supporting barytone inheritance even when the citation cannot show mora accent. Kalkoti daan is explicitly among the toneless comparisons in Hultman's tone table, making it stronger evidence than an ordinary unmarked glossary item.
10539	blood	ráat	blood	1	consonant-final	E	1	raat	hultman2023kalkoti	0-explicit		f_zgqgxk3udasdy	f_ngygjwbkf7xwa	Palula-E-without-short-final-vowel	zero-High-or-default	zero-High-or-default	consistent		Palula ráat/Strand rʹât beside Biori rat supports early length from a short stage after cluster reduction. Kalkoti raat is explicitly high-level/default in 2013 and explicitly toneless in Hultman 2023, an important case where zero is positively documented. Kundal and Sauji raːt add segmental evidence; their unmarked tokens do not independently establish zero tone.
4655	four	čúur	four	1	consonant-final	E	1	čoor	hultman2023kalkoti	0-explicit		f_a6czihnjrvck4	f_6mtdurggxxe6y	Palula-E-without-short-final-vowel	zero-High-or-default	zero-High-or-default	consistent		Palula čúur/Biori čáar and Shina cáar/čáar preserve early accent on a long vowel descending from the old accented vā. Loss of the initial syllable and cluster simplification mean modern initial accent is not retention of old first-syllable accent. Kalkoti čoor and Sauji čōr agree segmentally but their older spellings are not tone evidence. The old short-vowel accusative is a separate input possibility.
9250	seed	bíi	seed	1	long-final-vowel	E	1	bii	hultman2023kalkoti	0-explicit		f_4ju6v7tkpqq2m	f_2357lw35sowk2	Palula-E-without-short-final-vowel	zero-High-or-default	zero-High-or-default	consistent		Palula and all four Schmidt Shina dialects bíi retain early accent on the inherited long root after intervocalic j and final a disappear. This provides a particularly clean early-accent control because old ī does not undergo the ā-to-oo raising that complicates many western examples. Hultman's Kalkoti bii is explicitly toneless, a meaningful contrast requiring a separate tonal analysis rather than treating its missing acute as missing data.
12379	wood	šaák	wood	1	consonant-final	L	1	šáak	hultman2023kalkoti	H1		f_xcz7dqtcqka66	f_vtca5gbhbbbmi	Palula-L-without-short-final-vowel	early-High-or-falling	early-High-or-falling	consistent		Palula šaák has late accent on old long ā, compatible with final accent in śākhyá after loss of the ending. The parent noun śā́khā has a different accent and must not be substituted silently. Liljegren 2013 analyzes Kalkoti šaàk's falling contour as Low on the second mora, whereas Hultman 2023 analyzes šáak as early High. These are partly alternative phonological analyses of a similar falling pattern, not by themselves evidence of a sound change between 2013 and 2023.
8399	boy	phoó	boy; son; boy	1	long-final-vowel	L	1	púu	hultman2023kalkoti	H1		f_ucngi42xnlqxk	f_6goypw42a5tgu	Palula-L-without-short-final-vowel	early-High-or-falling	early-High-or-falling	consistent		Boy phoó/púu has an accented LONG final vowel in Palula; it is not in the short unaccented final-u apocope class.
10716	song, music	rhoó	song; music	1	long-final-vowel	L	1	róo	hultman2023kalkoti	H1	explicitly-no-Low-in-primary-discussion	f_zdv7rejopn4em	f_i4epwziehkgiq	Palula-L-without-short-final-vowel	early-High-or-falling	early-High-or-falling	consistent		Song rhoó/róo follows Palula L→Kalkoti H1, while explicitly lacking Low despite rh. These two dimensions must be kept separate.
5798	star	tóoru	star	2	short-final-vowel	E	2	taár	hultman2023kalkoti	H2		f_jol5pkjs53ivu	f_s6qaocpdipeio	Palula-prefinal-accent-plus-short-final-vowel	final-High-or-rising	final-High-or-rising	consistent		Palula tóoru and Shina táaro/táaru have early long-root prominence before a gender ending, while Kalkoti taár is high-rising/late H after final-vowel loss. The old entry independently supplies both initially accented tā́rakā and suffix-accented tāraká, so choosing the immediate input requires morphological evidence. The modern ending-loss contrast can be tested without resolving every older accent alternative.
6261	father's mother	déedi	grandmother; father's mother	2	short-final-vowel	E	2	deéd	hultman2023kalkoti	H2		f_2yh5nee557btm	f_qppwuknx5uo6u	Palula-prefinal-accent-plus-short-final-vowel	final-High-or-rising	final-High-or-rising	consistent		Grandfather and grandmother are two lexemes in one expressive kin family. Both independently retain a short gender vowel in Palula and lose it in Kalkoti. Count lexical cells and broad families separately.
1351	mother	yéei	mother	2	short-final-vowel	vowel-sequence-marked	2	yeé	hultman2023kalkoti	H2		f_jfztywnp2mui6	f_rjnv7k27abukq	Palula-prefinal-accent-plus-short-final-vowel	final-High-or-rising	final-High-or-rising	excluded	Palula-vowel-sequence	Mother yéei has an unequal-vowel sequence; Hultman explicitly treats final-vowel loss as relevant, but the conservative automated nucleus test excludes it. Include separately as primary-author analysis.
6368	long	dhrígu	long, tall	2	short-final-vowel	S	2	dríg	hultman2023kalkoti	Hshort		f_iownsiukc44uu	f_u5326otvtzozy	Palula-prefinal-accent-plus-short-final-vowel	final-High-or-rising	final-High-or-rising	consistent		Long is short-vowel dhrígu/dríg. Its Kalkoti outcome is Hshort, which belongs to the final-High result of apocope rather than an invented long rising vowel.
9828	man	míiš	man; person	1	consonant-final	E	1	meéš	hultman2023kalkoti	H2		f_ese4x54zxby7u	f_2rmhvuusytymy	Palula-E-without-short-final-vowel	zero-High-or-default	final-High-or-rising	residual		Man míiš/meéš is Hultman’s explicit counterexample. Palula míiš is EARLY (also Strand mʹîš), not miíš. Its competing manuṣya/martya ancestry and remodeled plurals do not independently establish the missing Kalkoti ending. Keep the High source unresolved.
5589	belly	ḍheér	belly	1	consonant-final	L	1	ḍä̀är	hultman2023kalkoti	Low		f_u2weg4yclo2nw	f_hbsaja5etrfak	Palula-L-without-short-final-vowel	early-High-or-falling	Low-without-marked-High	Low-interaction		Belly ḍheér/ḍä̀är has the same Palula L versus Kalkoti Low pattern as salt and wheat. Old root-quantity variants prevent identifying its older mora history from the headword alone.
10978	salt	lhoóṇ	salt	1	consonant-final	L	1	lùun	hultman2023kalkoti	Low		f_qxq45u7zcs7wo	f_3sbkaab5ucw2e	Palula-L-without-short-final-vowel	early-High-or-falling	Low-without-marked-High	Low-interaction		Salt lhoóṇ/lùun is a Palula L versus Kalkoti Low correspondence. It is compatible with Low obscuring an otherwise expected early High, but that tonal interaction is a hypothesis rather than a recovered stage.
6495	far away	dhúura	far away; away	2	short-final-vowel	E	2	dùúr	hultman2023kalkoti	Low+H2		f_6j4eipdomd5pk	f_sazczz3jtup2g	Palula-prefinal-accent-plus-short-final-vowel	final-High-or-rising	final-High-or-rising	consistent		Gilgit duúr is late, compatible with final-accent apocope, whereas Kohistani/Guresi/Astori dúur is early. Palula dhúura retains a final vowel and early root prominence; its adverbial formation may therefore differ. The other Shina dialects remain early even with consonant-final citations, so retained modern endings alone do not explain the whole split. Kalkoti dùúr adds an independent L from aspiration history.
3865	eat	khóo	to eat	1	long-final-vowel	E	1	khuun	hultman2023kalkoti	unmarked		f_fiqbh7b6nybzu	f_5gk3xsw4hc7iq	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	excluded	unmatched-verbal-cells	Palula khóo/Biori khúu has early root prominence and vowel raising, while Shina khoók/khoónu has late accent in infinitival formations. These are systematic morphological differences, not a single opposite inherited contour. Old khāditá is the relevant perfective comparison and Kohistani khy- may be analogical to the drink perfective; that proposal needs its own paradigm evidence.
3865	eat	khóo	to eat	1	long-final-vowel	E	1	khaál	hultman2023kalkoti	H2		f_gtt6sunhpruik	f_5gk3xsw4hc7iq	Palula-E-without-short-final-vowel	zero-High-or-default	final-High-or-rising	excluded	unmatched-verbal-cells	Palula khóo/Biori khúu has early root prominence and vowel raising, while Shina khoók/khoónu has late accent in infinitival formations. These are systematic morphological differences, not a single opposite inherited contour. Old khāditá is the relevant perfective comparison and Kohistani khy- may be analogical to the drink perfective; that proposal needs its own paradigm evidence.
10452	come	yhíi	to come, arrive; become, come into existence	1	long-final-vowel	E	1	yaál	hultman2023kalkoti	H2		f_phuhrfd7gk2dk	f_oawjhqw3lwtfe	Palula-E-without-short-final-vowel	zero-High-or-default	final-High-or-rising	excluded	unmatched-verbal-cells	Palula yhíi/Biori yíi accents the citation ending after substantial contraction or stem reduction, whereas Gilgit yayoók is an infinitive and Kundal yɛ an imperative. Their cell differences and come/go semantic organization prevent a direct comparison of old yā́ti with every modern whole word. The linked Kalkoti yuun citation is from Liljegren 2013; Hultman's yùun supplies explicit low-tone evidence associated with lost aspiration, requiring comparison of the same present cell.
10452	come	yhíi	to come, arrive; become, come into existence	1	long-final-vowel	E	1	yeél	hultman2023kalkoti	H2		f_nyn46hcwix3kk	f_oawjhqw3lwtfe	Palula-E-without-short-final-vowel	zero-High-or-default	final-High-or-rising	excluded	unmatched-verbal-cells	Palula yhíi/Biori yíi accents the citation ending after substantial contraction or stem reduction, whereas Gilgit yayoók is an infinitive and Kundal yɛ an imperative. Their cell differences and come/go semantic organization prevent a direct comparison of old yā́ti with every modern whole word. The linked Kalkoti yuun citation is from Liljegren 2013; Hultman's yùun supplies explicit low-tone evidence associated with lost aspiration, requiring comparison of the same present cell.
10452	come	yhíi	to come, arrive; become, come into existence	1	long-final-vowel	E	1	yùun	hultman2023kalkoti	Low		f_gbav3mquoj3la	f_oawjhqw3lwtfe	Palula-E-without-short-final-vowel	zero-High-or-default	Low-without-marked-High	excluded	unmatched-verbal-cells	Palula yhíi/Biori yíi accents the citation ending after substantial contraction or stem reduction, whereas Gilgit yayoók is an infinitive and Kundal yɛ an imperative. Their cell differences and come/go semantic organization prevent a direct comparison of old yā́ti with every modern whole word. The linked Kalkoti yuun citation is from Liljegren 2013; Hultman's yùun supplies explicit low-tone evidence associated with lost aspiration, requiring comparison of the same present cell.
10452	come	yhíi	to come, arrive; become, come into existence	1	long-final-vowel	E	1	yä	hultman2023kalkoti	unmarked		f_b6yarzkmresym	f_oawjhqw3lwtfe	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	excluded	unmatched-verbal-cells	Palula yhíi/Biori yíi accents the citation ending after substantial contraction or stem reduction, whereas Gilgit yayoók is an infinitive and Kundal yɛ an imperative. Their cell differences and come/go semantic organization prevent a direct comparison of old yā́ti with every modern whole word. The linked Kalkoti yuun citation is from Liljegren 2013; Hultman's yùun supplies explicit low-tone evidence associated with lost aspiration, requiring comparison of the same present cell.
13756	do	thíi	to do, make	1	long-final-vowel	E	1	thää́l	hultman2023kalkoti	H2		f_mttqfnuthcij6	f_eglhkdsbofymk	Palula-E-without-short-final-vowel	zero-High-or-default	final-High-or-rising	excluded	unmatched-verbal-cells	Palula thíi and Gilgit th-/thu belong to a highly reduced do/make/say paradigm, with much of the old causative stem lost. The modern citation vowel or finite ending carries grammatical information and cannot be equated directly with the old accented pā/yā material. Kalkoti thuun is a present cell, requiring alignment with comparable forms rather than a bare consonantal root.
13756	do	thíi	to do, make	1	long-final-vowel	E	1	thuun	hultman2023kalkoti	unmarked		f_isiqzgmoui2vc	f_eglhkdsbofymk	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	excluded	unmatched-verbal-cells	Palula thíi and Gilgit th-/thu belong to a highly reduced do/make/say paradigm, with much of the old causative stem lost. The modern citation vowel or finite ending carries grammatical information and cannot be equated directly with the old accented pā/yā material. Kalkoti thuun is a present cell, requiring alignment with comparable forms rather than a bare consonantal root.
13756	do	thíi	to do, make	1	long-final-vowel	E	1	thä	hultman2023kalkoti	unmarked		f_oas2fi6yzuqa6	f_eglhkdsbofymk	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	excluded	unmatched-verbal-cells	Palula thíi and Gilgit th-/thu belong to a highly reduced do/make/say paradigm, with much of the old causative stem lost. The modern citation vowel or finite ending carries grammatical information and cannot be equated directly with the old accented pā/yā material. Kalkoti thuun is a present cell, requiring alignment with comparable forms rather than a bare consonantal root.
5046	cut	čhína	to cut, cut off; reduce; make (part. milk products)	2	short-final-vowel	S	2	čhin	hultman2023kalkoti	unmarked		f_gbctpardk64ww	f_qq3qcioh7ly34	Palula-prefinal-accent-plus-short-final-vowel	final-High-or-rising	unknown	excluded	unmatched-verbal-cells	Palula čhína/Biori čhíne has short initial-root prominence in the imperative, while Gilgit čhin- is unaccented as a bound stem. The old entry independently supplies differently formed nasal-present cells, but the reconstructed citation *chindati has no accent. Modern imperative accent must be analyzed morphologically rather than copied from chinátti.
4008	go	bíi	to go, leave, move	1	long-final-vowel	E	1	goo	hultman2023kalkoti	unmarked		f_cyweerstaxgug	f_py7rhudl7jpgc	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	excluded	unmatched-verbal-cells	Strand gʹûm and Kalkoti goo belong to the perfective go stem. Palula bíi is the dictionary's suppletive citation, not a phonological reflex of gatá and must be excluded from direct sound correspondences. A long early perfective vowel implies either contraction/lengthening followed by morphological root accent or a reformed perfective stem; old final-accent apocope alone is insufficient.
4008	go	bíi	to go, leave, move	1	long-final-vowel	E	1	gee	hultman2023kalkoti	unmarked		f_mjs2neqlqcrxw	f_py7rhudl7jpgc	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	excluded	unmatched-verbal-cells	Strand gʹûm and Kalkoti goo belong to the perfective go stem. Palula bíi is the dictionary's suppletive citation, not a phonological reflex of gatá and must be excluded from direct sound correspondences. A long early perfective vowel implies either contraction/lengthening followed by morphological root accent or a reformed perfective stem; old final-accent apocope alone is insufficient.
12225	go	bíi	to go, leave, move	1	long-final-vowel	E	1	buun	hultman2023kalkoti	unmarked		f_taakryy4sxzlu	f_z5jfyte7gpffo	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	excluded	unmatched-verbal-cells	Palula bíi is a modern citation ending attached to a heavily reduced motion root; Strand gives consonantal b-. Shina buž-/bož- and Kalkoti buun preserve different present formations, while perfective go words belong to other historical roots. The database's isolated vr and ẓ are comparative phonological fragments, not independent attested lexical outcomes.
12225	go	bíi	to go, leave, move	1	long-final-vowel	E	1	bä	hultman2023kalkoti	unmarked		f_c3sgfw4hr47wu	f_z5jfyte7gpffo	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	excluded	unmatched-verbal-cells	Palula bíi is a modern citation ending attached to a heavily reduced motion root; Strand gives consonantal b-. Shina buž-/bož- and Kalkoti buun preserve different present formations, while perfective go words belong to other historical roots. The database's isolated vr and ẓ are comparative phonological fragments, not independent attested lexical outcomes.
10452	come	yhíi	to come, arrive; become, come into existence	1	long-final-vowel	E	1	yee	hultman2023kalkoti	unmarked		f_7m4gi2w6fax32	f_oawjhqw3lwtfe	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	excluded	unmatched-verbal-cells	Palula yhíi/Biori yíi accents the citation ending after substantial contraction or stem reduction, whereas Gilgit yayoók is an infinitive and Kundal yɛ an imperative. Their cell differences and come/go semantic organization prevent a direct comparison of old yā́ti with every modern whole word. The linked Kalkoti yuun citation is from Liljegren 2013; Hultman's yùun supplies explicit low-tone evidence associated with lost aspiration, requiring comparison of the same present cell.
10452	come	yhíi	to come, arrive; become, come into existence	1	long-final-vowel	E	1	yääl	hultman2023kalkoti	unmarked		f_buxyv5fykrllw	f_oawjhqw3lwtfe	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	excluded	unmatched-verbal-cells	Palula yhíi/Biori yíi accents the citation ending after substantial contraction or stem reduction, whereas Gilgit yayoók is an infinitive and Kundal yɛ an imperative. Their cell differences and come/go semantic organization prevent a direct comparison of old yā́ti with every modern whole word. The linked Kalkoti yuun citation is from Liljegren 2013; Hultman's yùun supplies explicit low-tone evidence associated with lost aspiration, requiring comparison of the same present cell.
3865	eat	khóo	to eat	1	long-final-vowel	E	1	khee	hultman2023kalkoti	unmarked		f_qykr64bacuv4k	f_5gk3xsw4hc7iq	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	excluded	unmatched-verbal-cells	Palula khóo/Biori khúu has early root prominence and vowel raising, while Shina khoók/khoónu has late accent in infinitival formations. These are systematic morphological differences, not a single opposite inherited contour. Old khāditá is the relevant perfective comparison and Kohistani khy- may be analogical to the drink perfective; that proposal needs its own paradigm evidence.
8012	see	páaša	to see; notice	2	short-final-vowel	E	2	piš	hultman2023kalkoti	unmarked		f_bvxceyec4wxuc	f_cuhqhsomnizlm	Palula-prefinal-accent-plus-short-final-vowel	final-High-or-rising	unknown	excluded	unmatched-verbal-cells	Palula páaša/Biori páaše and Strand pʹâš- are root-accented and compatible with old present prominence after śy reduction and lengthening. Shina paš- is a bare stem and the infinitives have new suffixes. The past belongs to dr̥ṣṭá under 6518; the two roots must not be confused or counted as independently repeated evidence for one sound correspondence.
9837	say, speak	maníi	to say, call; read, recite; obey	2	long-final-vowel	E	1	min	hultman2023kalkoti	unmarked		f_6lwwn24ev4bk2	f_bapxvoonh7yss	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	excluded	unmatched-verbal-cells;Palula-polysyllabic-other-formation	Palula maníi ‘say, call, recite’ accents a modern verbal ending and has lost the old tr material if this etymology is correct. Strand instead links the short man- root to manutḗ. The two proposals cannot be counted as separate lexical outcomes, and modern final accent by itself does not decide the competing segmental derivations.
8209	drink	píla	to drink	2	short-final-vowel	S	2	píil	hultman2023kalkoti	H1		f_vcp5wwd57jlcq	f_6numt3gujkarm	Palula-prefinal-accent-plus-short-final-vowel	final-High-or-rising	early-High-or-falling	excluded	unmatched-verbal-cells	Palula píla is a root-accented modern citation with added l, while Shina pi- and Kalkoti piluun/píil/pil belong to different cells. The drink perfective provides an independent analogical model for the eat perfective in Kohistani Shina. The old reduplicated present is not a complete input for all these forms.
8209	drink	píla	to drink	2	short-final-vowel	S	2	pil	hultman2023kalkoti	unmarked		f_wdeyuavrbjmbe	f_6numt3gujkarm	Palula-prefinal-accent-plus-short-final-vowel	final-High-or-rising	unknown	excluded	unmatched-verbal-cells	Palula píla is a root-accented modern citation with added l, while Shina pi- and Kalkoti piluun/píil/pil belong to different cells. The drink perfective provides an independent analogical model for the eat perfective in Kohistani Shina. The old reduplicated present is not a complete input for all these forms.
841	come down	whíi	to come down, come or go downhill/downstream	1	long-final-vowel	E	1	waat	hultman2023kalkoti	unmarked		f_uzt75fry4qago	f_45kdsrh7mfnky	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	excluded	unmatched-verbal-cells	Palula whíi and Strand wh- are reduced downhill/downstream motion stems, while older wahāndu is a participial form and Kalkoti wuun a present. The proposed ava-vah compound supplies a plausible direction and root, but no old accent is independently attested. The forms must be compared within the motion paradigm and against source-specific low-tone evidence if available.
841	come down	whíi	to come down, come or go downhill/downstream	1	long-final-vowel	E	1	wuun	hultman2023kalkoti	unmarked		f_rc34fbcudumfw	f_45kdsrh7mfnky	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	excluded	unmatched-verbal-cells	Palula whíi and Strand wh- are reduced downhill/downstream motion stems, while older wahāndu is a participial form and Kalkoti wuun a present. The proposed ava-vah compound supplies a plausible direction and root, but no old accent is independently attested. The forms must be compared within the motion paradigm and against source-specific low-tone evidence if available.
841	come down	whíi	to come down, come or go downhill/downstream	1	long-final-vowel	E	1	waal	hultman2023kalkoti	unmarked		f_e53r7e63om2fs	f_45kdsrh7mfnky	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	excluded	unmatched-verbal-cells	Palula whíi and Strand wh- are reduced downhill/downstream motion stems, while older wahāndu is a participial form and Kalkoti wuun a present. The proposed ava-vah compound supplies a plausible direction and root, but no old accent is independently attested. The forms must be compared within the motion paradigm and against source-specific low-tone evidence if available.
2462	one	áak	one; one (person), someone	1	consonant-final	E	1	äk	hultman2023kalkoti	unmarked		f_45cqtntl6b4ca	f_ndm7sgvqas5h2	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	unscorable		The full numeral áak and reduced article áa have different coda shapes; do not count them as independent etyma or infer zero tone from unmarked äk/ä.
2462	one	áa	one; one (person), someone	1	long-final-vowel	E	1	äk	hultman2023kalkoti	unmarked		f_45cqtntl6b4ca	f_e5ptsrrsr5ncy	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	unscorable		The full numeral áak and reduced article áa have different coda shapes; do not count them as independent etyma or infer zero tone from unmarked äk/ä.
6648	two	dúu	two	1	long-final-vowel	E	1	duu	hultman2023kalkoti	unmarked		f_ruqzrgiycpz4m	f_ky22likdlg36w	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	unscorable		Palula and Gilgit dúu have early long prominence; Astori du is short. The broad citation dva conceals accented historical case and gender forms. A development involving dvā́ and raising differs from contraction of duvaú, so modern uu alone cannot identify the antecedent. Kalkoti duu, Kundal duī and Sawi dū add segmental evidence but not uniform mora notation.
6658	twelve	bóoš	twelve	1	consonant-final	E	1	baáš	hultman2023kalkoti	H2		f_nqgd33l5hhkfo	f_iu5minc42dt7i	Palula-E-without-short-final-vowel	zero-High-or-default	final-High-or-rising	residual		Twelve bóoš/baáš differs in High location. It is an independently identifiable teen compound, and the Kalkoti teen series is reaccented toward the -eéš/-aáš element; report it as compound-series remodeling, not an exceptionless simplex rule.
6001	thirteen	tríiš	thirteen	1	consonant-final	E	1	treéš	hultman2023kalkoti	H2		f_kg3kpvjbpbbwo	f_ewzpbbjprv3hu	Palula-E-without-short-final-vowel	zero-High-or-default	final-High-or-rising	residual		Thirteen tríiš/treéš joins the independently recognizable Kalkoti teen series with final High. This is compound-series reaccentuation; the old first-accented tráyōdaśa is not a transparent unextended monosyllabic input.
7655	five	páanǰ	five	1	consonant-final	E	1	paanǰ	hultman2023kalkoti	unmarked		f_tsp7ffcuqkvmw	f_a6lnhdjqs3q4k	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	unscorable		Palula páanǰ/Biori panǰ fits later closed-a lengthening with early accent; Shina poš/poi has nasal-environment backing and affricate/sibilant reduction. The old root prominence is compatible, but the short main-Shina citation cannot reveal a long-mora class. Kalkoti paanǰ and Kundal pā̃j add segmental coverage without a tone decision in these sources.
13139	seven	sáat	seven	1	consonant-final	E	1	saat	hultman2023kalkoti	unmarked		f_uxwou6xa2rn32	f_bkvropwimluxu	Palula-E-without-short-final-vowel	zero-High-or-default	unknown	unscorable		Biori, Shina, Kundal and Sauji sat are short, while Ashret sáat is early-long. This is a strong demonstration that an old short-root oxytone can pass through a short monosyllable and later acquire an early long vowel; its history differs from kālá > kaál with inherited root length. The retained short forms provide independent chronological evidence rather than merely an inferred intermediate.
