family_id	formation	input	analysis	unresolved	status	annotation_history	revision_reason
8100	spatial-nominal-and-deictic-derivatives	pārá and independently attested pārátas/pārē	Gilgit paár and Strand phâʹr- are late long, compatible with final-accented spatial material after apocope. Liljegren phará and longer deictic forms retain or add endings and cannot be treated as the same bare stem. The semantic field of across/yonder independently supports a family of case-derived adverbs rather than one lexical noun.	Identify each spatial suffix and control phrase prosody; aspiration history is separate from the inherited late-root prediction.	apocope-with-derived-adverb-control	"[""family_annotations_07.jsonl:36""]"	
8129	verbal-stem-with-semantic-branching	pāláyati / pāráyati	Gilgit paliǰ- ‘attach/infest’ and older palóiki ‘hand something over’ do not share an obvious direct semantic path from guard/protect. Turner itself discusses crossing/protecting root conflation, giving an independently motivated source of mixed formations. The bound stem and new suffixes do not furnish a matched accent cell.	Resolve the lexical/semantic branch before interpreting vowel or accent discrepancies.	etymology-and-paradigm-question	"[""family_annotations_07.jsonl:37""]"	
8142	grind-present-and-imperative-paradigm	piṁṣáti, explicitly attested imperative piṁṣá, and pináṣṭi	Palula píiṣa/Biori píiṣe is early root-accented despite the old imperative's final accent. Nasal-present remodeling and loss of the nasal can create new root quantity, while the modern imperative pattern may independently assign root prominence. The old participle piṣṭá is represented under 8218 and is a separate cell of the same verb.	Test the modern imperative class rather than declaring unchanged Vedic verbal accent; avoid duplicate evidence with 8218.	diagnostic-imperative-reaccentuation	"[""family_annotations_07.jsonl:38""]"	
8156	extended-adjective	picchilá	Gilgit phičílo has short accent on the final root syllable before o, matching the extended-adjective locus pattern. Slippery/smooth to pretty is a plausible semantic development. The older phičīlu differs in quantity, so a long-root inference needs source checking; the modern short accent itself is clear.	The historical -ila adjective versus later extension must be specified; no claim of inherited old long ī is justified.	extension-compatible	"[""family_annotations_07.jsonl:39""]"	
8168	feminine-body-part-nominal	píṇḍa with independently attested piṇḍī/piṇḍikā	Palula píṇi/Strand pʹiṇi preserves early short root prominence in the calf-muscle noun, with an independently attested feminine body-part derivative. Reduction of ṇḍ does not obligatorily lengthen the vowel, another control against general cluster compensation. Older Shina pīni is unmarked and quantity-divergent.	Determine whether simple feminine ī or -ikā supplied the final i; the old root-accent match alone does not decide.	retention-with-cluster-control	"[""family_annotations_07.jsonl:40""]"	
8181	unextended-body-substance-nominal	pittá	Strand pʹit is short and cannot distinguish a transferred old final accent from a fixed class in the citation. The gall-bladder/bile container shift is semantically plausible and the old geminate explains a short root without requiring compensation. Shina's uncertain anatomical gloss should remain qualified.	Inflection and exact organ identification are needed for an accent-class test.	citation-nondiagnostic	"[""family_annotations_07.jsonl:41""]"	
8188	affinal-kinship-derivatives	pítriya/pítrya versus independently attested pitr̥vya	Palula pitrí is final-accented, while older pítrī differs in locus; Shina picáa/picáar and Guresi pic̣íi have different masculine/feminine-like endings. These kinship derivatives are not simple reflexes of the first old adjective. The old uncle formation pitr̥vya is independently semantically exact and must be compared before deriving a common accent change.	Suffixes, older/current Palula locus disagreement and the father’s-brother/cousin semantic divisions remain important. Kalkoti pitri is explicitly category0 in Liljegren2013p144footnote15; this is known tone, not merely an unmarked citation. Its relationship to final-accented Palula pitrí requires a formation and inflection comparison.	kinship-formation-and-source-question	"[""family_annotations_07.jsonl:42"", ""annotation_revisions_12.jsonl:4""]"	Record the completed primary verification of Kalkoti zero tone and keep the actual morphological residual open.
8201	insect-name-derivatives-with-source-conflict	pipīlá versus independently accented pipī́likā and *pilīla	Palula pilíilu and most Schmidt Shina philíili have early accent on the long medial vowel, while Guresi pfiliíli and Degener Gilgit philiíli are late. The old feminine pipī́likā independently supplies medial early accent, so the first headword's final accent is not a unique input. The same apparent modern feminine formation nevertheless has a real source/dialect mora conflict.	Read the printed ant entries and paradigms; distinguish expressive consonant variants from accent variants and avoid choosing the old formation by outcome alone.	input-variant-and-source-conflict	"[""family_annotations_07.jsonl:43""]"	
8209	verbal-paradigm	píbati and the irregular pā/pī drink root	Palula píla is a root-accented modern citation with added l, while Shina pi- and Kalkoti piluun/píil/pil belong to different cells. The drink perfective provides an independent analogical model for the eat perfective in Kohistani Shina. The old reduplicated present is not a complete input for all these forms.	Reconstruct and tabulate present, imperative and perfective separately; newer Kalkoti tone marking must not be replaced by the older unmarked citation.	diagnostic-paradigm-control	"[""family_annotations_07.jsonl:44""]"	
8218	perfective-grind-paradigm-plus-record-contamination	piṣṭá	Palula píiṣa is the whole verb's citation and must be compared with its actual piṣṭ-type perfective; it is not itself a phonological reflex of the participle. Sauji pišo ‘flour’ is a plausible nominal reflex. Other supposed Sauji rows in this family contain Sanskrit comparison forms such as āpīḍayati and unrelated glosses, indicating probable comparative-text leakage rather than usable Sauji attestations.	Audit those record IDs against Turner and exclude confirmed comparison leakage; do not let malformed rows become spectacular accent exceptions.	cell-control-and-record-audit	"[""family_annotations_07.jsonl:45""]"	
8226	verbal-paradigm	pīḍáyati versus passive pīḍyatē	Gilgit piy- is a bound press/squeeze stem after retroflex-stop weakening, and older pioiki has a new infinitive ending. The source distinguishes causative-looking and passive formations, while the modern root has no marked citation accent. The long old ī therefore does not yield a testable mora outcome here.	Compare actual finite cells and stem quantity in the source paradigm.	paradigm-required	"[""family_annotations_07.jsonl:46""]"	
8249	contracted-extended-tail-nominal	púccha with independently attested pucchaka; inspect nearest reconstructed section	Gilgit phacoó/phačoó is late on its final long ending despite old initial root accent. The added final oo belongs to an extended nominal formation, comparable structurally with egg and son-in-law rather than simple CVCá apocope. The root vowel has also shifted, so the old bare tail noun is not the complete input.	Recover the correct section form and reconstruct extension, contraction and any later final-mora advancement independently.	diagnostic-final-extension	"[""family_annotations_07.jsonl:47""]"	
8265	unextended-kinship-nominal-with-source-paradigm-conflict	putrá	Palula putr/putrá is mobile and supports inherited final accent despite a short citation; Shina puc̣ similarly requires inflection to reveal its class. Strand's independently discussed pʹûtr/pʹûtra reading differs in quantity and mobility, although the database's Strand citation is short pʹutr. This is a source-layer conflict that must be resolved by the original phonology, not hidden by normalized database spelling. Kalkoti púu and its newer tone evidence need separate matching.	Compare the exact Strand lexical entry and phonological examples; distinguish source convention from a real dialect paradigm.	diagnostic-paradigm-and-source-control	"[""family_annotations_07.jsonl:48""]"	
8283	extended-adjective	purāṇá	Palula puróoṇu/Biori purúuṇu and Gilgit puróono have early accent on the final root syllable before the gender ending, against old final accent. The old long ā and its raised/rounded reflexes independently support a root-accented stage before the vowel changes. This is a clear multisyllabic extended-adjective comparison, unlike ordinary long-root apocope.	The source of the extension is reconstructed; shorter Kohistani forms must be derived after the shared accent assignment rather than treated as identical citation shapes.	diagnostic-extension	"[""family_annotations_07.jsonl:49""]"	
8306	flower-derivative-with-competing-old-inputs	púṣya versus puṣyā́; compare the independent puṣpa flower family	Palula pišíik/phušíik has a final extended -iik formation and early long accent there, while Gilgit púši ‘pimple’ is an initial-accented short noun. Flower and swelling/pimple can share growth semantics, but the dedicated old flower noun puṣpa is an important independent alternative. The modern derivative's extra consonant and vowels must be explained before choosing between inputs.	Do not use the old vigor headword's accent as a unique predictor for flower; compare source etymologies and suffixes first.	etymological-alternative-to-test	"[""family_annotations_07.jsonl:50""]"	
8335	causative-verbal-stem	pūráyati	Palula puuríi has an accented modern verbal ending, while the inherited long root is unaccented in this citation. The older Shina infinitive pŭróiki likewise includes a new infinitival formation. Neither can directly test preservation of the old finite accent; the causative root pūr- is independently supported and must be compared in equivalent imperative or finite cells.	Recover paradigm accents and distinguish the causative from passive 8342.	paradigm-required	"[""family_annotations_08.jsonl:1""]"	
8342	passive-to-result-state	pūryátē alongside independently attested pū́ryatē	Palula puunǰí ‘full’ continues a different stem formation from transitive puuríi ‘fill’. The final short accented i and medial nǰ require an account of the passive/result-state morphology. Because the old entry explicitly supplies both pūryátē and pū́ryatē, this family does not have a unique inherited finite accent even before considering modern derivation.	Inspect the modern grammatical category and segmental history of nǰ; do not choose an old accent variant solely from the outcome.	input-accent-and-formation-ambiguous	"[""family_annotations_08.jsonl:2""]"	
8371	back-nominal-with-extension	pr̥ṣṭhá, pr̥ṣṭhaka independently attested	Gilgit piṭo and Sauji priš reflect different treatment of the old cluster and final nominal material. The Gilgit root is short and the source citation lacks an explicit accent, so the retained o is useful morphological evidence but not a measured early or late contour. Sauji's old transcription supplies no comparable mora information.	Recover Gilgit accent from the entry or inflections; check whether piṭo's omission is an editorial or source property.	modern-accent-insufficient	"[""family_annotations_08.jsonl:3""]"	
8399	boy-nominal-with-contraction-and-inflection	pṓta and independently reconstructed *phōta within a variant-rich family	Palula phoó is late, but full Turner8399 explicitly places Palula phō and phoyī under unaccented branch9 *phōta, not directly under branch1 pṓta. The first-pass broad-family statistic therefore supplied a falsely precise barytone input. Modern boy/son morphology and the related girl formation still matter, and the old family contains many variants with a proposed non-Aryan origin. The source correction removes an invalid test; it does not independently explain why the modern boy form is late. Kalkoti púu gives an early-High counterpart to Palula late phoó, a sound correspondence test that does not require the old root accent to be known.	Establish the exact *phōta accent and the history of the boy/girl/son paradigm; do not restore pṓta's accent to an explicitly unaccented variant merely to create a test.	diagnostic-contraction-and-paradigm	"[""family_annotations_08.jsonl:4"", ""annotation_revisions_09.jsonl:1""]"	Full Turner8399 branch placement checked; final-stage formation decisions now survive research links and source splits.
8416	extended-kinship-nominal	paútra, with pautraka independently attested	Palula púutru and all four Schmidt Shina dialects póoc̣o preserve early root prominence with a surviving final gender vowel. Sanskrit au is one long nucleus, so its accent must not be misread as accent on a second syllable. The Palula tr versus Shina retroflex affricate provides an independent segmental correspondence. Liljegren 2013 Table 12 explicitly assigns Kalkoti pootr to the high-rising, glottalized group, although the linked segmental citation lacks an acute. That source-level classification supplies a real prosodic comparison.	Verify the exact Kalkoti record against Table 12 and model the loss of its final unaccented vowel separately from inherited root accent.	diagnostic-early-long-root	"[""family_annotations_08.jsonl:5"", ""annotation_revisions.jsonl:2""]"	HKAT-xka is a dialect tag on the merged record, not its source. Actual source is Liljegren 2013, pp. 142–144.
8976	contracted-plant-name	priyáṅgu	Gilgit c̣iín has late accent on a long vowel, but its old input has three nuclei and accent on ya. Both pr-to-c̣ and substantial contraction intervene, so the result is not an instance of simple loss of final a from an old long-root oxytone. The DB's *priṅg is a reconstruction embedded in comparative discussion, not an independently attested Shina word.	Establish the contracted intermediate and exclude reconstructed comparative fragments from the attested record count.	contraction-needs-intermediate	"[""family_annotations_08.jsonl:6""]"	
9029	expressive-insect-name-with-extension	plúṣi and multiple independently reconstructed variants including *priṣu	Palula príiṇṣu and Guresi/Astori príij̣o/príiẓu share early long-root accent and an unaccented final vowel. This is compatible with old initial prominence but the modern i and retained pr require the variant history, not mechanical derivation from plúṣi. Turner's addendum explicitly discusses the anomalous retention of pr in Shina, where inherited pr normally becomes c̣. Sauji preṣuko has additional derivational material and no reliable mora marking.	Check the full addendum for the proposed borrowing route; do not count an expressive or borrowed common form as independent proof of an accent law.	retention-compatible-segmental-contact-question	"[""family_annotations_08.jsonl:7""]"	
9051	derived-unit-nominal	phála with modern -uuṛu unit/counter formation	Palula phalúuṛu is a grain or unit of a round object and can count people colloquially. Its accented long u belongs to additional stem material absent from phála. Final-root accent in the extended modern nominal is therefore the relevant comparison; the shift from the old first syllable is not unexplained phonetic attraction to an inherited ū. The old short-a plural or grain forms are separate cells.	Identify the unit suffix's independent productivity and inflection rather than reconstructing its accent from this one word.	derivational-accent	"[""family_annotations_08.jsonl:8""]"	
9058	causative-versus-intransitive-verbal-stems	phálati and independently attested transitive phālayati	Palula phaalíi ‘tear, split’ and Strand phāl- match the transitive long-root formation better than the broad intransitive headword phálati. The late-accented verbal ending in the dictionary citation is modern morphology; an unaccented bare stem does not contradict it. Selecting the causative is supported by both valency and old root quantity, independently of modern accent.	Compare equivalent finite or imperative cells to determine root prominence.	formation-resolves-quantity-not-accent	"[""family_annotations_08.jsonl:9""]"	
9072	unextended-nominal	phā́la ‘ploughshare’	Ashret phóol, Biori pháal and Gilgit pháal agree on early accent on the old long root. The Ashret/Biori vowel correspondence gives independent evidence for early-accented ā raising in Ashret. Initial aspiration does not force late accent when the vowel was already long, distinguishing this class from later lengthening of old short a in aspirated closed monosyllables. Sauji phal supplies cognacy but no comparable contour.	Check inflected cells as a control on fixed versus mobile noun accent.	diagnostic-retention-and-relative-chronology	"[""family_annotations_08.jsonl:10""]"	
9108	unextended-nominal-with-source-and-sense-divergence	phḗna	Strand phʹîṇ ‘foam’ has early accent, whereas Liljegren phiíṇ ‘steam, vapour’ is late. Both have the raised vowel expected from an earlier early-accented ē stage, so the late modern form may involve subsequent reaccentuation or a semantic/lexical split. The two senses are related but must not be silently merged into one contradictory token or resolved by averaging sources.	Inspect each paradigm and speaker/dialect information to distinguish lexical split, variation and transcription disagreement.	diagnostic-source-or-lexical-variation	"[""family_annotations_08.jsonl:11""]"	
9126	participial-versus-extended-agent-nominal	baddhá ‘bound’ versus independently attested báddhaka ‘captive’	Gilgit bádo ‘prisoner, slave, exile’ is early-accented and retains the nominal ending o. The independently attested Sanskrit báddhaka has both the matching captive sense and a retracted accent. This is a strong case where the broad family's oxytone headword would manufacture an exception. The older Shina badu ‘froze’ belongs to a participial verb cell and should not determine the prisoner's accent class.	Document the nominal inflection and keep the frozen participle separately aligned with 9134.	independent-formation-resolves-apparent-exception	"[""family_annotations_08.jsonl:12""]"	
9134	passive-verbal-stem	badhyátē	Gilgit baǰ- ‘freeze’ supplies no vowel accent in its bound-stem citation, and the older infinitive bažóiki accents newer material. The old passive formation supplies a plausible route for dhy to the modern palatal consonant and for the semantic development ‘be bound’ to ‘freeze’. It must be compared with its own inflections and participle, not the nominal bádo ‘prisoner’.	Recover present, imperative and perfective accents; avoid double-counting 9126 as a second independent verb.	paradigm-required	"[""family_annotations_08.jsonl:13""]"	
9136	joint-nominal-and-light-verb-complex	bandhá; bandhaka independently attested	Gilgit ban ‘joint’ has a short monosyllabic nucleus with no two-mora contrast. The compound ban b- ‘be closed’ adds a light verb and must not be parsed as a single noun outcome. Palula bandi and Kohistani bandī́ retain additional feminine or oblique material; their final accent is not directly comparable to the bare joint noun. Cluster reduction alone has not produced an obligatory long vowel here.	Establish the case/derivation of bandi and retain the short noun as a negative control for universal compensatory lengthening.	short-root-and-formation-contrast	"[""family_annotations_08.jsonl:14""]"	
9153	collective-animal-nominal	bárkara ‘kid, lamb, goat’	Palula bakáara ‘flock of sheep and goats’ has second-syllable early long-vowel accent, whereas the old simplex is initially accented. The collective meaning and changed stem formation require analysis before labeling this a sound-law exception. Its ā is not an inherited long vowel of bárkara, so an attraction rule conditioned by old quantity would be circular here. Loss or dissimilation of r also needs explicit accounting.	Inspect the collective suffix and compare singular goat formations; determine whether lengthening follows the new accent.	derivation-and-accent-shift	"[""family_annotations_08.jsonl:15""]"	
9216	unextended-nominal	bālá	Gilgit and Kohistani baál ‘child’ show late accent on the preserved old long root after loss of final accented a. Independent Gilgit sources agree. This is a clean counterpart to early long-root barytones and does not require postulating newly created vowel length or a surviving accent-bearing suffix. The wider family's bālaka and feminine forms should remain separate formations.	Confirm mobility in the noun paradigm and add cognates in languages where the concept is lexically replaced.	diagnostic-long-root-oxytone	"[""family_annotations_08.jsonl:16""]"	
9229	body-part-compounds-and-derived-feminine	bāhú and bāhā	Palula baaugáaṛu ‘shoulder’ is a compound whose accented second constituent cannot test retention of bāhú's accent. Gilgit bóo~i ‘sleeve’ is a contracted feminine or relational formation, while ba-khúni ‘elbow’ is another compound. Shared arm semantics support the family but do not establish identical accentual inputs for shoulder, sleeve and elbow.	Analyze each second constituent and sleeve inflection; flag the unequal-vowel sequence in baau for manual syllabification.	compound-and-derivation-confound	"[""family_annotations_08.jsonl:17""]"	
9241	root-verb-after-loss-of-reduplication	bibhḗti, root bhī	Palula bhíia and Biori bhíie have early prominence on the long root in the imperative-style citation. The old finite form contains reduplication and an accented ē grade, so a direct word-position comparison would be misleading. Root accent is compatible, but the two adjacent unequal vowels in the modern form require source-based syllabification and an explicit paradigm rather than an automatic nucleus count.	Recover the modern fear verb's stem classes and contraction history.	verbal-root-retention-compatible	"[""family_annotations_08.jsonl:18""]"	
9250	unextended-nominal	bī́ja	Palula and all four Schmidt Shina dialects bíi retain early accent on the inherited long root after intervocalic j and final a disappear. This provides a particularly clean early-accent control because old ī does not undergo the ā-to-oo raising that complicates many western examples. Hultman's Kalkoti bii is explicitly toneless, a meaningful contrast requiring a separate tonal analysis rather than treating its missing acute as missing data.	Hultman2023Table9p16's explicitly toneless seed record is linked and coded0-explicit. The remaining task is a complete nominal-mobility comparison; Brokskat seedbii is unmarked in print and does not provide the same tonal evidence.	diagnostic-early-root-and-Kalkoti-comparison	"[""family_annotations_08.jsonl:19"", ""annotation_revisions_12.jsonl:5""]"	Close the completed Kalkoti linkage/primary-tone task in the family open-issue register.
9279	lexically-split-root-verb-and-causative	búdhyatē	Palula búǰa ‘understand’ and bhuuǰóo ‘wake someone’ differ in aspiration, quantity, valency and conjugational formation. The accented causative ending in the latter is independently motivated by transitivity, while the understanding verb's short root is initially prominent in its imperative citation. These are not two competing direct accent reflexes of one unmodified finite word.	Trace the aspiration and causative formation through full paradigms; keep the lexical senses separate.	derivation-explains-apparent-divergence	"[""family_annotations_08.jsonl:20""]"	
9331	unextended-food-nominal	bhaktá	Buddruss's Gilgit bat ‘rice dish’ is short, despite old kt reduction. A late long-vowel outcome cannot be inferred from the old oxytone accent when the modern vowel is not long. Older Palula bhāt versus bat already indicate quantity/source differences. This family is a necessary control on the proposed Gilgit late-lengthening cluster class, not evidence that every reduced cluster lengthens.	Recover tone-marked Palula and Kohistani/Astori comparisons and verify whether particular cluster types or paradigms condition quantity.	diagnostic-short-cluster-control	"[""family_annotations_08.jsonl:21""]"	
9393	extended-load-nominal-from-short-root	bhára	Strand bhʹâru ‘load’ has early accent on long a, while the independently attested old bhára has a short root vowel. Extension plus later lengthening offers a possible source of Palula bháaru that does not require unexplained failure of early old ā to raise. This must be evaluated jointly with family 9459 bhārá, under which another source places the same modern load word.	The short base is attested, but the particular extended intermediate remains a hypothesis; establish its morphological and dialectal support before preferring it.	candidate-alternative-input	"[""family_annotations_08.jsonl:22""]"	
9416	suppletive-copula-and-become-paradigm	bhávati	Palula hínu, Gilgit han and Kalkoti in are grammaticalized present copula forms, whereas older Shina boiki/bōnu belongs to ‘become’. Their divergent material and inflectional histories make a direct comparison with the accent of bhávati inappropriate. A short unaccented copula citation is especially sensitive to clitic and sentential prosody, not just inherited lexical accent.	Separate copular cells from lexical become and examine their actual stress behavior in the grammars.	grammaticalization-and-paradigm	"[""family_annotations_08.jsonl:23""]"	
9459	load-nominal-with-competing-old-root-quantity	bhārá; compare independently attested bhára in 9393	Gilgit baár fits the old long-root oxytone class directly. Palula bháaru has an unaccented ending and early root prominence, but its unraised aa is unexpected if it directly continued early-retracted old ā. The same word is linked by Strand to short-root bhára, which could acquire new length after extension and after the old raising change. This alternative is motivated by segmental chronology and an attested base, not merely by the desired accent.	Test both inputs against morphology and Biori/Sauji evidence; retain the proposed short-base derivation as tentative rather than a database correction.	diagnostic-alternative-etymological-input	"[""family_annotations_08.jsonl:24""]"	
9475	contracted-nominal-with-retained-vocalic-material	bhāvá	Gilgit baáo ‘object, vessel’ preserves late prominence on the old long-root material while v weakens or disappears. Because a following o remains, this is not literally the same surface template as baál or baár. The result can support retraction of old final accent into the root, but the unequal-vowel sequence must be parsed from the source before assigning a syllable count or a simple monosyllabic class.	Inspect singular/oblique forms and distinguish hiatus from a single complex nucleus.	late-root-compatible-contraction	"[""family_annotations_08.jsonl:25""]"	
9484	root-verbal-stem	bhíkṣatē	Gilgit bičh- ‘request, ask for’ is an unaccented bound stem with a short vowel. The old cluster gives a plausible source for the affricate/aspiration, but neither the old finite ending nor an equivalent modern finite accent is present in the citation. It cannot count as an observed early or late reflex merely because the old word was barytone.	Recover finite and imperative forms from the glossary's conjugational material.	paradigm-required	"[""family_annotations_08.jsonl:26""]"	
9552	perfective-verbal-stem	bhūtá	Strand bh- explicitly represents a past/nonfinite stem and has no vowel on which to observe accent. The older Shina bulu is unmarked and belongs to a fuller participial formation. The old long-root oxytone input is therefore known, but no comparable modern contour is supplied by the linked citations.	Align full past forms in the become paradigm and keep them distinct from the present copula under 9416.	no-comparable-vocalic-citation	"[""family_annotations_08.jsonl:27""]"	
9568	lexicalized-superlative-quantifier	bhū́yiṣṭha	Gilgit/Kohistani/Guresi búṭo/búṭa/búṭɨ have a short initially accented root after contraction and shortening. Strand buṭhʹe ‘all’ instead marks the final vowel; it may represent a different quantifier or inflectional cell. The old first-syllable prominence is compatible with Shina, but the major syllable loss and lexicalization prevent a simple long-vowel correspondence claim.	Determine the Palula quantifier's number/case and the relation of its final e to Shina gender endings.	retention-with-lexicalized-paradigm	"[""family_annotations_08.jsonl:28""]"	
9651	expressive-insect-nominal-with-feminine-extension	bhramará and bhramaraka	Strand bhrimboṛʹî ‘wasp’ has final ī prominence, whereas an older Palula transcription brhimbṓṛi ‘bee, wasp’ marks the preceding vowel. The stem has expressive consonantal and vocalic changes and an added feminine formation. This is a real source/cell discrepancy; the old final-a accent does not uniquely predict which modern suffix or stem syllable should carry it.	Check the older transcription, source dialect and feminine paradigm; distinguish wasp from bee lexical senses.	source-and-formation-uncertainty	"[""family_annotations_08.jsonl:29""]"	
9661	kinship-nominal-with-possessive-inflection	bhrā́tr̥	Palula bhróo/Biori bhrúu and Shina ẓáa/j̣áa show early root accent, compatible with old long-root barytonesis despite strong segmental divergence. Published Palula bhroó variants elsewhere require separate recording, and Sauji brāū́ ‘my brother’ is a possessive form rather than a bare lexical duplicate. The linked Kalkoti dra is from Liljegren 2013 and is unmarked in that particular citation; its exact tone needs the primary source context.	Reconcile source-specific brother paradigms and verify early/late variants without selecting only the agreeing citations.	retention-with-documented-source-variation	"[""family_annotations_08.jsonl:30"", ""annotation_revisions.jsonl:3""]"	Corrected confusion of the HKAT-xka dialect tag with source provenance.
9696	feminine-insect-nominal	mákṣā and independently attested mákṣikā	Gilgit machíi ‘fly’ has final early-long ī accent, unlike the initial accent of both mákṣā and the attested feminine mákṣikā. A derivational account cannot simply label -ikā as historically suffix-accented: the old accent is explicitly initial. Later feminine-class reaccentuation or a different intermediary remains necessary. Compare honey 9989, whose superficially similar modern shape has a different old derivational history.	Recover inflection and the formation's intermediate vowel quantity; preserve this as a genuine reaccentuation problem.	diagnostic-feminine-reaccentuation-residual	"[""family_annotations_08.jsonl:31""]"	
9742	body-region-nominal-with-variant-input	máṇḍala and *manda among the recorded alternatives	Gilgit múuni ‘lap’ is early-accented, while older mano ‘hip’ and muñi ‘lap’ suggest different gender and stem formations. The reduction from a three-syllable disc/circle word is substantial, and Turner independently allows a shorter *manda variant. Shared body-region semantics support comparison but do not isolate which formation or accent the modern feminine inherited.	Read the complete etymological discussion and the lap paradigm; do not transfer máṇḍala's accent automatically to an unaccented reconstructed short input.	input-and-derivation-uncertain	"[""family_annotations_08.jsonl:32""]"	
9746	expressive-animal-nominal	maṇḍū́ka alongside *maṇḍukka and *maṇṭrakka	Gilgit manúuko straightforwardly preserves early prominence on inherited ū. Palula maṭróok has a different tr-bearing stem assigned to the independently reconstructed *maṭrakka family, so its long oo cannot be treated as the same inherited vowel without further argument. Sauji miṇḍā́ka has still another vowel. Turner explicitly attributes the variant-rich frog names to expressive/taboo processes; that is evidence for unstable segmental forms, not a license to assign arbitrary accents.	Reconstruct the Palula vowel chronology and distinguish attested old quantity from inferred intermediates.	retention-in-one-branch-variant-inputs-elsewhere	"[""family_annotations_08.jsonl:33""]"	
9767	contracted-result-nominal	mathitá	Palula mheél ‘buttermilk’ has late long-vowel accent, while Gilgit mel is short. Both involve substantial contraction and aspiration relocation from the old participle. The late Palula vowel is compatible with accent left by lost final material, but it is newly created rather than a preserved old long root. This family therefore tests contraction chronology separately from the clean kālá/baál class.	Establish intermediate forms and explain western length versus Gilgit short quantity using source paradigms.	diagnostic-contraction-and-quantity-divergence	"[""family_annotations_08.jsonl:34""]"	
9793	contracted-adjective-with-retained-gender-ending	madhurá	Palula mhoóru has late prominence on its long root before an unaccented u; older mohóro retains evidence for the contracted medial syllable. Its root-final accent locus is compatible with the extended adjective pattern, but its late mora is not the early mora of tíiṇu or puróoṇu. Contraction of multiple old syllables and aspiration relocation provide independent conditioning to test rather than forcing all u-final adjectives into one contour class.	Determine the contraction sequence and whether its late alignment is shared by other VhV-derived long vowels.	diagnostic-contraction-within-adjectives	"[""family_annotations_08.jsonl:35""]"	
9804	lexicalized-case-form-and-postposition	mádhya with independently attested madhyam, mádhyēna, madhyāt and madhyē	Palula méeǰi has early root prominence, whereas Gilgit maǰaá is finally late-accented. These relational words can descend from different old case forms, independently listed in the entry, so a common noun-headword accent does not provide a unique postpositional input. The Palula front vowel also implicates the retained i formation; Gilgit's final aa requires its own case or extension history.	Match modern syntactic construction and case government to candidate older forms rather than selecting an input by accent alone.	case-form-differentiation	"[""family_annotations_08.jsonl:36""]"	
9826	speech-verb-with-competing-root-etymology	manutḗ or independently reconstructed *manvati	Strand man- ‘say’ is a short bound stem without explicit accent. The semantic path from think to say is plausible, but Palula dictionary forms elsewhere are assigned to mantráyatē 9837. These are competing analyses of essentially the same modern speech verb, not independent evidence for two sound correspondences.	Compare segmental expectations for loss of tr and the full speech paradigm; retain both etymologies until independently discriminated.	competing-verbal-etymologies	"[""family_annotations_08.jsonl:37""]"	
9827	extended-human-nominal	mánuṣa	Gilgit manúẓo is accented on the final root syllable before the gender ending o, unlike old initial mánuṣa. Because both root syllables remain short, this is a clear accent-locus shift that cannot be attributed to attraction to an inherited long vowel. It is a strong member of the morphologically extended nominal class, subject to independent confirmation of the ending and paradigm.	Read the inflection and document whether an old extended formation or later analogical class membership best explains the ending.	diagnostic-root-final-nominal-reaccentuation	"[""family_annotations_08.jsonl:38""]"	
9834	nominal-with-consonant-alternating-inflection	mántra	Gilgit mor ‘word, matter’ is a short monosyllable, while móẓiye displays initial accent in a fuller form with a different consonant reflex. The expanded form may expose the original accent obscured by monosyllabicity, but its grammatical cell must be read before treating the pair as free variants. Old ntr simplification and consonant alternation make the paradigm particularly informative.	Identify the exact cell of móẓiye and determine whether root accent remains fixed throughout the paradigm.	inflection-potentially-diagnostic	"[""family_annotations_08.jsonl:39""]"	
9837	derived-speech-verb	mantráyatē; compare 9826 manutḗ	Palula maníi ‘say, call, recite’ accents a modern verbal ending and has lost the old tr material if this etymology is correct. Strand instead links the short man- root to manutḗ. The two proposals cannot be counted as separate lexical outcomes, and modern final accent by itself does not decide the competing segmental derivations.	Evaluate the old semantic and consonantal evidence, then align identical modern verb cells.	competing-verbal-etymologies	"[""family_annotations_08.jsonl:40""]"	
9853	unextended-nominal-after-final-vowel-loss	mandurā́	Gilgit madúr ‘horse stable’ preserves two short nuclei with prominence on the last surviving syllable after the old accented final ā is lost. This is compatible with accent docking leftward at apocope, without yielding an early/late long-vowel contrast. It extends the inquiry beyond monosyllables: old final prominence can leave a detectable position on a preceding short syllable.	Check the oblique paradigm and whether the final ā was a productive feminine ending at the relevant historical stage.	diagnostic-short-syllable-docking	"[""family_annotations_08.jsonl:41""]"	
9859	contracted-abstract-nominal	manyú	Gilgit moón ‘jealousy’ has late accent on a newly long vowel after contraction of the old nyu sequence. The old word was finally accented but did not have a long first vowel, so this belongs with contraction-created length rather than inherited-long-root apocope. The semantic narrowing from anger/passion to jealousy does not itself require a new morphological formation.	Reconstruct the vowel and glide sequence and check the nominal paradigm for mobility.	late-accent-after-contraction	"[""family_annotations_08.jsonl:42""]"	
