jambu_id	headword	gloss	turner	morphemic_form	literal_modern_short_a_alternation	aspirated_onset	pretonic_syllable	prediction_if_late_lengthening	observed	matches_prediction	source_marks_loan	etymology	inflection
f_gtwl7aagxboiq	saáz	healthy; whole			False	False	False	early	late	False	True	Origin: Urdu (Persian): saaz	Usage: Exclusively used as a non-verb element in complex predicates
f_no75pl6faee22	sahaát	time, a while			False	True	True	late	late	True	True	Origin: Pashto: saat	Inflection: i-decl (Obl, pl): saheetí
f_3npdubdbsskkc	salaám	greeting			False	False	True	late	late	True	True	Origin: Urdu (Arabic): salaam	Inflection: i-decl (Obl, pl): saleemí; Usage: Primarily used as a non-verb element in complex predicates
f_p2wioa7mhm24c	sateemaáǰ	groin			False	False	True	late	late	True	False		Inflection: i-decl (Obl): sateemaǰí
f_ptbsdpoffnm6o	sitaár	sitar (musical instrument)			False	False	True	late	late	True	True	Origin: Persian: sih-taar	Inflection: i-decl (Pl, obl): siteerí
f_4me6sddx5sgcm	suaál	question; issue			False	False	True	late	late	True	True	Origin: Urdu (Arabic): suˈaal, suwaal, sawaal	Inflection: i-decl (Obl, pl): sueelí
f_23ubcozln6vgm	suthaán	trousers	13468	suthán	True	True	True	late	late	True	False	*sutthanā- 'trousers' (T: 13468)	Inflection: i-decl (Obl, pl): suthaní; Morphemic form: suthán
f_vtca5gbhbbbmi	šaák	wood	12379		False	False	False	early	late	False	False	śākhyá- 'belonging to or resembling a branch, branching' (T: 12379)	Inflection: a-decl (Obl, pl): -á
f_6bzbyubxz6s74	šaál	veil; sheet; shawl			False	False	False	early	late	False	False		Inflection: i-decl (Obl, pl): šeelí
f_zhr2kiplmdubm	šáan	roof		šan	True	False	False	early	early	True	False		Inflection: a-decl (Obl, pl): šaná; Morphemic form: šan
f_ad7axyvp23fn6	šaáx	branch (genealogical)			False	False	False	early	late	False	True	Origin: Urdu (Persian): šaax	Inflection: i-decl (Obl, pl): šeexí
f_qyujgywu2gcdq	šaraál	autumn	12329		False	False	True	late	late	True	False	śarád- 'autumn (fem)' (T: 12329)	Inflection: a-decl (Obl, pl): šaralá
f_k6jpyyb2jstte	šidalaár	coldness			False	False	True	late	late	True	False		Inflection: i-decl (Obl): šidaleerí
f_em5a4vauiu4yq	širiaát	legal decision			False	False	True	late	late	True	True	Origin: Urdu (Persian): šariiyat	Inflection: i-decl (Obl): širieetí
f_7fvsosyu2vpuk	šišawaár	beauty			False	False	True	late	late	True	False		Inflection: i-decl (Obl, pl): šišaweerí
f_d6oho7dkvavmi	šumaáṇ	trouser-cord	13878		False	False	True	late	late	True	False	syū́man- 'band, thong, bridle (n)' (T: 13878)	Inflection: i-decl (Obl, pl): šumaṇí
f_kc6kvll2w3jp2	ṣáak	rear shoulder	13576		False	False	False	early	early	True	False	srákva- 'corner of mouth, jaws (m or n)' (T: 13576)	Inflection: a-decl (Obl, pl): ṣaká
f_o4s34vcbr6kic	ṣaár	winter pasture			False	False	False	early	late	False	False		Inflection: a-decl (Obl): -á
f_2jz5daavhokn6	taáǰ	crown			False	False	False	early	late	False	True	Origin: Urdu (Persian): taaǰ	Inflection: i-decl (Obl, pl): teeǰí
f_y47t25bit7ovy	táal	ceiling			False	False	False	early	early	True	False		Inflection: a-decl (Obl, pl): talá
f_famyfki4xfcc6	taapiaál	heat			False	False	True	late	late	True	False		Inflection: i-decl (Obl): taapieelí
f_4tpbyttjwfcn2	taár	wire			False	False	False	early	late	False	False		Inflection: i-decl (Pl, obl): teerí
f_izqacfjnb7heq	tabiaát	condition; state of health			False	False	True	late	late	True	True	Origin: Urdu (Persian/Arabic): tabiiˈat	Inflection: i-decl (Obl): tabieetí
f_6h5qmbqypel4m	tarkaáṇ	carpenter			False	False	True	late	late	True	True	Origin: Pashto (Panjabi): tarkaaṛn	Inflection: aan-decl (Obl): -á, (Pl): -aán
f_hddhzk3uken36	tayaár	ready			False	False	True	late	late	True	True	Origin: Urdu (Persian/Arabic): taiyaar, tayaar	
f_mcncfaclvz2f2	tirbaán	target			False	False	True	late	late	True	False		
f_6binis63qnpm4	toobaák	gun; rifle		toobák	True	False	True	late	late	True	True	Origin: Urdu/Pashto (Persian/Turkish): tupak	Inflection: i-decl (Obl, pl): toobakí; Morphemic form: toobák
f_cqtygeiirggyy	traambumaáṇ	wasp's nest			False	False	True	late	late	True	False		Inflection: i-decl (Obl, pl): traambumeeṇí
f_ebn5brc5gfsry	ṭeekadaár	contractor			False	False	True	late	late	True	True	Origin: Urdu: ṭheke-daar	Inflection: aan-decl (Obl): -á, (Pl)
f_4ews7ijwctroq	uxiaár	wise, clever			False	False	True	late	late	True	True	Origin: Pashto (Persian): (h)ux-yaar	
f_tu3eo3wpbhhq4	xaamaár	dragon; big snake			False	False	True	late	late	True	True	Origin: Pashto: xaamaar	Inflection: aan-decl (Obl): -á, (Pl): -aán
f_hopbnxx3chau2	xaán	khan (leader, ruler, commander)			False	False	False	early	late	False	True	Origin: Pashto (Turkic): xaan	Inflection: aan-decl (Obl): -á, (Pl): -aán
f_p2f6rqowr3rtu	xaás	special; proper			False	False	False	early	late	False	True	Origin: Pashto (Arabic): xaass	
f_sgvvv6rxcvvme	xabaár	news, information			False	False	True	late	late	True	True	Origin: Urdu (Arabic): xabar	Inflection: i-decl (Obl, pl): xabeerí
f_wbc4uppqwl6hc	xaraáp	bad; spoiled			False	False	True	late	late	True	True	Origin: Urdu (Arabic): xaraab	
f_nu2xdrtlii26u	xatarnaák	dangerous; fatal			False	False	True	late	late	True	True	Origin: Pashto: xatar-naak	
f_wjycsn4v4zsv2	xeeraát	happiness; peace			False	False	True	late	late	True	True	Origin: Urdu (Persian): xairiiyat	Inflection: i-decl (Obl, pl): xeereetí
f_o4mhpxlninl24	xiaál	opinion; thinking			False	False	True	late	late	True	True	Origin: Urdu (Arabic): xayaal, xiyaal	Inflection: i-decl (Obl): xieelí; Usage: Primarily used as a non-verb element in complex predicates
f_trgo36y7pvdzc	xoraák	food; livelihood			False	False	True	late	late	True	True	Origin: Pashto: xwaraak	Inflection: i-decl (Obl): xoreekí
f_5k23udzcfa7lu	xošaán	happy			False	False	True	late	late	True	True	Origin: Urdu (Persian): xwaš, xuš	
f_ykrvpvohvxtgc	yáab	irrigation canal	10442		False	False	False	early	early	True	False	yavyá- 'stream (fem)' (T: 10442)	Inflection: a-decl (Obl, pl): -a
f_cjxfs33pltp7s	yaadgaár	memory			False	False	True	late	late	True	True	Origin: Urdu (Persian): yaad-gaar	Inflection: i-decl (Obl, pl): yaadgeerí
f_s2kssaz5iw5ge	yáandr	mill	10412	yandr	True	False	False	early	early	True	False	yantrá- 'controlling device; any implement or contrivance (neut)' (T: 10412)	Inflection: a-decl (Obl, pl): -a; Morphemic form: yandr
f_aowjvmyyu3ndi	yaár	friend; lover			False	False	False	early	late	False	True	Origin: Urdu (Persian): yaar	Inflection: aan-decl (Obl): -á, (Pl): -aán; Usage: Can modify either male or female referents, and is assigned gender accordingly.
f_yz2stvypgqpco	yambaáṭ	millstone		yandr-baṭ	False	False	True	late	late	True	False		Inflection: a-decl (Obl, pl): yambaṭá; Morphemic form: yandr-baṭ
f_y72fzcb66idm2	zaán	self	5098		False	False	False	early	late	False	False	jána- 'race, person (masc)' (T: 5098)	Inflection: i-decl (Obl): ǰaní; Usage: Primarily functioning pronominally along with the reflexive pronoun teeṇíi in the object position as a phrase co-referential with the clause subject.
f_26cwzonouzuqg	zabaán	language			False	False	True	late	late	True	True	Origin: Urdu (Persian): zabaan	Inflection: i-decl (Obl, Pl): zubeení
f_wp3ad7ragb2ky	zamindaár	farming			False	False	True	late	late	True	True	Origin: Urdu (Persian): zamiindaar	
f_7jos67dwczwrs	zhaáy	place; property		zhay	True	True	False	late	late	True	True	Origin: Pashto: dzaaˈe	Inflection: i-decl (Obl, pl): zhayí; Morphemic form: zhay
f_qahkiqprjdkko	ziaát	much, most; plenty, a great deal of, largely			False	False	True	late	late	True	True	Origin: Pashto: ziiˈaat	
f_bnh6lez2bgxcq	zimawaár	responsible			False	False	True	late	late	True	True	Origin: Urdu (Persian/Arabic): zimma ; Urdu (Persian): waar	
f_tczq23bxi7a6s	zuaán	young (man); youth			False	False	True	late	late	True	True	Origin: Pashto: dzwaan	
f_b5dnyx2twxd4m	ẓikaán	thongs (for fastening shepherds' footwear)			False	False	True	late	late	True	False		Inflection: a-decl (Obl, pl): ẓikaná
f_p2c6tqbohrsqi	ghaáṭ	thicket		ghaṭ	True	True	False	late	late	True	False		Inflection: a-decl (Obl): ghaṭá; Morphemic form: ghaṭ
f_dkn72idnjcwb4	ghaawaáz	stream bed			False	False	True	late	late	True	False		Inflection: a-decl (Obl, pl): ghaawazá
f_2zh7okudbyv4i	ghraást	wolf (or predatory animal in general)	4362	ghrast	True	True	False	late	late	True	False	grastr̥- 'swallower (of sun and moon) (masc)' (T: 4362)	Inflection: a-decl (Obl, pl): ghrastá; Morphemic form: ghrast
f_7uajz5tyhjtfu	ghuumaál	earthquake			False	False	True	late	late	True	False		Inflection: i-decl (Obl, pl): ghuumeelí
f_4yi4qfdkvwzty	giḍpeeštaán	the Damel Pass			False	False	True	late	late	True	False		
f_ibawg2cct3mpe	gilaás	glass (drinking vessel)			False	False	True	late	late	True	True	Origin: Urdu (English): gilaas	Inflection: i-decl (Obl, pl): gileesí
f_b4oegduftdj2y	graán	expensive; valued			False	False	False	early	late	False	True	Origin: Pashto (Persian): graan	
