turner	proto_headword	proto_accent_nucleus	proto_nuclei	source_glosses	palula	gil	koh	gur	Astor	dr	bro	source_rows	assessment_codes	historical_assessment	verification_scope
11616	viṁśatí	3	3	twenty	bhiíš [twenty; the twenty sth or people]	bií	bií	bií	bií			gil:1175; koh:1176; gur:1177; Astor:1178	A;M	Late bií/bhiíš compatible with lost final accent; contraction and numeral restructuring must be separated from simple retention.	First-pass comparison; see family-notes.md for independently page-checked central examples
12051	vīdhrá	2	2	blue sky	beedhríi [to clear up (about sky)]	béej̣i	bíẓi	béj̣u				gil:390; koh:391; gur:392	M	Blue sky adjective versus Palula inchoative verb not like-for-like. Main Shina early root accent needs adjectival formation history.	First-pass comparison; see family-notes.md for independently page-checked central examples
12064	vr̥kká	2	2	kidney	bhruk [kidney]	j̣uk; ẓuk	ẓuúk	j̣úuk	j̣uk			gil:89; gil:90; koh:91; gur:92; Astor:93	D;M	Kohistani rising versus Guresi early and short Gilgit/Astor. Later Tileli rising ẓuúk/ẓukí differs from 2008 Guresi; fixed/mobile paradigms essential.	First-pass comparison; see family-notes.md for independently page-checked central examples
12233	vrīhí	2	2	rice (paddy)					briú~			Astor:1416	M	Final nasalized diphthong; contraction of old syllables and morphological form need checking before accent alignment.	First-pass comparison; see family-notes.md for independently page-checked central examples
12278	śatá	2	2	hundred		šal	šal	šal	šal			gil:1064; koh:1065; gur:1066; Astor:1067	U	Short monosyllables cannot reveal mora contrast or inflectional class.	First-pass comparison; see family-notes.md for independently page-checked central examples
12323	śáyana	1	3	bed	šíin [bed (charpoy, string bed)]	šéen	šen					gil:256; koh:257	R	Early accent on contracted śáyana compatible with retention; Kohistani shortening and Palula raising are independent.	First-pass comparison; see family-notes.md for independently page-checked central examples
12326	śaraṇá	3	3	roof			šaróon	šarún	šarín			koh:352; gur:353; Astor:354	M	Final stem accent broadly compatible with śaraṇá after extension/contraction; different vowel lengths by dialect.	First-pass comparison; see family-notes.md for independently page-checked central examples
12329	śarád	2	2	autumn	šaraál [autumn]	šaróo	šaryóo	šaróo	šaróo			gil:444; koh:445; gur:446; Astor:447	M	Extended autumn forms with long final gender vowel require derivation and suffix-accent history.	First-pass comparison; see family-notes.md for independently page-checked central examples
12487	śītalá	3	3	cold; fever	šidáalu [cold]	šidálo; šaál	šaál					gil:998; gil:1351; koh:1352	M	Root-final accent in extended cold adjective versus final accent of śītalá. Fever šaál is a separate contracted/substantivized formation.	First-pass comparison; see family-notes.md for independently page-checked central examples
12492	śīná	2	2	snow		hin	hin	hin	hin			gil:417; koh:418; gur:419; Astor:420	U	Short monosyllables; old ī shortened but citation form gives no class information.	First-pass comparison; see family-notes.md for independently page-checked central examples
12497	śīrṣá	2	2	head	ṣiṣ [head; hair]	ṣiṣ	ṣiṣ	ṣiíṣ	ṣiíṣ			gil:80; koh:81; gur:82; Astor:83	D;A	Guresi/Astori late long compatible with final-accent apocope; Gilgit/Kohistani/Palula short reflect separate quantity history.	First-pass comparison; see family-notes.md for independently page-checked central examples
12548	śúṣka	1	2	dry	šúša [to dry (out)]	súkho	šúkho	šúku	šúku			gil:1003; koh:1004; gur:1005; Astor:1006	R;M	Initial accent compatible after cluster change; Palula cited item is a verb and not a directly comparable adjective.	First-pass comparison; see family-notes.md for independently page-checked central examples
12583	śŕ̥ṅga	1	2	horn	ṣing [horn]	ṣíṅo	ṣígo	šíṅu	ṣíṅ			gil:721; koh:722; gur:723; Astor:724	R;M	Initial accent compatible; different gender endings, nasal loss and treatment of vocalic r.	First-pass comparison; see family-notes.md for independently page-checked central examples
12619	śṓka	1	2	ashes			šóo					koh:255	R;M	Early long accent compatible; ashes versus grief etymology and consonant-loss history require independent justification.	First-pass comparison; see family-notes.md for independently page-checked central examples
12753	śváśura	1	3	father-in-law	šúur [father-in-law; husband's or wife's father]	šáyur	šéer	šéer	šáwur			gil:183; koh:184; gur:185; Astor:186	R;M	Initial prominence broadly compatible, but alternate diphthong/glide formations must precede Palula and Kohistani contractions.	First-pass comparison; see family-notes.md for independently page-checked central examples
12759	śvaśrū́	2	2	mother-in-law	preṣ [mother-in-law; husband's or wife's mother]	šaṣ	šaṣ	šaš; ṣaṣ	ṣaṣ			gil:213; koh:214; gur:215; gur:216; Astor:217	U;M	Short monosyllables conceal contour; daughter-in-law-like kinship analogy and cluster history need checking.	First-pass comparison; see family-notes.md for independently page-checked central examples
12774	śvētá	2	2	white			šóo	šóo	šéeo			koh:1188; gur:1189; Astor:1190	M	Extended white adjective shows root accent despite old final accent; loss of intervocalic t and contraction create different vowel outcomes.	First-pass comparison; see family-notes.md for independently page-checked central examples
12803	ṣáṣ-,	1	1	six	ṣo [six]	ṣa	ṣa	ṣa	ṣa			gil:1133; koh:1134; gur:1135; Astor:1136	U	Short numeral; no mora-position contrast.	First-pass comparison; see family-notes.md for independently page-checked central examples
12815	sá¹,	1	1	he; they (m., dist., pl.?)	so [the; that (agr: rem nom masc)]			so; ses				gur:1200; gur:1238	U;M	Pronominal paradigm and enclisis; simple sá is not a full input to plural ses.	First-pass comparison; see family-notes.md for independently page-checked central examples
13139	saptá	2	2	seven	sáat [seven]	sat	sat	sat	sat			gil:1121; koh:1122; gur:1123; Astor:1124	U;A	Short Shina forms uninformative. Palula sáat permits saptá > sat > sáat: apocope to a short vowel followed by later closed-a lengthening. Early aa alone does not require numeral accent remodeling.	First-pass comparison; see family-notes.md for independently page-checked central examples
13386	síkatā	1	3	sand	sígal [sand (fine, black)]	sígal	sígal					gil:626; koh:627	R	Initial accent compatible with síkatā; final syllable loss and medial consonant change separate.	First-pass comparison; see family-notes.md for independently page-checked central examples
13415	síndhu	1	2	river		sin	sin	sin	sin			gil:618; koh:619; gur:620; Astor:621	U	Short monosyllables need inflectional evidence.	First-pass comparison; see family-notes.md for independently page-checked central examples
13519	suvárṇa	2	3	gold		soṇ	soóṇ	soóṇ	soná			gil:1370; koh:1371; gur:1372; Astor:1373	D;M	Kohistani/Guresi late soóṇ versus short Gilgit and extended Astori soná. Internal loss/contraction interacts with old accent; not final-vowel apocope alone.	First-pass comparison; see family-notes.md for independently page-checked central examples
13574	sū́ra	1	2	sun; day	súuri [sun]	súuri	súuri	súuri	súuri			gil:425; koh:426; gur:427; gur:455; Astor:428	R	Early long accent compatible with sū́ra; final feminine morphology retained.	First-pass comparison; see family-notes.md for independently page-checked central examples
13576	sŕ̥kvan	1	2	neck	ṣáak [rear shoulder]	ṣak	ṣak	ṣak	ṣak			gil:114; koh:115; gur:116; Astor:117	U;X	Short Shina forms uninformative; Palula ṣáak/ṣaká mobile despite old initial accent, opposing simple class inheritance.	First-pass comparison; see family-notes.md for independently page-checked central examples
13627	skandhá	2	2	shoulder	káand [shoulder]		kaṇíi					koh:133	M	Kohistani kaṇíi is an extended feminine; Palula káand is mobile despite early aa, with aspiration migration/loss to explain.	First-pass comparison; see family-notes.md for independently page-checked central examples
13801	snuṣā́	2	2	daughter-in-law		nuúṣ	nuúṣ	nuúṣ	nuúṣ			gil:169; koh:170; gur:171; Astor:172	A;M	Late nuúṣ compatible with loss of final accented ā; metathesis/cluster simplification still needed.	First-pass comparison; see family-notes.md for independently page-checked central examples
13839	*sphiyá-,	2	2	shoulder; mattock (hoe)		phíco; phyóo~li	phíjo; pheélo	phíjo; phyóo~li	phéelo			gil:127; gil:331; koh:128; koh:332; gur:129; gur:333; Astor:134	M	Shoulder and mattock have different derivational suffixes. Reconstructed *sphiyá is not a securely accented attested OIA input.	First-pass comparison; see family-notes.md for independently page-checked central examples
13913	svásr̥	1	2	sister		sa	sas	sas	sas			gil:226; koh:227; gur:228; Astor:229	U;M	Short kinship forms; old strong/weak inflection and replacement of final segments need reconstruction.	First-pass comparison; see family-notes.md for independently page-checked central examples
14000	halá	2	2	plow	haál [plough]	hal	hal	hal	hal			gil:348; koh:349; gur:350; Astor:351	U;A	Palula haál/halá mobile compatible with old final accent, but late Ashret aa independently follows the aspiration-conditioned lengthening rule.	First-pass comparison; see family-notes.md for independently page-checked central examples
14024	hásta	1	2	hand	haát [hand]	hat	hat	hat	hat			gil:76; koh:77; gur:78; Astor:79	U;R	Palula haát/háata fixed despite late singular aa: different syllable structures date lengthening, not a change of inherited noun class.	First-pass comparison; see family-notes.md for independently page-checked central examples
14152	hŕ̥daya	1	3	heart	híṛu [heart]	híyo	hyúu	híi; híiu	hyúu			gil:84; koh:85; gur:86; gur:87; Astor:88	R;M	Early prominence compatible with hŕ̥daya, but stem hṛd and gender remodeling may be closer inputs than this exact formation.	First-pass comparison; see family-notes.md for independently page-checked central examples
