gloss	plural	suffix	plural_stress_from_right	plural_outcome	singulars	singular_stress	singular_ids	plural_id	family_ids	plural_description	review_index	manual_lexical_note	reviewed_family_comparison	primary_check	morphological_assessment	final_vowel_accented	acute_count	suffix_accent_status
leopard ]	dĩye	-e		unmarked	"[""dĩ""]"	"[""""]"	"[""f_x7set5j57agdc""]"	f_eespruaru3iqy	[]		58	Leopard dĩ and dĩye preserve nasalization but no written accent. Their reduced shape matches the dvīpin family; no E/L outcome can be inferred. Research comparison: dvīpín (6694), tiger, panther, leopard. This links the root/lexeme, not each inflected cell directly to the old headword.	6694	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	0	unmarked
louse ] pl.	ʤũẽ	other		unmarked	"[""ʤũ""]"	"[""""]"	"[""f_f4kbpzhwtx7dq""]"	f_gc7dlhe4uzvoo	[]		59	Louse jũ/jũẽ has no explicit accent in this source. It cannot adjudicate the Gilgit/Palula late-long result. Research comparison: yū́kā (10512), louse. This links the root/lexeme, not each inflected cell directly to the old headword.	10512	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	0	unmarked
mouse	mṹʐe	-e	2	stress-marked	"[""mṹʐi""]"	[2]	"[""f_7in7odvosmvti""]"	f_pofdnervr5uxi	[]		60	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: mūṣa (10258), . This links the root/lexeme, not each inflected cell directly to the old headword.	10258	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
nest	ɦaló:le	-e	2	stress-marked	"[""ɦaló:l""]"	[1]	"[""f_gys574z2cphxy""]"	f_u65kmsiubcno6	[]		61	Nest halo:l differs from the maa-derived nest comparison. No etymology is assigned from meaning alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
owl	ɦúe	-e	2	stress-in-vowel-sequence	"[""ɦú:""]"	[1]	"[""f_dvt2eqhymkwio""]"	f_62amuxe2zocyq	[]		62	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
paw	no:ryé	-e	1	stress-marked	[]	[]	[]	f_faoymkjzoxjdy	[]		63	Paw no:ryé illustrates the independently discussed -yé plural allomorph, with final accent; compare plain claw nó:re separately.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	1	1	final-accent-only
pheasant	kʌ́kəʦe	-e	3	stress-marked	"[""kʌ́kəs""]"	[2]	"[""f_wommlnguv6wu2""]"	f_hvytwd5oxby46	[]		64	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
puppy	khukúri	-i	2	stress-marked	"[""khukúr""]"	[1]	"[""f_e4b3oy6gqv556""]"	f_523uknitwegxc	[]		65	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: kurkurá (3329), dog. This links the root/lexeme, not each inflected cell directly to the old headword.	3329	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
rat	mú:ʐe	-e	2	stress-marked	"[""mú:ʂ""]"	[1]	"[""f_zbinexnjqaaiy""]"	f_5tfgpyst54yme	[]		66	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: mūṣa (10258), . This links the root/lexeme, not each inflected cell directly to the old headword.	10258	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
raven	kó:rkuʦi	-i	3	stress-marked	"[""kó:rkus""]"	[2]	"[""f_7zco57homafuo""]"	f_gviv4asu5bc6u	[]		67	Raven/crow korkus has an expressive bird-name shape; do not force it under kāka solely by semantics. Final s/c alternation is visible in the plural.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
snail	ʧʌ́ɲʧuli	-i	3	stress-marked	"[""ʧʌ́ɲʧul""]"	[2]	"[""f_65gdouofpwuf2""]"	f_knqbyc3m3hdny	[]		68	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
stork; swan	oibʌ́roʐe	-e	3	stress-in-vowel-sequence	"[""oibʌ́roʂ""]"	[2]	"[""f_hvmmgtzahvj3a""]"	f_gx6pukrvlmlii	[]		69	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
tail	lʌmúʈe	-e	2	stress-marked	[]	[]	[]	f_gj4b62d62kwjw	[]		70	Tail lamuṭe agrees segmentally with older Dras lumuṭ in the lāṅgūla family. Competing lūma/lamba and compound analyses are retained in the broader tail dossiers; this is not secure preservation of that headword’s accent. Research comparison: lāṅgūlá (11009), tail; having a tail; penis. This links the root/lexeme, not each inflected cell directly to the old headword.	11009	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
trunk	ʦuʦúe	-e	2	stress-in-vowel-sequence	"[""ʦuʦúi""]"	[2]	"[""f_slybai4tbahli""]"	f_q4eafqhtk6d2i	[]		71	Trunk has a ui/ue sequence; retain marked accent but leave syllable-count statistics unscored.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
wing; page	pə́:ʈe	-e	2	stress-marked	[]	[]	[]	f_a44c5lv53tgk2	[]		72	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: páttra (7733), wing-feather; wing; leaf, petal; leaf of book. This links the root/lexeme, not each inflected cell directly to the old headword.	7733	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
wolf	úrke	-e	2	stress-marked	"[""úruk""]"	[2]	"[""f_6tbwfj2cfynx6""]"	f_fstlhusnui5ru	[]		73	Wolf uruk/urke is a direct segmental and semantic comparison with vṛka; initial cluster vocalization and plural syncope are relevant, not the suggested unrelated wolf synonyms. Research comparison: vŕ̥ka (12062), wolf. This links the root/lexeme, not each inflected cell directly to the old headword.	12062	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
worm ] pl.	krĩ́yẽ	other	2	stress-marked	[]	[]	[]	f_uztoeqkgsdlfe	[]		74	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: kŕ̥mi (3438), worm, insect. This links the root/lexeme, not each inflected cell directly to the old headword.	3438	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
young one; small	ʧúɳe	-e	2	stress-marked	[]	[]	[]	f_75hrkwjupiz64	[]		75	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: cūrṇa (4889), *pulverized; *anything ground. This links the root/lexeme, not each inflected cell directly to the old headword.	4889	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
ankle	khríʦi	-i	2	stress-marked	"[""khríʦ""]"	[1]	"[""f_7vntg2jdger24""]"	f_aqbq6jifkyz6w	[]		76	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
anus	pó:ɳe	-e	2	stress-marked	"[""pó:ɳi""]"	[2]	"[""f_isqtjoraux3xa""]"	f_3kvhyldyyslai	[]		77	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
bald	phaɽáre	-e	2	stress-marked	"[""phaɽáro""]"	[2]	"[""f_biimvw44umdmc""]"	f_z2azbkdxhy2mg	[]		78	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
belly	ɖé:re	-e	2	stress-marked	"[""ɖé:r""]"	[1]	"[""f_ajj5skjuhpcaq""]"	f_ea3knwjq3cnqi	[]		79	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: *ḍhiḍḍha (5589), belly. This links the root/lexeme, not each inflected cell directly to the old headword.	5589	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
breast	máme	-e	2	stress-marked	[]	[]	[]	f_uvmx3zm3y3qd4	[]		80	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
calf of the leg.; muscle	pí:ɳye	-e	2	stress-marked	[]	[]	[]	f_jzvv6odyl747y	[]		81	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
canine tooth	muʈʂínedóni	-i		multiple-stress	"[""muʈʂínodón""]"	"[""""]"	"[""f_woujpm54hlq6o""]"	f_hygx4v3t2y46o	[]		82	Canine tooth is a compound with accents on both constituents. The plural changes more than the final suffix; exclude from single-stress simplex tests.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	2	stem-accent-only
chest	kroe	-e		unmarked	"[""kro:""]"	"[""""]"	"[""f_nni55bol224xu""]"	f_coaz5t6axpw66	[]		83	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: krōḍá (3607), breast, bosom. This links the root/lexeme, not each inflected cell directly to the old headword.	3607	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	0	unmarked
corpse	kúɳe	-e	2	stress-marked	"[""kúɳo""]"	[2]	"[""f_ifgxd7mdvpqcq""]"	f_ouq5wx2e43e7k	[]		84	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: kúṇapa (3257), corpse. This links the root/lexeme, not each inflected cell directly to the old headword.	3257	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
cough	khú:zye	-e	2	stress-marked	"[""khú:zi""]"	[2]	"[""f_ef4kwqgmkm4zm""]"	f_p333bxyu5eeiq	[]		85	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: kā́satē (3135), coughs. This links the root/lexeme, not each inflected cell directly to the old headword.	3135	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
elbow	bʌkhúɳe	-e	2	stress-marked	"[""bʌkhúɳi""]"	[2]	"[""f_jfm5olokiawia""]"	f_eaxpkla3vefuk	"[""2757""]"		86	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: kaphōṇi (2757), elbow. This links the root/lexeme, not each inflected cell directly to the old headword.	2757	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
eye	ʌʈʂé:	other	1	stress-marked	"[""ʌʈʂí:""]"	[1]	"[""f_ngiuxmsdr6xci""]"	f_ta26dfceqqad2	[]		87	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: ákṣi (43), eye. This links the root/lexeme, not each inflected cell directly to the old headword.	43	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	1	1	final-accent-only
eye brow	ʌʈʂé:gále	-e		multiple-stress	"[""ʌʈʂó:gálo""]"	"[""""]"	"[""f_b2ilpyzepisrw""]"	f_oe3r7xe577tgq	[]		88	Eyebrow includes the eye stem plus a second accented component. Compound accent and number agreement must be separated from simple noun stress.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	2	stem-accent-only
eye lid	ʌ́ʈʂepó:ʈʂe	-e		multiple-stress	[]	[]	[]	f_xp42gtfhtdf5e	[]		89	Eyelid is an eye-plus-cover compound with two accent marks; the source lacks a matched simple SG in this candidate group.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	2	stem-accent-only
finger ] sg.	ʌŋṹẽ	other	2	stress-in-vowel-sequence	"[""ʌŋṹ""]"	[1]	"[""f_kd236gsnryim4""]"	f_xdpittxbbpdjo	[]		90	Finger has nasalized adjacent vowels and leaked SG markers in the gloss. Accent exists but exact syllabification is unresolved.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
forehead	yó:ŋe	-e	2	stress-marked	"[""yó:ŋ""]"	[1]	"[""f_uwdg223ryr4lw""]"	f_rura556t6blgo	[]		91	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
guts	ʔṍʐi	-i	2	stress-marked	"[""ʔṍʂ""]"	[1]	"[""f_v3dw6rvfivfx6""]"	f_ihegj7pvhli32	[]		92	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: ū́badhya (2417), . This links the root/lexeme, not each inflected cell directly to the old headword.	2417	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
hair	ʒʌkúe	-e	2	stress-in-vowel-sequence	"[""ʒʌkú:""]"	[1]	"[""f_ggio5k2yobqcm""]"	f_oippb7re36326	[]		93	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: *jakka (5075), hair. This links the root/lexeme, not each inflected cell directly to the old headword.	5075	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
head	ʂíʐe	-e	2	stress-marked	"[""ʂíʂ""]"	[1]	"[""f_23svgfvh74tuu""]"	f_tc55mtuopm7me	[]		94	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: śīrṣá (12497), head, skull. This links the root/lexeme, not each inflected cell directly to the old headword.	12497	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
intestine	ṍʐe	-e	2	stress-marked	"[""ṍʐi""]"	[2]	"[""f_f6kwh4m5go2cc""]"	f_au4f4ncglpxwq	[]		95	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
joints	khriʦí	-i	1	stress-marked	[]	[]	[]	f_6l6ky7pku5u36	[]		96	Joints khriʦí has final i accent, contrasting with ankle khríʦ/khríʦi. Related anatomy is not sufficient to erase semantic or paradigm differences.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	1	1	final-accent-only
kidney	ʐúki	-i	2	stress-marked	"[""ʐúk""]"	[1]	"[""f_gpreruffrxhhe""]"	f_qwb3px62dq5bo	[]		97	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: vr̥kká (12064), kidneys. This links the root/lexeme, not each inflected cell directly to the old headword.	12064	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
leg e] pl.	kíye	-e	2	stress-marked	"[""kí""]"	[1]	"[""f_vqtjfwustbrg6""]"	f_zyevwyumjs2no	[]		98	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
lips	ó:ʈe	-e	2	stress-marked	"[""ó:ʈo""]"	[2]	"[""f_r6zcwdizjg3ty""]"	f_k4j2fvlhhbqyk	[]		99	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: ṓṣṭha (2563), lip. This links the root/lexeme, not each inflected cell directly to the old headword.	2563	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
liver	yú:ŋe	-e	2	stress-marked	"[""yú:ŋ""]"	[1]	"[""f_76feiecokbojk""]"	f_pw3jtn2xowmns	[]		100	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: yákr̥t (10394), liver. This links the root/lexeme, not each inflected cell directly to the old headword.	10394	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
lung	ɖó:re	-e	2	stress-marked	"[""ɖó:ro""]"	[2]	"[""f_gugzwn7u2ty7u""]"	f_ehvdafyachf4i	[]		101	Lung ḍo:ro does not segmentally match the bhaṣma or phupphusa candidates. Leave its etymology open rather than propagating the earlier lung-reference problem.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
nose	nóte	-e	2	stress-marked	"[""nóto""]"	[2]	"[""f_oqy7ksfzh2yfs""]"	f_7r7bnh6nsvtwu	"[""7031""]"		102	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: nasta (7031), nose. This links the root/lexeme, not each inflected cell directly to the old headword.	7031	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
rib	prʌ́ʃe	-e	2	stress-marked	"[""prʌ́ʃu""]"	[2]	"[""f_oqwxnnctxsc3c""]"	f_xk4jhmy36bhys	[]		103	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: párśu (7948), rib. This links the root/lexeme, not each inflected cell directly to the old headword.	7948	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
shoulder	phíʤe	-e	2	stress-marked	"[""phíʤo""]"	[2]	"[""f_ssgmulil4l2ji""]"	f_qxi5vvixecsmk	[]		104	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: *spʰiyá (13839), . This links the root/lexeme, not each inflected cell directly to the old headword.	13839	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
skin	ʧóme	-e	2	stress-marked	"[""ʧóm""]"	[1]	"[""f_apc4x6cvn7zc4""]"	f_766uzyhomkxfs	[]		105	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: cárman (4701), hide, skin. This links the root/lexeme, not each inflected cell directly to the old headword.	4701	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
stomach :] pl.	ã́ʐlé:	other		multiple-stress	"[""ã́ʐló:""]"	"[""""]"	"[""f_wywrvshj6cc3y""]"	f_buup53xna3cyk	[]		106	Stomach has two acute marks and an additional stem element; its plural is a contraction/replacement pattern, outside the simple one-stress test.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	1	2	final-plus-other-accent
testicle	ʈʂwe	-e		unmarked	"[""ʈʂo:""]"	"[""""]"	"[""f_5vehqaanuslus""]"	f_hbhgsskkxl5du	[]		107	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	0	unmarked
thigh	ʃʌ́sne	-e	2	stress-marked	"[""ʃʌ́sna:""]"	[2]	"[""f_jlkzcqzwlkkwq""]"	f_gkxwv6n3hz2pg	[]		108	Thigh śasna/śasne is compared with the independently recorded sakthan family through its distinctive sibilant/cluster structure. The exact nasal/long-vowel formation is not fixed by this comparison. Research comparison: sakthán (13073), thigh, thighbone. This links the root/lexeme, not each inflected cell directly to the old headword.	13073	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
throat	ʂó:ʈe	-e	2	stress-marked	"[""ʂó:ʈo""]"	[2]	"[""f_fpvuc2kkjih4m""]"	f_vt3ygeuafsvze	[]		109	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
tooth	dóni	-i	2	stress-marked	[]	[]	[]	f_bqmdwwjgu3byy	[]		110	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: dánta (6152), tooth. This links the root/lexeme, not each inflected cell directly to the old headword.	6152	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
wound	gá:le	-e	2	stress-marked	"[""gá:l""]"	[1]	"[""f_5jogv4yadyeru""]"	f_ls36bu7zy3kvc	"[""4460""]"		111	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone. Research comparison: ghāta (4460), killing; blow, bruise. This links the root/lexeme, not each inflected cell directly to the old headword.	4460	database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
wrinkle	brʌ́ke	-e	2	stress-marked	"[""brʌ́ko""]"	[2]	"[""f_dqynl5mvymxuq""]"	f_diwbfsj6qg5o6	[]		112	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Plain e/i must distinguish suffix addition, vowel replacement, glide formation, syncope and lexical stem alternants; the source marks are not normalized to the majority pattern.	0	1	stem-accent-only
bowl	muɣuréh	-eh/-eɦ	1	stress-marked	[]	[]	[]	f_isd2sxobumyym	[]		113	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Final eh/eɦ is an independently identified suffix; compare final versus retained stem marks without defining membership by acute placement.	1	1	final-accent-only
brew	ʌyʌméh	-eh/-eɦ	1	stress-marked	"[""ʌyʌ́m""]"	[1]	"[""f_exw4rx2pucpwa""]"	f_kk6d2gxzwekzw	[]		114	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Final eh/eɦ is an independently identified suffix; compare final versus retained stem marks without defining membership by acute placement.	1	1	final-accent-only
churning rod	ʈʂhʌparéh	-eh/-eɦ	1	stress-marked	"[""ʈʂhʌpáro""]"	[2]	"[""f_3pc6gh7sidets""]"	f_ndcuutx2i4foy	[]		115	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Final eh/eɦ is an independently identified suffix; compare final versus retained stem marks without defining membership by acute placement.	1	1	final-accent-only
cream	ʃʌmʌléh	-eh/-eɦ	1	stress-marked	"[""ʃʌmʌ́l""]"	[1]	"[""f_36e3vbh7343pw""]"	f_q6h5zxs5v4ysg	[]		116	The matched source forms were inspected. The plural ending and its accent are retained as printed; no etymology is assigned from a shared English gloss alone.		database source citation and candidate lexemes inspected	Final eh/eɦ is an independently identified suffix; compare final versus retained stem marks without defining membership by acute placement.	1	1	final-accent-only
