locator	kind	record_ids	family_id	decision
source_observations_03.jsonl:3	source_observations*.jsonl	"[""f_llghac7dlaz46"", ""f_owrwjd54j7xxe"", ""f_wnz2awon3ojwk"", ""f_64222gq7owoku"", ""f_7v5wjtcrrdwoc"", ""f_2ybntmeeu7u6e""]"		"{""record_ids"": [""f_llghac7dlaz46"", ""f_owrwjd54j7xxe"", ""f_wnz2awon3ojwk"", ""f_64222gq7owoku"", ""f_7v5wjtcrrdwoc"", ""f_2ybntmeeu7u6e""], ""source"": ""Liljegren2013Table12p142, phonetic low-rising group"", ""reading_override"": {""modern_outcome"": ""P-low-rising"", ""phonetic_contour"": ""low-rising"", ""tone_status"": ""phonetic-group-with-isolation-glottalization""}, ""basis"": ""Horse,paternalaunt,goat,field,farhavethisF0patternwithpostvocalicglottalizationinisolation. Samefarlexemeinsecondglossrecord. Table13goatreference4963differsDB5009; retaincompetingrelatedformations.""}"
source_observations_03.jsonl:4	source_observations*.jsonl	"[""f_tiuw5ldstulbs"", ""f_ivr73p7ai5xsw"", ""f_cn2h6vtf66maq"", ""f_zay27otl6wdam"", ""f_juy6pa6rilypk"", ""f_3e7geqqm7h7yk"", ""f_5pmpl6sosdozu""]"		"{""record_ids"": [""f_tiuw5ldstulbs"", ""f_ivr73p7ai5xsw"", ""f_cn2h6vtf66maq"", ""f_zay27otl6wdam"", ""f_juy6pa6rilypk"", ""f_3e7geqqm7h7yk"", ""f_5pmpl6sosdozu""], ""source"": ""Liljegren2013Table12p142, phonetic high-rising group"", ""reading_override"": {""modern_outcome"": ""P-high-rising"", ""phonetic_contour"": ""high-rising"", ""tone_status"": ""phonetic-group-with-isolation-glottalization""}, ""basis"": ""Long,star,hair,husbandbrother,knee,grandsonareexplicitlyhighrisingwithisolationglottalization. Shortdrig/kuṭnotassignedfictionalearly/latemoras.""}"
source_observations_03.jsonl:5	source_observations*.jsonl	"[""f_27r5oljrxsozy"", ""f_gzmvztaxoxoou"", ""f_z4xbfgbfh5tw2"", ""f_g4c7y5sc66kos""]"		"{""record_ids"": [""f_27r5oljrxsozy"", ""f_gzmvztaxoxoou"", ""f_z4xbfgbfh5tw2"", ""f_g4c7y5sc66kos""], ""source"": ""Liljegren2013Table12p142, phonetic high-falling group"", ""reading_override"": {""modern_outcome"": ""P-high-falling"", ""phonetic_contour"": ""high-falling"", ""tone_status"": ""phonetic-group-not-final-phonemic-analysis""}, ""basis"": ""Woodšaak,rootneer,sonpuuareexplicitlyhighfalling. ThisfallisrepresentedwithlateLowin2013andearlyHighin2023forwood; neitherisanobserveddiachronicreversal. Sonpuuroot-familyattributionputra/potavariesacrossrecords.""}"
source_observations_04.jsonl:1	source_observations*.jsonl	"[""f_mkmrzipe4slci"", ""f_levjnjpwpgaym"", ""f_twgyqxkow33yu"", ""f_bhfcv7ahrjvnm"", ""f_y2qgt7qnvutyi"", ""f_m4teog3thisu2"", ""f_httpabuw6ns2a"", ""f_xz3m6jhdu7bxs"", ""f_gxrirv2ur5w2q""]"		"{""record_ids"": [""f_mkmrzipe4slci"", ""f_levjnjpwpgaym"", ""f_twgyqxkow33yu"", ""f_bhfcv7ahrjvnm"", ""f_y2qgt7qnvutyi"", ""f_m4teog3thisu2"", ""f_httpabuw6ns2a"", ""f_xz3m6jhdu7bxs"", ""f_gxrirv2ur5w2q""], ""source"": ""Rehman and Baart draft9January2004p10Table9, rising-tone examples"", ""reading_override"": {""modern_outcome"": ""R"", ""contour_position"": 1, ""contour_from_right"": 1, ""contour_quantity"": ""long"", ""tone_status"": ""explicit-rising-primary-table""}, ""basis"": ""Long,far,daughter,twenty,she-goat,father,buffalo,redareexplicitlyintherisingpitchtable. Goat has twoDBspellings butonelexeme. Thisconfirmsratherthaninferslegacycaronreadings; nootherunmarkedwordisassignedtonefromthegeneralstatementthatmostwordsfall.""}"
source_observations_04.jsonl:2	source_observations*.jsonl	"[""f_4evkbdmwabof4""]"		"{""record_id"": ""f_4evkbdmwabof4"", ""source"": ""Rehman and Baart draft9January2004pp10–11, falling examples andTable10"", ""reading_override"": {""reading_form"": ""báal"", ""modern_outcome"": ""F"", ""modern_accent_count"": 1, ""modern_accent_position"": 1, ""modern_accent_from_right"": 1, ""modern_accent_quantity"": ""long"", ""contour_position"": 1, ""contour_from_right"": 1, ""contour_quantity"": ""long"", ""tone_status"": ""explicit-falling-primary-example""}, ""basis"": ""Hairbáal explicitlyfalling, fixedobliquepluralbáalan; rawDBbālomitsaccent. Sourcephoneticsdistinguishfromunrelatedchild/fatherforms.""}"
source_observations_04.jsonl:3	source_observations*.jsonl	"[""f_c25et4u2qvuqg""]"		"{""record_id"": ""f_c25et4u2qvuqg"", ""source"": ""Rehman and Baart draft9January2004pp10–11, falling examples andTable10"", ""reading_override"": {""reading_form"": ""díiz"", ""modern_outcome"": ""F"", ""modern_accent_count"": 1, ""modern_accent_position"": 1, ""modern_accent_from_right"": 1, ""modern_accent_quantity"": ""long"", ""contour_position"": 1, ""contour_from_right"": 1, ""contour_quantity"": ""long"", ""tone_status"": ""explicit-falling-primary-example""}, ""basis"": ""Daydíiz explicitlyfallingandfixedpluraldíizin, unlikePaluladeéswithlate/mobileaccent. Thiscross-languagegrammaticaldifferenceisreal.""}"
source_observations_04.jsonl:4	source_observations*.jsonl	"[""f_ifnjxur4qgdca""]"		"{""record_id"": ""f_ifnjxur4qgdca"", ""source"": ""Rehman and Baart draft9January2004p11Table10"", ""reading_override"": {""reading_form"": ""kucúr"", ""modern_outcome"": ""S"", ""modern_accent_count"": 1, ""modern_accent_position"": 2, ""modern_accent_from_right"": 1, ""modern_accent_quantity"": ""short"", ""contour_position"": """", ""contour_from_right"": """", ""contour_quantity"": """"}, ""basis"": ""Dogkucúr hasfinalshortaccentretainedinobliquepluralkucúran. Thisislocusevidence, notafalling/risinglong-vowelcontrast.""}"
source_observations_04.jsonl:5	source_observations*.jsonl	"[""f_ute4p5wpcofeg"", ""f_qwtpow6e7uzw6""]"		"{""record_ids"": [""f_ute4p5wpcofeg"", ""f_qwtpow6e7uzw6""], ""source"": ""Liljegren2013Table12p142, phonetic high-rising group"", ""reading_override"": {""modern_outcome"": ""P-high-rising"", ""phonetic_contour"": ""high-rising"", ""tone_status"": ""phonetic-group-with-isolation-glottalization""}, ""basis"": ""PaternalgrandfatherdaadandgrandmotherdeedareexplicitlyhighrisinginTable12, withisolationglottalization. Sameoldkinbasebutgender/endingformationsmustremainseparate.""}"
source_observations_05.jsonl:1	source_observations*.jsonl	"[""f_nofw24hqorr32"", ""f_zkv62thk5hpjq"", ""f_zdv7rejopn4em"", ""f_6wshauqvurlp2""]"		"{""record_ids"": [""f_nofw24hqorr32"", ""f_zkv62thk5hpjq"", ""f_zdv7rejopn4em"", ""f_6wshauqvurlp2""], ""source"": ""Hultman2023p18, explicit exceptions to Low from Palula mh/nh/rh"", ""reading_override"": {""low_status"": ""explicitly-no-Low-in-primary-discussion""}, ""basis"": ""Meat maas, near niyär and song róo are explicitly said not to have Low despite their Palula breathy-onset counterparts. This records absence of Low only; it does not automatically turn every unmarked lexeme into a zero-High example.""}"
source_observations_06.jsonl:1	source_observations*.jsonl	"[""f_eygqiobs52fny""]"		"{""record_id"": ""f_eygqiobs52fny"", ""source"": ""Liljegren2013p144footnote15, explicit polysyllabic tone classification"", ""reading_override"": {""modern_outcome"": ""0-explicit"", ""tone_status"": ""explicitly-toneless-primary-footnote""}, ""basis"": ""The author explicitly places pitri father's brother in category0. This is additional explicit2013 evidence, distinct from Hultman2023Table9's five toneless monosyllables; no other unmarked citation is relabelled by analogy.""}"
source_observations_06.jsonl:2	source_observations*.jsonl	"[""f_f25teob4phbze"", ""f_w7ltxs5ag7oym"", ""f_qb7lx4kdpneo4"", ""f_ez5l64wtmxhte""]"		"{""record_ids"": [""f_f25teob4phbze"", ""f_w7ltxs5ag7oym"", ""f_qb7lx4kdpneo4"", ""f_ez5l64wtmxhte""], ""source"": ""Liljegren2013p144footnote15, tentative polysyllabic tone classification"", ""basis"": ""Primary footnote explicitly assigns earthḍä̀rin and eyeic̣ì Low, taillumaáṭ High, and killbä̀kaál Low+High. The source itself calls the polysyllabic analysis tentative. Existing marks are retained; this observation does not create an etymological link for the two unlinked items.""}"
