biori	ashret	gloss	biori_family	ashret_family	biori_quality	ashret_quality	biori_quantity	ashret_quantity	biori_accent	biori_accent_position	ashret_accent	ashret_accent_position	record_ids	biori_description	ashret_description	tested_nucleus	biori_test_vowel	ashret_test_vowel	tested_syllable_domain	expected_raised_quality	input_class	predicted_quality	status	special_analysis	analysis
čáaḍ	čóoḍ	applause, clapping (of hands)			a	o	L	L	E	1	E	1	"[""f_syg34sksoefao"", ""f_czab5hbzlfn2y""]"	Inflection: a-decl (Obl, pl): -a; Morphemic form: čáaḍ; Variant restriction: Biori	Inflection: a-decl (Obl, pl): -a; Morphemic form: čáaḍ	1	a	o	word-final-closed	o	Biori-early-a-long-final-closed	o	consistent		Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. 
c̣hetráal	c̣hatróol	Chitral (the district or the adminitrative centre of the district)			ea	ao	SL	SL	E	2	E	2	"[""f_morzftp3dritw"", ""f_4wms6dstvwxwm""]"	Inflection: a-decl (Obl): -a; Morphemic form: c̣hetráal; Variant restriction: Biori	Inflection: a-decl (Obl): -a; Morphemic form: c̣hetráal	2	a	o	word-final-closed	o	Biori-early-a-long-final-closed	o	consistent	proper-name-raising-with-unstressed-change	Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. c̣hetráal/c̣hatróol raises the final accented aa to oo and changes an earlier unstressed e to a. The borrowing history of the name is separate from the regular local vowel adaptation.
c̣háaṇ	c̣hóoṇ	(silver) oak; common evergreen tree on the lower slopes in and around populated areas; its foliage is used for fodder and its wood for fuel			a	o	L	L	E	1	E	1	"[""f_f5ho3lzwidija"", ""f_gjaj7m6wppk4u""]"	Inflection: a-decl (Obl): -a; Morphemic form: c̣háaṇ; Variant restriction: Biori	Inflection: a-decl (Obl): -a; Morphemic form: c̣háaṇ	1	a	o	word-final-closed	o	Biori-early-a-long-final-closed	o	consistent		Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. 
dháare	dháara	to remain, stay behind, fail			ae	aa	LS	LS	E	1	E	1	"[""f_3n342nuvzbveg"", ""f_zi4cymqerjqac""]"	Inflection: T (Prs): dharáanu, (Pfv): dharíitu, (Cv): dharí, (Imp): dháar; Morphemic form: dhar-, dhar-íit-; Variant restriction: Biori	Inflection: T (Prs): dharáanu, (Pfv): dharíitu, (Cv): dharí, (Imp): dháar; Morphemic form: dhar-, dhar-íit-	1	a	a	other	o	other-syllable-domain		outside-closed-syllable-test		The tested vowel is not in a final closed syllable. Most nonfinal aa pairs are verbal stems with additional morphology; their long aa may result from earlier short-vowel lengthening and cannot be assumed identical to inherited long aa. 
dhráa~ṣ	dhrúu~ṣ	Drosh (bazaar town in southern Chitral); sub-district (tehsil) centre for the area where Palula is spoken			a	u	L	L	E	1	E	1	"[""f_2zvz3oqjh6ipw"", ""f_gxslzxzth47ny""]"	Inflection: a-decl (Obl): -a; Variant restriction: Biori	Inflection: a-decl (Obl): -a	1	a	u	word-final-closed	o	Biori-early-a-long-final-closed	o	other-quality	place-name-aa-to-uu	Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. dhráa~ṣ/dhrúu~ṣ is a place name with a separate local transmission history. Neither its proper-name status nor a proposed *au automatically explains the correspondence.
ḍháake	ḍháaka	to touch, hit			ae	aa	LS	LS	E	1	E	1	"[""f_iqnnz5by63f3i"", ""f_bezwijgwf7lm2""]"	Inflection: L:cons (Prs): ḍhakáanu, (Pfv): ḍhakílu, (Cv): ḍhakí, (Imp): ḍháak; Morphemic form: ḍhak-; Variant restriction: Biori	Inflection: L:cons (Prs): ḍhakáanu, (Pfv): ḍhakílu, (Cv): ḍhakí, (Imp): ḍháak; Morphemic form: ḍhak-	1	a	a	other	o	other-syllable-domain		outside-closed-syllable-test		The tested vowel is not in a final closed syllable. Most nonfinal aa pairs are verbal stems with additional morphology; their long aa may result from earlier short-vowel lengthening and cannot be assumed identical to inherited long aa. 
haláal	halóol	lawful; lawfully slaughtered			aa	ao	SL	SL	E	2	E	2	"[""f_oweqerifhv6r2"", ""f_4utvuyzqnbaje""]"	Usage: Primarily used as a non-verb element in complex predicates; Variant restriction: Biori	Usage: Primarily used as a non-verb element in complex predicates	2	a	o	word-final-closed	o	Biori-early-a-long-final-closed	o	consistent	contact-vocabulary-raising	Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. haláal/halóol is the regional Arabic-origin halal word. Its integration into the same raising correspondence as inherited nouns constrains the lexical reach of the process, but does not independently date each borrowing.
iṣkáar	iṣkóor	hunting			ia	io	SL	SL	E	2	E	2	"[""f_yc7zva2lxgyom"", ""f_x4krbdidut72q""]"	Inflection: a-decl (Obl): -a; Variant restriction: Biori	Inflection: a-decl (Obl): -a	2	a	o	word-final-closed	o	Biori-early-a-long-final-closed	o	consistent	contact-vocabulary-raising	Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. iṣkáar/iṣkóor compares the regional shikar hunting word; its regional history is distinct from the local aa-to-oo correspondence.
kasée	kasíi	whose, somebody's, anybody's			ae	ai	SL	SL	E	2	E	2	"[""f_qjj7clphtkgzs"", ""f_ltjl4fgfcrexm""]"	Variant restriction: Biori		2	e	i	other	i	other-syllable-domain		outside-closed-syllable-test	genitive-ending-raising	The tested vowel is not in a final closed syllable. Most nonfinal aa pairs are verbal stems with additional morphology; their long aa may result from earlier short-vowel lengthening and cannot be assumed identical to inherited long aa. Final early -ée corresponds to -íi in a genitive form. Five pronominal forms instantiate one shared grammatical ending; do not count them as five independent sound changes.
lenaám	lanaám	them (dist acc)			ea	aa	SL	SL	L	2	L	2	"[""f_ptboulpidn3gy"", ""f_vce5ypig532yi""]"	Variant restriction: Biori		2	a	a	word-final-closed	o	Biori-late-a-long-final-closed	a	consistent	late-accusative-plural-control	Late-mora Biori long vowel in final closed syllable; the quality-retention control is independent of the Ashret result. lenaám/lanaám keeps late aa while the preceding unstressed vowel changes. This is one member of the shared -aám accusative plural pattern, not an independent lexical history from tenaám.
lesée	lasíi	his; her; its (dist)			ee	ai	SL	SL	E	2	E	2	"[""f_ll3qtw44etvm6"", ""f_3kjefxklqph4g""]"	Variant restriction: Biori		2	e	i	other	i	other-syllable-domain		outside-closed-syllable-test	genitive-ending-raising	The tested vowel is not in a final closed syllable. Most nonfinal aa pairs are verbal stems with additional morphology; their long aa may result from earlier short-vowel lengthening and cannot be assumed identical to inherited long aa. Final early -ée corresponds to -íi in a genitive form. Five pronominal forms instantiate one shared grammatical ending; do not count them as five independent sound changes.
lháase	lháasa	to drop, fall out; escape, run away			ae	aa	LS	LS	E	1	E	1	"[""f_d46fmx4gvsxye"", ""f_aq7jzsxqln3vc""]"	Inflection: T (Prs): lhaasáanu, (Pfv Masc Sg): lháastu, (Pfv Fem Sg): lhéesti, (Cv): lhasí, (Imp): lháas; Morphemic form: lhas-, lháast-; Variant restriction: Biori	Inflection: T (Prs): lhaasáanu, (Pfv Masc Sg): lháastu, (Pfv Fem Sg): lhéesti, (Cv): lhasí, (Imp): lháas; Morphemic form: lhas-, lháast-	1	a	a	other	o	other-syllable-domain		outside-closed-syllable-test		The tested vowel is not in a final closed syllable. Most nonfinal aa pairs are verbal stems with additional morphology; their long aa may result from earlier short-vowel lengthening and cannot be assumed identical to inherited long aa. 
máaṛ	múuṛ	lap			a	u	L	L	E	1	E	1	"[""f_kbwratzfppgig"", ""f_k7mwkmwaaoyac""]"	Inflection: a-decl (Obl, pl): -a; Variant restriction: Biori	Inflection: a-decl (Obl, pl): -a	1	a	u	word-final-closed	o	Biori-early-a-long-final-closed	o	other-quality	unresolved-aa-to-uu	Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. máaṛ/múuṛ has uu rather than oo. A former diphthong is possible but not independently established by this pair; retain as a genuine residual of the surface aa-to-oo prediction.
náame	náama	to get down, sink			ae	aa	LS	LS	E	1	E	1	"[""f_bdud3pk4yfu5u"", ""f_vxxwejkf2q4z4""]"	Inflection: L:cons (Prs): namáanu, (Pfv): namílu, (Cv): namí, (Imp): náam; Morphemic form: nam-; Variant restriction: Biori	Inflection: L:cons (Prs): namáanu, (Pfv): namílu, (Cv): namí, (Imp): náam; Morphemic form: nam-	1	a	a	other	o	other-syllable-domain		outside-closed-syllable-test		The tested vowel is not in a final closed syllable. Most nonfinal aa pairs are verbal stems with additional morphology; their long aa may result from earlier short-vowel lengthening and cannot be assumed identical to inherited long aa. 
nimáas	nimóos	prayer			ia	io	SL	SL	E	2	E	2	"[""f_y62ttldukj3xs"", ""f_dgu4w4pyomgoc""]"	Inflection: a-decl (Obl, pl): -a; Variant restriction: Biori	Inflection: a-decl (Obl, pl): -a	2	a	o	word-final-closed	o	Biori-early-a-long-final-closed	o	consistent	contact-vocabulary-raising	Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. nimáas/nimóos is the regional namaz prayer word. Liljegren2016 explicitly cites the dialect pair in the discussion of conjunct verbs; it follows the same local raising correspondence.
niṣáan	niṣóon	sign, mark; mole			ia	io	SL	SL	E	2	E	2	"[""f_hfedfuwbpzf3c"", ""f_wne7ps63yt7jq""]"	Inflection: a-decl (Obl, Pl): -a; Morphemic form: niṣáan; Variant restriction: Biori	Inflection: a-decl (Obl, Pl): -a; Morphemic form: niṣáan	2	a	o	word-final-closed	o	Biori-early-a-long-final-closed	o	consistent	contact-vocabulary-raising	Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. niṣáan/niṣóon is the regional nishan mark/sign word; the dictionary even preserves morphemic niṣáan for the raised Ashret form.
pháam	phóom	care			a	o	L	L	E	1	E	1	"[""f_ac2stikkcy2o4"", ""f_y6qofegwfpvwc""]"	Usage: Exclusively used as a non-verb element in complex predicates; Variant restriction: Biori	Usage: Exclusively used as a non-verb element in complex predicates	1	a	o	word-final-closed	o	Biori-early-a-long-final-closed	o	consistent		Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. 
réeẓ	ríiẓ	goat track (in the mountains)			e	i	L	L	E	1	E	1	"[""f_h4gzgus5yqte2"", ""f_escgdhcybsaa6""]"	Inflection: a-decl (Obl, pl): -a; Variant restriction: Biori	Inflection: a-decl (Obl, pl): -a	1	e	i	word-final-closed	i	Biori-early-e-long-final-closed	i	consistent		Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. 
sáan	sóon	summer (high) pasture			a	o	L	L	E	1	E	1	"[""f_o4wnam3uwwens"", ""f_omztjlsgwlsqu""]"	Inflection: a-decl (Obl, pl): -a; Morphemic form: sáan; Variant restriction: Biori	Inflection: a-decl (Obl, pl): -a; Morphemic form: sáan	1	a	o	word-final-closed	o	Biori-early-a-long-final-closed	o	consistent		Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. 
šaraháaṛu	šaaraháaṛu	late summer or autumn; 80-day period during which various kinds of fruit are ripe, the maize harvest is gathered, and people are stocking up for the cold season (appr. 11 Sep-30 Nov)			aaau	aaau	SSLS	LSLS	E	3	E	3	"[""f_wlxsvw7icpyvi"", ""f_b56f5zy6v66ec""]"	Inflection: a-decl (Obl): šaaraháaṛa; Variant restriction: Biori	Inflection: a-decl (Obl): šaaraháaṛa	3	a	a	other	o	other-syllable-domain		outside-closed-syllable-test	extended-seasonal-formation	The tested vowel is not in a final closed syllable. Most nonfinal aa pairs are verbal stems with additional morphology; their long aa may result from earlier short-vowel lengthening and cannot be assumed identical to inherited long aa. šaraháaṛu/šaaraháaṛu changes earlier unstressed vowel length while accented aa before the final ending remains. It lies outside the word-final closed-syllable test.
šáal	šóol	grass storage; sheaf			a	o	L	L	E	1	E	1	"[""f_6k7ikxs2zpsma"", ""f_qsdzbdqqu63ck""]"	Inflection: a-decl (Obl, pl): -a; Morphemic form: šáal; Variant restriction: Biori	Inflection: a-decl (Obl, pl): -a; Morphemic form: šáal	1	a	o	word-final-closed	o	Biori-early-a-long-final-closed	o	consistent		Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. 
ṣáače	ṣáača	to quarrel, dispute, fight			ae	aa	LS	LS	E	1	E	1	"[""f_xqqk25e3voioe"", ""f_o4lg5mv77dx76""]"	Inflection: T (Prs): ṣačáana, (Pfv Masc Pl): ṣáata, (Pfv Fem Pl): ṣéetim, (Cv): ṣačí; Morphemic form: ṣač-, ṣat-; Restriction: With plural reference only; Variant restriction: Biori	Inflection: T (Prs): ṣačáana, (Pfv Masc Pl): ṣáata, (Pfv Fem Pl): ṣéetim, (Cv): ṣačí; Morphemic form: ṣač-, ṣat-; Restriction: With plural reference only	1	a	a	other	o	other-syllable-domain		outside-closed-syllable-test		The tested vowel is not in a final closed syllable. Most nonfinal aa pairs are verbal stems with additional morphology; their long aa may result from earlier short-vowel lengthening and cannot be assumed identical to inherited long aa. 
ṣáande	ṣáanda	to take up a challenge, face			ae	aa	LS	LS	E	1	E	1	"[""f_iywfpzqjfyege"", ""f_yhswr3ha42qhc""]"	Inflection: L:cons (Prs): ṣandáanu, (Pfv): ṣandílu, (Cv): ṣandí, (Imp): ṣáand; Morphemic form: ṣand-; Variant restriction: Biori	Inflection: L:cons (Prs): ṣandáanu, (Pfv): ṣandílu, (Cv): ṣandí, (Imp): ṣáand; Morphemic form: ṣand-	1	a	a	other	o	other-syllable-domain		outside-closed-syllable-test		The tested vowel is not in a final closed syllable. Most nonfinal aa pairs are verbal stems with additional morphology; their long aa may result from earlier short-vowel lengthening and cannot be assumed identical to inherited long aa. 
táapeṛ	táapaṛ	hill; rock			ae	aa	LS	LS	E	1	E	1	"[""f_c3m6luia7qpiy"", ""f_hxwxnakkx7nro""]"	Inflection: a-decl (Obl, pl): -a; Variant restriction: Biori	Inflection: a-decl (Obl, pl): -a	1	a	a	other	o	other-syllable-domain		outside-closed-syllable-test	nonfinal-aa-residual-outside-test	The tested vowel is not in a final closed syllable. Most nonfinal aa pairs are verbal stems with additional morphology; their long aa may result from earlier short-vowel lengthening and cannot be assumed identical to inherited long aa. táapeṛ/táapaṛ retains initial aa and changes the following unstressed vowel. Its long root and original formation are not established, so it must not be used to prove the source of every nonfinal aa.
tenaám	tanaám	them (rem acc)			ea	aa	SL	SL	L	2	L	2	"[""f_jkz75y65jupjg"", ""f_sraw77ulsl4tc""]"	Variant restriction: Biori		2	a	a	word-final-closed	o	Biori-late-a-long-final-closed	a	consistent	late-accusative-plural-control	Late-mora Biori long vowel in final closed syllable; the quality-retention control is independent of the Ashret result. tenaám/tanaám keeps late aa. Together with lenaám, this supplies two surface forms but only one inflectional-suffix control.
tesée	tasíi	his; her; its (rem)			ee	ai	SL	SL	E	2	E	2	"[""f_2j4yzee5p4pcw"", ""f_gf4rm5lynhk7q""]"	Variant restriction: Biori		2	e	i	other	i	other-syllable-domain		outside-closed-syllable-test	genitive-ending-raising	The tested vowel is not in a final closed syllable. Most nonfinal aa pairs are verbal stems with additional morphology; their long aa may result from earlier short-vowel lengthening and cannot be assumed identical to inherited long aa. Final early -ée corresponds to -íi in a genitive form. Five pronominal forms instantiate one shared grammatical ending; do not count them as five independent sound changes.
tusée	tusíi	your (2pl gen)			ue	ui	SL	SL	E	2	E	2	"[""f_zlddxxy4dzsqi"", ""f_mkm7tylsxbxyw""]"	Variant restriction: Biori		2	e	i	other	i	other-syllable-domain		outside-closed-syllable-test	genitive-ending-raising	The tested vowel is not in a final closed syllable. Most nonfinal aa pairs are verbal stems with additional morphology; their long aa may result from earlier short-vowel lengthening and cannot be assumed identical to inherited long aa. Final early -ée corresponds to -íi in a genitive form. Five pronominal forms instantiate one shared grammatical ending; do not count them as five independent sound changes.
xaláas	xalóos	free			aa	ao	SL	SL	E	2	E	2	"[""f_5sol77wmgoe32"", ""f_zblfkizg5h24c""]"	Usage: Primarily used as a non-verb element in complex predicates; Variant restriction: Biori	Usage: Primarily used as a non-verb element in complex predicates	2	a	o	word-final-closed	o	Biori-early-a-long-final-closed	o	consistent	contact-vocabulary-raising	Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. xaláas/xalóos is the regional Arabic-origin khalas word. It shows raising in the nonverb element of a complex predicate, so the correspondence is not confined to inherited nouns.
galaṭáak	galaṭóok	Kalkatak (partly Palula-speaking village south of Drosh, situated in the main Chitral Valley)			aaa	aao	SSL	SSL	E	3	E	3	"[""f_kr4yfnfmedqdq"", ""f_nggqmj4gkp5pw""]"	Inflection: a-decl (Obl): -a; Variant restriction: Biori	Inflection: a-decl (Obl): -a	3	a	o	word-final-closed	o	Biori-early-a-long-final-closed	o	consistent		Same consonantal frame and gloss; the Biori early long vowel is in the final closed syllable. Test aa→oo or ee→ii without changing the prediction for residuals. 
